DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P3148;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5443765;1;1;1;60; ;1;68;1;2;2;11;1; ; ;1;2;2;1;3; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;454526;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;6; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;7; ;1; ;1;1;1;5;1; ; ; ; ; ; ; ; ;1;1;1;1;6;24;1; ;2; ; ; ; ; ; ; ;1;3;15; ;2; ; ; ;1;1;1;1;2;1;2;1;2;2;2; ;2;1;2;2;1;2;2;1;5; ;59;85;1;05;1;8511;908526;68;2665,46935479905; 
5443767;1;3;1;60; ;1;68;1;2;1; ;2;4;AGM SALUD CTO;1;1;2;1;7; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;454526;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;7; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;7; ;1; ;1;1;1;7;1;1; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ; ;12;15; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;59;86;1;05;1;8610;908526;68;2628,99099577716;7810
5443769;1;1;1;60; ;1;68;1;2;1; ;1; ; ;1;1;2;1;288; ;1; ;2;908500;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;90000;2;1;33000;2;2; ; ;2; ; ;2; ; ;1;1100000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;11;TIENDA A TIENDA;1; ;1;2;1;27;1;1; ; ; ; ; ; ; ; ;1;1;1;0;42;1; ;2; ; ; ; ; ; ; ;8;11;3; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;45;46;1;05;1;4631;908500;68;3066,04903891042; 
5443772;1;1;1;60; ;1;68;1;2;2;98;2;4;UNION TEMPORAL ITALCO;2;1;2;1;2; ;3; ;1;3600000;2; ; ;1;350000;2; ;1;240000;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;2000000;2; ;1;2000000;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;8; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;10; ;1; ;1;1;1;16;1;1; ; ; ; ; ; ; ; ;1;1;1;2;6;1; ;2; ; ; ; ; ; ; ;1;7;25; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1;2;1;3; ;85;06;1;05;1;0610;3950000;68;4107,83916829988;910
5443772;1;2;1;60; ;1;68;1;2;1; ;2;4;SECRETARIA DE EDUCACION;1;1;1;1;84; ;5; ;2;1600000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;1600000;1;1600000;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;35;2; ;35; ; ;8;7; ;1; ;1;3;1;14;1;1; ; ; ; ; ; ; ; ;1;1;1;12;72;1; ;2; ; ; ; ; ; ; ;1;8;20; ;1;20;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1;1;1;3; ;13;85;1;05;2;8530;1600000;68;4107,83916829988;8413
5443783;1;3;1;60; ;1;68;1;2;2;2;1; ; ;1;2;2;2;4; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106000;2;1;36000;2;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;5; ; ; ; ; ; ; ; ;48; ;.;48; ; ;8;11;DE TIENDA A TIENDA;1; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;1;0;1;1; ;2; ; ; ; ; ; ; ;1;11;15; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;45;20;1;05;1;2023;908526;68;2247,72880516947; 
5443784;1;1;1;60; ;1;68;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;300000;1; ;3; ;12;2; ; ; ; ;3;4;1;48; ;.;48; ; ;1;1; ;1; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;36;1; ;2; ; ; ; ; ; ; ;9;14; ; ;1;10;1;1;1;1;1;1;2;2;2;1;2;2;1;POR PANDEMIA A TENIDO PERDIDAS DE MATERIALES PARA LA ELABORACION DE CALZADO;1;1;1;2;2;2;1;1;8; ;80;15;1;05;4;1521;300000;68;3305,38107055151; 
5443786;1;1;1;60; ;1;68;1;2;1; ;1; ; ;1;1;1;1;144; ;5; ;2;3000000;2; ; ;1;260000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;1900000;1;1800000;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;10; ;1; ;1;1;1;13;1;1; ;1;1; ; ; ; ; ;1;2;1;6;18;1; ;2; ; ; ; ; ; ; ;1;11;15; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2; ;03;06;1;05;1;0610;3260000;68;4903,44335464469; 
5443787;1;1;1;60; ;1;68;2; ; ; ; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;900000;1; ;3; ;10;2; ; ; ; ;3;1;1;70; ;.;70; ; ;1;4; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;5;12;4; ;2; ; ; ; ; ; ; ;13;11;2; ;2; ; ; ;1;1;1;1;1;2;2;2;2;2;2; ;2;1;2;2;2;2;1;1;3; ;98;49;1;05;4;4921;900000;68;3998,52286397241; 
5443788;1;2;1;60; ;1;68;1;2;2;1;2;4;TRIMECA;1;1;2;1;10; ;3; ;1;3000000;2; ; ;1;300000;2; ;1;120000;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;3000000;2; ;1;1500000;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;10; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;8; ;4; ;1;2;1;30;1;1; ; ; ; ; ; ; ; ;1;1;1;4;5;1; ;2; ; ; ; ; ; ; ;13;7;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;2; ;03;06;1;05;1;0610;3300000;68;3066,04903891042;910
