DIRECTORIO SECUENCIA_P ORDEN HOGAR REGIS AREA CLASE P388 P6440 P6450 P6460 P6460S1 P6400 P6410 P6422 P6424S1 P6424S2 P6424S3 P6426 P6430S1 P6480 P6480S1 P9440 P6500 P6510 P6510S1 P6510S2 P6590 P6590S1 P6600 P6600S1 P6610 P6610S1 P6620 P6620S1 P6585S1 P6585S1A1 P6585S1A2 P6585S2 P6585S2A1 P6585S2A2 P6585S3 P6585S3A1 P6585S3A2 P6585S4 P6585S4A1 P6585S4A2 P6545 P6545S1 P6545S2 P6580 P6580S1 P6580S2 P6630S1 P6630S1A1 P6630S2 P6630S2A1 P6630S3 P6630S3A1 P6630S4 P6630S4A1 P6630S6 P6630S6A1 P6640 P6640S1 P6765 P6765S1 P6772 P6772S1 P6773S1 P6775 P6750 P6760 P550 P6780 P6780S1 P6790 P1800 P1800S1 P1801S1 P1801S2 P1801S3 P1802 P1879 P1805 P6800 P6810 P6810S1 P6850 P6830 P6830S1 P6870 P6880 P6880S1 P6915 P6915S1 P6920 P6930 P6940 P6960 P6980 P6980S1 P6980S2 P6980S3 P6980S4 P6980S5 P6980S6 P6980S7 P6980S7A1 P6980S8 P6990 P9450 P7020 P760 P7026 P7028 P7028S1 P7040 P390 P7045 P7050 P7050S1 P7070 P7075 P7077 P1880 P1881 P1882 P3148 P7090 P7100 P7110 P7120 P7130 P7140 P7140S1 P7140S2 P7140S3 P7140S4 P7140S5 P7140S6 P7140S7 P7140S8 P7140S9 P7140S9A1 P7150 P7160 P7170S1 P7170S5 P7170S6 P7180 P514 P515 P7240 P7240S1 OFICIO RAMA2D_R4 OCI MES P6430 RAMA4D_R4 INGLABO DPTO fex_c_2011 RAMA4DP8_R4
5544574 1 2 1 60  1 68 2          180                                               6     2 400000 1  3  12 2     3 5 2 48  . 48   1 1  2  2    1         1 2 2 1 0 12 3  2        10 14   2    2              1 2 1 2 1 1 3  53 56 1 09 4 5619 400000 68 2537.9604021 
5544575 1 1 1 60  1 68 2          12                                               6     2 350000 1  1  12 2     3 11 1 48  . 48   1 4  1  2    1         1 2 2 1 12 8 2  2        1 12 20  2    1 1 1 1 2 1 2 2 1 1 2  2 1 1 1 1 2 2 1 3  98 49 1 09 4 4921 350000 68 5342.7236543 
5544575 1 2 1 60  1 68 1 2 2 12 1  2 1 1 1 48  3  1 908526 2   2  2  2  2  2   1 106454 2 2   2   2   2   1 600000 2  2  2  2  2   .         . 12         48  . 48   8 7  1  1 2 1 5 1 1         1 1 1 1 60 1  2        3 11 15  2    2              1 1 1 2 2 1 3  13 85 1 09 1 8530 908526 68 5342.7236543 
5544576 1 1 1 60  1 68 1 1   1  1 2 2 2 2  1  2 1750000 1 250000 1 1 260000 2  2  2  2   1 109000 1 2   2   2   2   2  2  2  2  2  1 4            6         48  . 52   9 7  1  1 2 1 15 1 1         1 2 1 3 3 4  2        8 8 8  2    2              1 1 1 2 1 1 3  39 93 1 09 1 9329 2010000 68 2953.5913417 
5544578 1 2 1 60  1 68 2          6                                               6     2 600000 1  1  9 2     3 1 2 40  . 40   1 2  5  2    1         1 2 2 1 3 6 4  2        11 11 5  1 10 1 1 2              1 2 1 2 2 1 3  18 93 1 09 4 9311 600000 68 4239.1111618 
5544579 1 2 1 60  1 68 1 1   1  1 2 2 2 12  4  1 500000 2   2  2  2  2  2   2   2   2   2   2   2  2  2  2  2  2   .         . 12         48  . 48   3 7  2  2    1         1 2 2 1 12 1 1  2        9 12 15  2    2              1 1 1 2 1 1 3  57 96 1 09 1 9602 500000 68 5301.7411548 
5544579 1 5 1 60  1 68 2          60                                               6     2 900000 1  1  12 2     3 1 2 56  . 56   1 4  2  2    1         1 2 2 1 0 6 1  2        1 11 10  2    2              1 1 1 2 1 1 8  98 49 1 09 4 4921 900000 68 5301.7411548 
5544580 1 2 1 60  1 68 1 2 1  1  1 1 1 1 108  2  2 908526 2   2  2  2  2  2   1 106454 2 2   2   2   2   1 1200000 2  2  2  2  2   .         . 12         48  . 48   8 7  1  1 2 1 9 1 1         1 1 1 1 24 1  2        1 11 10  2    2              1 1 1 2 1 1 3  39 86 1 09 1 8610 908526 68 3484.3350591 
5544580 1 3 1 60  1 68 1 2 2 12 1  1 1 1 1 12  2  2 908526 2   2  2  2  2  2   1 106454 2 2   2   2   2   1 300000 2  2  2  2  2   .         . 12         48  . 48   7 7  1  1 1 1 1 1 1         1 1 2     2         11 15  2    2              1 1 1 2 1 1 8  39 86 1 09 1 8610 908526 68 3484.3350591 
5544581 1 1 1 60  1 68 1 2 1  2 4 1 1 1 1 96  2  2 2032000 2   2  2  2  2  2   2   2   2   2   2   1 2000000 1 2032000 1 1000000 2  2  2   .         . 12         48  . 48   9 7  1  1 3 1 13 1 1  1       1 1 1 12 5 1  2        9 11 15  2    2              1 1 1 2 2 1 3  13 85 1 09 2 8530 2032000 68 2953.5913417 8413
5544581 1 2 1 60  1 68 1 2 2 12 1  1 1 2 1 10  3  1 1177546 2   2  2  2  2  2   1 106454 2 2   2   2   2   1 900000 2  2  2  2  2   .         . 10         48  . 48   9 7  1  1 1 1 9 1 1         1 2 1 5 36 1  2        8 11 15  2    2              1 1 1 2 1 1 2  59 46 1 09 1 4645 1177546 68 2953.5913417 
5544582 1 2 1 60  1 68 2          12                                               6     2 500000 1  1  12 2     2 1 1 48  . 48   1 2  4  2    1         1 2 2 1 9 24 4  2        13 12 20  2    1 1 1 1 1 1 2 2 1 2 2  2 1 2 2 2 2 2 2 8  85 33 1 09 4 3313 500000 68 3066.6609994 
5544585 1 1 1 60  1 68 2          24                                               6     2 300000 1  1  12 2     3 1 2 42  . 42   1 11 "POR REDES SOCIALES" 4  2    1         1 2 2 1 0 6 1  2        1 14   1 14 1 1 1 1 1 1 2 1 2 1 2 2 2  1 1 1 2 2 2 2 1 3  41 47 1 09 4 4771 300000 68 3960.8819037 
5544586 1 1 1 60  1 68 2          120                                               6     2 900000 1  3  12 2     3 1 2 40  . 40   1 2  2  2    1   1       2 2 1 1 2 1  2        1 13 30  2    2              1 1 1 2 1 1 2  95 41 1 09 4 4111 900000 68 2788.4317414 
5544587 1 2 1 60  1 68 1 2 2 4 1  1 2 2 2 3                                               1     2 4200000 1  1  8 2     1 5 1 48  . 48   9 7  1  3     .         1 2 1 1 4 4  2        1 8 20  2    2              1 1 1 2 1 1 3  21 84 1 09 4 8412 4200000 68 1868.1378462 
5544588 1 2 1 60  1 68 1 1   1  1 2 2 2 228  1  2 908526 2   2  2  2  2  2   2   2   2   2   2   2  2  2  2  2  2   .         . 12         48  . 48   2 7  2  2    1         1 2 2 2     2         11 20  2    2              1 1 1 1 1 1 8  81 16 1 09 1 1630 908526 68 2060.12067 
5544588 1 4 1 60  1 68 2          18                                               6     2 900000 1  1  12 2     2 1 1 40  . 40   1 2  1  2    1         1 2 2 1 5 18 1  2        8 11 15  2    2              1 1 1 2 2 1 8  03 43 1 09 4 4322 900000 68 2060.12067 
