DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5345413,1,2,1,10,2,2,4,1954,66,2,6,,3,3,,3,,1,1,,1,,,,,,,,,,,,1,,,1,5,,2,1,2,,3,4,,,2,4,01,41,922.5841291
5345414,1,1,1,10,1,2,3,1975,45,1,6,,5,3,,3,,,,,1,,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,3,,,2,3,01,41,1579.565167
5345414,1,2,1,10,2,2,11,1991,29,3,6,,2,3,,1,1,2,,,1,,1,,,1,,,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,01,41,1579.565167
5345414,1,3,1,10,2,1,1,2018,2,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,1579.565167
5345414,1,4,1,10,2,2,7,2020,0,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,1579.565167
5345414,1,5,1,10,5,1,12,1998,22,3,6,,1,3,,1,1,1,6,,1,,1,1,,,,,,,,,1,,,3,,,2,1,2,,4,8,,,2,8,01,41,1579.565167
5345414,1,6,1,10,5,2,2,2001,19,5,6,,1,2,,2,,1,5,,1,,1,1,,,,,,,,,1,,,3,,,2,1,2,,4,8,,,2,8,01,41,1579.565167
5345414,1,7,1,10,5,2,1,2019,1,4,6,,,1,5,1,6,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,1579.565167
5345414,1,8,1,10,1,1,,,52,5,6,,6,3,,3,,,,,1,,,,1,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,41,1579.565167
5345414,1,9,1,10,1,1,,,36,5,6,,6,3,,3,,,,,1,,1,,,,,,,,,,1,,,3,,,2,1,2,,3,3,,,2,3,01,41,1579.565167
5345415,1,1,1,10,2,1,9,1950,70,1,6,,3,3,,3,,1,2,,1,,,,1,,,,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,01,41,658.85658653
5345415,1,2,1,10,2,2,3,1955,65,2,6,,3,3,,3,,1,1,,1,,,,,,,,1,,IR A CITAS MEDICAS,,1,,,3,,,2,1,2,,3,5,,,2,5,01,41,658.85658653
5345415,1,3,1,10,3,2,2,1968,52,5,6,,6,3,,2,,,,,1,,,,,1,,,,,,,1,,,3,,,2,1,2,,3,4,,,2,4,01,41,658.85658653
5345416,1,1,1,10,1,2,6,1969,51,1,6,,2,2,,1,5,1,2,,1,,1,,,,,,,,,2,1,,,2,5,,2,1,2,,3,5,,,2,5,01,41,597.85229061
5345416,1,2,1,10,1,1,11,1970,50,2,6,,2,2,,2,,1,1,,1,,,,,,,,,,,,1,,,2,2,216000,2,1,2,,5,11,2,,2,11,01,41,597.85229061
5345416,1,3,1,10,3,2,6,2004,16,3,6,,6,1,2,1,1,,,,1,,,,,,1,,,,,,1,,,2,5,,2,1,1,1,4,7,,,2,7,01,41,597.85229061
5345416,1,4,1,10,1,2,4,2010,10,3,6,,6,1,2,1,1,,,,1,,,,,,1,,,,,,1,,,2,5,,2,1,1,1,3,4,,,2,4,01,41,597.85229061
5345416,1,5,1,10,1,2,3,1945,75,5,6,,5,3,,3,,,,,1,,,,,,,,1,,SACAR CITAS MEDICAS,,1,,,3,,,2,1,2,,3,5,,,2,5,01,41,597.85229061
5345417,1,1,1,10,1,2,1,1941,80,1,6,,5,3,,3,,,,,1,,,,,,,,1,,SACAR CITAS MEDICAS,2,1,,,1,5,,2,1,2,,3,5,,,2,5,01,41,625.69740015
5345417,1,2,1,10,1,2,,,58,3,6,,3,3,,1,1,1,3,,1,,1,,,,,,,,,,1,,,1,3,106000,2,1,2,,5,11,2,,2,11,01,41,625.69740015
5345417,1,3,1,10,1,1,,,62,5,6,,3,3,,3,,1,2,,1,,1,,,,,,,,,,1,,,1,5,,2,1,2,,3,5,,,2,5,01,41,625.69740015
5345418,1,1,1,10,1,1,4,1958,62,1,6,,3,3,,2,,1,2,,1,,1,,,1,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,2,11,01,41,922.5841291
5345418,1,2,1,10,2,2,10,1953,67,2,6,,3,3,,3,,1,1,,1,,1,,,1,,,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,01,41,922.5841291
5346131,1,1,1,10,1,2,10,1976,44,1,6,,4,2,,2,,,,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,5,11,2,,2,11,01,68,4355.5673027
5346131,1,2,1,10,2,1,11,2004,16,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,5,10,1,,2,10,01,68,4355.5673027
5346131,1,3,1,10,3,1,4,2010,10,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,0,,,2,5,01,68,4355.5673027
5346131,1,4,1,10,1,1,6,2012,8,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,3,,,2,3,01,68,4355.5673027
5346132,1,1,1,10,1,1,1,1963,57,1,6,,4,3,,2,,,,,,,,,,,,,,1,,2,2,1,12,,,,2,1,2,,6,2,3,,2,13,01,68,1184.0488313
5346133,1,1,1,10,1,1,3,1966,54,1,6,,2,3,,3,,1,2,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,4,,,2,4,01,68,967.90384504
5346133,1,2,1,10,2,2,5,1962,58,2,6,,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,01,68,967.90384504
5346134,1,1,1,10,1,1,3,1971,49,1,6,,3,3,,2,,1,2,,,,1,,,1,,,,,,2,1,,,1,3,109000,2,1,2,,3,5,,,2,5,01,68,1707.6374648
5346134,1,2,1,10,2,2,4,1974,46,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,5,11,2,,2,11,01,68,1707.6374648
5346134,1,3,1,10,3,1,4,2003,17,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,5,11,2,,2,11,01,68,1707.6374648
5346135,1,1,1,10,1,1,3,1972,48,1,6,,2,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,5,,,2,5,01,68,967.90384504
