DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
5332786,1,2,1,50,68,1,1,,2,6,DESCANSANDO EN EL HOGAR,2,2,2,1,,,,,,,,1,01,68,655.70021549
5332786,1,3,1,50,68,1,,,3,3,,2,2,2,2,2,,,,,,,,01,68,655.70021549
5332786,1,4,1,50,68,1,,,4,1,,,,,,,,,,,,,,01,68,655.70021549
5332787,1,1,1,50,68,1,,,2,6,DESCANSANDO POR ENFERMEDAD,2,1,,,,,,,,,,,01,68,366.80901604
5332787,1,2,1,50,68,1,,,2,4,,2,2,2,2,1,10,,,,,,,01,68,366.80901604
5332787,2,1,2,50,68,1,,,1,6,DESCANSANDO EN EL HOGAR,2,2,2,2,2,,,,,,,,01,68,366.80901604
5332794,1,1,1,50,50,1,,,1,4,,2,2,2,2,2,,,,,,,,01,50,208.0722409
5332795,1,1,1,50,50,1,,,1,4,,2,2,2,2,2,,,,,,,,01,50,243.10186494
5332795,1,2,1,50,50,1,,,2,1,,,,,,,,,,,,,,01,50,243.10186494
5332795,1,3,1,50,50,1,,,2,3,,2,2,2,2,2,,,,,,,,01,50,243.10186494
5332795,1,4,1,50,50,1,,,4,1,,,,,,,,,,,,,,01,50,243.10186494
5332796,1,1,1,50,50,1,1,,1,2,,2,2,2,1,,,,,,,,1,01,50,410.4222576
5332796,1,2,1,50,50,1,,,2,4,,2,2,2,2,2,,,,,,,,01,50,410.4222576
5332796,1,4,1,50,50,1,1,,4,2,,2,2,2,1,,,,,,,,1,01,50,410.4222576
5332797,1,1,1,50,50,1,,,1,1,,,,,,,,,,,,,,01,50,367.37170148
5332797,1,2,1,50,50,1,,,2,4,,2,2,2,2,2,,,,,,,,01,50,367.37170148
5332798,1,1,1,50,50,1,,,1,1,,,,,,,,,,,,,,01,50,388.30782845
5332798,1,2,1,50,50,1,1,,2,2,,2,2,2,1,,,,,,,,1,01,50,388.30782845
5332799,1,1,1,50,50,1,1,,1,2,,2,2,2,1,,,,,,,,1,01,50,208.0722409
5332800,1,1,1,50,50,1,,,1,6,DESCANSANDO ENFERMO,1,,,,,,,,,,,,01,50,272.79623672
5332801,1,1,1,50,50,1,,,1,1,,,,,,,,,,,,,,01,50,190.17712813
5332801,1,2,1,50,50,1,,,2,6,TRABAJADOR FAMILIAR SIN REMUNERACION,2,2,1,,,,,,,,,,01,50,190.17712813
5332802,1,1,1,50,50,1,,,1,1,,,,,,,,,,,,,,01,50,389.45800684
5332802,1,2,1,50,50,1,,,2,1,,,,,,,,,,,,,,01,50,389.45800684
