DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5333001,1,2,1,70,68,40,24,1,,2,45,3,,1,2,1,,,,,,,,,,,1,2,,877803,2,,97,79,54,1,2,9700,01,68,300.63555006
5333003,1,1,1,70,68,6,48,1,,2,6,1,,9,2,1,,,1,,,,,,,,,1,200000,2500000,1,1,85,13,13,1,1,8544,01,68,531.10871341
5333105,1,3,1,70,68,12,50,4,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,2000000,2,,96,59,59,1,1,9609,01,68,460.28585236
5333106,1,1,1,70,52,40,48,2,,2,3,1,,6,2,3,,,1,,,,,,,,,1,2300000,5000000,1,1,86,11,11,1,2,8691,01,52,296.26910799
5333112,1,1,1,70,52,3,48,4,,2,2,4,,9,2,1,,,,,,,,,,,1,1,5700000,4500000,2,,84,09,09,1,1,8415,01,52,344.90125609
5333112,1,2,1,70,52,6,48,4,,2,52,4,,9,2,1,,,,,,,,,,,1,2,,2500000,2,,84,12,12,1,1,8412,01,52,344.90125609
5333125,1,2,1,70,50,8,60,1,,2,8,1,,4,2,6,,,,,,,,,,,1,2,,1000000,2,,85,13,13,1,1,8513,01,50,201.4300416
5333142,1,3,1,70,05,4,48,1,,1,,,,,,,,.,,,,,,,,.,,,,877000,,,,39,,1,1,.,01,05,1112.0240504
5333143,1,2,1,70,05,40,48,1,,2,3,1,,2,2,3,,,,,,,,,,,1,1,250000,877000,2,,47,45,45,1,2,4711,01,05,1315.4794376
5333153,1,1,1,70,50,8,48,1,,2,8,1,,5,2,1,,,,,,,,,,,1,2,,1000000,2,,47,34,45,1,1,4774,01,50,304.98527716
5333154,1,1,1,70,50,30,48,1,,2,30,1,,3,2,2,,,,,,,,,,,1,2,,1800000,2,,47,33,33,1,2,4759,01,50,180.26536024
5333159,1,2,1,70,73,17,48,1,,2,2,6,,2,2,1,,,,,,,,,,,1,2,,900000,2,,56,05,77,1,2,5619,01,73,249.44337167
5333160,1,3,1,70,73,24,48,1,,2,3,4,,1,2,1,,,,,,,,,,,1,1,800000,900000,2,,52,45,97,1,2,5224,01,73,228.63851307
5333165,1,1,1,70,50,13,48,1,,2,13,1,,6,2,1,,,,,,,,,,,1,2,,1000000,2,,47,45,45,1,1,4731,01,50,325.92140413
5333168,1,2,1,70,50,52,48,1,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,43,85,85,1,2,4321,01,50,242.85221516
5333169,1,5,1,70,50,6,48,1,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,1000000,2,,43,95,93,1,1,4330,01,50,314.05829695
5333169,1,6,1,70,50,6,48,1,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,56,45,45,1,1,5619,01,50,314.05829695
5333175,1,2,1,70,17,12,48,3,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,877802,2,,97,54,54,1,1,9700,01,17,223.20307864
5333175,1,5,1,70,17,104,48,1,,2,160,1,,8,2,1,,,,,,,,,,,1,2,,877802,2,,47,13,45,1,2,4771,01,17,223.20307864
5333179,1,2,1,70,17,36,48,4,,2,40,1,,9,2,5,,,,,,,,,,,1,1,2500000,3500000,2,,58,16,16,1,2,5813,01,17,258.8234351
5333180,1,1,1,70,52,16,48,1,,2,20,1,,5,2,1,,,,,,,,,,,1,2,,1500000,2,,47,11,11,1,2,4771,01,52,169.82871516
5333180,1,4,1,70,52,24,48,1,,2,24,4,,4,2,1,,,,,,,,,,,1,2,,1200000,2,,47,08,08,1,2,4741,01,52,169.82871516
5333181,1,1,1,70,52,16,48,3,,2,48,3,,1,2,2,,,,,,,,,,,1,2,,300000,2,,97,54,54,1,2,9700,01,52,173.85333311
5333188,1,1,1,70,50,6,50,4,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,1200000,2,,41,95,95,1,1,4111,01,50,272.79623672
5333189,1,1,1,70,50,36,48,4,,2,36,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,81,55,55,1,2,8121,01,50,174.77333933
5333190,1,3,1,70,50,8,48,1,,2,8,1,,4,2,1,,,,,,,,,,,1,2,,900000,2,,49,98,98,1,1,4921,01,50,348.1170778
5333191,1,2,1,70,50,4,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,800000,900000,2,,41,95,95,1,1,4111,01,50,160.23310657
5333192,1,1,1,70,50,40,48,1,,2,40,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,81,53,55,1,2,8121,01,50,360.87349619
5333192,1,2,1,70,50,3,50,1,,2,3,1,,3,2,1,,,,,,,,,,,1,1,800000,1000000,2,,49,98,98,1,1,4921,01,50,360.87349619
5333194,1,1,1,70,50,16,50,4,,2,16,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,81,55,55,1,2,8121,01,50,257.39244793
5333194,1,2,1,70,50,16,50,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,95,,1,2,.,01,50,257.39244793
5333195,1,1,1,70,50,4,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,400000,700000,2,,81,54,54,1,1,8110,01,50,371.81254386
5333195,1,2,1,70,50,16,48,4,,2,16,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,33,87,87,1,2,3312,01,50,371.81254386
5333197,1,1,1,70,17,3,48,1,,2,3,4,,9,2,5,,,1,,,,,,,,,2,,2000000,1,2,84,05,05,1,1,8412,01,17,201.11748965
5333199,1,3,1,70,73,4,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1700000,,,,12,,1,1,.,01,73,219.60542458
5333241,1,1,1,70,17,48,48,1,,2,48,1,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,86,34,34,1,2,8610,01,17,194.08859805
5333250,1,1,1,70,73,52,48,1,,2,112,2,,9,2,1,,,,,,,,,,,1,2,,900000,3,,84,34,58,1,2,8423,01,73,316.9671222
5333250,1,2,1,70,73,54,48,4,,2,8,1,,3,2,2,,,,,,,,,,,1,2,,950000,2,,56,77,77,1,2,5619,01,73,316.9671222
5333252,1,3,1,70,73,28,48,1,,2,28,1,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,47,45,45,1,2,4771,01,73,329.3807006
5333255,1,3,1,70,73,40,48,1,,2,52,1,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,41,19,19,1,2,4111,01,73,240.68600343
5333270,1,3,1,70,23,24,48,1,,2,26,1,,9,2,1,,,,,,,,,,,1,2,,877803,2,,86,59,59,1,2,8610,01,23,189.03752056
5333271,1,1,1,70,23,32,48,3,,2,38,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,9700,01,23,172.81320054
5333327,1,1,1,70,68,32,48,1,,2,52,4,,9,2,2,,,,,,,,,,,1,2,,1700000,2,,84,19,19,1,2,8413,01,68,505.48677895
5333329,1,3,1,70,68,8,48,1,,2,32,1,,9,2,2,,,,,,,,,,,1,2,,877803,2,,49,33,33,1,1,4921,01,68,544.47573063
5333340,1,1,1,70,76,2,48,1,,2,4,4,,5,2,1,,,,,,,,,,,1,1,400000,908526,2,,14,79,79,1,1,1410,01,76,1040.8112303
5333359,1,1,1,70,11,2,48,1,,2,2,4,,2,2,8,,,,,,,,,,,1,2,,908526,2,,47,77,45,1,1,4721,01,11,3728.6300194
5333371,1,3,1,70,17,4,48,1,,2,8,1,,2,2,7,,,,,,,,,,,1,1,820000,877803,2,,41,97,95,1,1,4111,01,17,194.65472273
5333372,1,3,1,70,68,5,48,1,,1,,,,,,,,.,,,,,,,,.,,,,877803,,,,97,,1,1,.,01,68,719.52685301
5333373,1,1,1,70,68,52,48,4,,2,52,5,,4,2,1,,,,,,,,,,,1,2,,800000,2,,56,39,77,1,2,5619,01,68,317.95442563
