DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,P7481,CLASE,MES,DPTO,fex_c_2011
5346138,1,2,1,90,1,16,1,18,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346139,1,1,1,90,2,,1,16,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346139,1,2,1,90,1,10,1,28,2,,1,18,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346147,1,1,1,90,2,,1,14,2,,1,7,2,,2,,2,,2,,2,,1,2,,2,01,68,967.90384504
5346147,1,2,1,90,1,21,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346147,1,3,1,90,1,7,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346149,1,1,1,90,1,7,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,4355.5673027
5346149,1,2,1,90,1,21,1,14,2,,1,14,2,,2,,2,,2,,2,,2,,,2,01,68,4355.5673027
5346150,1,1,1,90,1,21,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346150,1,2,1,90,2,,1,35,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346150,1,3,1,90,2,,1,14,2,,1,7,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346150,1,5,1,90,1,7,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346151,1,1,1,90,1,14,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346152,1,1,1,90,1,7,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346152,1,2,1,90,1,10,1,21,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346153,1,1,1,90,1,10,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346153,1,2,1,90,1,21,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346153,1,3,1,90,1,10,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,967.90384504
5346154,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1260.3653787
5346154,1,2,1,90,1,7,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,1260.3653787
5346154,1,3,1,90,1,7,1,7,2,,2,,1,5,2,,2,,2,,2,,2,,,2,01,68,1260.3653787
5346154,1,4,1,90,1,21,1,14,2,,1,14,1,7,2,,2,,2,,2,,2,,,2,01,68,1260.3653787
5346155,1,1,1,90,1,4,1,14,2,,2,,2,,2,,2,,1,15,2,,2,,,2,01,68,3820.0380268
5346170,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,955.74331547
5346170,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,955.74331547
5346171,1,1,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346171,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346171,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346171,1,4,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346171,1,5,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346172,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5346172,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5346173,1,1,1,90,2,,1,5,2,,1,10,2,,2,,2,,2,,2,,2,,,2,01,41,1681.6217265
5346173,1,2,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1681.6217265
5346173,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1681.6217265
5346174,1,1,1,90,2,,1,3,2,,2,,1,10,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346174,1,2,1,90,2,,1,20,2,,2,,1,10,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346174,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346174,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346174,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,597.85229061
5346175,1,1,1,90,2,,1,5,2,,1,10,2,,2,,2,,2,,2,,2,,,2,01,41,1294.8817976
5346175,1,2,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1294.8817976
5346175,1,3,1,90,2,,1,3,2,,1,10,2,,2,,2,,2,,2,,2,,,2,01,41,1294.8817976
5346175,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1294.8817976
5346177,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1825.5944301
5346177,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1825.5944301
5346177,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1825.5944301
5346177,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1825.5944301
5346177,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1825.5944301
5346177,1,6,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1825.5944301
5346178,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1219.470858
5346183,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1207.9160508
5346183,1,2,1,90,1,4,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1207.9160508
5346183,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1207.9160508
5346183,1,4,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1207.9160508
5346183,1,5,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1207.9160508
5347394,1,1,1,90,1,7,1,28,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347394,1,2,1,90,2,,1,28,2,,1,18,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347394,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347395,1,1,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347396,1,1,1,90,1,7,1,4,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347396,1,2,1,90,1,7,1,28,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347396,1,3,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347397,1,1,1,90,1,7,1,28,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347397,1,2,1,90,1,4,1,2,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347398,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347398,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,932.79070211
5347399,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,68,2748.4112521
