DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5332805,1,2,1,60,50,50,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,1500000,1,,3,,12,2,,,,,2,3,2,50,,.,50,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,24,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,98,49,1,4,4923,1500000,01,50,292.17242218,
5332805,1,3,1,60,50,50,1,2,1,,1,,,1,1,2,1,12,,1,,2,987000,2,,,2,,2,,2,,2,,2,,,1,104000,1,2,,,2,,,2,,,2,,,1,900000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,1,1,1,,,,,,,,,1,2,2,,,,,2,,,,,,,,,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,34,46,1,1,4663,987000,01,50,292.17242218,
5332807,1,1,1,60,50,50,1,1,,,1,,,1,2,2,2,1,,1,,2,240000,2,,,1,100000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,48,,.,48,,,2,7,,11,,2,,,,1,,,,,,,,,1,2,2,1,5,6,4,,2,,,,,,,,13,3,1,,2,,,,1,1,2,1,2,1,2,2,2,2,2,,1,1,2,2,1,2,2,2,5,,87,45,1,1,4520,340000,01,50,367.37170148,
5332808,1,1,1,60,50,50,2,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,600000,1,,3,,12,2,,,,,2,5,1,48,,.,0,6,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,12,1,,2,,,,,,,,5,2,30,1,2,,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,5,,95,41,1,4,4111,600000,01,50,318.82912445,
5332809,1,1,1,60,50,50,2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,300000,1,,3,,12,2,,,,,3,1,2,48,,.,16,6,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,2,1,,2,,,,,,,,13,2,40,1,2,,,,1,1,2,1,2,2,2,1,2,1,2,,2,1,2,2,2,2,2,1,5,,45,47,1,4,4789,300000,01,50,361.87968057,
5332809,1,2,1,60,50,50,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,300000,1,,3,,12,2,,,,,3,1,2,48,,.,16,6,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,240,4,,2,,,,,,,,13,2,30,1,2,,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,5,,45,47,1,4,4789,300000,01,50,361.87968057,
5332810,1,1,1,60,50,50,2,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,650000,1,,3,,12,2,,,,,3,4,2,56,,.,56,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,5,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,41,47,1,4,4722,650000,01,50,145.34567475,
5332810,1,2,1,60,50,50,1,2,2,12,1,,,1,1,2,1,48,,2,,2,1000000,2,,,2,,2,,2,,2,,2,,,1,102000,1,2,,,2,,,2,,,2,,,1,1000000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,6,1,1,,,,,,,,,1,1,1,1,9,1,,2,,,,,,,,3,2,45,,2,,,,2,,,,,,,,,,,,,,2,2,2,2,1,1,5,,33,01,1,1,0126,1000000,01,50,145.34567475,
5332836,1,1,1,60,54,54,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,2000000,1,,3,,12,2,,,,,3,6,2,60,,.,4,6,,1,1,,1,,1,1,2,17,1,1,,,,,,,,,2,2,1,0,132,4,,2,,,,,,,,1,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,79,14,1,4,1410,2000000,01,54,289.97538681,
5332846,1,2,1,60,76,76,2,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,1000000,1,,3,,12,2,,,,,3,3,2,48,,.,48,,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,120,1,,2,,,,,,,,1,11,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,87,43,1,4,4322,1000000,01,76,919.74557592,
