DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5332913,1,4,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,05,831.02372423
5332914,1,4,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,01,,05,1495.0500539
5332914,1,6,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,01,,05,1495.0500539
5332914,1,8,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,01,,05,1495.0500539
5332949,1,3,1,80,52,2,,,,2,,,.,,,2,,,,,,1,01,,52,255.37971843
5332951,1,2,1,80,52,1,6,,2,,,11,,3,,2,,,,,3,1,01,3,52,101.7673978
5332953,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,52,181.19062744
5332959,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,3,17,216.22327025
5332960,1,2,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,17,200.6805839
5332961,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,17,228.75025564
5332961,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,228.75025564
5332961,1,4,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,228.75025564
5332962,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,3,17,186.81106599
5332962,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,186.81106599
5332963,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,17,201.3415591
5332975,1,1,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,190.17712813
5332976,1,1,1,80,50,1,4,,2,,,4,,2,,2,,,,,2,1,01,2,50,403.7800583
5332976,1,2,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,403.7800583
5332977,1,3,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,50,236.21001586
5332978,1,1,1,80,50,1,1,,2,,,4,,2,,1,900000,2,,900000,2,1,01,1.1,50,291.39479219
5332979,1,1,1,80,50,1,3,,2,,,9,,2,,2,,1,40,800000,2,1,01,4,50,242.85221516
5332981,1,1,1,80,50,1,2,,2,,,2,,2,,2,,2,,970000,2,1,01,2,50,269.52666814
5332982,1,2,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,201.20148721
5332982,1,4,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,50,201.20148721
5332985,1,1,1,80,68,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,533.26363602
5332990,1,1,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,68,443.79933625
5332991,1,2,1,80,68,1,3,,2,,,8,,2,,2,,,,,2,1,01,4,68,559.91589431
5332991,1,3,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,559.91589431
5332992,1,2,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,523.66409322
5332992,1,3,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,523.66409322
5332992,1,4,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,523.66409322
5332993,1,2,1,80,68,1,3,,2,,,9,,2,,2,,1,24,900000,2,1,01,2,68,297.55517434
5332995,1,1,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,68,468.29742446
5332995,1,2,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,2,68,468.29742446
5332996,1,3,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,454.14193317
5332996,1,4,1,80,68,2,,,,2,,,.,,,2,,,,,,1,01,,68,454.14193317
5332996,1,6,1,80,68,1,5,,2,,,8,,2,,2,,,,,2,1,01,2,68,454.14193317
5332996,1,7,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,3,68,454.14193317
5332997,1,1,1,80,68,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,629.04795719
5332998,1,1,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,476.77236848
5332998,1,2,1,80,68,1,8,,2,,,1,,2,,2,,1,48,1000000,2,1,01,2,68,476.77236848
5332999,1,1,1,80,68,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,68,541.73858004
5332999,1,2,1,80,68,1,6,,2,,,8,,2,,2,,,,,2,1,01,4,68,541.73858004
5333000,1,1,1,80,68,1,5,,2,,,8,,3,,2,,,,,3,1,01,4,68,637.52290121
5333000,1,2,1,80,68,1,5,,2,,,8,,3,,2,,,,,3,1,01,4,68,637.52290121
5333001,1,4,1,80,68,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,300.63555006
5333002,1,1,1,80,68,1,5,,2,,,10,,3,,2,,,,,3,1,01,1.4,68,533.26363602
5333004,1,1,1,80,68,2,,,,2,,,.,3,,2,,,,,3,1,01,,68,533.26363602
5333059,1,2,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,52,134.88307644
5333105,1,2,1,80,68,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,460.28585236
5333106,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,01,,52,296.26910799
5333108,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,52,134.88307644
5333108,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,52,134.88307644
5333111,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,52,159.48703794
5333111,1,4,1,80,52,1,1,,2,,,1,,2,,2,,1,24,300000,2,1,01,1.4,52,159.48703794
5333113,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,52,134.88307644
5333113,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,52,134.88307644
5333114,1,2,1,80,50,1,3,,2,,,11,,2,,2,,,,,2,1,01,4,50,160.23310657
5333115,1,2,1,80,52,2,,,,1,2,2,,2,,2,,,,,2,1,01,,52,188.46365179
5333115,1,3,1,80,52,1,2,,2,,,2,,2,,2,,1,48,877803,2,1,01,2,52,188.46365179
5333116,1,3,1,80,50,1,5,,2,,,11,,3,,2,,,,,3,1,01,4,50,145.34567475
5333118,1,1,1,80,52,1,1,,2,,,8,,2,,2,,,,,2,1,01,1.2,52,154.15560805
5333118,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,01,,52,154.15560805
5333118,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,01,,52,154.15560805
5333119,1,1,1,80,50,1,5,,2,,,11,,3,,2,,,,,3,1,01,4,50,272.79623672
5333120,1,3,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,297.66444309
5333121,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,01,,52,330.57715172
5333122,1,2,1,80,52,2,,,,2,,,.,2,,2,,2,,850000,2,1,01,,52,185.85284036
5333123,1,3,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,318.60057006
5333124,1,1,1,80,50,1,7,,2,,,8,,3,,2,,,,,3,1,01,1.4,50,272.79623672
5333125,1,1,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,201.4300416
5333126,1,1,1,80,50,1,5,,2,,,11,,3,,2,,,,,3,1,01,4,50,190.17712813
5333126,1,2,1,80,50,1,6,,2,,,11,,2,,2,,,,,2,1,01,3,50,190.17712813
5333134,1,3,1,80,68,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,68,547.59522952
5333142,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,05,1112.0240504
5333142,1,2,1,80,05,1,1,,2,,,12,POR LA PANDEMIA,2,,2,,1,48,877000,2,1,01,1.4,05,1112.0240504
5333144,1,2,1,80,05,1,3,,2,,,8,,2,,2,,,,,2,1,01,4,05,960.23510965
5333144,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,01,,05,960.23510965
5333147,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,01,,52,241.36444136
5333152,1,1,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,2,50,190.17712813
5333154,1,2,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,180.26536024
5333154,1,3,1,80,50,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,50,180.26536024
5333155,1,2,1,80,73,1,8,,2,,,9,,2,,2,,1,20,800000,2,1,01,1.3,73,459.91361639
5333157,1,2,1,80,73,1,8,,2,,,9,,1,,1,3400000,1,40,3000000,2,1,01,1.1,73,445.50364957
5333157,1,3,1,80,73,2,,,,2,,,.,,,2,,,,,,1,01,,73,445.50364957
5333158,1,1,1,80,73,1,9,COVID,2,,,12,COVID,2,,2,,2,,900000,2,1,01,1.4,73,237.39588131
5333160,1,2,1,80,73,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,73,228.63851307
5333161,1,1,1,80,73,1,7,,2,,,4,,1,,1,2000000,2,,2000000,2,1,01,1.1,73,180.85948652
5333162,1,1,1,80,73,1,3,,2,,,9,,1,,2,,,,,2,1,01,4,73,244.83952763
5333162,1,2,1,80,73,1,3,,2,,,4,,2,,2,,,,,2,1,01,4,73,244.83952763
5333166,1,3,1,80,50,1,1,,2,,,9,,2,,2,,,,,2,1,01,1.4,50,356.38765966
5333166,1,5,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,356.38765966
5333168,1,1,1,80,50,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,50,242.85221516
5333169,1,3,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,314.05829695
5333169,1,4,1,80,50,2,,,,2,,,.,,,2,,,,,,1,01,,50,314.05829695
5333170,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,17,187.20964373
5333171,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,194.01320396
5333172,1,1,1,80,52,1,8,,2,,,12,ESTA ESPERANDO QUE LA LLAMEN DEL TRABAJO ANTERIOR,1,1,1,2200000,2,,2000000,1,1,01,1.1,52,231.67763846
5333172,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,01,,52,231.67763846
5333172,1,4,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,52,231.67763846
5333173,1,2,1,80,52,2,,,,2,,,.,,,2,,,,,,1,01,,52,238.44480264
5333174,1,2,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,17,186.81106599
5333176,1,1,1,80,17,1,6,,2,,,11,,2,,2,,,,,2,1,01,4,17,187.20964373
5333178,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,255.04659185
5333180,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,52,169.82871516
5333181,1,2,1,80,52,2,,,,2,,,.,,,2,,,,,,1,01,,52,173.85333311
5333184,1,3,1,80,52,1,8,,2,,,8,,2,,2,,1,30,500000,2,1,01,3,52,140.14033098
5333184,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,01,,52,140.14033098
5333185,1,2,1,80,52,1,7,,2,,,9,,2,,2,,,,,2,1,01,1.4,52,190.12148183
5333185,1,3,1,80,52,2,,,,2,,,.,,,2,,,,,,1,01,,52,190.12148183
5333186,1,1,1,80,52,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,52,175.51116314
5333189,1,3,1,80,50,2,,,,2,,,.,,,2,,,,,,1,01,,50,174.77333933
5333189,1,4,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,174.77333933
5333190,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,50,348.1170778
5333190,1,4,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,348.1170778
5333191,1,1,1,80,50,1,4,,2,,,9,,2,,2,,,,,2,1,01,4,50,160.23310657
5333191,1,3,1,80,50,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,50,160.23310657
5333193,1,1,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,3,50,361.87968057
5333193,1,3,1,80,50,2,,,,2,,,.,,,2,,,,,,1,01,,50,361.87968057
5333194,1,3,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,257.39244793
5333195,1,4,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,01,,50,371.81254386
5333195,1,5,1,80,50,2,,,,2,,,.,,,2,,,,,,1,01,,50,371.81254386
5333196,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,01,2,50,339.76525142
5333197,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,201.11748965
5333197,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,201.11748965
5333198,1,2,1,80,73,1,4,,2,,,4,,2,,2,,,,,2,1,01,1.4,73,322.71008857
5333200,1,1,1,80,73,1,5,,2,,,10,,3,,2,,,,,3,1,01,1.4,73,231.65291494
5333200,1,2,1,80,73,2,,,,2,,,.,2,,2,,,,,2,1,01,,73,231.65291494
5333200,1,3,1,80,73,2,,,,2,,,.,,,2,,,,,,1,01,,73,231.65291494
5333201,1,2,1,80,73,1,4,,2,,,1,,2,,2,,,,,2,1,01,1.4,73,385.91709539
5333202,1,1,1,80,73,1,5,,2,,,10,,3,,2,,,,,3,1,01,1.3,73,247.21676101
5333203,1,1,1,80,73,1,4,,2,,,4,,2,,2,,,,,2,1,01,1.2,73,228.63851307
5333203,1,2,1,80,73,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,73,228.63851307
5333204,1,1,1,80,73,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,73,282.79767447
5333206,1,1,1,80,73,1,4,,2,,,4,,3,,2,,,,,3,1,01,1.4,73,246.4289698
5333206,1,2,1,80,73,1,4,,2,,,4,,2,,2,,,,,2,1,01,1.4,73,246.4289698
5333207,1,1,1,80,73,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,73,282.79767447
5333235,1,1,1,80,54,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,54,436.9581477
5333236,1,1,1,80,54,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,54,419.96569042
5333236,1,2,1,80,54,1,6,,2,,,8,,2,,2,,,,,2,1,01,4,54,419.96569042
5333237,1,1,1,80,54,1,1,,1,,1,9,,2,,2,,1,48,980657,2,1,01,1.3,54,419.4757464
5333237,1,2,1,80,54,1,8,,2,,,12,ESTA EN ESPERA QUE LO VUELVAN A LLAMAR,2,,2,,,,980657,2,1,01,1.1,54,419.4757464
5333238,1,4,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,178.77124307
5333238,1,5,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,178.77124307
5333239,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,17,186.81106599
5333239,1,2,1,80,17,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,17,186.81106599
5333241,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,194.08859805
5333241,1,3,1,80,17,2,,,,2,,,.,,,2,,,,,,1,01,,17,194.08859805
5333242,1,1,1,80,17,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,17,245.28692777
5333242,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,01,,17,245.28692777
5333242,1,4,1,80,17,1,2,,2,,,2,,2,,2,,,,,2,1,01,2,17,245.28692777
5333243,1,1,1,80,73,1,6,,2,,,9,,3,,2,,,,,3,1,01,4,73,282.79767447
5333245,1,1,1,80,73,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,73,246.4289698
5333245,1,2,1,80,73,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,73,246.4289698
5333249,1,1,1,80,73,1,9,PANDEMIA COVID 19,2,,,9,,2,,2,,,,,2,1,01,1.4,73,246.4289698
5333249,1,2,1,80,73,1,3,,2,,,4,,2,,2,,,,,2,1,01,4,73,246.4289698
5333250,1,3,1,80,73,2,,,,2,,,.,2,,2,,,,,2,1,01,,73,316.9671222
5333252,1,1,1,80,73,1,3,,2,,,4,,2,,2,,,,,2,1,01,4,73,329.3807006
5333252,1,2,1,80,73,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,73,329.3807006
5333253,1,1,1,80,73,1,5,,2,,,8,,3,,2,,,,,3,1,01,4,73,282.79767447
5333255,1,1,1,80,73,1,5,,2,,,8,,3,,2,,,,,3,1,01,4,73,240.68600343
5333255,1,2,1,80,73,1,3,,2,,,4,,2,,2,,,,,2,1,01,4,73,240.68600343
5333256,1,1,1,80,73,1,4,,2,,,9,,2,,2,,,,,2,1,01,4,73,284.38711664
5333257,1,1,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,05,1188.3785632
5333258,1,3,1,80,05,2,,,,2,,,.,,,2,,,,,,1,01,,05,1139.6169944
5333269,1,2,1,80,23,1,1,,2,,,1,,2,,2,,,,,2,1,01,1.3,23,181.69370566
5333270,1,4,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,01,,23,189.03752056
5333270,1,5,1,80,23,2,,,,2,,,.,,,2,,,,,,1,01,,23,189.03752056
5333271,1,2,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,01,,23,172.81320054
5333271,1,3,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,01,,23,172.81320054
5333271,1,4,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,01,,23,172.81320054
5333272,1,2,1,80,23,1,3,,2,,,9,,2,,2,,,,,2,1,01,2,23,191.05417927
