DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5332778,1,3,1,60,63,1,63,1,2,2,12,1,,,1,1,2,1,0,,2,,2,877803,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,48,,.,48,,,4,7,,1,,1,1,1,98,1,,,,,,,,,1,1,1,1,1,3,1,,2,,,,,,,,1,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,2,2,1,1,3,,45,47,1,01,1,4731,877803,63,190.32643806,
5332779,1,1,1,60,63,1,63,2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,250000,1,,1,,8,2,,,,,3,1,2,50,,.,50,,,1,1,,1,,1,1,2,17,1,,1,,,,,,,,2,2,1,2,18,1,,2,,,,,,,,9,14,,,2,,,,1,1,1,1,2,1,2,1,2,2,2,,1,1,2,2,2,2,2,1,3,,45,47,1,01,4,4761,250000,63,145.8197222,
5332780,1,1,1,60,63,1,63,2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,1200000,1,,3,,10,2,,,,,3,3,2,44,,.,44,,,1,7,,1,,2,,,,1,,,,,,,,,1,2,2,1,2,358,4,,2,,,,,,,,13,8,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,84,45,1,01,4,4520,1200000,63,99.069126021,
5332780,1,2,1,60,63,1,63,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,1500000,1,,3,,12,2,,,,,3,3,2,24,2,,24,,,1,1,,1,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,47,1,01,4,4771,1500000,63,99.069126021,
5332781,1,1,1,60,63,1,63,1,2,1,,1,,,1,1,2,1,4,,1,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,102854,2,1,33000,2,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,4,,,,,,,,,56,,.,56,,,3,7,,1,,1,1,1,10,1,,,,,,,,,1,1,1,1,8,12,1,,2,,,,,,,,3,11,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,33,47,1,01,1,4723,1200000,63,79.940424115,
5332781,1,4,1,60,63,1,63,2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,,1,,3,,10,2,,,,,3,1,2,48,,.,48,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,120,4,,2,,,,,,,,13,11,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,94,32,1,01,4,3290,,63,79.940424115,
5332782,1,1,1,60,63,1,63,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,300000,1,,3,,3,2,,,,,3,1,2,60,,.,60,,,1,1,,3,,2,,,,1,,,,,,,,,1,2,2,1,9,12,3,,2,,,,,,,,5,14,,,2,,,,1,1,1,1,1,2,2,1,2,2,2,,1,1,1,1,1,2,2,1,3,,41,47,1,01,4,4711,300000,63,74.445258756,
5332783,1,2,1,60,68,1,68,1,2,2,12,1,,,1,1,2,1,18,,1,,2,1100000,2,,,2,,2,,2,,2,,2,,,1,102854,1,2,,,2,,,2,,,2,,,1,1200000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,0,3,,9,7,,1,,1,1,1,9,1,1,,,,,,,,,1,1,1,4,60,1,,2,,,,,,,,8,11,15,,1,20,2,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,39,94,1,01,1,9499,1100000,68,612.56144108,
5332785,1,1,1,60,68,1,68,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,600000,1,,3,,6,2,,,,,3,3,2,48,,.,48,,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,60,4,,2,,,,,,,,2,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,02,43,1,01,4,4321,600000,68,740.64259238,
5332785,1,6,1,60,68,1,68,1,2,1,,1,,,1,1,2,1,24,,3,,2,877803,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,1,877803,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,6,,1,,1,1,1,2,1,1,,,,,,,,,2,1,1,0,1,1,,2,,,,,,,,1,2,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,99,38,1,01,1,3811,877803,68,740.64259238,
