DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5347403,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,932.79070211
5347404,1,2,1,80,2,1,3,,2,,,8,,2,,2,,1,48,980000,2,1,01,1.1,68,932.79070211
5348279,1,2,1,80,2,1,8,,2,,,1,,2,,2,,,,,2,1,01,1.3,41,1466.2256765
5348279,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,41,1466.2256765
5348279,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,41,1466.2256765
5348280,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,41,1090.6523402
5350490,1,1,1,80,2,1,5,,2,,,8,,3,,2,,,,,3,1,01,4,68,967.90384504
5350490,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,967.90384504
5350492,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,967.90384504
5350494,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,967.90384504
5350495,1,1,1,80,2,1,3,,2,,,8,,2,,2,,,,,2,1,01,4,68,967.90384504
5350495,1,2,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,68,967.90384504
5350498,1,2,1,80,2,1,7,,2,,,1,,2,,2,,1,40,908526,2,1,01,2,68,967.90384504
5350498,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,967.90384504
5350498,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,967.90384504
5350504,1,1,1,80,2,1,5,,2,,,10,,3,,2,,,,,3,1,01,4,68,1184.0488313
5350506,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,967.90384504
5350506,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,967.90384504
5350506,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,68,967.90384504
5350507,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,68,1128.4559608
5350507,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,68,1128.4559608
5350507,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,68,1128.4559608
5350509,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,967.90384504
5350510,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,4,68,967.90384504
5350510,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,68,967.90384504
5350708,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,41,901.8285266
5350709,1,2,1,80,2,2,,,,1,3,9,,2,,2,,,,,2,1,01,,41,1372.3205128
5350710,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,41,1756.6382064
5350710,1,3,1,80,2,1,2,,2,,,2,,2,,2,,,,,2,1,01,1.3,41,1756.6382064
5350940,1,2,1,80,2,1,3,,2,,,9,,2,,2,,2,,887000,2,1,01,4,41,931.66579506
5350940,1,3,1,80,2,2,,,,2,,,.,2,,2,,1,48,887000,2,1,01,,41,931.66579506
5350940,1,4,1,80,2,1,8,,2,,,9,,2,,2,,2,,887000,2,1,01,3,41,931.66579506
5350943,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,41,1861.5445832
5352479,1,1,1,80,2,1,9,PANDEMIA COVID 19,2,,,12,MIEDO AL CONTAGIO POR COVID 19,2,,2,,1,40,800000,2,1,01,1.2,15,831.35450656
5352479,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,831.35450656
5352479,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,831.35450656
5352480,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,831.35450656
5352481,1,1,1,80,2,1,3,,2,,,4,,2,,2,,,,,2,1,01,4,15,1608.8819684
5352481,1,2,1,80,2,1,9,AISLAMIENTO PREVENTIVO POR COVID 19,1,,1,1,,2,,2,,1,40,800000,2,1,01,1.4,15,1608.8819684
5352483,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,15,1017.0063245
5352488,1,1,1,80,2,1,7,,2,,,12,MIEDO AL CONTAGIO POR COVID 19,2,,2,,2,,600000,2,1,01,1.2,15,3741.0952795
5352488,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,2,15,3741.0952795
5352489,1,2,1,80,2,1,9,AISLAMIENTO PREVENTIVO POR COVID 19,2,,,9,,2,,2,,,,,2,1,01,1.4,15,831.35450656
5352489,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,831.35450656
5352489,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,831.35450656
5352496,1,1,1,80,2,1,5,,2,,,8,,2,,2,,,,,2,1,01,4,15,831.35450656
5352496,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,831.35450656
5352497,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,15,831.35450656
5352532,1,2,1,80,2,2,,,,2,,,.,2,,2,,2,,300000,2,1,01,,44,2102.9180885
5352534,1,2,1,80,2,1,3,,2,,,9,,2,,2,,2,,500000,2,1,01,2,44,2049.5972069
5352535,1,2,1,80,2,1,6,,2,,,9,,2,,2,,1,36,600000,2,1,01,4,44,2040.2935159
5352536,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,44,2318.3443675
5352538,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,1932.3200277
5352538,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,44,1932.3200277
5352538,1,6,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,44,1932.3200277
5352539,1,1,1,80,2,2,,,,1,1,1,,2,,2,,1,60,350000,2,1,01,,44,1280.5059104
5352540,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,1865.1014587
5352540,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,44,1865.1014587
5352541,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,1696.0116838
5352541,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,44,1696.0116838
5352552,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,3,15,3741.0952795
5352553,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,01,4,15,831.35450656
5352554,1,2,1,80,2,1,9,CUARENTENA POR COVID 19,2,,,1,,2,,2,,,,,2,1,01,1.4,15,3741.0952795
5352554,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,3741.0952795
5352554,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,3741.0952795
5352555,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,831.35450656
5352555,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,15,831.35450656
5352578,1,2,1,80,2,1,9,CAMBIO DE RESIDENCIA,2,,,1,,2,,2,,1,40,300000,2,1,01,3,44,2538.4087143
5352581,1,3,1,80,2,2,,,,2,,,.,2,,2,,1,24,300000,2,1,01,,44,3471.9216868
5352581,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,3471.9216868
5352581,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,3471.9216868
5352581,2,2,2,80,2,2,,,,2,,,.,2,,2,,2,,400000,2,1,01,,44,3471.9216868
5352582,1,1,1,80,2,1,9,POR LA PANDEMIA NACIONAL,2,,,1,,2,,2,,,,,2,1,01,1.4,44,3775.8635048
5352582,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,3775.8635048
5352585,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,44,1513.9684934
5352585,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,1513.9684934
5352585,1,3,1,80,2,1,9,POR LA PANDEMIA NACIONAL,2,,,1,,2,,2,,1,30,500000,2,1,01,1.4,44,1513.9684934
5352585,1,6,1,80,2,1,9,CAMBIO DE DOMICILIO,2,,,9,,2,,2,,,,,2,1,01,3,44,1513.9684934
5352589,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,2810.3400828
5352589,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,2810.3400828
5352589,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,44,2810.3400828
5352589,1,6,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,44,2810.3400828
5352590,1,2,1,80,2,1,3,,2,,,9,,2,,2,,2,,400000,2,1,01,3,44,3544.1489914
5352592,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,44,4170.4218697
5352594,1,1,1,80,2,1,9,POR LA EDAD,2,,,8,,2,,2,,,,,2,1,01,4,44,2735.897956
5352601,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,01,3,15,974.0832533
5352603,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,01,3,15,796.26692861
