DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,ESC,MES,DPTO,fex_c_2011
5347685,1,4,1,10,4,1,5,2007,13,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,4,7,,,68,7,01,68,648.91606963
5347686,1,1,1,10,1,1,2,1973,47,1,6,,6,3,,3,,,,1,,,1,,1,,,,,,,2,1,,,1,4,,2,1,2,,6,8,5,,68,19,01,68,694.01416875
5347687,1,1,1,10,1,1,7,1987,33,1,6,,6,3,,1,2,,,,,,,,,,,,,1,,2,1,,,1,1,228000,2,1,2,,6,8,5,,68,19,01,68,518.12757429
5347687,1,2,1,10,1,2,8,1963,57,5,6,,5,3,,2,,,,,,,,,,,,,,1,,,1,,,1,2,300000,2,1,2,,6,3,2,2,68,14,01,68,518.12757429
5347687,1,3,1,10,1,2,7,1990,30,5,6,,6,3,,1,2,,,,,,,,,,,,,1,,,1,,,1,1,120000,2,1,2,,6,7,5,,68,18,01,68,518.12757429
5347687,1,4,1,10,1,2,5,2003,17,3,6,,6,3,,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,2,6,0,2,2,68,11,01,68,518.12757429
5347688,1,1,1,10,1,2,7,1981,39,1,6,,6,2,,1,3,,,,,,,,,,,,,1,,2,1,,,1,1,35200,2,1,2,,5,11,2,,68,11,01,68,422.34325311
5347688,1,2,1,10,1,2,4,2001,19,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,5,11,2,,68,11,01,68,422.34325311
5347688,1,3,1,10,3,2,10,1950,70,5,6,,4,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,68,5,01,68,422.34325311
5347689,1,1,1,10,1,1,4,1972,48,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,3,350000,2,1,2,,6,11,5,,68,22,01,68,601.27110012
5347689,1,2,1,10,2,2,8,1978,42,2,6,,3,2,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,6,3,3,,68,14,01,68,601.27110012
5347689,1,3,1,10,3,1,9,2001,19,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,6,2,2,2,68,13,01,68,601.27110012
5347689,1,4,1,10,4,2,10,2008,12,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,2,4,6,,,68,6,01,68,601.27110012
5347690,1,1,1,10,1,1,9,1941,79,1,6,,2,3,,3,,1,2,,,,,,,,,,,1,,1,1,,,1,2,138000,2,1,2,,3,2,,,76,2,01,76,657.48559459
5347690,1,2,1,10,3,2,6,1946,74,2,6,,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,2,2,,1,0,,,76,0,01,76,657.48559459
5347690,1,3,1,10,3,2,3,1974,46,3,5,,6,1,1,1,2,,,,,,1,1,,1,,1,,,,,1,,,3,,,2,1,2,,4,9,,,76,9,01,76,657.48559459
5347691,1,1,1,10,1,2,2,1943,77,1,6,,3,3,,3,,1,2,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,3,,,76,3,01,76,809.30288586
5347691,1,2,1,10,1,1,9,1950,70,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,4,6,,,76,6,01,76,809.30288586
5347692,1,1,1,10,1,2,1,1965,56,1,6,,4,3,,3,,,,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,4,9,,,76,9,01,76,927.22438709
5347692,1,2,1,10,2,2,6,1992,28,3,6,,6,2,,1,1,,,,,,,1,,,1,,,,,,1,,,3,,,2,1,1,1,6,5,2,2,76,16,01,76,927.22438709
5347692,1,3,1,10,2,1,2,2005,15,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,5,10,1,,76,10,01,76,927.22438709
5347693,1,1,1,10,1,2,12,1945,75,1,6,,5,3,,3,,,,,1,1,,,,,,,,,,1,1,,,1,5,,2,1,2,,3,3,,,76,3,01,76,645.0092515
5347693,1,2,1,10,1,1,6,1973,47,3,6,,2,3,,1,1,1,3,,,1,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,76,11,01,76,645.0092515
5347693,1,3,1,10,3,2,5,1983,37,5,6,,2,3,,3,,1,2,,1,1,,,,,,,,,,,1,,,3,,,1,1,2,,5,10,1,,76,10,01,76,645.0092515
5347693,1,4,1,10,4,2,8,1990,30,4,6,,6,3,,2,,,,,,,,,,,,,,1,,,1,,,1,5,,2,2,2,,1,0,,,76,0,01,76,645.0092515
5347694,1,1,1,10,1,2,10,1995,25,1,5,,1,3,,2,,1,2,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,4,8,,,76,8,01,76,1633.0686794
5347694,1,2,1,10,1,1,,,26,2,6,,1,2,,2,,1,1,,,1,1,,,1,,,,,,,1,,,3,,,2,1,2,,5,11,2,,76,11,01,76,1633.0686794
5347694,1,3,1,10,1,2,5,2011,9,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,76,2,01,76,1633.0686794
5347694,1,4,1,10,1,1,9,2015,5,3,6,,,3,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,76,0,01,76,1633.0686794
5347694,1,5,1,10,1,2,6,2018,2,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,76,,01,76,1633.0686794
5347694,1,6,1,10,1,1,3,1999,21,5,1,999_01,6,3,,2,,,,,,,,,,,,,,1,,,2,2,,,,,1,1,2,,3,5,,,76,5,01,76,1633.0686794
5347695,1,1,1,10,1,1,2,1942,78,1,6,,6,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,2,,,76,2,01,76,932.22191901
5347696,1,1,1,10,1,2,9,1987,33,1,5,,4,2,,3,,,,,1,,,,,,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,76,3,01,76,1284.8720595
5347696,1,2,1,10,1,2,10,2018,2,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,76,,01,76,1284.8720595
5347696,1,3,1,10,1,2,9,2020,0,3,5,,,2,,1,1,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,76,,01,76,1284.8720595
5347697,1,1,1,10,1,1,5,1966,54,1,6,,2,2,,2,,2,,,,1,1,,,,1,,,,,1,1,,,1,1,40000,2,1,2,,4,6,,,76,6,01,76,1206.9464025
5347697,1,2,1,10,1,1,7,2004,16,3,6,,6,1,1,2,,,,,,,,,1,,1,,,,,,1,,,1,5,,2,1,2,,5,11,2,,76,11,01,76,1206.9464025
5347698,1,1,1,10,1,2,5,1972,48,1,5,,1,2,,3,,1,2,,,1,1,,,,,1,,,,1,2,1,24,,,,1,1,2,,4,9,,,76,9,01,76,1050.1434202
5347698,1,2,1,10,1,1,9,2001,19,2,5,,1,2,,2,,1,1,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,5,,,76,5,01,76,1050.1434202
5347699,1,1,1,10,1,2,2,1946,74,1,6,,4,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,3,2,,,76,2,01,76,943.65814299
5347700,1,1,1,10,1,2,3,1969,51,1,6,,4,3,,2,,,,,1,1,1,,,,,1,,,,2,1,,,3,,,2,1,2,,5,11,2,,76,11,01,76,914.75988488
5347701,1,1,1,10,1,2,6,1963,57,1,6,,4,3,,2,,,,,1,1,1,1,,1,,,,,,2,1,,,3,,,2,1,2,,3,5,,,76,5,01,76,943.65814299
5347702,1,1,1,10,1,1,8,2002,18,1,6,,6,2,,2,,,,,,,,,,,1,,,,,2,1,,,3,,,2,1,1,1,5,10,1,,76,10,01,76,1201.9607115
5347703,1,1,1,10,1,1,2,1972,48,1,6,,4,2,,2,,,,,,,1,,,1,,1,,,,1,1,,,3,,,2,1,2,,4,8,,,76,8,01,76,1197.6142127
5347703,1,2,1,10,2,2,8,2001,19,3,6,,6,1,1,2,,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,2,,5,11,2,,76,11,01,76,1197.6142127
5347704,1,1,1,10,1,1,11,1977,43,1,6,,3,2,,2,,2,,,,,,,,,,,,1,,2,1,,,2,2,120000,2,1,2,,6,2,3,,76,13,01,76,1071.5628672
5347723,1,1,1,10,1,2,3,1958,62,1,6,,4,3,,3,,,,,,,,,,,,1,,,,2,1,,,1,5,,2,1,2,,3,3,,,05,3,01,05,1662.0474485
5347723,1,2,1,10,2,2,8,1980,40,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,1,46800,2,1,2,,6,1,3,,05,12,01,05,1662.0474485
5347723,1,3,1,10,3,1,2,1996,24,4,6,,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,1,1,35112,2,1,1,1,6,3,3,,05,14,01,05,1662.0474485
5347723,1,4,1,10,4,1,2,2006,14,4,6,,6,2,,1,2,,,,,,,,,,1,1,,,,,1,,,2,5,,2,1,1,1,4,8,,,05,8,01,05,1662.0474485
5347724,1,1,1,10,1,1,4,1997,23,1,6,,2,2,,2,,1,2,1,,1,,,,1,,,,,,1,1,,,3,,,2,1,2,,5,10,1,,05,10,01,05,2069.106662
5347724,1,2,1,10,2,2,6,1998,22,2,6,,2,2,,2,,1,1,,,1,,,,1,,1,,,,,1,,,1,5,,2,1,2,,5,11,2,,05,11,01,05,2069.106662
5347725,1,1,1,10,1,1,4,1985,35,1,6,,3,3,,2,,1,2,,,1,1,,,,,,,,,2,1,,,1,1,80000,2,1,2,,6,5,4,,05,16,01,05,1527.2942092
5347725,1,2,1,10,2,2,1,1990,31,2,6,,3,2,,2,,1,1,,,,,,,,,1,,,,,1,,,1,5,,2,1,2,,6,2,3,,05,13,01,05,1527.2942092
5347725,1,3,1,10,2,1,10,2015,5,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,1,2,0,,,05,0,01,05,1527.2942092
5347726,1,1,1,10,1,2,12,1976,44,1,6,,6,2,,2,,,,,,1,,,,,,1,,,,2,1,,,1,5,,2,1,2,,6,7,5,,05,18,01,05,1718.1452957
5347726,1,2,1,10,2,2,10,2009,11,3,6,,6,2,,1,1,,,,,,,,,,1,1,,,,,1,,,1,5,,2,1,1,1,4,0,,,05,5,01,05,1718.1452957
5347726,1,3,1,10,1,1,9,2013,7,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,1,,,05,1,01,05,1718.1452957
5347734,1,1,1,10,1,2,2,1944,76,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,3,,,05,3,01,05,1278.4535833
5347734,1,2,1,10,2,1,11,1977,43,3,6,,6,3,,1,1,,,,,,1,,,,,,,,,,1,,,1,1,35112,2,1,2,,5,11,2,,05,11,01,05,1278.4535833
5347735,1,1,1,10,1,1,11,1976,44,1,6,,6,3,,3,,,,1,,,1,1,1,1,,,,,,2,1,,,2,2,100000,2,1,2,,5,11,2,,05,11,01,05,1367.760448
5347737,1,1,1,10,1,1,10,1919,101,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,3,160000,2,1,2,,3,3,,,05,3,01,05,1235.5699652
5347737,1,2,1,10,2,2,2,1929,91,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,05,5,01,05,1235.5699652
5347738,1,1,1,10,1,2,10,1990,30,1,6,,6,3,,3,,,,,,1,1,,1,1,,,,,,2,1,,,1,1,35112,2,1,2,,6,3,3,,05,14,01,05,1178.7533598
5347740,1,1,1,10,1,1,7,1987,33,1,6,,3,2,,2,,1,2,,,1,1,,,,,,,,,2,1,,,1,1,35112,2,1,2,,4,6,,,05,6,01,05,1268.8283798
5347740,1,2,1,10,2,2,6,1992,28,2,6,,3,2,,2,,1,1,,,,1,1,1,,1,1,,,,,1,,,1,5,,2,1,1,1,6,3,3,,05,14,01,05,1268.8283798
5347741,1,1,1,10,1,1,10,1987,33,1,6,,2,2,,2,,1,2,,,1,1,,,,,,,,,2,1,,,1,1,35112,2,1,2,,3,3,,,05,3,01,05,1040.9869569
5347741,1,2,1,10,2,2,3,1986,34,2,6,,2,2,,2,,1,1,,,,1,1,1,1,,,,,,,1,,,1,1,35112,2,1,2,,5,10,1,,05,10,01,05,1040.9869569
5347741,1,3,1,10,3,2,3,2004,16,3,6,,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,5,10,1,,05,10,01,05,1040.9869569
5347741,1,4,1,10,4,2,11,2006,14,3,6,,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,8,,,05,8,01,05,1040.9869569
5347746,1,1,1,10,1,2,6,1947,73,1,6,,5,3,,3,,,,,,,,,,,,1,,,,1,1,,,3,,,2,1,2,,4,6,,,05,6,01,05,1278.4535833
5347746,1,2,1,10,2,1,7,1976,44,3,6,,6,3,,1,1,,,,,,,1,,,,1,,,,,2,1,2,,,,2,1,2,,3,5,,,05,5,01,05,1278.4535833
5347751,1,1,1,10,1,2,8,1982,38,1,6,,5,3,,3,,,,,,,,,,,,1,,,,2,1,,,1,1,32000,2,1,2,,6,2,3,,05,13,01,05,2433.0947389
5347751,1,2,1,10,2,2,3,1998,22,3,6,,6,3,,1,1,,,,,,,,,,,1,,,,,1,,,1,5,,2,1,1,1,6,0,2,2,05,11,01,05,2433.0947389
5347751,1,3,1,10,2,2,8,2015,5,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,2,,1,0,,,05,0,01,05,2433.0947389
5347751,1,4,1,10,4,1,7,2006,14,3,6,,6,3,,1,1,,,1,,,,,,,,,,,,,1,,,1,2,70000,2,1,1,1,4,0,,,05,5,01,05,2433.0947389
5347752,1,1,1,10,1,2,9,1967,53,1,6,,5,3,,3,,,,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,6,1,2,2,05,12,01,05,2646.5969554
5347752,1,2,1,10,2,2,11,1997,23,3,6,,6,3,,1,1,,,,,,,,,1,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,05,11,01,05,2646.5969554
5347752,1,3,1,10,2,1,8,2017,3,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,2,0,,,05,0,01,05,2646.5969554
5347755,1,1,1,10,1,1,8,1924,96,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,1,1,,,1,2,70000,2,1,2,,3,5,,,05,5,01,05,1064.2431172
5347755,1,2,1,10,2,2,3,1929,91,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,3,,,05,3,01,05,1064.2431172
5347755,1,3,1,10,3,2,3,1959,61,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,4,6,,,05,6,01,05,1064.2431172
5347755,1,4,1,10,4,1,11,1947,73,3,6,,6,1,1,1,2,,,,,,,1,,,,,,,,,1,,,1,5,,2,1,2,,3,5,,,05,5,01,05,1064.2431172
5347755,1,5,1,10,5,1,1,2005,16,9,6,,6,2,,2,,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,0,,,05,5,01,05,1064.2431172
5347756,1,1,1,10,1,2,4,1995,25,1,6,,6,2,,2,,,,,,,,,,,1,,,,,2,1,,,1,1,88000,2,1,1,1,6,7,3,,05,18,01,05,1178.7533598
5347757,1,1,1,10,1,2,6,1976,44,1,6,,6,3,,2,,,,,,,,,,1,,,,,,2,2,1,9,,,,2,1,2,,5,11,2,,17,11,01,17,190.79948362
5347757,1,2,1,10,2,1,5,1997,23,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,1,2,2,17,12,01,17,190.79948362
5347758,1,1,1,10,1,2,4,1946,74,1,6,,2,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,105336,2,1,2,,3,3,,,17,3,01,17,186.81106599
5347758,1,2,1,10,2,1,2,1956,64,2,6,,2,3,,3,,1,1,,,,,1,,,,,,,,,1,,,3,,,2,1,2,,4,8,,,17,8,01,17,186.81106599
