DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5345416,1,3,1,60,2,41,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,21,2,,21,,,2,1,,3,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,47,1,01,6,4711,,41,597.85229061,
5345417,1,2,1,60,2,41,2,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,2,0,1,5400000,3,,12,2,,,,,3,6,2,48,,.,48,,,1,7,,1,,1,1,2,2,1,1,,,,,,,,,1,2,1,0,24,4,,2,,,,,,,,2,11,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,1,1,1,3,,45,47,1,01,4,4759,0,41,625.69740015,
5345417,1,3,1,60,2,41,2,,,,,,,,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,200000,1,3000000,2,,12,2,,,,,2,3,2,40,,.,0,6,,1,8,,3,,2,,,,1,,,,,,1,,,,2,2,2,,,,,2,,,,,,,,,11,20,2,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,10,BUSCANDO OTRO TRABAJO,62,01,1,01,4,0123,200000,41,625.69740015,
5345418,1,1,1,60,2,41,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,0,1,0,2,,4,1,1,0,1,0,2,1,2,14,2,,14,,,2,8,,2,,2,,,,1,,,,,,1,,,,2,2,1,8,18,4,,2,,,,,,,,2,3,1,,1,20,2,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,61,01,1,01,4,0150,0,41,922.5841291,
5345418,1,2,1,60,2,41,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,0,1,0,2,,4,1,1,0,1,0,2,5,2,14,2,,14,,,2,8,,2,,2,,,,1,,,,,,1,,,,2,2,1,8,18,4,,2,,,,,,,,2,3,1,,1,10,2,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,61,01,1,01,4,0150,0,41,922.5841291,
5346131,1,1,1,60,2,68,2,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,252000,1,2400000,3,,12,2,,,,,2,4,2,40,,.,40,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,76,1,,2,,,,,,,,9,3,15,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,62,01,1,01,4,0141,252000,68,4355.5673027,
5346132,1,1,1,60,2,68,2,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,500000,1,98,3,,12,1,2,2,0,0,2,3,2,48,,.,48,,,2,8,,4,,2,,,,1,,,,,,,,,1,2,2,1,0,280,5,,2,,,,,,,,11,3,10,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,2,,62,01,1,01,5,0113,500000,68,1184.0488313,
5346133,1,1,1,60,2,68,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,10000000,3,,12,2,,,,,2,1,2,40,,.,32,6,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,120,4,,2,,,,,,,,11,3,20,1,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,5,,62,01,1,01,4,0161,800000,68,967.90384504,
5346134,1,1,1,60,2,15,1,1,,,1,,,2,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1500000,1,18000000,3,,12,2,,,,,1,1,1,40,,.,40,,,6,4,,1,,1,1,2,12,1,1,,,,,,,,,1,2,1,0,120,1,,2,,,,,,,,3,8,120,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,2,,98,47,1,01,4,4721,1500000,68,1707.6374648,
5346135,1,1,1,60,2,68,2,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,2000000,1,20000000,3,,12,1,4,4,0,0,2,3,2,36,2,,36,,,3,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,1,68,16,4,,0,1,8,,3,15,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,2,,62,01,1,01,5,0123,2000000,68,967.90384504,
5346136,1,1,1,60,2,68,2,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,500000,1,60000000,3,,12,2,,,,,3,3,2,36,2,,36,,,1,7,,4,,2,,,,1,,,,,,,,,1,2,2,1,24,122,3,,2,,,,,,,,2,3,3,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,2,,41,47,1,01,4,4711,500000,68,967.90384504,
5346137,1,1,1,60,2,68,2,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,400000,1,5400000,3,,12,2,,,,,3,3,2,30,2,,20,6,,1,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,120,4,,2,,,,,,,,1,3,2,1,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,45,47,1,01,4,4724,400000,68,967.90384504,
5346137,1,2,1,60,2,68,2,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,240000,1,2300000,3,,12,2,,,,,2,5,2,24,2,,24,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,16,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,62,01,1,01,4,0161,240000,68,967.90384504,
5346139,1,1,1,60,2,68,2,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,1500000,1,15000000,3,,12,1,4,4,0,0,2,3,2,48,,.,48,,,3,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,16,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,62,01,1,01,5,0123,1500000,68,967.90384504,
5346147,1,1,1,60,2,68,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,200000,1,2800000,3,,12,2,,,,,3,5,2,40,,.,40,,,1,1,,2,,2,,,,1,,,1,,,,,,,2,2,1,0,120,4,,2,,,,,,,,6,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,41,47,1,01,4,4711,200000,68,967.90384504,
