PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20220415;04;2022;7041007;1;1;1;60;23;1;153.41010664;23;1;8610;1;2;1;;1;;1;;1;2;1;1;196;1;;1;1;1;1;2;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;1;117172;2;2;;;2;;;2;;;2;;;1;908526;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;10;7;;1;;1;2;1;16;1;2;1;6;60;4;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;12;25;1;1;1000000;86;8610;9112
20220415;04;2022;7041008;1;1;1;60;23;1;342.20185106;23;1;9700;1;1;;;1;;1;;2;2;2;2;3;3;;2;2;2;2;1;2;600000;2;;2;;;1;90000;2;;2;;2;;2;;;1;60000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;1;2;;2;;2;;;;2;2;1;0;24;3;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;2;2;2;2;13;20;3;1;690000;97;9700;9111
20220415;04;2022;7041008;1;2;1;60;23;1;342.20185106;23;1;3110;1;1;;;1;;1;;2;2;2;2;24;1;;2;2;2;2;1;2;900000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;72;;;72;;;;2;7;;2;;2;;;;2;2;1;0;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;2;11;15;3;1;900000;31;3110;7132
20220415;04;2022;7041009;1;1;1;60;23;1;236.90897381;23;1;9412;1;2;2;6;1;;1;;2;2;2;2;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;1;;1800000;1800000;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1300000;1;;3;;1;1;12;48;;;48;;;;10;7;;1;;1;1;2;5;1;2;1;3;6;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;15;2;1;1300000;84;8413;2635
20220415;04;2022;7041009;1;2;1;60;23;1;236.90897381;23;1;8423;1;2;1;;1;;1;;1;1;1;1;228;2;;1;1;1;1;5;1;2200000;2;;2;;;2;;2;;2;;2;;2;;;2;;;1;80000;2;2;;;2;;;2;;;1;1100000;1;2100000;1;1100000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;;10;4;;1;;1;3;1;19;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;10;1;1;2200000;84;8423;5412
20220415;04;2022;7041010;1;1;1;60;23;1;88.665128138;23;1;4111;2;;;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;3;1;6;;;;1200000;1200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1000000;1;;3;;1;1;10;44;;;44;;;;1;2;;2;;2;;;;2;2;1;2;4;5;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;13;20;2;1;1000000;41;4111;7112
20220415;04;2022;7041010;1;3;1;60;23;1;88.665128138;23;1;4542;1;1;;;1;;1;;2;2;2;2;6;1;;2;2;2;2;1;2;400000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;40;;;40;;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;13;20;3;1;400000;45;4542;7231
20220415;04;2022;7041011;1;1;1;60;23;1;174.51352316;23;1;1410;2;;;;;;;;;;;;240;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;300000;300000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;250000;1;;1;;1;2;12;30;1;;30;;;;1;1;;2;;2;;;;2;2;1;36;48;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;2;1;14;;2;1;250000;14;1410;7531
20220415;04;2022;7041011;1;2;1;60;23;1;174.51352316;23;1;4711;1;2;1;;1;;1;;2;2;1;1;160;1;;1;1;1;1;2;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;1;117172;2;1;80000;2;2;;;2;;;2;;;1;908526;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;10;7;;1;;1;1;1;14;1;2;1;0;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;10;1;1;1000000;47;4711;5414
20220415;04;2022;7041012;1;1;1;60;23;1;322.55042712;23;1;4210;1;2;1;;1;;1;;2;2;1;1;9;1;;1;1;1;1;2;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;1;117200;2;1;80000;2;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;72;;;72;;;;10;9;;1;;1;1;1;3;1;1;1;0;36;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;15;2;1;1000000;42;4210;3123
20220415;04;2022;7041013;1;1;1;60;23;1;250.43619128;23;1;1313;1;1;;;1;;1;;2;2;2;2;2;1;;2;2;2;2;1;2;350000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;30;2;;30;;;;2;2;;2;;2;;;;2;2;1;5;12;1;;3;;1;20;3;200000;1;2;2;;;;2;;;;;;;;;;;;2;1;1;2;1;1;13;10;8;1;550000;13;1313;7533
20220415;04;2022;7041014;1;1;1;60;23;1;346.45007589;23;1;1690;2;;;;;;;;;;;;480;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;3;1;6;;;;1000000;1000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;800000;1;;1;;1;2;12;50;;;50;;;;2;3;;1;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;1;2;2;1;14;;8;1;800000;16;1690;7351
20220415;04;2022;7041016;1;1;1;60;23;1;415.27074744;23;1;4773;1;1;;;1;;1;;2;2;2;2;144;1;;1;1;1;2;1;2;1500000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;;3;7;;2;;2;;;;2;2;1;5;180;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;15;3;1;1500000;47;4773;5223
20220415;04;2022;7041018;1;2;1;60;23;1;184.12268463;23;1;4711;1;1;;;1;;1;;2;2;2;2;6;1;;1;1;2;1;1;2;1000000;2;;2;;;1;60000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;72;;;72;;;;3;7;;5;;3;;;;2;2;1;0;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;6;3;1;1060000;47;4711;5223
20220415;04;2022;7041018;1;5;1;60;23;1;184.12268463;23;1;5530;1;1;;;1;;1;;2;2;2;2;24;1;;1;1;2;1;1;2;900000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;3;7;;4;;2;;;;2;2;1;0;24;1;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;6;2;1;900000;55;5530;9112
20220415;04;2022;7041018;1;6;1;60;23;1;184.12268463;23;1;3830;2;;;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;2;0;2;2;2;2;6;;;;1500000;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1500000;1;;3;;3;2;12;72;;;72;;;;2;6;;5;;2;;;;2;2;1;0;12;4;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;3;1;1500000;38;3830;9612
20220415;04;2022;7041021;1;1;1;60;23;1;168.06955298;23;1;8891;1;2;2;12;2;4;2;9499;2;2;1;1;72;1;;1;1;1;1;2;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;1;117172;2;1;80000;2;2;;;2;;;2;;;1;908526;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;;9;1;;1;;1;1;1;7;1;1;1;2;120;4;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;14;;1;1;1000000;88;8891;5311
20220415;04;2022;7041021;1;2;1;60;23;1;168.06955298;23;1;2100;1;2;1;;1;;1;;1;2;1;1;24;1;;1;1;1;1;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;1;117172;2;2;;;2;;;2;;;2;;;1;908526;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;9;7;;1;;1;1;1;2;1;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;20;1;1;1000000;21;2100;4321
20220415;04;2022;7041023;1;1;1;60;23;1;195.43288465;23;1;4210;1;2;1;;1;;1;;1;2;1;1;60;1;;1;1;1;1;2;2;1800000;2;;2;;;2;;2;;2;;2;;2;;;1;117172;2;1;160000;2;2;;;2;;;2;;;1;1700000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;9;9;;1;;1;2;1;8;1;2;1;6;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;30;1;1;1800000;42;4210;3123
20220415;04;2022;7041026;1;1;1;60;23;1;492.1727377;23;1;8610;1;2;1;;1;;1;;1;2;1;1;96;1;;1;1;1;1;2;2;3000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;2800000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;;10;7;;1;;1;1;1;8;1;2;1;3;60;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;8;25;1;1;3000000;86;8610;2211
