DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6360;P6360S1;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5585977;1;2;1;60;05;1;;;5;1;1;;;1;;1;2;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;6;;;;;2;17000;1;;3;;1;2;12;50;;.;40;6;;2;2;1;;3;;2;;;;;;;;;;;;1;2;2;1;1;11;1;;5;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;2;1;2;2;2;1;1;14;;3;;1;1;94;32;1;10;4;3290;17000;05;2458.0454736;
5585977;1;3;1;60;05;1;;;5;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;100000;1;;3;;1;1;5;18;1;;18;;;;1;5;;1;;2;;;;;;;;;;;;1;2;2;1;5;4;1;;13;2;;;;;;;;1;30;1;1;1;1;1;2;2;2;2;2;2;2;;1;1;1;2;2;2;2;1;3;2;3;;1;1;45;47;1;10;4;4799;100000;05;2458.0454736;
5585977;1;6;1;60;05;1;;;5;1;2;1;;1;;1;1;2;1;120;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106000;1;2;;;2;;;2;;;2;;;1;908526;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;66;;.;66;;;;6;7;;1;;1;1;1;10;1;;;;;;;;;1;1;1;0;60;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;90;5;;1;;95;10;1;10;1;1081;908526;05;2458.0454736;
5585982;1;1;1;60;05;1;;;5;1;2;1;;2;4;1;1;2;1;12;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;105000;2;2;;;2;;;2;;;1;650000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;4;1;;;;;;;;;1;1;1;0;18;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;2;40;8;;1;;55;68;1;10;1;6820;908526;05;2022.5125451;8121
5585982;1;2;1;60;05;1;;;5;1;2;1;;1;;1;1;2;1;36;;2;;2;405000;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;105000;2;2;;;2;;;2;;;1;450000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;24;2;;24;;;;6;7;;1;;1;1;1;6;1;;;;;;;;;1;1;1;1;24;1;;11;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;60;3;;1;;55;06;1;10;1;0610;405000;05;2022.5125451;
5585982;1;6;1;60;05;1;;;5;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;6;;;;;3;500000;1;;3;;3;2;12;50;;.;50;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;60;3;;1;;45;38;1;10;4;3830;500000;05;2022.5125451;
5585982;1;7;1;60;05;1;;;5;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.;;;;;;;;;.;;;12;50;;.;50;;;;2;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;60;3;;1;;45;38;1;10;6;3830;;05;2022.5125451;
5585982;1;8;1;60;05;1;;;5;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;900000;1;;3;;8;2;12;20;2;;20;;;;1;6;;3;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;40;3;;1;;59;96;1;10;4;9609;900000;05;2022.5125451;
5585982;1;9;1;60;05;1;;;5;2;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;2;;;;;3;200000;1;;1;;1;2;10;30;1;;30;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;10;12;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;15;3;;1;;97;52;1;10;4;5224;200000;05;2022.5125451;
5585985;1;1;1;60;05;1;;;5;1;2;2;12;1;;1;1;2;1;72;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;76000;2;2;;;2;;;2;;;1;840000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;6;7;;1;;1;2;1;6;1;;;;;;;;;1;1;1;0;109;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;8;;1;;55;94;1;10;1;9491;908526;05;3644.8124051;
