PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250731;07;2025;8283221;1;2;1;70;;1;325.88923988;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283221;1;3;1;70;;1;325.88923988;66;1;;;;;;;;;1;;13;5;2;1;3;2;2;;2;;.;5223;47;4771
20250731;07;2025;8283221;1;4;1;70;;1;325.88923988;66;;1;24;1;;;;40;1200000;1;;6;5;8;1;2;2;2;;2;;9313;9313;41;4111
20250731;07;2025;8283221;1;5;1;70;;1;325.88923988;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283223;1;1;1;70;;1;368.83022215;66;1;;;;;;;;;1;;136;5;3;1;8;2;2;;2;;.;8153;14;1410
20250731;07;2025;8283223;1;4;1;70;;1;368.83022215;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283225;1;1;1;70;;1;370.00753429;66;1;;;;;;;;;1;;120;1;5;4;1;2;3;;2;;.;7522;31;3110
20250731;07;2025;8283225;1;2;1;70;;1;370.00753429;66;1;;;;;;;;;1;;132;0;3;1;7;2;2;;2;;.;3119;14;1410
20250731;07;2025;8283225;1;4;1;70;;1;370.00753429;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283225;1;5;1;70;;1;370.00753429;66;;1;6;1;;;;48;1400000;1;;2;0;6;1;5;2;2;;2;;5131;5131;56;5611
20250731;07;2025;8283227;1;2;1;70;;1;509.87077106;66;1;;;;;;;;;1;;39;5;3;1;5;2;2;;2;;.;8153;14;1410
20250731;07;2025;8283227;1;3;1;70;;1;509.87077106;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283227;1;4;1;70;;1;509.87077106;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283231;1;3;1;70;;1;458.02479605;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283233;1;2;1;70;;1;403.71539391;66;1;;;;;;;;;1;;12;5;3;1;10;2;2;;2;;.;8153;14;1410
20250731;07;2025;8283235;1;1;1;70;;1;211.36475436;66;1;;;;;;;;;1;;59;5;4;4;1;2;2;;2;;.;8321;49;4923
20250731;07;2025;8283237;1;1;1;70;;1;616.93963533;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283237;1;4;1;70;;1;616.93963533;66;;1;12;4;;;;30;800000;1;;3;5;8;4;1;2;2;;2;;7131;7131;43;4330
20250731;07;2025;8283239;1;2;1;70;;1;224.60008592;66;1;;;;;;;;;1;;144;5;4;7;4;2;2;;2;;.;9211;01;0123
20250731;07;2025;8283239;1;3;1;70;;1;224.60008592;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283243;1;1;1;70;;1;211.36475436;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283243;1;2;1;70;;1;211.36475436;66;1;;;;;;;;;1;;81;5;5;7;3;2;3;;2;;.;9211;01;0123
20250731;07;2025;8283245;1;2;1;70;;1;341.33500537;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283245;1;3;1;70;;1;341.33500537;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250731;07;2025;8283249;1;2;1;70;;1;317.52052249;66;;1;6;4;;;;30;600000;1;;1;2;8;4;1;2;2;;2;;9111;9111;81;8121
20250731;07;2025;8283251;1;2;1;70;;1;285.51665472;66;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
