PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4005;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S8A1;P5222S9;P5222S10;P5222S11;P6008
20250105;01;2025;8086906;1;1;01;;1;2431.3069539;13;2;1;2;1;1;1;2;1;3;1;1;2;1;2;1;1;1;3;3;4;;;;200000;;;;;;;;;;;;;1;4
20250105;01;2025;8086907;1;1;01;;2;348.08977177;18;1;5;2;1;9;2;2;2;;2;1;3;2;2;1;4;2;3;4;1;;;25000000;200000;;;1;;;;;;;;;;1;3
20250105;01;2025;8086908;1;1;01;;2;705.50086744;18;1;5;3;1;9;2;2;2;;2;1;3;1;2;1;4;2;1;5;4;;;;150000;;;;;;;;;;;;;1;2
20250105;01;2025;8086909;1;1;01;;2;216.67046325;18;1;5;3;1;9;2;2;2;;2;1;4;1;2;1;4;2;1;4;1;;;15000000;250000;;;;;;;;;;;;;1;2
20250105;01;2025;8086910;1;1;01;;2;866.681853;18;1;5;3;1;9;2;2;2;;2;1;3;2;2;1;4;2;3;4;4;;;;200000;;;;;;;;;;;;;1;4
20250105;01;2025;8086911;1;1;01;;2;805.00730384;18;1;5;2;1;9;2;2;2;;2;1;4;2;2;1;4;2;1;5;4;;;;200000;;;;;;;;;;;1;;;5
20250105;01;2025;8086912;1;1;01;;2;331.08317675;18;1;5;3;1;9;2;2;2;;2;1;3;1;2;1;4;2;1;4;4;;;;150000;;;;;;;;;;;1;;;2
20250105;01;2025;8086913;1;1;01;;2;216.67046325;18;1;5;3;1;9;2;2;2;;2;1;3;1;2;1;4;2;1;5;5;;;;150000;;;;;;;;;;;1;;;1
20250105;01;2025;8086914;1;1;01;;2;216.67046325;18;1;5;3;1;9;2;2;2;;2;1;4;2;2;1;4;2;1;4;4;;;;100000;;;;;;;;;;;1;;;3
20250105;01;2025;8086915;1;1;01;;2;216.67046325;18;1;1;2;1;9;2;2;2;;2;1;2;1;2;1;4;2;1;4;3;;;;;100000;;;;;;;;;;1;;;2
20250105;01;2025;8086916;1;1;01;;2;487.59240375;18;1;5;3;1;9;2;2;2;;2;1;4;2;2;1;4;2;1;5;1;;;30000000;300000;;;;;;;;;;;1;;;3
20250105;01;2025;8086917;1;1;01;;2;422.24939024;18;1;5;3;1;9;2;2;2;;2;1;3;1;2;1;4;2;1;4;4;;;;150000;;;;;;;;;;;1;;;1
20250105;01;2025;8086918;1;1;01;;2;422.24939024;18;1;5;3;1;9;2;2;2;;2;1;3;1;2;1;4;2;1;5;1;;;12000000;200000;;;1;;;;1;;;;;;;1
20250105;01;2025;8086919;1;1;01;;2;173.3363706;18;1;1;2;1;1;2;2;2;;2;1;6;2;2;1;4;2;1;4;4;;;;250000;;;;;;;;;;;1;;;2
20250105;01;2025;8086920;1;1;01;;2;173.3363706;18;1;1;2;1;1;2;2;2;;2;1;4;1;2;1;4;2;1;4;1;;;80000000;500000;;;1;;;;;;;;;;;1
20250105;01;2025;8086921;1;1;01;;2;173.3363706;18;1;5;2;1;1;2;2;2;;2;1;5;2;2;1;4;2;1;4;1;;;40000000;300000;;;;;;;;;;;1;;;2
20250105;01;2025;8086922;1;1;01;;2;173.3363706;18;1;1;2;1;1;2;2;2;;2;1;6;3;2;1;4;2;1;4;1;;;55000000;350000;;;;;;;;;;;1;;;3
20250105;01;2025;8086923;1;1;01;;2;173.3363706;18;1;1;4;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;4;2;;400000;30000000;400000;;;1;;1;;;;;;;;;3
20250105;01;2025;8086924;1;1;01;;2;329.47397851;18;1;5;2;1;1;2;2;2;;2;1;3;1;2;1;4;2;1;5;1;;;20000000;200000;;;;;;;;;;;1;;;1
20250105;01;2025;8086925;1;1;01;;2;398.39945668;18;1;1;4;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;4;4;;;;300000;;;;;;;;;;;1;;;3
20250105;01;2025;8086926;1;1;01;;2;173.3363706;18;1;5;4;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;4;4;;;;500000;;;;;;;;;;;1;;;3
20250105;01;2025;8086927;1;1;01;;2;264.8665414;18;1;5;2;1;1;2;2;2;;2;1;4;2;2;1;3;2;1;4;4;;;;300000;;;;;;;;;;;1;;;2
20250105;01;2025;8086928;1;1;01;;2;693.3454824;18;1;5;3;1;1;2;2;2;;2;1;3;2;2;1;4;2;3;4;3;;;;;200000;;;;;;;;;;;;1;4
20250105;01;2025;8086929;1;1;01;;2;369.46060812;18;1;5;2;1;1;2;2;2;;2;1;4;3;2;1;4;2;1;5;4;;;;200000;;;1;;;;;;;;;;1;4
20250105;01;2025;8086930;1;1;01;;2;651.0040291;18;1;5;2;1;1;2;2;2;;2;1;4;2;2;1;4;2;1;5;4;;;;200000;;;;;;;;;;;1;;;3
20250105;01;2025;8086931;1;1;01;;2;311.62540559;18;1;5;3;1;9;2;2;2;;2;1;5;3;2;1;4;3;1;5;4;;;;100000;;;;;;;;;;;1;;;4
20250105;01;2025;8086932;1;1;01;;2;315.25818047;18;1;5;3;1;9;2;2;2;;2;1;5;4;2;1;4;3;1;4;5;;;;150000;;;;;;;;;;;1;;;4
20250105;01;2025;8086933;1;1;01;;2;278.47181742;18;1;5;2;1;9;2;2;2;;2;1;3;2;2;1;4;3;1;4;4;;;;100000;;;;;;;;;;;1;;;3
20250105;01;2025;8086934;1;1;01;;2;362.8899116;18;1;5;3;1;9;2;2;2;;2;1;4;3;2;1;4;3;1;5;4;;;;150000;;;;;;;;;;;1;;;5
20250105;01;2025;8086935;1;1;01;;2;685.6128995;18;1;5;3;1;9;2;2;2;;2;1;4;3;2;1;4;3;1;5;1;;;20000000;200000;;;;;;;;;;;1;;;5
20250105;01;2025;8086936;1;1;01;;2;329.47397851;18;1;5;3;1;9;2;2;2;;2;1;2;1;2;1;4;3;1;4;4;;;;200000;;;;;;;;;;;1;;;1
20250105;01;2025;8086937;1;1;01;;2;395.35366534;18;1;5;3;1;9;2;2;2;;2;1;5;3;2;1;4;3;1;4;1;;;10000000;100000;;;1;;;;1;;;;;;;4
20250105;01;2025;8086938;1;1;01;;2;505.07299918;18;1;5;3;1;9;2;2;2;;2;1;4;2;2;1;4;3;1;5;4;;;;200000;;;;;;;;;;;1;;;4
20250105;01;2025;8086939;1;1;01;;2;173.3363706;18;1;5;2;1;9;2;2;2;;2;1;4;3;2;1;4;3;1;4;1;;;35000000;350000;;;1;;;;1;;;;;;1;5
20250105;01;2025;8086940;1;1;01;;2;596.06178988;18;1;5;3;1;9;2;2;2;;2;1;4;3;2;1;4;3;1;5;1;;;24000000;250000;;;;;;;;;;;;;1;5
20250105;01;2025;8086941;1;1;01;;2;651.0040291;18;1;5;3;1;9;2;2;2;;2;1;3;1;2;1;4;3;3;4;4;;;;150000;;;;;;;;;;;;;1;3
20250105;01;2025;8086942;1;1;01;;2;190.80347954;18;1;1;4;1;9;2;2;2;;2;1;4;2;2;1;4;3;1;4;4;;;;300000;;;1;;;;;;;;;;1;3
20250105;01;2025;8086943;1;1;01;;2;1244.845364;68;1;1;2;1;1;2;2;2;;1;1;4;2;2;1;4;1;1;4;3;;;;;300000;;;;;;;;;;;;1;3
20250105;01;2025;8086944;1;1;01;;2;1558.2161018;68;1;1;4;1;0;2;2;2;;1;1;3;2;2;1;4;1;1;4;5;;;;500000;;;1;;;;;;;;;;1;4
