PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P3363S1;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3560;P3561;P3067;P3067S1;P3067S2;P6775;P3068;P3562;P3563;P6750;P3073;P550;P6780;P6780S1;P1879;P1879S1;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8;P6426
20260105;01;2026;8473915;1;2;1;60;;2;16.588871792;08;1;8121;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;600000;1;2;;1;120000;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;600000;1;7200000;3;;1;;2;12;36;1;;36;;;1;2;;2;;2;;;;2;2;2;;;;;;;1;21;3322;4792;4;300000;1;5;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;;30;3;;1;900000;81;8121;9112;84
20260105;01;2026;8473916;1;2;1;60;;2;44.029436642;08;1;4111;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;280000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;230000;1;2070000;1;;4;;1;9;32;1;;40;;;1;2;;2;;2;;;;2;2;1;3;18;1;;1;;2;;;;;;;;1;10;2;1;1;2;1;2;2;2;2;2;2;2;;2;1;2;2;1;2;2;1;3;;30;3;;1;230000;41;4111;7111;9
20260105;01;2026;8473917;1;1;1;60;;2;39.617379504;08;1;6110;1;2;1;;2;1;1;7810;1;2;1;1;1;;1;1;1;1;3;;2;1800000;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;1;84000;2;2;;;2;;;2;;;1;1800000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;2;;1;;1;2;1;7;1;1;1;0;24;1;;7;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;35;5;;1;1800000;61;6110;3522;62
20260105;01;2026;8473918;1;1;1;60;;2;41.649448272;08;1;1081;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;1;1;1;6;;;4500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;2000000;1;24000000;3;;6;;1;12;45;;;45;;;2;1;;2;;2;;;;2;2;1;0;96;1;;5;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;3;;1;2000000;10;1081;7512;12
20260105;01;2026;8473918;1;2;1;60;;2;41.649448272;08;1;1081;2;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;28;2;;28;;;2;5;;2;;2;;;;2;2;1;6;12;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;13;;15;3;;1;;10;1081;7512;12
20260105;01;2026;8473920;1;2;1;60;;2;1489.3788676;13;1;4520;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;1300000;1;13600000;3;;1;;1;12;72;;;72;;;1;6;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;8;;1;1300000;45;4520;9122;36
20260105;01;2026;8473921;1;1;1;60;;2;720.58087478;13;1;9700;1;1;;;1;;1;;2;2;2;2;3;;2;2;2;2;1;;2;700000;2;;2;;;1;150000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;48;;;48;;;1;2;;2;;2;;;;2;2;1;24;36;3;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;5;;30;3;;1;850000;97;9700;9111;3
20260105;01;2026;8473921;1;2;1;60;;2;720.58087478;13;1;4792;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;5;;;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;250000;1;4400000;3;;1;;1;12;72;;;72;;;1;2;;2;;2;;;;2;2;1;12;36;4;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;15;3;;1;250000;47;4792;3322;24
20260105;01;2026;8473922;1;1;1;60;;2;1508.7060117;13;1;4921;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;1200000;1;13000000;3;;1;;1;12;46;;;46;;;1;4;;2;;2;;;;2;2;1;0;18;1;;5;;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;1;2;;1;1;1;1;1;2;1;1;11;;5;2;;1;1200000;49;4921;8321;13
20260105;01;2026;8473923;1;1;1;60;;2;1959.7437063;13;1;6820;1;2;2;12;2;1;1;7810;1;2;1;1;1;;1;1;1;1;1;;1;2000000;2;;2;;;2;;2;;2;;2;;2;;;1;253000;1;1;1200000;2;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;48;;;48;;;10;7;;1;;1;1;1;5;1;1;1;12;36;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;15;1;;1;2000000;68;6820;9112;1
20260105;01;2026;8473923;1;2;1;60;;2;1959.7437063;13;1;4111;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;1300000;1;13600000;3;;1;;2;12;48;;;48;;;2;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;;20;5;;1;1300000;41;4111;9313;180
