DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,CLASE,MES,DPTO,fex_c_2011
5382196,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1364.6102469
5382196,1,5,1,90,2,,1,20,2,,1,20,2,,2,,2,,2,,2,,2,,2,02,47,1364.6102469
5382198,1,1,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1949.5313415
5382198,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1949.5313415
5382198,1,3,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1949.5313415
5382198,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1949.5313415
5382205,1,1,1,90,2,,1,35,2,,1,60,2,,2,,2,,2,,2,,2,,2,02,47,2734.7412163
5382206,1,1,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1560.2697065
5382206,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1560.2697065
5382208,1,1,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1824.8696645
5382209,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1588.5208657
5382209,1,2,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1588.5208657
5382210,1,1,1,90,2,,1,2,2,,1,3,2,,2,,2,,2,,2,,2,,2,02,47,2166.8073098
5382210,1,2,1,90,2,,1,21,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,47,2166.8073098
5382210,1,3,1,90,1,2,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2166.8073098
5382210,1,4,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2166.8073098
5382210,1,5,1,90,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2166.8073098
5382210,1,6,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2166.8073098
5382210,1,7,1,90,2,,1,28,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,47,2166.8073098
5382211,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1599.3595563
5382211,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1599.3595563
5382212,1,1,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1373.8494482
5382212,1,2,1,90,1,15,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1373.8494482
5382212,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1373.8494482
5382213,1,1,1,90,2,,2,,2,,1,7,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382213,1,2,1,90,2,,1,18,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382213,1,3,1,90,2,,2,,2,,1,7,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382213,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382213,1,5,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382214,1,1,1,90,2,,2,,2,,1,48,2,,2,,2,,2,,2,,2,,2,02,47,1087.572109
5382214,1,2,1,90,2,,1,21,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,47,1087.572109
5382214,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1087.572109
5382214,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1087.572109
5382215,1,1,1,90,2,,1,15,2,,1,35,2,,2,,2,,2,,2,,2,,2,02,47,2722.8509792
5382215,1,2,1,90,2,,1,35,2,,1,49,2,,2,,2,,2,,2,,2,,2,02,47,2722.8509792
5382216,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382216,1,2,1,90,1,1,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382216,1,3,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382216,1,4,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382216,1,5,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1487.0775424
5382219,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2625.0167873
5382219,1,2,1,90,2,,2,,1,20,1,25,2,,2,,2,,2,,2,,2,,2,02,47,2625.0167873
5382220,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2953.9855009
5382220,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2953.9855009
5382220,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2953.9855009
5382221,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1364.6102469
5382221,1,2,1,90,1,7,1,35,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1364.6102469
5382221,1,3,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1364.6102469
5382221,1,4,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,1364.6102469
5382222,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2711.5529268
5382223,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2711.5529268
5382224,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2989.3206351
5382225,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,2711.5529268
5382226,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,47,3141.709677
5382226,1,2,1,90,2,,1,10,2,,1,15,2,,2,,2,,2,,2,,2,,2,02,47,3141.709677
5382294,1,1,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1401.9640393
5382295,1,1,1,90,1,7,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1372.3301652
5382295,1,2,1,90,1,7,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1372.3301652
5382296,1,1,1,90,1,20,1,13,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1089.5085033
5382296,1,2,1,90,1,14,1,34,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1089.5085033
5382297,1,1,1,90,1,18,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1237.8496463
5382298,1,1,1,90,1,12,2,,2,,1,24,2,,2,,2,,2,,2,,2,,2,02,70,2193.6703582
5382298,1,2,1,90,1,12,1,34,2,,1,18,2,,2,,2,,2,,2,,2,,2,02,70,2193.6703582
5382299,1,1,1,90,1,7,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1237.8496463
5382300,1,1,1,90,1,3,1,12,2,,1,20,2,,2,,2,,2,,2,,2,,2,02,70,1442.7935528
5382300,1,2,1,90,1,3,1,28,2,,1,20,2,,2,,2,,2,,2,,2,,2,02,70,1442.7935528
5382300,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1442.7935528
5382301,1,1,1,90,1,12,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1080.373777
5382301,1,2,1,90,2,,1,34,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1080.373777
5382301,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1080.373777
5382302,1,1,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1237.8496463
5382303,1,1,1,90,1,12,1,12,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,70,1087.9684433
5382303,1,2,1,90,1,3,1,28,2,,1,15,2,,2,,2,,2,,2,,2,,2,02,70,1087.9684433
5382303,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1087.9684433
5382303,1,4,1,90,2,,1,25,2,,1,25,2,,2,,2,,2,,2,,2,,2,02,70,1087.9684433
5382303,1,6,1,90,2,,1,10,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,70,1087.9684433
5382304,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1055.0687281
5382304,1,2,1,90,2,,1,38,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1055.0687281
5382305,1,1,1,90,1,6,1,17,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1401.9640393
5382306,1,1,1,90,1,14,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1521.043874
5382306,1,2,1,90,1,7,1,12,2,,1,19,2,,2,,2,,2,,2,,2,,2,02,70,1521.043874
5382306,1,3,1,90,1,7,1,28,2,,1,30,2,,2,,2,,2,,2,,2,,2,02,70,1521.043874
5382306,1,4,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1521.043874
5382306,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1521.043874
5382306,1,6,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1521.043874
5382306,1,7,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1521.043874
5382307,1,1,1,90,1,6,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,960.87778522
5382307,1,2,1,90,1,7,1,28,2,,2,,1,20,2,,2,,2,,2,,2,,2,02,70,960.87778522
5382307,1,3,1,90,1,2,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,960.87778522
5382307,1,4,1,90,1,6,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,960.87778522
5382307,1,5,1,90,1,5,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,960.87778522
5382307,1,6,1,90,1,5,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,960.87778522
5382308,1,1,1,90,1,7,1,25,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1401.9640393
5382309,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,906.72758507
5382309,1,2,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,906.72758507
5382309,1,3,1,90,2,,1,22,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,906.72758507
5382310,1,1,1,90,2,,1,12,2,,1,20,2,,2,,2,,2,,2,,2,,2,02,70,1659.3751627
5382310,1,2,1,90,1,6,1,28,2,,1,25,2,,2,,2,,2,,2,,2,,2,02,70,1659.3751627
5382311,1,1,1,90,1,7,1,28,2,,1,26,2,,2,,2,,2,,2,,2,,2,02,70,994.06996473
5382311,1,2,1,90,1,6,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,994.06996473
5382311,1,3,1,90,1,5,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,994.06996473
5382311,1,4,1,90,1,4,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,994.06996473
5382312,1,1,1,90,2,,1,20,2,,1,19,2,,2,,2,,2,,2,,2,,2,02,70,1261.2175625
5382312,1,2,1,90,2,,1,18,2,,1,18,2,,2,,2,,2,,2,,2,,2,02,70,1261.2175625
5382312,1,3,1,90,2,,1,10,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,70,1261.2175625
5382312,1,4,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1261.2175625
5382313,1,1,1,90,1,7,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1364.0032941
5382313,1,2,1,90,1,7,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1364.0032941
5382314,1,1,1,90,2,,1,27,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382314,1,2,1,90,2,,1,34,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382314,1,3,1,90,2,,1,15,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382314,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382314,1,5,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382315,1,1,1,90,1,7,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1025.434854
5382315,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1025.434854
5382315,1,3,1,90,1,7,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1025.434854
5382316,1,1,1,90,2,,1,5,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,70,1311.9140072
5382316,1,2,1,90,2,,1,29,2,,1,15,2,,2,,2,,2,,2,,2,,2,02,70,1311.9140072
5382316,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1311.9140072
5382317,1,1,1,90,2,,1,15,2,,1,20,2,,2,,2,,2,,2,,2,,2,02,70,1838.5977755
5382317,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1838.5977755
5382318,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1114.4164795
5382318,1,2,1,90,2,,1,27,2,,2,,1,26,2,,2,,2,,2,,2,,2,02,70,1114.4164795
5382319,1,1,1,90,1,15,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,890.95433511
5382319,1,2,1,90,2,,1,26,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,890.95433511
5382320,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1007.9732566
5382320,1,2,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1007.9732566
5382320,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1007.9732566
5382320,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1007.9732566
5382321,1,1,1,90,2,,1,29,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1423.3565079
5382321,1,4,1,90,2,,1,28,2,,1,18,2,,2,,2,,2,,2,,2,,2,02,70,1423.3565079
5382321,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1423.3565079
5382321,1,6,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1423.3565079
5382321,1,7,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1423.3565079
5382322,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1089.5085033
5382322,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1089.5085033
5382324,1,1,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1047.1389297
5382324,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1047.1389297
5382324,1,3,1,90,2,,1,25,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,1047.1389297
5382325,1,1,1,90,2,,1,24,2,,1,13,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382325,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382325,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382325,1,4,1,90,2,,1,32,2,,1,16,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382325,1,5,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382325,1,6,1,90,2,,1,17,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382325,1,7,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,705.54938276
5382326,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,2037.3994169
5382326,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,2037.3994169
5382326,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,2037.3994169
5382326,1,5,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,70,2037.3994169
5384304,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1268.0555912
5384304,1,2,1,90,2,,1,25,2,,1,8,2,,2,,2,,2,,2,,2,,2,02,44,1268.0555912
5384304,1,3,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1268.0555912
5384304,1,4,1,90,2,,1,6,2,,1,3,2,,2,,2,,2,,2,,2,,2,02,44,1268.0555912
5384304,1,6,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1268.0555912
5384305,1,1,1,90,2,,1,20,2,,1,32,2,,2,,2,,2,,2,,2,,2,02,44,1620.1220548
5384305,1,2,1,90,2,,1,7,2,,1,11,2,,2,,2,,2,,2,,2,,2,02,44,1620.1220548
5384306,1,1,1,90,2,,1,2,2,,1,3,2,,2,,2,,2,,2,,2,,2,02,44,1486.7984988
5384306,1,2,1,90,2,,1,32,2,,1,15,2,,2,,2,,2,,2,,2,,2,02,44,1486.7984988
5384307,1,1,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1292.0832111
5384307,1,2,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1292.0832111
5384308,1,1,1,90,2,,1,5,2,,1,5,2,,2,,2,,2,,2,,2,,2,02,44,1508.5547976
5384308,1,2,1,90,2,,1,15,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,44,1508.5547976
5384308,1,3,1,90,2,,1,6,2,,1,2,2,,2,,2,,2,,2,,2,,2,02,44,1508.5547976
5384309,1,1,1,90,2,,1,8,2,,1,7,2,,2,,2,,2,,2,,2,,2,02,44,1620.1220548
5384309,1,2,1,90,2,,1,24,2,,1,28,2,,2,,2,,2,,2,,2,,2,02,44,1620.1220548
5384311,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1299.7651196
5384312,1,1,1,90,2,,1,22,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1588.1987151
5384312,1,2,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1588.1987151
5384312,1,3,1,90,2,,1,15,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,44,1588.1987151
5384313,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1392.6782496
5384313,1,2,1,90,2,,1,21,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,44,1392.6782496
5384313,1,5,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1392.6782496
5384313,1,6,1,90,2,,1,16,2,,1,8,2,,2,,2,,2,,2,,2,,2,02,44,1392.6782496
5384313,1,7,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1392.6782496
5384314,1,1,1,90,2,,1,10,2,,1,11,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5384314,1,2,1,90,2,,1,9,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5384314,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5384314,1,4,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5384315,1,1,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,887.26702363
5384315,1,2,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,887.26702363
5384316,1,1,1,90,2,,1,5,2,,1,2,2,,2,,2,,2,,2,,2,,2,02,44,1366.0243087
5384316,1,2,1,90,2,,1,32,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,44,1366.0243087
5384317,1,1,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1837.0996852
5384317,1,2,1,90,2,,1,20,2,,1,18,2,,2,,2,,2,,2,,2,,2,02,44,1837.0996852
5384317,1,5,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1837.0996852
5384318,1,1,1,90,2,,1,15,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,44,1852.4635021
5384319,1,1,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1171.309021
5384319,1,2,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1171.309021
5384320,1,1,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1178.9909295
5384321,1,1,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1040.9778455
5384323,1,1,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,593.33641896
5384323,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,593.33641896
5384323,1,3,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,593.33641896
5384323,1,4,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,593.33641896
5384325,1,1,1,90,2,,1,25,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1611.2497935
5384326,1,1,1,90,1,2,1,9,2,,1,7,2,,2,,2,,2,,2,,2,,2,02,44,3673.5198032
5384326,1,2,1,90,2,,1,20,2,,1,30,2,,2,,2,,2,,2,,2,,2,02,44,3673.5198032
5384328,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1811.4596281
5384328,1,2,1,90,2,,1,22,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,44,1811.4596281
5384330,1,1,1,90,2,,1,9,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,2529.7623947
5384330,1,2,1,90,2,,1,22,2,,1,15,2,,2,,2,,2,,2,,2,,2,02,44,2529.7623947
5384330,1,3,1,90,2,,1,20,2,,1,28,2,,2,,2,,2,,2,,2,,2,02,44,2529.7623947
5384331,1,1,1,90,1,6,1,8,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,2271.3139123
5384331,1,2,1,90,1,5,1,32,2,,1,15,2,,2,,2,,2,,2,,2,,2,02,44,2271.3139123
5384331,1,3,1,90,2,,1,8,2,,1,4,2,,2,,2,,2,,2,,2,,2,02,44,2271.3139123
5384332,1,1,1,90,2,,1,9,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1406.2709719
5384332,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1406.2709719
5384332,1,3,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1406.2709719
5384333,1,1,1,90,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1903.1048893
5384333,1,2,1,90,1,10,1,26,2,,1,8,2,,2,,2,,2,,2,,2,,2,02,44,1903.1048893
5384333,1,3,1,90,1,9,1,26,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1903.1048893
5384333,1,4,1,90,1,10,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1903.1048893
5384334,1,1,1,90,2,,1,30,2,,1,15,2,,2,,2,,2,,2,,2,,2,02,44,2034.9651136
5384334,1,2,1,90,2,,1,11,2,,1,9,2,,2,,2,,2,,2,,2,,2,02,44,2034.9651136
5384334,1,3,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,2034.9651136
5384334,1,4,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,2034.9651136
5384496,1,1,1,90,2,,1,42,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,2697.3390507
5384496,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,2697.3390507
5384497,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,6907.4460129
5384497,1,2,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,6907.4460129
5384497,1,3,1,90,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,6907.4460129
5384497,1,4,1,90,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,6907.4460129
5384498,1,1,1,90,1,4,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,2697.3390507
5384498,1,2,1,90,1,3,1,18,1,2,2,,2,,2,,2,,2,,2,,2,,2,02,63,2697.3390507
5384499,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3316.2473993
5384500,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,8195.1896609
5384500,1,2,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,8195.1896609
5384500,1,3,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,8195.1896609
5384500,1,4,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,8195.1896609
5384500,1,5,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,8195.1896609
5384500,1,6,1,90,1,2,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,8195.1896609
5384500,1,9,1,90,1,9,1,9,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,8195.1896609
5384501,1,1,1,90,1,7,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3316.2473993
5384502,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,4632.2335312
5384504,1,1,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3010.6077037
5384504,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3010.6077037
5384506,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3010.6077037
5384506,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3010.6077037
5384506,1,3,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3010.6077037
5384506,1,4,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3010.6077037
5384506,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3010.6077037
5384507,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,4007.0808192
5384507,1,2,1,90,2,,1,42,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,4007.0808192
5384508,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3534.8996117
5384508,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,63,3534.8996117
