DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,CLASE,MES,DPTO,fex_c_2011
5372942,1,3,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372942,1,4,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372943,1,1,1,90,1,10,1,20,2,,2,,1,30,2,,2,,2,,2,,2,,2,02,18,1266.0809347
5372944,1,1,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,772.78406334
5372944,1,2,1,90,2,,1,30,2,,1,2,2,,2,,2,,2,,2,,2,,2,02,18,772.78406334
5372944,1,3,1,90,2,,1,16,2,,2,,1,3,2,,2,,2,,2,,2,,2,02,18,772.78406334
5372945,1,1,1,90,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372945,1,2,1,90,1,5,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372945,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372945,1,4,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372945,1,5,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.30041567
5372946,1,1,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,868.04825122
5372946,1,2,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,868.04825122
5372946,1,3,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,868.04825122
5372947,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1684.8892054
5372947,1,2,1,90,2,,1,35,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1684.8892054
5372948,1,1,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1394.9734241
5372948,1,2,1,90,1,4,1,32,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1394.9734241
