DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,HOGAR,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,CLASE,MES,DPTO,fex_c_2011
5372946,1,1,1,2,1,4,2,2,5,4,,,,50000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,5,1,1,1,2,2,2,,2,,01,2,02,18,868.04825122
5372947,1,2,1,2,1,4,2,1,4,1,,,4000000,150000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,18,1684.8892054
5372948,1,2,1,2,1,4,2,1,4,1,,,12000000,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,3,5,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,18,1394.9734241
5372949,1,2,1,2,1,4,2,1,4,4,,,,100000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,18,1437.185466
5373383,1,2,1,2,1,1,2,4,4,5,,,,250000,,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,2,2,1,2,2,,01,2,02,44,1375.2312415
5373384,1,3,2,2,1,1,1,1,3,3,,,,,250000,2,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,6,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,1701.2909968
5373385,1,4,3,2,1,1,1,5,3,5,,,,250000,,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,3,9,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1057.5006274
5373386,1,3,2,2,1,1,1,1,4,1,,,10000000,100000,,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,4,2,1,1,2,2,1,2,1,2,01,2,02,44,1175.0166544
5373387,1,3,2,2,1,1,1,1,4,1,,,6000000,150000,,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,2,2,1,2,1,2,01,2,02,44,1033.295937
5373388,1,3,2,2,1,1,1,1,4,1,,,98,250000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,4,2,,1,1,1,2,1,1,2,2,1,2,1,2,01,2,02,44,847.66177552
5373389,1,2,1,1,1,1,1,3,3,5,,,,250000,,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,1040.9778455
5373390,1,3,2,2,1,1,1,1,3,1,,,98,300000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,847.66177552
5373391,1,4,3,2,1,1,1,1,3,4,,,,300000,,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,4,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,970.41505405
5373392,1,4,3,2,1,1,1,1,3,2,,270000,35000000,300000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,3,4,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,726.88758541
5373393,1,4,3,2,1,1,1,1,3,1,,,98,350000,,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,3,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1366.0243087
5373394,1,3,2,2,1,1,1,1,3,1,,,30000000,300000,,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,862.3462213
5373395,1,3,2,2,1,1,10,1,3,5,,,,350000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,3,2,,1,2,1,4,1,1,1,2,1,1,1,2,01,2,02,44,901.54493458
5373396,1,3,2,2,1,1,1,1,3,4,,,,150000,,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,5,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1957.8738753
5373397,1,1,1,2,1,1,10,1,3,3,,,,,400000,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,4,2,,1,2,1,4,1,1,1,2,1,1,1,2,01,2,02,44,1740.8962449
5373398,1,3,2,6,,1,1,5,5,3,,,,,100000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,5,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,2013.246177
5373399,1,2,1,1,1,1,1,1,4,4,,,,150000,,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,3,2,,1,1,4,1,1,1,2,1,1,2,1,2,01,2,02,44,1366.0243087
5373400,1,3,2,1,1,1,10,1,3,5,,,,400000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,916.22938036
5373401,1,1,1,1,1,1,10,1,3,4,,,,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,1,2,1,2,1,1,1,1,1,2,1,2,01,2,02,44,1061.9243728
5373402,1,2,1,2,1,1,1,1,3,3,,,,,500000,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,4,2,,1,2,1,4,1,1,1,2,1,2,1,2,01,2,02,44,1620.1220548
5373403,1,1,1,2,2,1,1,1,3,4,,,,200000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,,1,3,1,2,1,1,1,2,1,2,1,2,01,2,02,44,887.26702363
5373404,1,3,2,2,1,1,1,1,3,3,,,,,150000,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,,1,2,1,4,1,1,1,2,1,2,1,2,01,2,02,44,1366.0243087
5373405,1,2,1,2,1,1,1,1,4,3,,,,,200000,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,3,2,,1,1,1,2,1,1,2,2,1,2,1,2,01,2,02,44,1366.0243087
5373406,1,2,1,1,1,1,10,1,3,4,,,,350000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,1,2,1,2,1,1,1,1,1,2,1,2,01,2,02,44,894.94893209
5373407,1,1,1,1,1,1,1,6,,4,,,,150000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,3,4,2,1,0,2,1,1,2,1,2,01,2,02,44,1040.9778455
5373408,1,3,2,1,1,1,1,1,3,3,,,,,250000,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,763.5318506
5373409,1,3,2,2,1,1,3,1,3,1,,,98,300000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,02,68,709.030018
5373411,1,4,3,2,1,1,6,1,3,1,,,98,350000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,02,68,1087.9005779
5373412,1,3,2,2,1,1,6,1,3,3,,,,,150000,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,02,68,524.04219623
5373413,1,2,1,2,1,1,3,1,3,1,,,40000000,200000,,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,02,68,709.030018
5373414,1,3,2,2,1,1,6,1,3,1,,,98,300000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,5,2,1,1,1,2,1,3,2,,01,2,02,68,817.01869266
5373442,1,3,2,1,1,1,1,1,4,3,,,,,150000,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,2,1,1,2,1,1,01,2,02,18,1085.8667023
5373443,1,3,1,1,1,1,1,1,4,1,,,45000000,200000,,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,2,1,2,1,1,2,1,1,2,1,2,01,2,02,18,464.89732059
5373445,1,3,2,1,1,1,1,1,4,4,,,,200000,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,6,2,,1,1,1,2,1,1,2,1,1,2,1,1,01,2,02,18,289.96113428
5373446,1,3,2,1,1,1,1,1,4,3,,,,,130000,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,2,1,2,1,1,2,1,1,2,1,1,01,2,02,18,739.93761539
5373447,1,3,2,1,1,1,1,1,4,3,,,,,160000,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,,1,2,1,2,1,1,2,1,1,2,1,1,01,2,02,18,416.20775023
5373448,1,3,1,1,1,1,1,1,4,1,,,20000000,200000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,,1,1,1,2,1,1,2,1,1,2,1,1,01,2,02,18,361.31871563
5373449,1,5,3,1,1,1,1,1,4,3,,,,,180000,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,6,2,,1,1,1,2,1,1,2,1,1,2,1,1,01,2,02,18,1016.5940833
5373450,1,3,2,1,1,1,1,1,4,1,,,15000000,150000,,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,4,2,,1,1,5,2,1,1,1,1,1,2,1,1,01,2,02,18,1085.8667023
5373451,1,2,1,1,1,1,1,1,4,4,,,,100000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,5,2,,1,1,5,1,1,1,2,1,1,2,1,1,01,2,02,18,638.45416848
5373452,1,4,3,1,1,1,1,1,4,1,,,35000000,200000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,4,2,,1,2,1,2,1,1,2,1,1,2,1,1,01,2,02,18,271.46667558
5373453,1,4,2,1,1,1,1,1,4,3,,,,,150000,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,2,1,2,1,1,2,1,1,2,1,1,01,2,02,18,473.02329306
5373454,1,2,1,1,1,1,1,1,4,1,,,18000000,100000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,2,1,1,2,1,1,01,2,02,18,408.56076273
5373455,1,2,1,1,1,1,1,1,4,4,,,,150000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,2,,1,1,5,1,1,1,2,1,1,2,1,2,01,2,02,18,820.06880401
5373456,1,2,1,2,1,1,1,1,4,3,,,,,200000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,5,2,1,1,2,2,1,2,1,2,01,2,02,18,463.44979733
5373457,1,4,1,1,1,1,1,1,4,2,,500000,60000000,200000,,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,1,2,1,1,2,1,1,2,1,2,01,2,02,18,340.0982279
5376306,1,3,2,1,1,1,1,1,3,3,,,,,300000,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,704.62524264
5376307,1,3,1,1,1,1,10,1,3,5,,,,200000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,1061.9243728
5376308,1,2,1,1,1,1,1,1,4,4,,,,200000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,2,1,1,2,1,1,2,1,2,01,2,02,44,916.22938036
5376309,1,3,2,1,1,1,1,1,3,4,,,,300000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,1054.2424643
5376310,1,4,3,1,1,1,1,1,3,4,,,,300000,,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,5,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,1467.424525
5376311,1,3,2,1,1,1,1,1,3,4,,,,150000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,1016.6163046
5376312,1,2,1,1,1,1,1,1,3,5,,,,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,,2,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,916.22938036
5376313,1,3,1,1,1,1,10,1,3,5,,,,300000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,749.25393965
5376314,1,4,1,1,1,1,10,1,3,5,,,,200000,,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,916.22938036
5376315,1,3,1,1,1,1,10,1,3,3,,,,,250000,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,887.26702363
5376316,1,3,2,1,1,1,10,1,3,3,,,,,200000,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,1,1,1,2,1,2,01,2,02,44,988.66724001
5376317,1,3,2,1,1,1,1,1,3,5,,,,200000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,3,2,,1,1,1,4,1,1,1,1,1,2,1,2,01,2,02,44,624.50547453
5376321,1,3,2,2,2,1,1,1,3,5,,,,300000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,3,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1167.334746
5376322,1,3,2,2,1,1,1,1,3,3,,,,,130000,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,4,2,,1,2,1,2,1,1,1,2,1,2,1,2,01,2,02,44,702.64615422
5376323,1,2,1,2,1,1,1,1,3,1,,,98,200000,,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,,1,2,1,2,1,1,1,2,1,2,1,2,01,2,02,44,887.26702363
5376324,1,3,3,1,1,1,1,1,3,4,,,,200000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,11,2,,1,2,4,2,1,1,1,1,1,2,1,2,01,2,02,44,892.09774026
5376325,1,4,1,2,1,1,1,1,3,3,,,,,300000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,937.17590768
5376326,1,4,3,2,1,1,1,1,3,1,,,30000000,250000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,3,8,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,883.29734222
5376327,1,3,1,2,1,1,1,1,3,5,,,,2500000,,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1178.9909295
5376328,1,2,1,2,1,1,1,1,3,3,,,,,350000,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,4,2,,1,1,1,2,1,1,1,2,1,2,1,2,01,2,02,44,1844.7815937
5376339,1,3,1,3,1,4,3,1,3,1,,,99,300000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,1,2,1,1,1,2,2,,2,,01,2,02,68,524.04219623
5376340,1,3,2,2,1,1,3,1,4,3,,,,,120000,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,9,2,,1,1,1,2,1,1,2,2,1,2,2,,01,2,02,68,1517.3979179
5376341,1,3,1,1,1,1,3,1,4,1,,,6000000,120000,,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,4,1,1,2,1,1,2,2,,01,2,02,68,772.30114198
5376342,1,2,1,2,1,1,3,1,3,4,,,,150000,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,1,2,,1,1,1,2,1,1,1,1,1,2,2,,01,2,02,68,1120.2542111
5376343,1,3,2,3,1,4,3,3,3,4,,,,400000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,3,2,,1,1,1,2,1,1,1,2,2,,2,,01,2,02,68,1404.6719307
5377854,1,4,2,6,,4,2,1,5,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,4,2,,1,1,5,1,1,9,2,2,2,,2,,01,2,02,44,1254.4570514
5377855,1,1,1,2,2,4,6,5,5,5,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,2,1,9,2,2,2,,2,,01,2,02,44,894.94893209
5377856,1,4,2,2,2,4,2,1,5,6,COMO PARTE DE PAGO,,,200000,,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,5,2,,1,1,5,2,1,9,2,2,2,,2,,01,2,02,44,1508.5547976
5377857,1,2,1,2,2,4,6,6,,4,,,,200000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,,1,1,1,2,2,,2,2,2,,2,,01,2,02,44,1299.7651196
5377858,1,1,1,6,,4,2,5,5,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,5,1,1,9,2,2,2,,2,,01,2,02,44,887.26702363
5377859,1,1,1,6,,4,6,5,5,1,,,98,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,,1,1,8,1,2,,2,2,2,,2,,01,2,02,44,1040.9778455
5377861,1,1,1,6,,4,6,5,5,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,6,2,,1,1,8,1,2,,2,2,2,,2,,01,2,02,44,1173.7215308
5377862,1,1,1,6,,4,6,5,5,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,9,1,2,,2,2,2,,2,,01,2,02,44,1026.2933997
5377863,1,2,1,6,,4,6,5,5,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,7,1,2,,2,2,2,,2,,01,2,02,44,1040.9778455
5377865,1,5,3,3,1,1,3,1,3,4,,,,200000,,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,3,5,2,,1,1,1,4,1,1,1,2,1,3,2,,01,2,02,68,994.18866949
5377866,1,3,1,2,1,4,3,1,4,1,,,70000000,150000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,68,709.030018
5377867,1,3,2,3,1,3,2,1,4,3,,,,,150000,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,4,2,,1,1,5,2,1,1,2,2,2,,2,,01,2,02,68,1835.9325097
