DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5372929,1,1,1,60,2,68,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,600000,1,3000000,3,,12,2,,,,,3,3,2,50,,.,50,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,3,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,98,49,1,02,4,4921,600000,68,1298.0559077,
5372930,1,1,1,60,2,68,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,400000,1,4800000,3,,6,2,,,,,3,3,2,54,,.,54,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,3,240,4,,2,,,,,,,,2,8,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,98,49,1,02,4,4923,400000,68,1291.9242126,
5372930,1,2,1,60,2,68,1,1,,,1,,,1,2,2,2,6,,1,,2,1500000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,40,,.,40,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,3,24,4,,2,,,,,,,,5,3,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,53,56,1,02,1,5619,1500000,68,1291.9242126,
5372931,1,1,1,60,2,68,2,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,350000,1,4200000,3,,12,2,,,,,3,3,2,20,2,,20,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,25,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,53,56,1,02,4,5619,350000,68,732.68775739,
5372934,1,1,1,60,2,68,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,150000,1,150000,3,,12,2,,,,,3,3,2,20,2,,20,,,1,2,,10,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,3,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,55,81,1,02,4,8121,150000,68,644.51244017,
5372935,1,2,1,60,2,68,1,2,2,6,1,,,1,1,2,1,24,,2,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,877803,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,6,1,1,,,,,,,,,1,1,1,0,6,1,,2,,,,,,,,1,11,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,58,80,1,02,1,8010,908526,68,995.58491963,
5372936,1,1,1,60,2,68,1,1,,,1,,,1,2,2,2,72,,1,,2,200000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,10,1,,10,,,2,8,,3,,2,,,,1,,,,,,,,,1,2,2,1,0,60,8,,2,,,,,,,,1,13,60,,1,50,1,1,1,1,2,1,2,2,2,2,2,2,2,,2,1,1,2,2,2,2,1,8,,62,01,1,02,8,0122,200000,68,1228.6619929,
5372937,1,1,1,60,2,68,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,7200000,3,,12,1,4,2,1,1,3,3,2,50,,.,50,,,3,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,25,1,,2,,,,,,,,3,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,10,1,02,5,1051,600000,68,1924.6090303,
5372937,1,2,1,60,2,68,1,2,2,12,2,1,,1,1,2,1,12,,1,,2,1200000,2,,,2,,2,,2,,2,,2,,,1,102854,2,2,,,2,,,2,,,2,,,1,600000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,50,,.,50,,,9,7,,1,,1,2,1,4,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,3,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,45,47,1,02,1,4732,1200000,68,1924.6090303,7810
5372937,2,1,2,60,2,68,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,70000000,3,,12,1,4,2,1,1,3,3,2,50,,.,50,,,3,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,3,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,10,1,02,5,1051,600000,68,1924.6090303,
