DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,MES,DPTO,fex_c_2011,RAMA4DP8_R4
5367071,1,2,1,60,05,5,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,400000,1,,3,,3,2,,,,,3,1,1,56,,.,56,,,1,4,,5,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,3,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,98,49,1,4,4921,400000,02,05,1256.6482115,
5367072,1,1,1,60,05,5,2,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1000000,1,,3,,12,2,,,,,2,2,1,40,,.,40,,,1,1,,1,,2,,,,1,,,,,,,,,1,2,2,1,0,48,2,,2,,,,,,,,2,14,,,1,15,2,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,11,69,1,4,6920,1000000,02,05,965.34225134,
5367073,1,1,1,60,05,5,1,2,1,,1,,,1,1,1,1,120,,1,,2,18000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,90000,1,1800000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,45,,.,53,,,9,7,,1,,1,2,1,14,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,8,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,39,84,1,2,8412,18000000,02,05,1045.3594124,
5367073,1,2,1,60,05,5,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,0,1,,1,,7,2,,,,,3,1,1,20,1,,20,,,1,2,,3,,2,,,,1,,,,,,,,,1,2,2,1,5,7,1,,2,,,,,,,,1,3,3,,1,48,1,1,1,1,1,1,2,1,2,1,2,2,1,TENER PRESTACIONES SOCIALES,1,1,2,2,2,2,2,1,3,,93,43,1,4,4330,0,02,05,1045.3594124,
5367073,1,3,1,60,05,5,1,2,2,1,2,4,FUNDACION COLEGIO MAYOR,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2700000,1,,3,,9,2,,,,,1,1,1,40,,.,40,,,9,1,,1,,1,1,2,1,1,1,,,,,,,,,1,2,1,3,9,4,,2,,,,,,,,1,14,,,2,,,,1,1,1,1,2,1,2,2,2,2,1,PRESTACIONES SOCIALES,2,1,2,2,1,2,1,1,8,,21,84,1,4,8412,2700000,02,05,1045.3594124,7810
5367074,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,348,,1,,2,2500000,1,98,1,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2500000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,44,,.,44,,,9,7,,1,,1,2,1,29,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,3,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,5,,32,84,1,2,8412,2500000,02,05,964.62999258,
5367077,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,180,,1,,2,5000000,2,,,2,,2,,2,,2,,2,,,2,,,1,34800,2,2,,,2,,,2,,,1,10000000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,28,1,1,,,,,,,,,1,1,1,0,36,1,,2,,,,,,,,1,8,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,1,,30,96,1,1,9603,5000000,02,05,1241.6366965,
5367077,1,2,1,60,05,5,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1600000,1,,3,,12,2,,,,,3,3,1,40,,.,40,,,1,2,,3,,2,,,,1,,,1,,,,,,,2,2,1,0,9,1,,2,,,,,,,,1,8,10,,1,24,1,1,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,13,85,1,4,8559,1600000,02,05,1241.6366965,
5367078,1,1,1,60,05,5,1,2,1,,1,,,1,1,2,1,8,,1,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,480000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,8,,,,,,,,,48,,.,48,,,6,7,,1,,1,1,1,5,1,1,,,,,,,,,1,1,1,5,8,1,,2,,,,,,,,1,11,45,,2,,,,1,1,2,1,2,2,2,2,1,2,2,,2,1,2,2,1,2,1,1,8,,97,13,1,1,1392,908526,02,05,1076.3458793,
5367078,1,2,1,60,05,5,1,2,2,3,2,1,,1,1,2,1,5,,1,,2,908526,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,1,300000,2,,2,,2,,2,,2,,,.,,,,,,,,,.,7,,,,,,,,,48,,.,48,,,9,7,,1,,1,1,1,12,1,1,,,,,,,,,1,1,1,5,20,1,,2,,,,,,,,13,2,40,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,8,,03,68,1,1,6820,908526,02,05,1076.3458793,7810
