PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250417;04;2025;8201667;1;2;1;10;05;1;823.64149326;05;1;2;2;52;5;1972;2;3;;3;;1;;2;6;;;3;1;1;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250417;04;2025;8201667;1;3;1;10;05;1;823.64149326;05;1;3;2;30;5;1994;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;2;1;2;;10;10;421;7;421;1;2;1
20250417;04;2025;8201667;2;1;2;10;05;1;823.64149326;05;1;1;1;26;6;1998;1;2;;2;;1;;2;6;;;2;1;2;1;1;1;96000;4;4;4;4;4;4;4;4;1;2;;9;6;841;6;841;2;1;1
20250417;04;2025;8201667;2;2;2;10;05;1;823.64149326;05;1;2;2;21;5;2003;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;60000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250417;04;2025;8201667;2;3;2;10;05;1;823.64149326;05;1;2;2;0;11;2024;3;1;2;1;1;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20250417;04;2025;8201668;1;1;1;10;05;1;1264.0176704;05;1;1;1;45;1;1980;1;2;;2;;1;;2;6;;;2;2;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;2;1;1
20250417;04;2025;8201670;1;1;1;10;05;1;861.25838744;05;1;1;1;30;12;1994;1;2;;3;;2;2;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201670;1;2;1;10;05;1;861.25838744;05;1;2;2;28;10;1996;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;1;2;1
20250417;04;2025;8201670;1;3;1;10;05;1;861.25838744;05;1;3;1;25;9;1999;9;2;;2;;2;2;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;2;1;1
20250417;04;2025;8201671;1;1;1;10;05;1;3211.7906564;05;1;1;2;67;10;1957;1;3;;3;;2;2;2;6;;;3;2;;1;2;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
