DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P3148;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5494081;1;1;1;60; ;1;68;1;2;2;5;2;4;ALCALDIA DISTRITAL DE BARRANCABERMEJA;1;2;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;0;1; ;3; ;1;2; ; ; ; ;1;1;1;48; ;                                                                                                                                                                                                                                                         .;30;6; ;9;5; ;1; ;1;1;2;5;1; ; ; ; ; ; ; ; ;1;1;2;1;11;4;1; ;2; ; ; ; ; ; ; ;1;11;10;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;3; ;39;84;1;07;4;8413;0;68;4247,53536967771;8412
5494083;1;1;1;60; ;1;68;1;2;1; ;1; ; ;1;2;2;1;24; ;4; ;1;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;2; ; ;2; ; ;2; ; ;2; ; ;1;909052;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;4;7; ;1; ;1;1;1;5;1; ; ; ; ; ; ; ; ;1;1;2;1;16;12;1; ;2; ; ; ; ; ; ; ;8;12;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;59;92;1;07;1;9200;908526;68;3196,86749481317; 
5494083;1;2;1;60; ;1;68;1;2;2;12;1; ; ;1;1;2;1;24; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;2;1;36000;2;2; ; ;2; ; ;2; ; ;1;909052;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;55; ; ;3;7; ;1; ;1;1;1;6;1;1; ; ; ; ; ; ; ; ;1;1;1;2;12;1; ;2; ; ; ; ; ; ; ;8;12;5; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;58;52;1;07;1;5221;908526;68;3196,86749481317; 
5494084;1;1;1;60; ;1;68;2; ; ; ; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;300000;1; ;1; ;10;2; ; ; ; ;3;1;2;48; ;                                                                                                                                                                                                                                                         .;15;6; ;1;2; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;6;3;1; ;2; ; ; ; ; ; ; ;13;12;10;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;95;41;1;07;4;4111;300000;68;4054,41585413748; 
5494085;1;1;1;60; ;1;68;1;2;2;2;1; ; ;2;2;2;1;5; ;1; ;2;908500;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;110000;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;5; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;4;7; ;5; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;2;1;8;2;1; ;2; ; ; ; ; ; ; ;13;11;15; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;45;16;1;07;1;1690;908500;68;3158,54247882898; 
5494089;1;1;1;60; ;1;68;1;2;2;98;2;4;SEVICOL LTDA;2;1;2;1;24; ;1; ;2;3000000;2; ; ;2; ;2; ;1;300000;2; ;1;400000;1;1;108000;1;2; ; ;2; ; ;2; ; ;2; ; ;1;2800000;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;70; ;                                                                                                                                                                                                                                                         .;0;3; ;9;4; ;1; ;1;2;1;23;1; ; ; ;1; ; ; ; ; ;1;1;1;0;12;1; ;2; ; ; ; ; ; ; ;1;7;5; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1; ;58;84;1;07;1;8412;3000000;68;3033,10232924882;8010
5494089;1;2;1;60; ;1;68;2; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;100000;1; ;3; ;12;2; ; ; ; ;2;1;2;4;2; ;4; ; ;1;11;POR REDES SOCIALES;2; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;2;1;0;24;1; ;2; ; ; ; ; ; ; ;1;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;3; ;45;47;1;07;4;4792;100000;68;3033,10232924882; 
5494091;1;4;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;0;1; ;3; ;10;2; ; ; ; ;1;1;2;50; ;                                                                                                                                                                                                                                                         .;0;6; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;9;200;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;8; ;64;03;1;07;4;0311;0;76;1836,10098117077; 
5494092;1;1;1;60; ;1;76;1;1; ; ;1; ; ;2;2;2;2;108; ;1; ;2;400000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;10; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;3;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;20; ;2; ; ; ;1;1;2;1;2;1;2;2;1;1;2; ;2;1;2;2;1;2;2;2;8; ;87;25;1;07;1;2511;400000;76;2834,9357818459; 
5494095;1;2;1;60; ;1;76;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;300000;1; ;1; ;11;2; ; ; ; ;3;1;2;48; ;                                                                                                                                                                                                                                                         .;48; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;6;12;1; ;2; ; ; ; ; ; ; ;1;3;25; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;1;3; ;95;41;1;07;4;4111;300000;76;3547,52525228886; 
