DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P3148;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D_R4;OCI;P6430;RAMA4D_R4;INGLABO;MES;DPTO;fex_c_2011;RAMA4DP8_R4
5494149;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;250000;1; ;3; ;12;2; ; ; ; ;3;1;1;48; ;                                                                                                                                                                                                                                                         .;24;6; ;1;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;2;2;4; ;2; ; ; ; ; ; ; ;3;1;120;1;1;24;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1;3; ;83;25;1;4;2511;250000;07;05;1647,18850776525; 
5494149;1;2;1;60;05;5;1;2;1; ;1; ; ;2;2;2;2;1; ;4; ;2;416000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;5; ; ; ; ; ; ; ; ;60; ;                                                                                                                                                                                                                                                         .;60; ; ;6;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;18;1; ;2; ; ; ; ; ; ; ;1;3;20; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;3; ;79;14;1;1;1410;416000;07;05;1647,18850776525; 
5494150;1;1;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;0;1; ;3; ;12;2; ; ; ; ;3;5;1;28;2; ;28; ; ;1;1; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;60;84;1; ;2; ; ; ; ; ; ; ;9;14; ; ;1;20;2;1;1;1;1;1;2;1;2;2;2;2;2; ;2;1;1;1;2;2;2;1;3; ;79;13;1;4;1392;0;07;05;1078,50918268028; 
5494152;1;3;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;3; ;1; ;2;2000000;2; ; ;2; ;2; ;2; ;2; ;1;50000;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;360000;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;3; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;9;1; ;1; ;1;1;1;0;1;1; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ; ;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;38;82;1;1;8220;2000000;07;05;1251,4387175877; 
5494153;1;3;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;24; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;1;1;37000;2;2; ; ;2; ; ;2; ; ;1;893164;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;0;3; ;9;7; ;1; ;1;1;1;5;1;1; ; ; ; ; ; ; ; ;1;1;1;3;12;1; ;2; ; ; ; ; ; ; ;5;11;30; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;1;1;1;1;2;1;1;8; ;44;45;1;1;4511;908526;07;05;1041,9989283646; 
5494154;1;2;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;76; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2021;2;300000;1; ;3; ;12;2; ; ; ; ;3;1;2;24;1; ;24; ; ;1;1; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;2;4; ;2; ; ; ; ; ; ; ;1;14; ; ;1;24;1;1;1;1;1;1;2;2;2;2;2;2;1;TENER PRESTACIONES SOCIALES;1;1;1;2;1;2;1;1;8; ;41;47;1;4;4719;300000;07;05;893,50587535838; 
5494155;1;1;1;60;05;5;1;2;1; ;1; ; ;1;1;2;1;324; ;1; ;2;908526;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;106454;1;2; ; ;2; ; ;2; ; ;2; ; ;1;893164;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;12; ; ; ; ; ; ; ; ;48; ;                                                                                                                                                                                                                                                         .;48; ; ;9;7; ;1; ;1;1;1;24;1;1; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ; ;11;45; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;55;46;1;1;4645;908526;07;05;1220,80682284322; 
5494155;1;3;1;60;05;5;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;600000;1; ;3; ;12;2; ; ; ; ;3;4;2;20;1; ;20; ; ;1;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;6;1; ;2; ; ; ; ; ; ; ;2;3;2; ;1;28;1;1;1;1;1;1;2;1;2;2;2;2;2; ;2;1;1;2;2;2;2;1;5; ;57;96;1;4;9602;600000;07;05;1220,80682284322; 
5494156;1;1;1;60;05;5;1;1; ; ;1; ; ;1;2;2;2;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ;2;950000;1; ;3; ;12;2; ; ; ; ;1;1;1;60; ;                                                                                                                                                                                                                                                         .;60; ; ;4;7; ;1; ;1;2;2;20;1;1; ; ; ; ; ; ; ; ;2;2;1;6;60;1; ;2; ; ; ; ; ; ; ;7;3;1; ;2; ; ; ;1;1;1;1;1;1;2;2;1;2;2; ;2;1;2;2;2;2;2;2;3; ;79;14;1;4;1410;950000;07;05;1352,65861203127; 
5494157;1;1;1;60;05;5;1;1; ; ;1; ; ;1;2;2;2;2; ;1; ;2;750000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .;2; ; ; ; ; ; ; ; ;55; ;                                                                                                                                                                                                                                                         .;55; ; ;7;7; ;10; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;10;24;1; ;2; ; ; ; ; ; ; ;9;2;25; ;2; ; ; ;1;1;1;1;1;1;2;2;1;1;2; ;2;1;2;2;2;2;2;1;8; ;79;14;1;1;1410;750000;07;05;1483,47764511695; 
