DIRECTORIO;SECUENCIA_P;ORDEN;P6016;P3271;P6030S1;P6030S3;P6040;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;HOGAR;CLASE;P3038;P3039;AREA;LGB_Numerica;LGB_sectores;Trans_numerica;LGBT_Numerica;Discapacidad;Dificultad;Campesina;POB_MAY18;MES;PERIODO;DPTO;pt;FEX_C18;PER;REGIS
5061792;1;1;1;2;1;1976;46;1;1;2;3;;2;2;2;3;;;6;;;1;;;;;;;;;;;;1;1;3;489000;4;4;4;4;4;4;4;4;1;2;;10;10;421;7;421;1;1;1;2;88;0;;0;0;0;0;0;1;02;20220208;88;1;45.917043561;2022;10
5061792;1;2;2;2;3;1936;85;4;3;;3;;2;2;2;3;;;5;;;;;;;;;;;;;1;;1;1;5;;4;4;3;2;4;4;4;4;1;2;;3;5;;;;1;1;4;2;88;0;;0;0;1;1;0;1;02;20220208;88;1;45.917043561;2022;10
5061793;1;1;1;1;6;1963;58;1;3;;3;;2;2;2;6;;;4;;;1;1;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;1;2;1;88;0;;0;0;0;0;0;1;02;20220208;88;1;34.774870555;2022;10
5061794;1;1;1;1;5;1974;47;1;3;;2;;2;2;2;6;;;2;1;2;;1;;;;;;;;;;;1;1;3;400000;4;4;4;4;4;4;4;4;1;2;;8;4;11;5;11;1;1;2;1;88;0;;0;0;0;0;0;1;02;20220208;88;1;33.049523034;2022;10
5061794;1;2;2;2;6;1979;42;2;2;;2;;2;2;2;6;;;2;1;1;;1;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;1;1;2;88;0;;0;0;0;0;0;1;02;20220208;88;1;33.049523034;2022;10
5061794;1;3;2;2;10;2004;17;3;1;2;1;1;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;1;1;;;88;;;;;0;0;0;;02;20220208;88;1;33.049523034;2022;10
5061794;1;4;2;2;8;2011;10;3;1;2;1;1;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;1;1;;;88;;;;;0;0;0;;02;20220208;88;1;33.049523034;2022;10
5061795;1;1;1;2;3;1968;53;1;3;;3;;2;2;2;3;;;6;;;1;;;;;;;;;;;;1;1;1;255000;4;4;4;4;4;4;4;4;1;2;;8;5;413;5;413;1;1;1;2;88;0;;0;0;0;0;0;1;02;20220208;88;1;46.362416643;2022;10
5061795;1;2;2;2;3;1973;48;6;3;;3;;2;2;2;3;;;6;;;;;;;;;;;;;1;;1;1;1;258000;4;4;4;4;4;4;4;4;1;2;;10;10;719;7;719;1;1;1;2;88;0;;0;0;0;0;0;1;02;20220208;88;1;46.362416643;2022;10
5061795;1;3;1;2;10;2009;12;3;1;1;2;;2;2;2;3;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;1;1;;;88;;;;;0;0;0;;02;20220208;88;1;46.362416643;2022;10
5061797;1;1;1;2;9;1974;47;1;2;;2;;2;2;2;6;;;4;;;;;1;1;;;;;;;;;1;1;1;45000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;88;0;;0;0;0;0;0;1;02;20220208;88;1;36.831513116;2022;10
5061797;1;2;1;1;3;1992;30;3;1;1;2;;2;2;2;6;;;6;;;;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;2;1;88;0;;0;0;0;0;0;1;02;20220208;88;1;36.831513116;2022;10
5061797;1;3;1;1;10;2008;13;3;1;1;2;;2;2;2;6;;;6;;;1;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;1;1;;;88;;;;;0;0;0;;02;20220208;88;1;36.831513116;2022;10
5061799;1;1;1;1;9;1987;34;1;2;;2;;2;2;2;6;;;3;1;2;;;;1;;;;;;;;;1;1;3;390000;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;1;2;1;88;0;;0;0;0;0;0;1;02;20220208;88;1;47.898938918;2022;10
5061799;1;2;1;2;;;24;2;2;;2;;2;2;2;6;;;3;1;1;;;;;;;;;1;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;1;1;2;88;0;;0;0;0;0;0;1;02;20220208;88;1;47.898938918;2022;10
5061799;1;3;1;1;;;6;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;6;2;;3;;1;1;;;88;;;;;0;0;0;;02;20220208;88;1;47.898938918;2022;10
5061799;1;4;1;1;;;3;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;1;;;88;;;;;;;0;;02;20220208;88;1;47.898938918;2022;10
5061800;1;1;1;1;4;1965;56;1;2;;2;;2;2;2;6;;;3;1;2;;;;1;;;;;;;;;1;1;1;99;4;4;4;4;4;4;4;4;1;2;;10;10;411;7;411;1;1;2;1;88;0;;0;0;0;0;0;1;02;20220208;88;1;40.496692562;2022;10
5061800;1;2;1;2;5;1964;57;2;2;;2;;2;2;2;6;;;3;1;1;;;;1;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;10;10;612;7;612;1;1;1;2;88;0;;0;0;0;0;0;1;02;20220208;88;1;40.496692562;2022;10
5061801;1;1;1;1;4;1970;51;1;2;;2;;2;2;2;6;;;6;;;;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;1;2;1;88;0;;0;0;0;0;0;1;02;20220208;88;1;46.366494074;2022;10
5061802;1;1;1;2;12;1940;81;1;2;;2;;2;2;9;1;660_01;;4;;;1;1;1;1;1;;;;;;;;1;3;;;4;3;3;3;3;3;3;3;1;2;;3;5;;;;1;1;1;2;;0;;0;0;0;1;9;1;02;20220208;91;1;62.268800502;2022;10
5061802;1;2;2;2;10;2005;16;3;1;1;2;;2;2;2;1;660_01;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;1;1;;;;;;;;0;0;0;;02;20220208;91;1;62.268800502;2022;10
5061802;1;3;3;1;5;2007;14;3;1;1;2;;2;2;2;1;660_01;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;1;1;;;;;;;;0;0;0;;02;20220208;91;1;62.268800502;2022;10
5061802;1;4;4;1;7;2018;3;3;1;1;2;;2;2;2;1;660_01;;;;;;;;;;;;;;;;;1;3;;;2;3;2;3;4;3;4;3;2;2;;1;0;;;;1;1;;;;;;;;;;0;;02;20220208;91;1;62.268800502;2022;10
5061802;2;1;1;1;8;1980;41;1;2;;2;;2;2;2;1;660_01;;6;;;;1;1;1;1;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;62.268800502;2022;10
5061803;1;1;1;1;8;1962;59;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;;;;;;;;;;1;1;4;;4;4;4;4;4;4;4;4;1;2;;8;4;413;5;413;1;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;46.352454877;2022;10
5061803;1;2;2;2;8;1965;56;2;2;;2;;2;2;2;6;;;2;1;1;1;1;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;;0;;0;0;0;0;0;1;02;20220208;91;1;46.352454877;2022;10
5061804;1;1;1;1;8;1991;30;1;2;;2;;2;2;2;1;660_01;;2;2;;;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;172.38093492;2022;10
5061804;1;2;2;2;12;1987;34;2;2;;2;;2;2;2;1;660_01;;2;1;1;;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;;0;;0;0;0;0;0;1;02;20220208;91;1;172.38093492;2022;10
5061804;1;3;3;1;12;2011;10;3;1;2;1;1;2;2;2;1;660_01;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;1;1;;;;;;;;0;0;0;;02;20220208;91;1;172.38093492;2022;10
5061804;1;4;4;1;2;2013;9;3;1;2;1;1;2;2;2;1;660_01;;;;;;;;;;;;;;;;;2;;;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;1;1;;;;;;;;0;0;0;;02;20220208;91;1;172.38093492;2022;10
5061804;1;5;5;2;11;2016;5;3;1;2;1;1;2;2;2;1;660_01;;;;;;;;;;;;;;;;;1;3;;;2;2;2;2;3;3;3;2;2;2;;1;0;;;;1;1;;;;;;;;1;1;0;;02;20220208;91;1;172.38093492;2022;10
5061805;1;1;1;2;12;1995;26;1;2;;2;;2;2;2;1;660_01;;4;;;;1;1;1;1;;;;;;;;1;3;;;4;4;4;3;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;;0;;0;0;0;1;0;1;02;20220208;91;1;100.78070722;2022;10
5061805;1;2;2;1;4;2011;10;3;1;1;2;;2;2;2;1;660_01;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;5;;;;1;1;;;;;;;;0;0;0;;02;20220208;91;1;100.78070722;2022;10
5061806;1;1;1;2;7;1966;55;1;2;;2;;2;2;2;1;660_01;;2;1;2;;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;1;;;;1;1;1;2;;0;;0;0;0;0;0;1;02;20220208;91;1;53.178066235;2022;10
5061806;1;2;2;1;6;1966;55;2;2;;2;;2;2;2;1;660_01;;2;1;1;;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;1;2;1;;0;;0;0;0;0;0;1;02;20220208;91;1;53.178066235;2022;10
5061806;1;3;3;2;3;1987;34;3;1;1;2;;2;2;9;1;660_01;;6;;;;;;1;1;1;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;;0;;0;0;0;0;9;1;02;20220208;91;1;53.178066235;2022;10
