DIRECTORIO;SECUENCIA_P;ORDEN;P6016;P3271;P6030S1;P6030S3;P6040;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;HOGAR;CLASE;P3038;P3039;AREA;LGB_Numerica;LGB_sectores;Trans_numerica;LGBT_Numerica;Discapacidad;Dificultad;Campesina;POB_MAY18;MES;PERIODO;DPTO;pt;FEX_C18;PER;REGIS
5032621;1;1;1;1;4;1976;45;1;2;;2;;2;2;2;6;;;3;1;2;;;;1;;;1;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;101.38606248;2022;10
5032621;1;2;2;2;12;1977;44;2;1;5;2;;1;;2;6;;;3;1;1;;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;101.38606248;2022;10
5032621;1;3;3;2;6;2005;16;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;3;4;4;4;4;4;1;1;1;5;1;;1;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;101.38606248;2022;10
5032621;1;4;4;1;9;2007;14;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;101.38606248;2022;10
5032621;1;5;5;2;6;1954;67;5;2;;2;;1;;2;6;;;2;2;;;;;;;;;;;;1;;1;3;;;4;1;4;1;1;1;1;2;2;2;;1;0;;;;1;1;1;2;19;0;;0;0;1;1;0;1;02;20220205;19;1;101.38606248;2022;10
5032622;1;1;1;2;7;1988;33;1;2;;2;;2;2;2;6;;;2;1;2;1;;;;;;;;1;;;;1;1;3;360000;4;4;4;4;4;4;4;4;1;2;;10;10;912;7;912;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;204.82985735;2022;10
5032622;1;2;2;1;11;1995;26;2;2;;2;;2;2;2;6;;;2;1;1;1;;1;1;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;9;732;5;732;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;204.82985735;2022;10
5032623;1;1;1;2;2;1946;76;1;3;;3;;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;1;2;105000;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;111.74009729;2022;10
5032623;1;2;1;2;4;1942;79;6;3;;3;;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;1;3;90000;2;4;3;3;3;4;3;3;2;2;;1;0;;;;1;1;1;2;19;0;;0;0;1;1;0;1;02;20220205;19;1;111.74009729;2022;10
5032623;1;3;3;2;6;1949;72;6;3;;3;;2;2;2;6;;;6;;;;1;;;;;;;;;;;1;1;3;90000;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;111.74009729;2022;10
5032623;1;4;1;1;2;1951;70;6;2;;2;;2;2;2;6;;;4;;;;1;;;;;;;;;;;1;1;2;105000;4;4;3;1;3;3;3;3;1;2;;5;2;;2;;1;1;2;1;19;0;;0;0;1;1;0;1;02;20220205;19;1;111.74009729;2022;10
5032624;1;1;1;2;11;1954;67;1;3;;3;;2;2;2;6;;;2;1;2;;;1;;;;;;;;;;1;1;2;450000;4;4;3;4;4;4;4;4;1;2;;10;10;913;7;913;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;184.48442922;2022;10
5032624;1;2;2;1;8;1953;68;2;3;;3;;2;2;2;6;;;2;1;1;;;;1;;;;;;;;;1;1;5;;4;4;3;4;4;4;4;4;1;2;;4;1;;;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;184.48442922;2022;10
5032625;1;1;1;2;8;1974;47;1;2;;2;;2;2;2;6;;;4;;;1;;;;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;154.46044959;2022;10
5032626;1;1;1;2;5;1954;67;1;2;;3;;1;;2;6;;;6;;;1;1;1;1;;;;;1;;;;1;3;;;4;4;2;4;4;4;4;4;1;2;;3;1;;;;1;1;1;2;19;0;;0;0;1;1;0;1;02;20220205;19;1;141.01531776;2022;10
5032626;1;2;1;1;9;2004;17;8;2;;2;;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;9;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;141.01531776;2022;10
5032626;1;3;1;1;4;2012;9;8;2;;2;;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;141.01531776;2022;10
5032627;1;1;1;1;12;1964;57;1;3;;3;;2;1;2;6;;;3;1;2;1;1;1;;;;;;;;;;1;1;3;120000;4;4;3;4;4;4;4;4;1;2;;10;10;411;7;411;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;136.67016443;2022;10
5032627;1;2;2;2;1;1969;53;2;2;;2;;2;2;2;1;999_01;;3;1;1;1;;;;;;;;1;;;;1;1;5;;3;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;1;0;1;02;20220205;19;1;136.67016443;2022;10
5032627;1;3;3;1;7;1998;23;3;1;2;1;1;2;2;2;6;;;6;;;1;1;;1;;;;1;;;;;1;1;4;;4;4;4;4;4;4;4;4;1;1;1;10;9;714;2;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;136.67016443;2022;10
5032628;1;1;1;2;10;1951;70;1;3;;3;;2;2;2;6;;;5;;;1;;;;;;;;;;;;1;1;3;125000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;101.83093154;2022;10
5032628;1;2;2;2;3;1979;42;3;1;1;3;;2;2;2;6;;;2;1;3;;;;;;;;;;;1;;1;2;1;87000;4;4;4;4;4;4;4;4;1;2;;12;4;119;9;119;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;101.83093154;2022;10
5032628;1;3;2;1;5;1967;54;7;2;;3;;2;2;2;6;;;2;1;2;;;;;;;;;;;1;;1;1;3;125000;4;4;4;4;4;4;4;4;1;2;;12;4;119;9;119;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;101.83093154;2022;10
5032628;1;4;2;2;6;2008;13;8;1;2;1;3;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;4;3;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;101.83093154;2022;10
5032629;1;1;1;1;1;1945;77;1;3;;3;;1;;2;6;;;3;1;2;1;;;;;;;;;;;;1;3;;;2;4;3;2;3;4;4;3;1;2;;3;3;;;;1;1;2;1;19;0;;0;0;1;1;0;1;02;20220205;19;1;110.40333399;2022;10
5032629;1;2;2;2;6;1954;67;2;3;;3;;1;;2;6;;;3;1;1;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;110.40333399;2022;10
5032629;1;3;3;1;5;1984;37;3;1;2;1;1;2;2;2;6;;;2;1;4;1;;;;;;;;;;;;1;1;1;40000;4;4;4;4;4;4;4;4;1;2;;9;6;612;6;612;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;110.40333399;2022;10
5032629;1;4;4;2;11;1987;34;7;2;;2;;2;2;2;6;;;2;1;3;1;;;;;;;;;;;;1;1;1;40000;4;4;4;4;4;4;4;4;1;2;;8;4;913;5;913;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;110.40333399;2022;10
5032629;1;5;4;2;5;2020;1;8;1;4;1;3;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;1;1;;;19;;;;;;;0;;02;20220205;19;1;110.40333399;2022;10
5032630;1;1;1;1;11;1968;53;1;2;;2;;2;2;2;6;;;3;1;2;;;1;;;;1;;1;;;;1;2;2;140000;4;4;2;4;4;4;4;4;1;2;;5;2;;2;;1;1;2;1;19;0;;0;0;1;1;0;1;02;20220205;19;1;92.986804199;2022;10
5032630;1;2;1;2;6;1978;43;2;2;;2;;2;2;2;6;;;3;1;1;;1;;1;;;1;;1;;;;1;2;5;;4;4;4;4;4;4;4;4;1;2;;8;4;229;5;229;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;92.986804199;2022;10
5032630;1;3;2;2;6;2005;16;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;2;5;;4;4;2;4;4;4;4;4;1;2;;5;2;;2;;1;1;;;19;;;;;1;1;0;;02;20220205;19;1;92.986804199;2022;10
5032630;1;4;2;1;5;2008;13;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;2;5;;4;4;2;4;4;4;4;4;1;1;1;4;3;;;;1;1;;;19;;;;;1;1;0;;02;20220205;19;1;92.986804199;2022;10
5032631;1;1;1;1;12;1995;26;1;1;2;3;;1;;2;6;;;2;2;;1;;1;1;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;4;413;5;119;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;138.26015371;2022;10
5032631;1;2;2;2;1;1972;50;4;2;;3;;2;2;2;6;;;5;;;1;1;1;1;;;;;;;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;3;5;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;138.26015371;2022;10
5032635;1;1;1;2;12;1956;65;1;3;;3;;2;2;2;6;;;4;;;1;1;;;;;1;;1;;;;1;1;3;115000;4;4;4;3;4;4;4;4;1;2;;3;2;;;;1;1;1;2;19;0;;0;0;0;1;0;1;02;20220205;19;1;167.33026622;2022;10
5032635;1;2;2;1;3;1995;26;3;1;1;2;;2;2;2;6;;;6;;;1;;;;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;7;111;2;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;167.33026622;2022;10
5032636;1;1;1;1;1;1996;26;1;2;;2;;1;;2;6;;;2;1;2;;1;1;1;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;225.52840112;2022;10
5032636;1;2;2;2;4;2001;20;2;2;;2;;1;;1;6;;;2;1;1;1;1;1;1;;;1;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;0;1;1;02;20220205;19;1;225.52840112;2022;10
5032636;1;3;2;1;11;2019;2;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;1;1;;;19;;;;;;;0;;02;20220205;19;1;225.52840112;2022;10
5032636;2;1;1;1;8;2001;20;1;2;;2;;2;2;2;5;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;2;4;4;4;4;4;1;1;2;10;1;613;2;;2;1;2;1;19;0;;0;0;1;1;0;1;02;20220205;19;1;225.52840112;2022;10
5032637;1;1;1;2;11;1972;49;1;3;;3;;2;2;2;6;;;6;;;;1;;;;;;;1;;;;1;3;;;4;4;4;3;4;4;4;4;1;2;;3;5;;;;1;1;1;2;19;0;;0;0;0;1;0;1;02;20220205;19;1;171.62272177;2022;10
5032638;1;1;1;1;3;1961;60;1;1;2;3;;2;2;2;1;750_01;;4;;;;;;1;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;819;5;819;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;184.48442922;2022;10
5032638;1;2;2;2;5;1932;89;4;3;;3;;2;2;2;1;750_01;;5;;;;;;;;;;;;;1;;1;3;;;2;2;2;2;2;2;2;2;1;2;;3;2;;;;1;1;1;2;19;0;;0;0;1;1;0;1;02;20220205;19;1;184.48442922;2022;10
5032639;1;1;1;1;1;1985;37;1;2;;2;;2;2;2;6;;;2;1;2;1;;1;1;;;;;1;;;;1;1;1;110000;4;4;4;4;4;4;4;4;1;2;;10;10;413;7;413;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;211.28158139;2022;10
5032639;1;2;2;2;11;1987;34;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;421;7;421;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;211.28158139;2022;10
5032639;1;3;3;1;9;2013;8;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;3;3;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;211.28158139;2022;10
5032639;1;4;1;1;12;2019;2;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;1;1;;;19;;;;;;;0;;02;20220205;19;1;211.28158139;2022;10
5032640;1;1;1;1;10;1983;38;1;3;;3;;2;2;2;6;;;6;;;1;1;;1;;;;;1;;;;1;1;1;80000;4;4;3;4;4;4;4;4;1;2;;10;10;488;7;488;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;122.34744389;2022;10
5032640;1;2;2;2;5;1967;54;6;3;;3;;2;2;2;6;;;6;;;1;1;;1;;;1;;1;;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;122.34744389;2022;10
5032640;1;3;3;1;6;2002;19;9;1;2;2;;2;2;2;6;;;6;;;1;;;;;;;1;;;;;1;1;1;98;4;4;3;4;4;4;4;4;1;1;2;10;0;411;2;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;122.34744389;2022;10
5032641;1;1;1;2;2;2004;18;1;2;;2;;2;2;2;1;750_01;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;10;3;911;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;137.85924878;2022;10
5032642;1;1;1;2;5;1979;42;1;2;;3;;2;1;2;6;;;6;;;;;;1;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;119.47697128;2022;10
5032642;1;2;2;2;12;2001;20;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;4;;4;4;3;4;4;4;4;4;1;1;2;9;4;412;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;119.47697128;2022;10
5032642;1;3;3;1;11;2005;16;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;119.47697128;2022;10
5032644;1;1;1;1;9;1970;51;1;2;;2;;2;2;2;6;;;2;1;2;;1;;;;;1;;1;;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;48.597796209;2022;10
5032644;1;2;2;2;12;1983;38;2;3;;3;;1;;2;6;;;2;1;1;;;;;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;1;1;1;19;1;1;1;1;0;0;0;1;02;20220205;19;1;48.597796209;2022;10
5032644;1;3;3;2;12;2002;19;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;3;4;4;4;4;4;1;1;1;8;2;521;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;48.597796209;2022;10
5032644;1;4;2;2;1;2007;15;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;0;;1;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;48.597796209;2022;10
5032644;1;5;2;2;5;2011;10;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;48.597796209;2022;10
5032644;1;6;2;2;12;2013;8;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;2;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;48.597796209;2022;10
5032645;1;1;1;2;3;1986;35;1;3;;2;;2;2;2;6;;;3;2;;1;;;1;;;1;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;8;4;411;5;411;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;93.298685372;2022;10
5032645;1;2;1;2;7;2011;10;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;3;4;4;4;4;4;1;1;2;3;4;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;93.298685372;2022;10
5032645;1;3;1;2;8;2012;9;3;1;1;2;;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;3;3;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;93.298685372;2022;10
5032646;1;1;1;1;12;1961;60;1;3;;3;;2;2;2;6;;;3;1;2;;1;;;;;;;;;;;1;2;2;98;4;4;3;4;4;4;4;4;1;2;;10;10;221;7;221;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;91.038577004;2022;10
5032646;1;2;2;2;5;1964;57;2;3;;3;;2;2;2;6;;;3;1;1;1;;;;;;;;1;;;;1;2;5;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;91.038577004;2022;10
5032646;1;3;3;1;6;1997;24;3;1;2;1;1;2;2;2;6;;;6;;;1;;;;;;;;1;;;;1;1;1;98;4;4;3;4;4;4;4;4;1;2;;8;4;913;5;913;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;91.038577004;2022;10
5032646;1;4;4;2;4;1994;27;3;1;2;1;1;2;2;2;1;500_01;;6;;;1;;;;1;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;913;5;913;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;91.038577004;2022;10
5032646;1;5;4;2;11;2012;9;8;1;4;2;;2;2;2;1;500_01;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;3;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;91.038577004;2022;10
5032646;1;6;2;1;10;2016;5;8;1;4;2;;2;2;2;1;500_01;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;1;2;0;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;91.038577004;2022;10
5032647;1;1;1;2;5;1974;47;1;3;;3;;2;2;2;5;;;4;;;;;;1;;;;;;;;;1;1;1;40000;4;4;3;4;4;4;4;4;1;2;;8;3;419;5;419;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;190.69191307;2022;10
5032648;1;1;1;2;5;2003;18;1;2;;2;;2;2;2;6;;;6;;;;;;;;;;1;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;8;1;1012;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;80.996327014;2022;10
5032648;1;2;2;2;11;1999;22;13;2;;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;8;2;1012;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;80.996327014;2022;10
5032649;1;1;1;2;2;1998;23;1;2;;2;;2;1;2;6;;;6;;;1;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;9;6;721;6;721;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;137.85924878;2022;10
5032650;1;1;1;2;10;1981;40;1;2;;2;;2;2;2;6;;;2;1;2;;1;;1;;;;;1;;;;1;1;1;98;4;4;4;4;4;4;4;4;1;1;1;9;2;412;5;412;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;126.21847831;2022;10
5032650;1;2;2;1;1;1990;32;2;2;;2;;2;2;2;6;;;2;1;1;;1;;1;;;1;;1;;;;1;1;1;98;4;4;4;4;4;4;4;4;1;1;1;9;2;613;5;715;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;126.21847831;2022;10
5032650;1;3;3;1;10;1999;22;3;1;1;2;;2;2;2;6;;;6;;;;1;;1;;;1;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;10;6;719;2;;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;126.21847831;2022;10
5032650;1;4;2;1;5;2008;13;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;2;4;4;4;4;4;4;4;1;1;1;4;3;;;;1;1;;;19;;;;;1;1;0;;02;20220205;19;1;126.21847831;2022;10
5032650;1;5;2;1;3;2015;6;3;1;1;1;2;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;1;1;;;19;;;;;0;0;0;;02;20220205;19;1;126.21847831;2022;10
5032651;1;1;1;2;8;1962;59;1;2;;2;;2;2;2;6;;;6;;;1;;1;1;;;;;1;;;;1;1;2;130000;4;4;4;4;4;4;4;4;1;2;;10;10;313;7;313;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;171.78457374;2022;10
5032652;1;1;1;2;1;1957;65;1;3;;3;;2;2;2;6;;;4;;;;;;;;;1;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;112;7;112;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;171.78457374;2022;10
5032653;1;1;1;1;3;2002;19;1;2;;2;;2;2;2;1;290_01;;6;;;;;;;;;;;;;1;;1;1;1;98;4;4;4;4;4;4;4;4;1;2;;8;4;913;5;913;1;1;2;1;19;0;;0;0;0;0;0;1;02;20220205;19;1;207.23928884;2022;10
5032654;1;1;1;2;5;2003;18;1;2;;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;10;2;915;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;137.85924878;2022;10
5032655;1;1;1;2;5;1964;57;1;3;;3;;2;2;2;6;;;2;2;;;;;;;;;;1;;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;4;4;;;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;103.08558174;2022;10
5032655;1;2;2;2;11;1990;31;3;1;1;2;;2;2;2;6;;;3;2;;;1;;;;;;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;19;0;;0;0;0;0;0;1;02;20220205;19;1;103.08558174;2022;10
5032655;1;3;2;1;5;2017;4;8;1;2;2;;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;1;;;19;;;;;;;0;;02;20220205;19;1;103.08558174;2022;10
5032655;1;4;2;1;10;2018;3;8;1;2;2;;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;1;;;19;;;;;;;0;;02;20220205;19;1;103.08558174;2022;10
5032655;1;5;2;2;8;2020;1;8;1;2;2;;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;1;1;;;19;;;;;;;0;;02;20220205;19;1;103.08558174;2022;10
5032657;1;1;1;2;8;1979;42;1;3;;2;;1;;2;6;;;4;;;1;1;1;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;1;2;20;0;;0;0;0;0;0;1;02;20220205;20;1;126.55933323;2022;10
5032657;1;2;2;1;7;2005;16;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;1;1;;;20;;;;;0;0;0;;02;20220205;20;1;126.55933323;2022;10
5032657;1;3;3;1;3;2005;16;9;2;;2;;2;2;2;6;;;6;;;1;1;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;1;1;;;20;;;;;0;0;0;;02;20220205;20;1;126.55933323;2022;10
5032658;1;1;1;1;5;1946;75;1;3;;3;;2;2;2;6;;;3;1;2;1;;;1;;;;;;;;;1;2;2;70000;2;3;2;3;3;3;3;3;1;2;;5;2;;2;;1;1;2;1;20;0;;0;0;1;1;0;1;02;20220205;20;1;121.74368981;2022;10
5032658;1;2;2;2;3;1969;52;2;3;;3;;2;2;2;6;;;3;1;1;1;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;8;4;411;5;411;1;1;1;2;20;0;;0;0;0;0;0;1;02;20220205;20;1;121.74368981;2022;10
5032658;1;3;3;1;2;1987;35;3;1;2;1;1;2;2;2;6;;;6;;;;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;9;719;2;;1;1;2;1;20;0;;0;0;0;0;0;1;02;20220205;20;1;121.74368981;2022;10
5032658;1;4;4;2;11;1993;28;3;1;2;1;1;2;2;2;6;;;6;;;1;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;913;7;913;1;1;1;2;20;0;;0;0;0;0;0;1;02;20220205;20;1;121.74368981;2022;10
5032659;1;1;1;2;5;1962;59;1;3;;3;;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;112;5;112;1;1;1;2;20;0;;0;0;0;0;0;1;02;20220205;20;1;102.19686705;2022;10
5032659;1;2;2;1;5;1998;23;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;1;2;1;20;0;;0;0;0;0;0;1;02;20220205;20;1;102.19686705;2022;10
5032659;1;3;3;2;9;2003;18;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;1;919;2;;1;1;1;2;20;0;;0;0;0;0;0;1;02;20220205;20;1;102.19686705;2022;10
5032660;1;1;1;1;8;1990;31;1;2;;2;;2;2;2;6;;;6;;;;;;;;1;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;1;2;1;20;0;;0;0;0;0;0;1;02;20220205;20;1;152.94691253;2022;10
