DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P3044;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P3047;P3048;P3049;P6765;P6765S1;P3053;P3054;P3055;P3056;P6760;P3061;P3063;P3064;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;CLASE;OCI;AREA;P6430;RAMA4D_R4;OFICIO_C8;RAMA2D_R4;INGLABO;MES;PERIODO;DPTO;FT;FEX_C18;P3363;P3364;P3364S1;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3051;P3051S1;P3052;P3052S1;P3365;P3365S1;P3054S1;P3055S1;P3057;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063S1;P3064S1;P3366;PER;REGIS
5032631;1;2;1;VENTA DE LICORES;2;;;;;;;;;;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;7;;;;;1;1;;;;;;1;2;;1;2;510000;1;;3;;6;1;11;70;;;70;;;2;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;2;1;1;1;2;1;1;2;2;2;1;1;2;2;2;1;1;14;;5;1;1;19;4;4711;5223;47;510000;02;20220205;19;1;138.26015371;;;;;1;1;0;1;0;3;;;;;;;;;900000;0;700000;0;330000;0;;;;;;;;;;;;;;2022;60
5032636;1;1;1;VENTA DE ZAPATILLAS DEPORTIVAS;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;7;;;;;1;1;;;;;;1;2;;2;;2500000;1;;3;;3;2;12;60;;;60;;;1;7;;2;;2;;;;2;2;1;6;60;4;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;2;2;1;1;19;4;4772;5221;47;2500000;02;20220205;19;1;225.52840112;;;;;2;;;;;3;;;;;;;;;7000000;2500000;4000000;400000;100000;0;;;;;;;;;;;;;;2022;60
5032638;1;1;1;RECARGAS VENTA DE MINUTOS TRANSPORTE TERRESTRE DE PERSONAS;1;1;;;1;;2;2;2;2;2;120;;9;9;9;9;2;400000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;70;;;70;;;2;2;;2;;2;;;;2;2;1;48;240;2;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;2;2;1;14;;8;1;1;19;1;6190;5223;61;400000;02;20220205;19;1;184.48442922;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032639;1;1;1;AHORRO DE LOS AFILIADOS;1;2;1;;1;;1;1;1;1;1;84;;1;1;1;1;2;2400000;2;;;2;;2;;2;;2;;2;;;1;117172;1;1;80000;2;2;;;2;;;2;;;1;1200000;1;1200000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;6;7;;1;;1;1;1;10;1;1;1;0;60;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;8;20;1;1;1;19;1;6532;3322;65;2400000;02;20220205;19;1;211.28158139;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032639;1;2;1;ASESORIAS Y REPRESENTACION JURIDICA;1;1;;;1;;2;2;2;2;2;36;;9;9;9;9;2;1000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;48;;;48;;;2;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;2;14;;2;1;1;19;1;6910;2611;69;1000000;02;20220205;19;1;211.28158139;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032640;1;1;1;CHOCOLATES GALLETAS CAFE PASTA Y ENLATADOS;1;2;2;12;1;;1;1;1;1;1;60;;1;1;1;1;2;1500000;2;;;2;;2;;2;;1;50000;2;;;1;117000;2;2;;;2;;;2;;;2;;;1;800000;1;80000;1;800000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;7;7;;1;;1;2;1;20;1;1;1;0;14;1;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;20;9;1;1;19;1;4631;5222;46;1500000;02;20220205;19;1;122.34744389;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032640;1;3;1;CHOCOLATES GALLETIA CAFE PASTA Y ENLATADOS;1;2;2;12;1;;1;1;1;1;1;12;;1;1;1;1;2;1000000;2;;;2;;2;;2;;1;200000;2;;;1;117000;2;2;;;2;;;2;;;2;;;1;506000;1;506000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;72;;;72;;;10;4;;1;;1;1;1;1;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;20;3;1;1;19;1;4631;9621;46;1000000;02;20220205;19;1;122.34744389;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032644;1;1;1;PORTONES  PUERTAS VENTANAS Y  REJAS;1;1;;;1;;2;2;2;2;2;4;;1;1;1;1;2;400000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;20;1;;20;;;2;7;;2;;2;;;;2;2;1;18;70;1;;1;;2;;;;;;1;28;1;1;1;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;3;30;8;1;1;19;1;2410;7222;24;400000;02;20220205;19;1;48.597796209;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032645;1;1;1;ROPA PARA DAMAS CABALLEROS Y NIÑOS;1;1;;;1;;1;2;2;2;2;96;;2;2;2;2;2;400000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;21;2;;21;;;3;2;;3;;2;;;;2;2;1;24;36;1;;7;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;1;2;2;1;2;30;8;1;1;19;1;4759;5212;47;400000;02;20220205;19;1;93.298685372;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
5032646;1;1;1;EDUCACION FORMAL EN PREESCOLAR BASICA PRIMARIA BASICA SECUNDARIA Y MEDIA;1;2;1;;1;;1;1;1;1;1;288;;1;1;1;1;2;3000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;1;3000000;1;1500000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;48;;;48;;;10;7;;1;;3;;;;1;1;1;0;96;1;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;8;55;2;1;1;19;2;8530;2330;85;3000000;02;20220205;19;1;91.038577004;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
