PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250209;02;2025;8115726;1;1;1;70;;2;569.06125586;68;1;;;;;;;;;1;;7;0;4;4;1;2;3;;2;;.;8332;49;4923
20250209;02;2025;8115726;1;2;1;70;;2;569.06125586;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115727;1;1;1;70;;2;742.07859003;68;1;;;;;;;;;1;;14;0;5;1;10;2;3;;2;;.;1221;21;2100
20250209;02;2025;8115727;1;2;1;70;;2;742.07859003;68;;1;4;1;;;;48;1600000;1;;6;0;4;1;10;2;2;;2;;5321;5321;86;8610
20250209;02;2025;8115730;1;1;1;70;;2;183.05775159;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115730;1;3;1;70;;2;183.05775159;68;1;;;;;;;;;1;;12;0;6;4;1;2;2;;2;;.;9111;81;8121
20250209;02;2025;8115731;1;1;1;70;;2;158.42292973;68;1;;;;;;;;;1;;180;0;8;1;10;2;2;;2;;.;9312;42;4210
20250209;02;2025;8115732;1;2;1;70;;2;78.851075472;68;1;;;;;;;;;1;;12;0;3;1;3;2;2;;2;;.;5131;56;5611
20250209;02;2025;8115733;1;1;1;70;;2;137.95778487;68;;1;4;1;;;;48;1423500;1;;3;0;8;1;10;1;2;;2;;5312;5312;88;8891
20250209;02;2025;8115734;1;1;1;70;;2;114.60046139;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115734;1;2;1;70;;2;114.60046139;68;1;;;;;;;;;1;;24;0;4;1;4;2;2;;2;;.;1311;01;0141
20250209;02;2025;8115734;1;4;1;70;;2;114.60046139;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115734;1;6;1;70;;2;114.60046139;68;;1;48;1;;;;48;1423500;1;;2;0;8;1;10;2;2;;2;;9112;7511;10;1011
20250209;02;2025;8115736;1;5;1;70;;2;90.752790502;68;;1;4;1;;;;48;1423500;1;;1;0;8;1;10;2;2;;1;1560000;5223;5223;47;4771
20250209;02;2025;8115738;1;1;1;70;;2;119.61664697;68;1;;;;;;;;;1;;60;0;4;3;1;2;2;;2;;.;9111;97;9700
20250209;02;2025;8115738;1;2;1;70;;2;119.61664697;68;1;;;;;;;;;1;;72;0;5;1;5;2;3;;2;;.;5414;92;9200
20250209;02;2025;8115739;1;2;1;70;;2;315.40430189;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115741;1;1;1;70;;2;1487.6024891;68;1;;;;;;;;;1;;140;0;4;4;1;2;2;;2;;.;9211;01;0123
20250209;02;2025;8115741;1;2;1;70;;2;1487.6024891;68;1;;;;;;;;;1;;96;0;3;4;1;2;2;;2;;.;9111;81;8121
20250209;02;2025;8115741;1;4;1;70;;2;1487.6024891;68;;1;4;1;;;;48;1423000;1;;1;0;8;7;3;2;2;;2;;9211;9211;01;0121
20250209;02;2025;8115744;1;2;1;70;;2;997.40540708;68;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;9111;81;8121
20250209;02;2025;8115744;1;3;1;70;;2;997.40540708;68;;1;24;1;;;;48;1420000;2;;;;;;;;2;;2;;5223;;;
20250209;02;2025;8115745;1;1;1;70;;2;1007.1568987;68;;1;5;3;;;;48;1000000;1;;1;1;8;4;1;2;2;;2;;9111;9211;01;0161
20250209;02;2025;8115746;1;1;1;70;;2;1575.090989;68;1;;;;;;;;;1;;18;0;7;4;1;2;2;;2;;.;1420;47;4761
20250209;02;2025;8115746;1;2;1;70;;2;1575.090989;68;1;;;;;;;;;1;;12;0;5;1;3;2;3;;2;;.;1420;47;4771
20250209;02;2025;8115747;1;2;1;70;;2;2412.2154373;68;1;;;;;;;;;1;;43;0;8;1;7;2;2;;2;;.;4120;36;3600
20250209;02;2025;8115747;1;3;1;70;;2;2412.2154373;68;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115748;1;1;1;70;;2;1755.7707037;68;1;;;;;;;;;1;;8;0;8;4;1;2;2;;2;;.;9211;01;0161
20250209;02;2025;8115749;1;2;1;70;;2;979.38393105;68;1;;;;;;;;;1;;36;0;8;6;2;2;2;;2;;.;9211;01;0123
20250209;02;2025;8115751;1;1;1;70;;1;1075.2027883;54;1;;;;;;;;;1;;168;0;5;4;1;2;3;;2;;.;8324;49;4921
20250209;02;2025;8115751;1;2;1;70;;1;1075.2027883;54;1;;;;;;;;;1;;144;0;8;1;10;2;2;;2;;.;9112;84;8424
20250209;02;2025;8115752;1;1;1;70;;1;2893.7380242;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115753;1;3;1;70;;1;2214.7077304;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115755;1;1;1;70;;1;3176.8281087;54;1;;;;;2;4;;1500000;1;;36;0;3;1;3;2;2;;2;;.;5120;56;5611
20250209;02;2025;8115756;1;1;1;70;;1;1436.5549023;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115756;1;2;1;70;;1;1436.5549023;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115757;1;1;1;70;;1;654.86931707;54;1;;;;;;;;;1;;24;0;4;2;10;2;3;;2;;.;2341;85;8530
20250209;02;2025;8115757;1;2;1;70;;1;654.86931707;54;1;;;;;2;5;;1500000;1;;1;0;7;4;1;2;2;;2;;.;5131;56;5611
20250209;02;2025;8115757;1;4;1;70;;1;654.86931707;54;1;;;;;;;;;1;;120;0;8;3;1;2;2;;2;;.;9111;97;9700
20250209;02;2025;8115757;1;8;1;70;;1;654.86931707;54;1;;;;;2;5;;2000000;2;;;;;;;;2;;2;;.;.;;.
20250209;02;2025;8115758;1;1;1;70;;1;688.96968541;54;1;;;;;;;;;1;;384;0;5;2;10;2;3;;2;;.;5412;84;8423
