DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5423762,1,3,1,80,2,2,,,,2,,,.,2,,2,,2,,400000,2,1,04,,18,315.51198751
5423762,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,315.51198751
5423763,1,2,1,80,2,1,8,,2,,,2,,2,,2,,1,30,500000,2,1,04,1.2,18,491.07062366
5423763,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,491.07062366
5423763,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,491.07062366
5423764,1,2,1,80,2,2,,,,2,,,.,2,,2,,1,40,300000,2,1,04,,18,464.57728291
5423767,1,2,1,80,2,1,8,,2,,,9,,2,,2,,1,40,500000,2,1,04,4,18,205.41991919
5423770,1,2,1,80,2,1,8,,2,,,1,,2,,2,,1,48,908526,2,1,04,3,18,185.90564222
5423770,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,185.90564222
5423770,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,185.90564222
5423772,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,18,222.05975176
5423773,1,3,1,80,2,2,,,,2,,,.,2,,1,100000,,,,2,1,04,,18,336.68610169
5423774,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,332.15182008
5423774,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,332.15182008
5423775,1,1,1,80,2,1,4,,2,,,4,,2,,2,,2,,500000,2,1,04,4,18,307.08857791
5423776,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,2,18,644.59662378
5423776,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,644.59662378
5423777,1,1,1,80,2,1,3,,2,,,8,,2,,2,,,,,2,1,04,4,18,222.05975176
5423779,1,1,1,80,2,1,7,,2,,,9,,2,,2,,1,30,400000,2,1,04,2,18,383.42175075
5423780,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,18,161.14915595
5423780,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,18,161.14915595
5423781,1,1,1,80,2,1,6,,2,,,9,,2,,2,,2,,500000,2,1,04,4,18,607.75179531
5424710,1,2,1,80,2,1,8,,2,,,9,,2,,2,,,,,2,1,04,1.1,68,1488.6955899
5424711,1,2,1,80,2,1,3,,2,,,9,,2,,2,,1,24,400000,2,1,04,2,68,2073.2667276
5424711,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,68,2073.2667276
5424712,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,68,1291.8081318
5424725,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,54,709.86327831
5424726,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,830.38905151
5424728,1,1,1,80,2,1,9,POR LA EDAD,2,,,8,,2,,2,,,,,2,1,04,2,54,550.72419086
5424728,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,54,550.72419086
5424758,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,70,1229.0660284
5424758,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1229.0660284
5424758,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1229.0660284
5424758,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1229.0660284
5424758,1,6,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1229.0660284
5424759,1,1,1,80,2,1,4,,2,,,11,,2,,2,,,,,2,1,04,4,70,560.90546481
5424759,1,3,1,80,2,1,3,,2,,,1,,2,,2,,1,48,500000,2,1,04,3,70,560.90546481
5424760,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,819.44676521
5424760,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,819.44676521
5424760,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,819.44676521
5424760,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,819.44676521
5424761,1,1,1,80,2,1,4,,2,,,1,,2,,2,,,,,2,1,04,4,70,1211.3799359
5424761,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1211.3799359
5424762,1,2,1,80,2,1,8,,2,,,9,,2,,2,,,,,2,1,04,4,70,560.90546481
5424762,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,560.90546481
5424762,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,560.90546481
5424762,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,560.90546481
5424763,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1591.9691702
5424763,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1591.9691702
5424763,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1591.9691702
5424763,1,6,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1591.9691702
5424765,1,2,1,80,2,1,3,,2,,,9,,2,,2,,2,,400000,2,1,04,4,70,1683.1849285
5424768,1,1,1,80,2,1,3,,2,,,9,,2,,2,,1,40,450000,2,1,04,2,70,990.94247498
5424769,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,975.17699258
5424769,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,975.17699258
5424770,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,70,650.57811427
5424771,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,945.50487782
