DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5418346,1,2,1,80,05,1,4,,2,,,4,,2,,2,,2,,908000,2,1,04,4,05,1350.7709735
5418348,1,2,1,80,05,1,5,,2,,,11,,3,,2,,,,,3,1,04,4,05,1159.4765874
5418348,1,3,1,80,05,1,4,,2,,,4,,2,,2,,2,,908526,2,1,04,3,05,1159.4765874
5418348,1,5,1,80,05,2,,,,2,,,.,,,2,,,,,,1,04,,05,1159.4765874
5418352,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,04,2,05,1372.919943
5418353,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1126.1124225
5418353,1,3,1,80,05,2,,,,2,,,.,,,2,,,,,,1,04,,05,1126.1124225
5418354,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,05,1138.762819
5418354,1,2,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,05,1138.762819
5418354,1,3,1,80,05,1,4,,2,,,4,,2,,2,,1,48,908526,2,1,04,4,05,1138.762819
5418354,1,4,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1138.762819
5418355,1,1,1,80,05,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,05,1397.4343968
5418357,1,1,1,80,05,1,3,,2,,,9,,2,,2,,2,,908000,2,1,04,1.3,05,1567.1085675
5418359,1,1,1,80,05,1,5,,2,,,9,,3,,2,,1,48,908000,3,1,04,4,05,1463.8061657
5418360,1,2,1,80,05,1,9,PANDEMIA CUARENTENA,2,,,12,PARA EVITAR CONTAGIO POR PANDEMIA,1,,2,,1,48,908526,2,1,04,2,05,1161.0889512
5418360,1,3,1,80,05,1,8,,1,,1,2,,2,,2,,,,,2,1,04,4,05,1161.0889512
5418360,1,4,1,80,05,1,8,,2,,,2,,1,,2,,,,,2,1,04,1.3,05,1161.0889512
5418363,1,2,1,80,05,1,4,,2,,,4,,2,,2,,2,,908000,2,1,04,1.3,05,1249.7889726
5418366,1,1,1,80,05,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,05,1466.5939191
5418366,1,2,1,80,05,2,,,,2,,,.,,,2,,,,,,1,04,,05,1466.5939191
5418368,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1491.6583742
5418369,1,2,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1344.1922332
5418372,1,1,1,80,05,1,7,,2,,,8,,2,,2,,2,,908000,2,1,04,2,05,1153.0653112
5418372,1,3,1,80,05,1,7,,2,,,8,,2,,2,,1,30,908000,2,1,04,1.2,05,1153.0653112
5418373,1,1,1,80,05,1,3,,2,,,9,,2,,2,,1,48,908526,2,1,04,3,05,1209.5368255
5418374,1,1,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1249.7889726
5418375,1,3,1,80,05,2,,,,2,,,.,,,2,,,,,,1,04,,05,1115.6009174
5418375,1,4,1,80,05,2,,,,2,,,.,,,2,,,,,,1,04,,05,1115.6009174
5418376,1,1,1,80,05,1,4,,2,,,4,,2,,2,,2,,908526,2,1,04,4,05,1332.3776062
5418377,1,1,1,80,05,1,5,,2,,,10,,1,,2,,,,,3,1,04,4,05,1270.502741
5418377,1,2,1,80,05,1,5,,2,,,10,,1,,2,,,,,3,1,04,4,05,1270.502741
5418378,1,2,1,80,05,1,6,,1,,1,8,,2,,2,,1,6,908526,2,1,04,4,05,1249.7889726
5418380,1,2,1,80,05,1,4,,2,,,4,,2,,2,,,,,2,1,04,3,05,1456.0824139
5418380,1,3,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1456.0824139
5418381,1,1,1,80,05,2,,,,2,,,.,2,,2,,,,,2,1,04,,05,1249.7889726
5418414,1,1,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,253.22924698
5418414,1,2,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,253.22924698
5418414,1,5,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,253.22924698
5418414,1,6,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,253.22924698
5418415,1,1,1,80,17,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,17,189.92782956
