DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5422874,1,2,1,60,2,70,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,21,2,,21,,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,47,1,04,6,4711,,70,862.80549969,
5422875,1,1,1,60,2,70,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,200000,1,4000000,1,,12,2,,,,,3,10,2,40,,.,40,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,6,4,,2,,,,,,,,3,14,,,2,,,,1,1,2,1,2,1,2,1,1,2,2,,1,1,2,2,1,2,2,1,5,,62,02,1,04,4,0220,200000,70,1630.1576651,
5422875,1,2,1,60,2,70,1,1,,,1,,,1,2,2,2,6,,1,,2,200000,2,,,1,180000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,40,,.,40,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,53,56,1,04,1,5611,380000,70,1630.1576651,
5422876,1,1,1,60,2,70,2,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,2000000,1,24000000,3,,12,1,1,0,0,1,3,3,2,54,,.,54,,,2,7,,2,,2,,,,1,,,,,,1,,,,2,2,1,0,83,1,,2,,,,,,,,10,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,9,,41,47,1,04,4,4711,2000000,70,1096.7814671,
5422876,1,2,1,60,2,70,2,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,.,12,,,,,,,,,24,2,,24,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,5,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,3,,45,47,1,04,6,4711,,70,1096.7814671,
5423724,1,2,1,60,2,15,2,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,450000,1,4800000,2,,12,2,,,,,2,10,2,32,2,,32,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,20,,2,,,,2,,,,,,,,,,,,,,2,2,1,2,2,1,3,,61,01,1,04,4,0161,450000,15,1288.0474653,
5423727,1,1,1,60,2,15,1,1,,,1,,,1,2,2,2,12,,1,,2,360000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,24,2,,24,,,2,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,6,4,,2,,,,,,,,8,3,6,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,1,1,5,,60,01,1,04,1,0121,360000,15,1478.9542786,
5423728,1,1,1,60,2,15,1,1,,,1,,,1,2,2,2,60,,1,,2,450000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,24,2,,24,,,4,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,1,15,14,1,,120000,2,8,,3,10,,2,,,,2,,,,,,,,,,,,,,1,2,2,2,1,1,3,,60,01,1,04,1,0121,570000,15,3249.9263677,
5423734,1,1,1,60,2,15,2,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,800000,1,8000000,3,,12,2,,,,,2,9,2,48,,.,48,,,1,4,,2,,2,,,,1,,,1,,,,,,,2,2,1,5,240,1,,2,,,,,,,,3,3,2,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,2,,98,49,1,04,4,4923,800000,15,1288.0474653,
5423735,1,1,1,60,2,15,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,,1,99,3,,12,1,4,4,0,0,2,6,2,48,,.,48,,,3,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,120,4,,2,,,,,,,,10,3,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,61,01,1,04,5,0121,,15,1721.6859079,
5423736,1,2,1,60,2,15,1,2,1,,1,,,1,1,1,1,120,,5,,2,2300000,2,,,2,,2,,2,,2,,2,,,2,,,1,60000,2,2,,,2,,,2,,,1,1200000,1,2300000,1,2300000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,3,1,10,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,11,17,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,1,,13,85,1,04,2,8530,2300000,15,1002.738608,
5423737,1,1,1,60,2,15,1,2,2,12,2,4,ASOCIACION DE PADRES DE FAMILIA,1,1,1,1,241,,1,,2,908526,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,480000,1,650000,1,480000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,3,7,,1,,1,2,1,17,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,3,30,,2,,,,2,,,,,,,,,,,,,,2,1,1,2,2,1,3,,54,88,1,04,1,8890,908526,15,905.1447517,9499
