DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5424816,1,3,1,70,2,12,48,1,,2,6,1,,5,2,1,,,,,,,,,,,1,1,400000,1200000,2,,07,97,71,1,1,04,0722,17,1245.6863585
5424831,1,2,1,70,2,8,20,4,,2,50,1,,9,2,1,,,,,,,,,,,1,2,,600000,2,,88,55,53,1,1,04,8890,17,827.9449776
5424831,1,3,1,70,2,15,48,1,,1,,,,,,,,.,,,,,,,,.,,,,800000,,,,33,,1,2,04,.,17,827.9449776
5424849,1,4,1,70,2,16,48,1,,2,60,1,,4,2,1,,,,,,,,,,,1,2,,400000,2,,56,53,53,1,2,04,5611,17,466.18746955
5427616,1,1,1,70,2,4,50,8,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,01,62,62,1,1,04,0161,68,782.65437027
5427617,1,1,1,70,2,16,48,4,,2,16,1,,2,2,4,,,,,,,,,,,1,2,,900000,3,,68,95,62,1,2,04,6820,68,1143.2606105
5427620,1,2,1,70,2,28,48,1,,2,28,1,,4,2,1,,,,,,,,,,,1,2,,1000000,2,,41,95,95,1,2,04,4111,68,1927.7801702
5427620,2,1,2,70,2,144,50,1,,2,144,1,,4,2,1,,,,,,,,,,,1,2,,1200000,2,,42,95,95,1,2,04,4210,68,1927.7801702
5427620,2,2,2,70,2,4,24,1,,2,4,1,,3,2,1,,,,,,,,,,,1,1,60000,200000,2,,56,53,53,1,1,04,5611,68,1927.7801702
5427620,3,1,3,70,2,16,84,1,,2,16,1,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,86,59,59,1,2,04,8610,68,1927.7801702
5427622,1,3,1,70,2,4,40,2,,2,40,2,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,84,58,58,1,1,04,8423,70,751.86986574
5427623,1,1,1,70,2,5,40,4,,2,3,4,,1,2,1,,,,,,,,,,,1,1,350000,600000,2,,01,61,61,1,1,04,0161,70,1478.8810759
5427623,1,2,1,70,2,4,40,3,,2,42,4,,1,2,1,,,,,,,,,,,1,2,,300000,2,,56,54,45,1,1,04,5619,70,1478.8810759
5427624,1,1,1,70,2,6,40,1,,2,8,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,86,59,59,1,1,04,8610,70,774.31547264
5427627,1,4,1,70,2,5,45,4,,2,4,4,,2,2,1,,,,,,,,,,,1,1,300000,600000,2,,47,61,62,1,1,04,4759,70,726.23999862
5427631,1,4,1,70,2,4,40,3,,2,30,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,04,9700,70,906.8633111
5427660,2,1,2,70,2,2,50,4,,2,3,4,,1,2,8,,,,,,,,,,,1,1,250000,300000,2,,56,53,53,1,1,04,5611,54,811.43225304
5427661,1,3,1,70,2,52,48,4,,2,52,4,,1,2,8,,,,,,,,,,,1,2,,900000,2,,49,98,98,1,2,04,4923,54,1621.5550523
5427661,1,4,1,70,2,52,40,3,,2,52,4,,1,2,8,,,,,,,,,,,1,2,,900000,2,,56,54,53,1,2,04,5611,54,1621.5550523
5427662,1,2,1,70,2,4,50,4,,1,,,,,,,,.,,,,,,,,.,,,,600000,,,,61,,1,1,04,.,54,558.99335152
5427667,1,1,1,70,2,15,48,1,,2,120,1,,4,2,1,,,,,,,,,,,1,2,,400000,2,,56,53,53,1,2,04,5611,54,892.22235704
5427676,1,2,1,70,2,12,48,3,,2,12,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,04,9700,17,466.18746955
5428138,1,1,1,70,2,4,48,4,,2,16,4,,2,2,4,,,,,,,,,,,1,2,,500000,2,,41,95,95,1,1,04,4111,70,1024.7309247
5428146,1,1,1,70,2,2,42,3,,2,250,3,,1,2,1,,,,,,,,,,,1,2,,800000,2,,97,54,54,1,1,04,9700,70,1356.1240244
5428152,1,3,1,70,2,5,49,4,,2,5,4,,1,2,1,,,,,,,,,,,1,1,250000,300000,2,,01,61,61,1,1,04,0161,70,1341.8370001
5428156,1,1,1,70,2,2,40,3,,2,56,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,56,54,53,1,1,04,5619,70,835.62314849
5428165,1,2,1,70,2,1,46,3,,2,15,3,,2,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,04,9700,70,1334.1796813
5428394,1,3,1,70,2,4,40,1,,2,5,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,47,13,45,1,1,04,4752,70,663.37983869
5428396,1,2,1,70,2,7,40,1,,2,8,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,56,45,45,1,1,04,5611,70,963.45424741
5428397,1,1,1,70,2,5,40,4,,2,4,4,,1,2,1,,,,,,,,1,,,,1,350000,400000,2,,01,61,61,1,1,04,0161,70,1118.8471716
5428399,1,2,1,70,2,4,40,3,,2,12,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,04,9700,70,560.90546481
5429201,1,3,1,70,2,8,48,1,,2,12,8,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,01,34,62,1,1,04,0114,68,782.65437027
5429231,1,2,1,70,2,16,50,1,,2,48,4,,1,2,2,,,,,,,,,,,1,2,,500000,2,,47,53,41,1,2,04,4729,68,1023.5585774
5429234,1,1,1,70,2,48,48,1,,2,48,1,,6,2,4,,,1,,1,,1,,,,,2,,1200000,1,1,64,32,32,1,2,04,6412,68,1350.3999427
5429234,1,2,1,70,2,4,48,1,,2,144,1,,4,2,2,,,,1,,,,,,,,2,,2000000,1,4,41,97,97,1,1,04,4111,68,1350.3999427
5429239,1,1,1,70,2,16,56,1,,2,16,1,,2,2,7,,,,,,,,,,,1,2,,600000,2,,41,95,95,1,2,04,4111,68,1233.4421017
5429350,1,2,1,70,2,30,48,1,,2,52,1,,4,2,1,,,,,,,,,,,1,2,,800000,2,,85,55,55,1,2,04,8530,15,2757.2368477
5429359,1,1,1,70,2,25,48,1,,2,25,1,,3,2,8,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,2,04,4772,15,2483.3698696
5429385,1,3,1,70,2,8,48,1,,2,50,1,,4,2,8,,,,,,,,,,,1,2,,908526,2,,14,53,79,1,1,04,1410,17,1139.4558549
5429394,1,1,1,70,2,2,24,1,,2,2,8,,2,2,8,,,,,,,,,,,1,1,200000,500000,2,,01,53,62,1,1,04,0123,17,643.0599926
5429398,1,3,1,70,2,53,48,1,,2,56,1,,2,2,8,,,,,,,,,,,1,2,,900000,2,,01,21,60,1,2,04,0141,17,550.25795451
5429401,1,1,1,70,2,4,24,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,450000,500000,2,,56,55,33,1,1,04,5611,17,1159.0879738
5429404,1,2,1,70,2,12,48,1,,2,16,4,,9,2,1,,,,,,,,,,,1,2,,1000000,2,,74,05,05,1,1,04,7490,17,1109.198585
5429411,1,2,1,70,2,12,30,1,,2,104,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,56,77,77,1,1,04,5613,17,3248.7824912
5429414,1,1,1,70,2,32,60,1,,2,38,1,,2,2,8,,,,,,,,,,,1,2,,908526,2,,41,93,95,1,2,04,4111,17,2644.7946206
5429416,1,3,1,70,2,104,48,1,,2,104,1,,3,2,2,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,2,04,4771,17,885.68425155
5431886,1,2,1,70,2,16,48,1,,2,16,1,,8,2,3,,,,,,,,,,,1,2,,908000,2,,46,58,21,1,2,04,4663,05,6869.1349331
5431888,1,1,1,70,2,12,60,4,,2,12,4,,1,2,2,,,,,,,,,,,1,1,600000,900000,2,,56,53,53,1,1,04,5619,05,5951.1683547
5431893,1,3,1,70,2,32,48,1,,2,32,1,,9,2,2,,,,,,,,,,,1,2,,908000,2,,01,19,19,1,2,04,0122,05,2576.6713115
5431958,1,3,1,70,2,20,48,1,,2,22,1,,9,2,4,,,,,,,,,,,1,2,,908526,2,,56,45,53,1,2,04,5611,76,3273.3228048
5431958,1,5,1,70,2,13,48,1,,2,54,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,49,58,36,1,1,04,4921,76,3273.3228048
5431964,2,2,2,70,2,12,48,1,,2,57,1,,7,2,2,,,,,,,,,,,1,2,,908526,2,,52,95,97,1,1,04,5210,76,3273.3228048
5432005,1,2,1,70,2,12,48,4,,2,3,4,,1,2,1,,,,,,,,,,,1,1,120000,908500,2,,56,61,53,1,1,04,5611,05,4876.6389758
5432086,1,3,1,70,2,5,42,1,,2,45,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,47,39,45,1,1,04,4771,18,206.47409564
5432095,1,4,1,70,2,4,48,1,,2,28,1,,2,2,1,,,,,,,,,,,1,2,,800000,2,,47,05,45,1,1,04,4711,18,161.14915595
5432096,1,3,1,70,2,2,42,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,700000,600000,2,,01,61,61,1,1,04,0161,18,161.14915595
5432101,1,3,1,70,2,6,42,3,,2,7,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,81,54,54,1,1,04,8121,18,161.14915595
5432109,1,1,1,70,2,4,42,4,,2,3,4,,1,2,1,,,,,,,,,,,1,1,300000,300000,2,,01,61,61,1,1,04,0141,18,307.08857791
5432111,1,4,1,70,2,6,45,4,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,300000,2,,01,61,61,1,1,04,0161,18,161.14915595
5432129,1,3,1,70,2,8,40,4,,2,7,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,01,61,61,1,1,04,0161,18,364.5684614
5432137,1,3,1,70,2,20,48,3,,2,20,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,04,9700,18,161.14915595
5432474,1,2,1,70,2,4,48,1,,2,4,1,,3,2,1,,,,,,,,,,,1,1,908000,908000,2,,56,53,53,1,1,04,5611,50,3493.6179959
5432522,1,1,1,70,2,4,50,8,,2,4,8,,2,2,1,,,,,,,,,,,1,2,,500000,2,,01,62,62,1,1,04,0141,50,1618.2076833
5432535,1,3,1,70,2,52,48,8,,2,52,3,,1,2,8,,,,,,,,,,,1,2,,900000,2,,93,62,58,1,2,04,9329,50,3007.8779905
5432535,1,6,1,70,2,52,48,1,,2,52,1,,4,2,1,,,,,,,,,,,1,2,,500000,2,,56,53,53,1,2,04,5611,50,3007.8779905
5432556,1,2,1,70,2,4,48,1,,2,60,1,,5,2,1,,,,,,,,,,,1,2,,908600,2,,88,39,54,1,1,04,8890,54,797.99246604
5432938,1,2,1,70,2,9,24,3,,2,208,3,,1,2,1,,,,,,,,,,,1,2,,100000,2,,97,54,54,1,1,04,9700,19,6701.3363239
5432963,1,2,1,70,2,12,48,1,,2,52,1,,3,2,1,,,,,,,,,,,1,1,40000,200000,2,,14,53,79,1,1,04,1410,19,668.00702966
5432967,1,1,1,70,2,52,24,1,,2,3,4,,1,2,1,,,,,,,,1,,,,1,75000,500000,2,,56,53,53,1,2,04,5611,19,1718.1671725
5432978,1,4,1,70,2,5,48,4,,2,5,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,01,62,62,1,1,04,0161,19,2045.4283088
5432979,1,2,1,70,2,12,40,1,,2,12,6,,2,2,1,,,,,,,,,,,1,2,,400000,2,,08,53,71,1,1,04,0811,19,668.00702966
5433004,1,3,1,70,2,52,40,1,,2,208,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,68,58,58,1,2,04,6820,19,668.00702966
5433005,1,2,1,70,2,250,40,1,,2,250,1,,4,2,1,,,,,,,,,,,1,2,,906500,2,,81,53,55,1,2,04,8121,19,668.00702966
5433006,1,1,1,70,2,104,56,4,,2,104,1,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,42,95,03,1,2,04,4210,19,848.06397179
5433051,1,2,1,70,2,16,40,3,,1,,,,,,,,.,,,,,,,,.,,,,300000,,,,54,,1,2,04,.,19,1552.7896401
5433051,1,3,1,70,2,30,40,1,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,200000,2,,97,53,54,1,2,04,9700,19,1552.7896401
5433062,1,2,1,70,2,52,48,4,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,51,54,1,2,04,9700,19,668.00702966
5433064,1,2,1,70,2,52,24,1,,2,60,1,,2,2,4,,,,,,,,1,,,,2,,300000,2,,15,54,80,1,2,04,1522,19,1560.7708123
5433068,1,1,1,70,2,52,40,1,,2,52,1,,3,2,1,,,,,,,,,,,1,2,,906500,2,,85,55,55,1,2,04,8521,19,668.00702966
5433110,1,4,1,70,2,2,48,8,,2,32,8,,3,2,4,,,,,,,,,,,1,1,40000,200000,2,,01,62,62,1,1,04,0123,76,3273.3228048
5433154,1,2,1,70,2,24,40,1,,2,24,1,,8,2,6,,,,,,,,,,,1,2,,800000,2,,01,60,60,1,2,04,0124,19,7277.3904822
5433155,1,3,1,70,2,52,44,1,,2,52,1,,6,2,1,,,,,,,,,,,1,2,,1500000,2,,86,19,19,1,2,04,8692,19,3640.7791829
5433156,1,1,1,70,2,48,40,1,,2,48,1,,6,2,2,,,,,,,,,,,1,2,,700000,2,,47,55,97,1,2,04,4711,19,7880.6308479
5433157,1,1,1,70,2,32,40,3,,2,32,4,,1,2,2,,,,,,,,,,,1,2,,906300,2,,81,54,54,1,2,04,8121,19,2233.0491555
5433162,1,2,1,70,2,52,44,3,,2,52,3,,1,2,2,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,2,04,9700,19,3640.7791829
5433237,1,2,1,70,2,20,40,1,,2,20,1,,9,2,1,,,,,,,,,,,1,2,,1000000,2,,17,97,97,1,2,04,1709,19,8252.1673125
5433240,1,4,1,70,2,32,44,1,,2,32,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,45,45,84,1,2,04,4520,19,5200.1742735
5433246,1,3,1,70,2,52,40,1,,2,54,1,,3,2,1,,,,,,,,,,,1,2,,950000,2,,87,59,59,1,2,04,8730,19,3189.4943874
5433459,1,1,1,70,2,36,48,1,,2,36,3,,1,2,1,,,,,,,,,,,1,2,,908000,2,,97,90,54,1,2,04,9700,05,1572.9676916
5433462,1,2,1,70,2,52,48,1,,2,52,1,,9,2,1,,,,,,,,,,,1,2,,908000,2,,14,39,39,1,2,04,1410,05,885.68425155
5433463,1,1,1,70,2,48,48,1,,2,35,4,,1,2,2,,,,,,,,,,,1,1,100000,908000,2,,81,55,55,1,2,04,8121,05,885.68425155
5433463,1,4,1,70,2,4,48,1,,2,4,1,,9,2,1,,,,,,,,,,,1,1,1200000,980000,2,,10,97,97,1,1,04,1089,05,885.68425155
5433529,1,3,1,70,2,13,40,1,,2,13,4,,9,2,1,,,,,,,,,,,1,2,,908526,2,,86,11,39,1,1,04,8621,52,886.98026015
5433538,1,2,1,70,2,32,40,3,,2,18,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,01,54,61,1,2,04,0141,52,886.98026015
5433584,1,3,1,70,2,4,40,1,,2,8,4,,9,2,1,,,,,,,,,,,1,2,,2000000,2,,84,02,39,1,1,04,8412,68,3940.7726755
5433587,1,2,1,70,2,204,40,1,,2,204,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,49,98,98,1,2,04,4921,68,4792.7417925
5433587,1,3,1,70,2,12,40,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,68,58,58,1,1,04,6820,68,4792.7417925
5433610,1,3,1,70,2,48,48,1,,2,24,1,,6,2,3,,,,,,,,,,,1,2,,1400000,2,,42,03,03,1,2,04,4210,15,1609.4596379
5433619,1,2,1,70,2,2,40,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,300000,800000,2,,01,61,61,1,1,04,0141,18,510.81463926
5433623,1,2,1,70,2,4,48,4,,2,4,1,,7,2,1,,,,,,,,,,,1,1,150000,800000,2,,42,61,95,1,1,04,4210,18,335.2560031
5433624,1,1,1,70,2,52,48,3,,2,52,4,,1,2,1,,,,,,,,,,,1,1,100000,500000,2,,97,54,54,1,2,04,9700,18,332.15182008
5433634,1,2,1,70,2,28,40,1,,2,28,1,,2,2,1,,,,,,,,,,,1,2,,500000,2,,56,53,53,1,2,04,5611,18,286.19952921
5433637,1,2,1,70,2,8,40,8,,2,52,8,,2,2,1,,,,,,,,,,,1,2,,400000,2,,01,62,62,1,1,04,0141,18,161.14915595
5433641,1,2,1,70,2,6,48,4,,2,32,1,,8,2,1,,,,,,,,,,,1,2,,800000,2,,47,61,39,1,1,04,4711,18,290.44874534
5433642,1,2,1,70,2,8,30,3,,2,20,1,,2,2,1,,,,,,,,,,,1,2,,400000,2,,01,54,60,1,1,04,0141,18,161.14915595
5433644,1,1,1,70,2,20,40,1,,2,40,1,,3,2,1,,,,,,,,,,,1,2,,800000,2,,01,53,60,1,2,04,0123,18,644.59662378
5433644,1,3,1,70,2,5,40,1,,1,,,,,,,,.,,,,,,,,.,,,,300000,,,,62,,1,1,04,.,18,644.59662378
5433646,1,1,1,70,2,5,40,1,,2,8,1,,2,2,3,,,,,,,,,,,1,1,600000,700000,2,,41,95,95,1,1,04,4111,18,286.19952921
5433660,1,2,1,70,2,20,40,2,,2,24,2,,8,2,2,,,,1,,,,,,,,2,,1000000,2,,85,54,55,1,2,04,8513,18,161.14915595
5433664,1,2,1,70,2,12,30,1,,2,48,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,01,45,60,1,1,04,0141,18,185.96096908
5433666,1,2,1,70,2,20,40,4,,1,,,,,,,,.,,,,,,,,.,,,,600000,,,,61,,1,2,04,.,18,591.11196274
5433674,1,1,1,70,2,5,48,4,,2,5,4,,1,2,1,,,,,,,,,,,1,1,200000,500000,2,,01,61,61,1,1,04,0161,18,494.17480669
5434471,1,3,1,70,2,4,48,1,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,85,45,13,1,1,04,8559,23,973.98736398
5434474,1,3,1,70,2,4,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,200000,300000,2,,41,95,95,1,1,04,4111,23,985.1136564
5434474,1,4,1,70,2,3,48,1,,1,,,,,,,,.,,,,,,,,.,,,,250000,,,,54,,1,1,04,.,23,985.1136564
5434475,1,1,1,70,2,2,48,1,,2,2,1,,5,2,1,,,,,,,,,,,1,1,700000,400000,2,,56,53,53,1,1,04,5630,23,832.9280488
5434476,1,2,1,70,2,104,48,1,,2,2,1,,3,2,1,,,,,,,,,,,1,1,120000,908526,2,,02,58,97,1,2,04,0220,23,978.16892491
5434477,1,2,1,70,2,54,48,8,,2,3,4,,1,2,1,,,,,,,,,,,1,1,120000,480000,2,,01,62,62,1,2,04,0161,23,851.07365273
5434530,1,4,1,70,2,8,48,8,,2,12,8,,2,2,1,,,,,,,,,,,1,2,,700000,2,,01,62,62,1,1,04,0141,23,2412.7818653
5434537,1,1,1,70,2,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,59,,1,1,04,.,23,3448.7896582
5434538,1,2,1,70,2,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,19,,1,1,04,.,23,1473.1386733
5434542,1,3,1,70,2,14,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,58,,1,2,04,.,23,3377.3990669
5434546,1,5,1,70,2,12,48,1,,2,24,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,47,45,45,1,1,04,4771,23,5573.1081981
5434546,1,6,1,70,2,8,48,1,,2,12,1,,4,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,1,04,4111,23,5573.1081981
5434547,1,2,1,70,2,8,48,1,,2,8,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,41,97,95,1,1,04,4111,23,3418.0015302
5434550,1,3,1,70,2,40,48,1,,2,40,1,,3,2,1,,,,,,,,,,,1,2,,909000,2,,55,99,39,1,2,04,5511,23,3465.9463453
5434626,1,2,1,70,2,6,48,3,,2,5,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,04,9700,47,2137.7838397
5434685,1,3,1,70,2,16,48,1,,2,16,3,,1,2,1,,,,,,,,,,,1,2,,600000,2,,97,45,54,1,2,04,9700,47,869.07549799
5434713,1,3,1,70,2,16,48,1,,2,20,4,,1,2,4,,,,,,,,,,,1,2,,98,2,,01,33,61,1,2,04,0121,47,2135.3373858
5434830,1,2,1,70,2,24,40,1,,2,24,1,,8,2,4,,,,,,,,,,,1,2,,908526,2,,47,97,97,1,2,04,4711,68,2387.5549942
5434830,1,3,1,70,2,24,40,1,,2,54,1,,3,2,4,,,,,,,,,,,1,2,,908526,2,,47,60,45,1,2,04,4723,68,2387.5549942
5434831,1,1,1,70,2,8,40,1,,2,28,1,,9,2,1,,,,,,,,,,,1,2,,1000000,2,,85,55,55,1,1,04,8541,68,4753.096166
5434833,1,3,1,70,2,52,40,1,,2,52,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,01,97,60,1,2,04,0145,68,4662.8014618
5434836,1,1,1,70,2,3,45,4,,2,3,4,,1,2,1,,,,,,,,,,,1,1,280000,700000,2,,01,61,61,1,1,04,0161,68,7049.8116193
5434853,1,1,1,70,2,1,48,1,,2,1,4,,1,2,1,,,,,,,,,,,1,1,500000,908600,2,,01,95,61,1,1,04,0161,15,2280.7227289
5434888,1,1,1,70,2,40,48,1,,2,40,1,,9,2,2,,,,,,,,,,,1,2,,908500,2,,49,55,55,1,2,04,4921,15,1411.7517026
5434889,1,1,1,70,2,2,48,1,,2,2,1,,3,2,3,,,,,,,,,,,1,1,900000,900000,2,,01,60,60,1,1,04,0123,15,4084.9931024
5434902,1,3,1,70,2,16,48,1,,2,36,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,41,03,03,1,2,04,4111,15,1998.1081455
5437371,1,4,1,70,2,30,40,4,,2,37,4,,2,2,8,,,,,,,,,,,1,2,,1200000,2,,01,62,62,1,2,04,0112,20,1439.8305457
5437375,1,2,1,70,2,58,48,1,,2,48,4,,1,2,1,,,,,,,,,,,1,2,,1000000,2,,56,55,45,1,2,04,5619,20,1445.262363
5437383,1,3,1,70,2,48,48,1,,2,48,1,,9,2,2,,,,,,,,,,,1,2,,900000,2,,06,58,58,1,2,04,0610,20,630.38801093
5437384,1,11,1,70,2,16,48,1,,2,17,1,,4,2,1,,,,,,,,,,,1,2,,920000,2,,84,03,03,1,2,04,8412,20,1465.2465629
5437385,1,1,1,70,2,3,40,4,,2,3,4,,1,2,1,,,,,,,,,,,1,2,,600000,2,,56,45,53,1,1,04,5619,20,731.16892086
5437412,1,2,1,70,2,48,48,1,,2,48,1,,9,2,1,,,,,,,,,,,1,2,,908000,2,,47,58,33,1,2,04,4711,20,1138.6004547
5437429,1,1,1,70,2,24,40,3,,2,30,1,,3,2,8,,,,,,,,1,,,,2,,600000,2,,56,54,53,1,2,04,5611,20,795.04378961
5437448,1,2,1,70,2,25,40,3,,2,54,3,,1,2,2,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,04,9700,20,2006.7368836
5437448,1,3,1,70,2,3,44,1,,2,5,4,,2,2,8,,,,,,,,,,,1,2,,800000,2,,01,98,62,1,1,04,0126,20,2006.7368836
5437514,1,1,1,70,2,12,44,1,,2,12,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,88,54,54,1,1,04,8890,20,1265.8639867
5437515,1,3,1,70,2,8,40,3,,2,45,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,1,04,9700,20,1099.4813469
5437517,1,5,1,70,2,16,24,3,,2,104,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,04,9700,20,1131.079146
5437518,1,3,1,70,2,24,44,1,,2,80,2,,9,2,2,,,,,,,,1,,,,2,,900000,2,,84,33,33,1,2,04,8412,20,1058.2611232
5437524,1,1,1,70,2,4,40,3,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,600000,2,,81,54,55,1,1,04,8121,20,1411.1048628
5437524,1,2,1,70,2,12,48,4,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,49,98,97,1,1,04,4923,20,1411.1048628
5437579,1,1,1,70,2,9,50,4,,2,9,4,,1,2,4,,,,,,,,,,,1,2,,600000,2,,49,85,98,1,1,04,4921,44,1432.5874396
5437607,1,1,1,70,2,8,48,1,,2,14,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,15,13,75,1,1,04,1513,44,1217.8214463
