DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,AREA,MES,DPTO,fex_c_2011
5418346,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,,,1,INGRESO SOLIDARIO,1920000,,,,2,,1,109000,2,,05,04,05,1350.7709735
5418346,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1350.7709735
5418346,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1900000,05,04,05,1350.7709735
5418347,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1318.2425782
5418348,1,1,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,877803,05,04,05,1159.4765874
5418348,1,2,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,877803,05,04,05,1159.4765874
5418348,1,3,1,95,2,,,,,,,1,2,,2,,1,640000,,,1,640000,,,,,,,1,INGRESO SOLIDARIO,640000,,,,2,,2,,2,,05,04,05,1159.4765874
5418348,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1159.4765874
5418348,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1159.4765874
5418349,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1338.9563465
5418349,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1338.9563465
5418350,1,1,1,95,2,,,,,,,1,1,300000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1338.9563465
5418350,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1338.9563465
5418352,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1372.919943
5418352,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1372.919943
5418353,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1126.1124225
5418353,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1126.1124225
5418353,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1126.1124225
5418354,1,1,1,95,1,1,350000,1,1320000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,3000000,05,04,05,1138.762819
5418354,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1138.762819
5418354,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1138.762819
