PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250835;08;2025;8316823;1;1;1;60;;2;21.338782805;08;1;4541;2;;;;;;;;;;;;108;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;10800000;3;;3;2;12;40;;;40;;;1;1;;2;;2;;;;2;2;1;1;48;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;14;;;3;;1;900000;45;4541;1420
20250835;08;2025;8316824;1;1;1;60;;2;21.317266121;08;1;6010;1;2;1;;1;;1;;1;2;1;1;18;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;1;350000;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;1400000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;6;8;;1;;1;2;1;8;1;1;1;0;72;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;1;;1;1773500;60;6010;3521
20250835;08;2025;8316824;1;2;1;60;;2;21.317266121;08;1;9700;1;2;1;;1;;1;;1;2;1;1;72;3;;2;2;2;2;1;2;1423500;2;;2;;;1;300000;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;1400000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;1;2;;1;;1;2;1;6;2;2;1;0;24;3;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;;30;1;;1;1723500;97;9700;9111
20250835;08;2025;8316825;1;1;1;60;;2;39.311306212;08;1;3312;1;2;1;;1;;1;;1;2;1;1;108;1;;1;1;1;1;1;2;1423500;2;;2;;;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;1360000;2;;2;;2;;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;50;;;7;7;;1;;1;1;1;9;1;1;1;0;24;4;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;40;8;;1;1423500;33;3312;7127
20250835;08;2025;8316825;1;3;1;60;;2;39.311306212;08;1;4111;2;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;3000000;1;;1;1;2;40;;;40;;;2;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;1;1;1;2;1;2;2;1;1;2;;2;1;2;1;1;2;2;1;2;;40;8;;1;900000;41;4111;9313
20250835;08;2025;8316825;1;4;1;60;;2;39.311306212;08;1;9700;1;1;;;1;;1;;2;2;2;2;21;3;;2;2;2;2;1;2;400000;2;;2;;;1;300000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;1;2;1;1;2;2;2;2;2;2;;2;1;2;2;2;2;1;1;3;;10;3;;1;700000;97;9700;9111
20250835;08;2025;8316826;1;1;1;60;;2;36.719855013;08;1;145;2;;;;;;;;;;;;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;10800000;3;;1;1;12;60;;;60;;;1;8;;2;;2;;;;2;2;1;0;48;1;;11;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;10;3;;1;900000;01;0145;6122
20250835;08;2025;8316827;1;1;1;60;;2;34.77669391;08;1;4520;1;1;;;1;;1;;2;2;2;2;12;1;;2;2;2;2;1;2;2500000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;3;6;;2;;2;;;;2;2;1;0;60;1;;3;;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;1;1;3;;15;3;;1;2500000;45;4520;7231
20250835;08;2025;8316828;1;1;1;60;;2;26.570787004;08;1;4923;2;;;;;;;;;;;;96;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;4;;;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;500000;1;6000000;3;;1;2;12;24;2;;24;;;1;6;;2;;2;;;;2;2;1;1;360;4;;11;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;2;;40;3;;1;500000;49;4923;3324
20250835;08;2025;8316828;1;2;1;60;;2;26.570787004;08;1;9700;1;1;;;1;;2;;2;2;2;2;8;3;;2;2;2;2;1;2;320000;2;;2;;;1;200000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;2;1;;2;;2;;;;2;2;1;0;36;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;14;;;3;;1;520000;97;9700;5311
20250835;08;2025;8316829;1;1;1;60;;2;33.776833913;08;1;4789;2;;;;;;;;;;;;7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;1;1626400;1;0;800000;0;0;26400;;;;;;;;;;;;;;;;;;2;;;2;;800000;1;5600000;3;;1;1;7;16;2;;16;;;1;6;;2;;2;;;;2;2;1;12;48;1;;9;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;;60;8;;1;800000;47;4789;9520
20250835;08;2025;8316829;1;2;1;60;;2;33.776833913;08;1;9512;1;1;;;1;;1;;2;2;2;2;96;1;;1;1;2;9;1;2;1200000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;2;7;;2;;2;;;;2;2;1;4;36;4;;13;CAMBIO DE PAIS;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;;50;8;;1;1200000;95;9512;7411
