DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,CLASE,ESC,MES,DPTO,fex_c_2011
5394146,1,7,1,10,4,2,9,2010,10,9,6,,6,2,,1,4,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,3,4,,,68,1,4,03,68,600.27889873
5394147,1,1,1,10,1,2,1,1996,25,1,6,,6,2,,2,,,,,,1,1,1,,,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,537.33549837
5394147,1,2,1,10,1,1,5,2016,4,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,2,2,0,,,68,1,0,03,68,537.33549837
5394148,1,1,1,10,1,2,8,1992,28,1,6,,6,2,,2,,,,,,,,,,,,,,1,,2,2,1,36,,,,2,1,2,,6,5,4,,68,1,16,03,68,490.01420534
5394148,1,2,1,10,2,1,4,1991,29,5,6,,2,2,,2,,1,3,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,490.01420534
5394148,1,3,1,10,3,2,6,1997,23,5,6,,2,2,,2,,1,2,,,,,,,,,,,1,,,2,1,24,,,,2,1,2,,6,2,3,,68,1,13,03,68,490.01420534
5394148,1,4,1,10,4,2,3,1996,24,9,6,,6,2,,2,,,,,,,,,,,,,,1,,,2,1,18,,,,2,1,2,,6,5,4,,68,1,16,03,68,490.01420534
5394149,1,1,1,10,1,1,1,1979,42,1,6,,3,3,,2,,1,2,,,,1,,,,,,,,,1,1,,,1,3,113600,2,1,2,,4,8,,,68,1,8,03,68,563.26306798
5394149,1,2,1,10,2,2,6,1978,42,2,6,,3,2,,2,,1,1,,,,,1,,,,,,,,,1,,,1,5,,2,1,2,,5,11,2,,68,1,11,03,68,563.26306798
5394149,1,3,1,10,3,2,2,2004,17,3,6,,6,1,1,1,2,,,,,,,,,,,,1,,NO PUDO INICIAR A ESTUDIAR,,1,,,1,5,,2,1,2,,5,11,2,,68,1,11,03,68,563.26306798
5394149,1,4,1,10,4,1,5,2009,11,3,6,,6,2,,2,,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,4,8,,,68,1,8,03,68,563.26306798
5394150,1,1,1,10,1,1,3,1969,52,1,6,,3,2,,2,,1,2,,,1,1,,,,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,528.37307323
5394150,1,2,1,10,2,2,3,1971,50,2,6,,3,2,,2,,1,1,,,1,1,1,,1,,,,,,,1,,,3,,,2,1,2,,4,9,,,68,1,9,03,68,528.37307323
5394150,1,3,1,10,3,2,10,1989,31,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,2,6,5,2,2,68,1,16,03,68,528.37307323
5394150,1,4,1,10,3,2,5,2017,3,4,6,,,2,,1,3,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,68,1,0,03,68,528.37307323
5394150,2,1,2,10,1,1,4,1998,22,1,6,,2,2,,2,,1,2,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,528.37307323
5394150,2,2,2,10,2,2,12,1999,21,2,6,,2,2,,2,,1,1,,,1,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,528.37307323
5394150,2,3,2,10,1,1,9,2017,3,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,68,1,0,03,68,528.37307323
5394151,1,1,1,10,1,2,6,1967,53,1,6,,6,2,,3,,,,,,,,,,1,,,,,,1,1,,,3,,,2,1,2,,3,5,,,68,1,5,03,68,634.58998972
5394151,1,2,1,10,2,1,3,1996,25,3,6,,6,2,,1,1,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,634.58998972
5394152,1,1,1,10,1,2,6,1970,50,1,6,,6,3,,3,,,,,1,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,4,,,68,1,4,03,68,536.37452791
5394153,1,1,1,10,1,1,12,1981,39,1,6,,4,3,,2,,,,,,,1,,,,,,,,,2,1,,,1,1,40000,2,1,2,,6,2,3,,68,1,13,03,68,531.14466047
5394153,1,2,1,10,2,2,5,2001,19,3,6,,6,1,1,2,,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,1,2,2,68,1,12,03,68,531.14466047
5394153,1,3,1,10,1,2,6,2004,16,3,6,,6,1,1,2,,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,4,9,,,68,1,9,03,68,531.14466047
5394154,1,1,1,10,1,2,2,1973,48,1,6,,6,3,,3,,,,,,,,1,,,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,542.99705499
5394154,1,2,1,10,2,1,6,1999,21,3,6,,6,2,,1,1,,,,,1,,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,542.99705499
5394155,1,1,1,10,1,1,11,1965,55,1,6,,3,3,,3,,1,2,,,,1,,,,,,,,,2,1,,,1,3,109000,2,1,2,,6,3,3,,68,1,14,03,68,548.89774407
5394155,1,2,1,10,2,2,10,1981,39,2,6,,3,3,,2,,1,1,,,,,,,,1,,,,,,1,,,1,3,109000,2,1,1,1,6,4,2,2,68,1,15,03,68,548.89774407
5394156,1,1,1,10,1,1,10,1977,43,1,6,,2,2,,2,,1,2,,,1,1,,,,,,,,,2,1,,,3,,,1,1,2,,6,5,4,,68,1,16,03,68,594.42050504
5394156,1,2,1,10,2,2,6,1984,36,2,6,,2,3,,2,,1,1,1,,,,,,,,,,,,,1,,,1,1,36000,2,1,2,,6,3,3,,68,1,14,03,68,594.42050504
5394156,1,3,1,10,1,1,7,2016,4,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,2,2,0,,,68,1,0,03,68,594.42050504
5394156,1,4,1,10,4,2,3,1974,46,5,6,,6,2,,2,,,,,,,,,,1,,,,,,,1,,,1,1,40500,2,1,2,,6,3,2,2,68,1,14,03,68,594.42050504
5394157,1,1,1,10,1,2,6,1968,52,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,3,113566,2,1,2,,5,11,2,,68,1,11,03,68,634.58998972
5394157,1,2,1,10,2,1,1,1996,25,3,6,,6,3,,1,1,,,,,,,1,,,,,,,,,1,,,1,3,113566,2,1,2,,6,5,4,,68,1,16,03,68,634.58998972
5394158,1,1,1,10,1,2,2,1994,27,1,6,,6,2,,3,,,,,,,,,,,,,,1,,2,1,,,1,3,113565,2,1,2,,6,5,4,,68,1,16,03,68,391.79874353
5394158,1,2,1,10,1,2,10,2003,17,5,6,,6,2,,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,0,2,2,68,1,11,03,68,391.79874353
5394158,1,3,1,10,1,2,5,2004,16,5,6,,6,2,,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,0,2,2,68,1,11,03,68,391.79874353
5394159,1,1,1,10,1,2,4,1985,35,1,6,,4,3,,2,,,,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,4,8,,,68,1,8,03,68,391.79874353
5394159,1,2,1,10,1,2,9,2003,17,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,5,10,1,,68,1,10,03,68,391.79874353
5394159,1,3,1,10,1,2,12,2007,13,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,68,1,7,03,68,391.79874353
5394160,1,1,1,10,1,2,4,1994,26,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36341,2,1,2,,6,3,3,,68,1,14,03,68,634.58998972
5394160,1,2,1,10,2,1,11,1983,37,2,6,,2,3,,2,,1,1,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,3,5,,,68,1,5,03,68,634.58998972
5394161,1,1,1,10,1,1,6,1964,56,1,6,,3,3,,2,,1,2,,1,1,1,,,1,,,,,,1,1,,,3,,,2,1,2,,4,6,,,68,1,6,03,68,548.89774407
5394161,1,2,1,10,2,2,4,1969,51,2,6,,3,3,,3,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,3,5,,,68,1,5,03,68,548.89774407
5394162,1,1,1,10,1,1,1,1986,35,1,6,,2,2,,2,,1,2,,,1,,,,1,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,641.79142056
5394162,1,2,1,10,2,2,3,1991,29,2,6,,2,2,,2,,1,1,,,,1,1,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,641.79142056
5394162,1,3,1,10,3,1,1,2007,14,3,6,,6,1,1,1,2,,,,,,,,,,,1,,,,,1,,,3,,,2,1,1,1,4,8,,,68,1,8,03,68,641.79142056
5394162,1,4,1,10,4,1,3,2013,7,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,68,1,2,03,68,641.79142056
5394162,1,5,1,10,2,2,8,2019,1,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,68,1,,03,68,641.79142056
5394163,1,1,1,10,1,1,3,1989,31,1,6,,4,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,1,36341,2,1,2,,5,10,1,,68,1,10,03,68,675.72044486
5394164,1,1,1,10,1,1,10,1985,35,1,6,,2,3,,2,,1,2,,,,,,1,,,,,,,2,1,,,1,1,36000,2,1,2,,4,7,,,68,1,7,03,68,417.72631314
5394164,1,2,1,10,2,2,12,1989,31,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,4,9,,,68,1,9,03,68,417.72631314
5394164,1,3,1,10,2,2,3,2006,15,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,9,,,68,1,9,03,68,417.72631314
5394164,1,4,1,10,2,2,6,2008,12,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,7,,,68,1,7,03,68,417.72631314
5394164,1,5,1,10,5,2,2,2001,20,5,6,,6,2,,2,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,417.72631314
5394165,1,1,1,10,1,2,1,1977,44,1,6,,3,3,,2,,1,2,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,562.30209753
5394165,1,2,1,10,2,1,9,1977,43,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,68,1,5,03,68,562.30209753
5394165,1,3,1,10,1,2,3,2004,16,3,6,,6,1,2,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,9,,,68,1,9,03,68,562.30209753
5394166,1,1,1,10,1,2,8,1991,29,1,6,,4,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,5,11,2,,68,1,11,03,68,544.9189959
5394166,1,2,1,10,2,1,12,2008,12,3,6,,6,2,,1,1,,,,,,,,,,1,1,,,,,1,,,1,5,,2,1,1,1,4,6,,,68,1,6,03,68,544.9189959
5394166,1,3,1,10,1,1,9,2010,10,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,3,4,,,68,1,4,03,68,544.9189959
5394166,1,4,1,10,1,1,2,2013,8,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,2,,,68,1,2,03,68,544.9189959
5394167,1,1,1,10,1,1,11,1956,64,1,6,,2,3,,2,,1,2,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,3,,,68,1,3,03,68,745.32866768
5394167,1,2,1,10,2,2,2,1970,51,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,745.32866768
5394167,1,3,1,10,1,1,6,1985,35,3,6,,6,1,1,2,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,745.32866768
5394167,1,4,1,10,1,1,2,1993,28,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,4,2,2,68,1,15,03,68,745.32866768
5394168,1,1,1,10,1,1,,,60,1,6,,4,2,,2,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,5,,,68,1,5,03,68,590.02819921
5394169,1,1,1,10,1,2,12,1971,49,1,6,,4,3,,3,,,,,,,,,,,,,1,,INCREMENTO JORNADAS LABORALES REDUCCION DE INGRESOS POR DESEMPLEO HIJO NO CUENTAN CON UN PC PARA HACER DILIGENCIAS Y TODO SE MANEJA VIRTUAL,2,1,,,1,1,70000,2,1,2,,6,2,3,,68,1,13,03,68,542.99705499
5394169,1,2,1,10,2,1,1,1999,22,3,6,,6,2,,1,1,,,,,1,,1,,,,,1,,NO CUENTA CON INTERNET NI PC PARA ESTUDIAR DIFICULTADES PARA ESTUDIAR,,1,,,1,5,,2,1,2,,5,11,2,,68,1,11,03,68,542.99705499
5394170,1,1,1,10,1,1,,,60,1,6,,3,3,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,98,2,1,2,,5,11,2,,68,1,11,03,68,522.30255852
5394170,1,2,1,10,2,2,,,56,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,3,113600,2,1,2,,5,11,2,,68,1,11,03,68,522.30255852
5394170,1,3,1,10,3,2,,,31,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,3,113600,2,1,2,,6,5,4,,68,1,16,03,68,522.30255852
5394171,1,1,1,10,1,2,9,1987,33,1,6,,6,2,,2,,,,,,1,1,,,1,,,,,,2,1,,,1,3,113600,2,1,1,2,6,6,4,,68,1,17,03,68,537.33549837
5394171,1,2,1,10,1,1,3,2015,6,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,0,,,68,1,0,03,68,537.33549837
5394172,1,1,1,10,1,1,8,1962,58,1,6,,3,2,,1,5,1,2,1,,,,,,,,,,,,1,1,,,1,1,36341,2,1,2,,5,11,2,,68,1,11,03,68,733.26875172
5394172,1,2,1,10,2,2,9,1955,65,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,4,8,,,68,1,8,03,68,733.26875172
5394172,1,3,1,10,3,1,6,1987,33,3,6,,6,1,1,1,2,,,,,1,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,733.26875172
5394172,1,4,1,10,4,1,9,1988,32,3,6,,4,1,1,1,2,,,1,,,,,,,,,,,,,1,,,1,1,48000,2,1,1,2,6,3,3,,68,1,14,03,68,733.26875172
5394172,1,5,1,10,5,2,2,1942,79,5,6,,4,3,,3,,,,,,,,,,1,,,,,,,1,,,1,2,72682,2,1,2,,3,5,,,68,1,5,03,68,733.26875172
5394173,1,1,1,10,1,1,8,1978,42,1,6,,2,2,,2,,1,2,,,1,,,,,,,,,,1,1,,,1,1,48000,2,1,2,,5,11,2,,68,1,11,03,68,635.55096017
5394173,1,2,1,10,2,2,7,1982,38,2,6,,2,3,,2,,1,1,,,1,1,,,,,,,,,,1,,,1,5,,2,1,2,,5,11,2,,68,1,11,03,68,635.55096017
5394173,1,3,1,10,2,1,8,2015,5,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,2,2,0,,,68,1,0,03,68,635.55096017
5394174,1,1,1,10,1,2,3,1994,27,1,6,,6,3,,2,,,,,,,1,,,,,,,,,1,1,,,1,1,40000,2,1,2,,5,11,2,,68,1,11,03,68,476.22778519
5394174,1,2,1,10,1,2,3,2019,1,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,68,1,,03,68,476.22778519
5394174,1,3,1,10,3,2,3,1998,22,5,6,,6,3,,2,,,,,,,1,,,,,,,,,,1,,,1,1,36341,2,1,2,,5,11,2,,68,1,11,03,68,476.22778519
5394174,1,4,1,10,4,1,10,1956,64,5,6,,4,2,,2,,,,,,,,,,,,1,,,,,1,,,3,,,2,2,2,,1,0,,,68,1,0,03,68,476.22778519
5394175,1,1,1,10,1,2,4,1976,44,1,6,,4,3,,3,,,,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,477.33168987
5394175,1,2,1,10,2,2,5,1999,21,3,6,,6,2,,1,1,,,,,1,1,,,,,1,,,,,1,,,3,,,2,1,1,2,4,7,,,68,1,7,03,68,477.33168987
5394175,1,3,1,10,3,1,3,2001,20,3,6,,6,2,,1,1,,,,,,1,,,1,,,,,,,1,,,3,,,2,1,2,,5,11,2,,68,1,11,03,68,477.33168987
5394175,1,4,1,10,4,1,10,2004,16,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,9,,,68,1,9,03,68,477.33168987
5394176,1,1,1,10,1,1,9,1966,54,1,6,,3,3,,2,,1,2,1,,,1,,,,,,,,,2,1,,,1,3,113600,2,1,2,,5,11,2,,68,1,11,03,68,463.41901978
5394176,1,2,1,10,2,2,1,1969,52,2,6,,3,2,,1,5,1,1,,,,1,,,,,,,,,,1,,,1,5,,2,1,2,,5,11,2,,68,1,11,03,68,463.41901978
5394176,1,3,1,10,3,2,11,1998,22,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,1,36000,2,1,2,,6,5,4,,68,1,16,03,68,463.41901978
5394176,1,4,1,10,4,2,1,2003,18,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,1,2,2,68,1,12,03,68,463.41901978
5394176,1,5,1,10,5,2,6,1937,83,5,6,,4,3,,3,,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,68,1,5,03,68,463.41901978
5394177,1,1,1,10,1,1,,,51,1,6,,4,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,3,113566,2,1,2,,6,5,4,,68,1,16,03,68,675.72044486
5394178,1,1,1,10,1,1,3,1988,32,1,5,,2,2,,2,,1,2,,,1,1,1,,1,,1,,,,2,1,,,1,1,60000,2,1,2,,4,8,,,76,1,8,03,76,921.78716857
5394178,1,2,1,10,2,2,2,1996,25,2,6,,2,2,,2,,1,1,,1,,1,1,,1,,1,,,,,1,,,1,1,36341,2,1,2,,4,7,,,76,1,7,03,76,921.78716857
5394179,1,1,1,10,1,2,4,1958,62,1,6,,5,3,,3,,,,,,1,1,,,,,1,,,,1,1,,,3,,,2,2,2,,1,0,,,76,1,0,03,76,924.63028727
5394179,1,2,1,10,1,2,7,1986,34,3,6,,4,2,,1,1,,,,,,1,,1,,,,,,,,1,,,1,1,37000,2,1,2,,5,11,2,,76,1,11,03,76,924.63028727
5394179,1,3,1,10,1,1,9,2011,9,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,2,,,76,1,2,03,76,924.63028727
5394179,1,4,1,10,1,1,3,2015,5,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,1,3,0,,,76,1,0,03,76,924.63028727
5394179,2,1,2,10,1,1,8,1953,67,1,6,,2,3,,3,,1,2,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,76,1,3,03,76,924.63028727
5394179,2,2,2,10,2,2,5,1944,76,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,76,1,5,03,76,924.63028727
5394180,1,1,1,10,1,1,7,1965,55,1,6,,3,3,,3,,1,2,1,,,,,,,,,,,,2,1,,,1,3,113600,2,1,2,,3,5,,,76,1,5,03,76,865.38031717
5394180,1,2,1,10,2,2,5,1966,54,2,6,,3,3,,3,,1,1,1,,,,,,,,,,,,,1,,,1,5,,2,1,2,,5,11,2,,76,1,11,03,76,865.38031717
5394181,1,1,1,10,1,2,2,1941,80,1,5,,5,3,,3,,,,,,,,,,,,,,1,,2,2,1,4,,,,1,1,2,,3,5,,,76,1,5,03,76,1074.9464774
5394181,1,2,1,10,2,2,6,1963,57,3,5,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,1,2,72682,2,1,2,,4,9,,,76,1,9,03,76,1074.9464774
5394181,1,3,1,10,3,1,10,1964,56,3,5,,6,3,,1,1,,,,,,,,,1,,,,,,,2,1,4,,,,2,1,2,,5,11,2,,76,1,11,03,76,1074.9464774
5394181,1,4,1,10,4,2,1,1961,60,3,5,,5,3,,1,1,,,,,,,,,,,,,1,,,2,1,36,,,,1,1,2,,4,9,,,76,1,9,03,76,1074.9464774
5394181,1,5,1,10,5,2,8,1982,38,4,5,,6,3,,1,4,,,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,5,11,2,,76,1,11,03,76,1074.9464774
5394181,1,6,1,10,5,1,11,1998,22,4,5,,6,2,,1,5,,,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,5,11,2,,76,1,11,03,76,1074.9464774
5394181,1,7,1,10,4,1,7,2000,20,4,5,,6,2,,1,5,,,,,,,,,,1,,,,,,1,,,3,,,2,1,2,,5,11,2,,76,1,11,03,76,1074.9464774
5394181,2,1,2,10,2,1,8,1964,56,1,1,999_01,3,3,,2,,1,2,,,,,,,,,,,1,,1,1,,,1,1,36341,2,1,2,,5,11,2,,76,1,11,03,76,1074.9464774
5394181,2,2,2,10,2,2,9,1986,34,2,5,,3,3,,2,,1,1,,,,,,,1,,1,,,,,1,,,3,,,2,1,1,1,6,1,2,2,76,1,12,03,76,1074.9464774
5394181,2,3,2,10,2,2,9,2012,8,3,5,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,2,3,2,,,76,1,2,03,76,1074.9464774
5394181,3,1,3,10,1,1,1,1974,47,1,6,,2,2,,2,,1,2,,,,,,,1,,1,,,,2,1,,,1,5,,2,1,2,,3,5,,,76,1,5,03,76,1074.9464774
5394181,3,2,3,10,1,2,4,1981,39,2,5,,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,5,11,2,,76,1,11,03,76,1074.9464774
5394181,3,3,3,10,3,2,8,2006,14,3,5,,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,8,,,76,1,8,03,76,1074.9464774
5394181,3,4,3,10,1,2,4,2016,4,3,5,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,2,2,0,,,76,1,0,03,76,1074.9464774
5394182,1,1,1,10,1,2,11,1962,58,1,6,,4,2,,2,,,,,,1,1,,,,,1,,,,1,1,,,1,3,113600,2,1,2,,3,3,,,76,1,3,03,76,708.23519948
5394182,1,2,1,10,3,2,5,1986,34,3,6,,2,1,4,1,1,1,3,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,4,7,,,76,1,7,03,76,708.23519948
5394182,1,3,1,10,3,1,4,1977,43,5,6,,2,3,,2,,1,2,,,,1,,1,,,1,,,,,1,,,3,,,1,1,2,,4,6,,,76,1,6,03,76,708.23519948
5394182,1,4,1,10,4,1,8,1944,76,9,6,,4,3,,3,,,,1,,1,1,,,,,1,,,,,1,,,3,,,1,2,2,,1,0,,,76,1,0,03,76,708.23519948
5394182,1,5,1,10,5,2,2,1964,57,9,6,,6,2,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,76,1,3,03,76,708.23519948
5394182,1,6,1,10,6,1,8,1962,58,9,6,,4,3,,2,,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,76,1,11,03,76,708.23519948
5394183,1,1,1,10,2,1,9,1979,41,1,6,,2,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36341,2,1,2,,5,11,2,,76,1,11,03,76,1375.582747
5394183,1,2,1,10,2,2,10,1981,39,2,6,,2,2,,3,,1,1,,,1,,,,,,,,,,,1,,,1,1,38000,2,1,2,,5,11,2,,76,1,11,03,76,1375.582747
5394183,1,3,1,10,3,2,11,2001,19,3,6,,6,2,,1,2,,,,,,,,,,,,1,,NO INGRESO A UNIVERSIDAD POR QUE PERSONA DE QUIEN IBA A RECIBIR AYUDA SE VIO AFECTADO ECONOMICAMENTE POR LA PANDEMIA,,1,,,1,5,,2,1,2,,5,11,2,,76,1,11,03,76,1375.582747
5394183,1,4,1,10,3,2,12,2004,16,3,6,,6,1,1,1,2,,,,,,,,,,1,1,,,,,1,,,1,5,,2,1,1,1,5,10,1,,76,1,10,03,76,1375.582747
5394183,1,5,1,10,3,2,10,2010,10,3,6,,6,1,1,1,2,,,,,,,,,,1,1,,,,,1,,,1,5,,2,1,1,1,3,4,,,76,1,4,03,76,1375.582747
5394183,1,6,1,10,2,2,6,1924,96,9,6,,4,3,,3,,,,,,,,,,,,,,1,,,2,1,2,,,,2,1,2,,5,10,1,,76,1,10,03,76,1375.582747
5394184,1,1,1,10,1,2,2,1964,57,1,6,,2,3,,2,,1,2,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,4,8,,,76,1,8,03,76,1036.2277257
5394184,1,2,1,10,2,1,8,1937,83,2,6,,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,2,36300,2,1,2,,3,2,,,76,1,2,03,76,1036.2277257
5394184,1,3,1,10,3,1,5,1986,34,3,6,,6,2,,1,1,,,,1,1,,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,76,1,11,03,76,1036.2277257
5394185,1,1,1,10,1,1,3,1992,28,1,1,999_01,2,2,,3,,1,2,,,,1,,,1,,,,,,2,1,,,3,,,2,1,2,,5,11,2,,76,1,11,03,76,1076.8096654
5394185,1,2,1,10,2,2,1,1977,44,2,5,,2,3,,3,,1,1,,,,,,,,,1,,,,,1,,,1,2,85000,2,1,2,,5,11,2,,76,1,11,03,76,1076.8096654
5394185,1,3,1,10,3,2,9,2001,19,3,5,,6,3,,1,2,,,,,,,,,,,,,1,,,2,1,5,,,,2,1,2,,5,11,2,,76,1,11,03,76,1076.8096654
5394187,1,1,1,10,1,2,7,1993,27,1,6,,1,2,,2,,1,2,,1,1,1,,,1,,,,,,2,1,,,3,,,2,1,2,,5,11,2,,76,1,11,03,76,1141.1410246
5394187,1,2,1,10,2,1,1,1993,28,2,6,,1,2,,2,,1,1,,,,1,,1,1,,,,,,,1,,,1,1,36300,2,1,2,,5,11,2,,76,1,11,03,76,1141.1410246
5394187,1,3,1,10,1,2,11,2016,4,3,6,,,3,,1,1,,,,,,,,,,,,,,,,1,,,1,5,,2,2,2,,1,0,,,76,1,0,03,76,1141.1410246
5394188,1,1,1,10,1,1,6,1970,50,1,6,,2,3,,2,,1,2,,1,1,1,1,,1,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,76,1,5,03,76,1473.0553452
5394188,1,2,1,10,2,2,3,1976,44,2,6,,2,2,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,3,5,,,76,1,5,03,76,1473.0553452
5394188,1,3,1,10,3,1,6,2002,18,3,6,,6,1,1,1,2,,,,,,,1,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,76,1,5,03,76,1473.0553452
5394188,1,4,1,10,4,2,10,2000,20,3,6,,2,1,1,1,2,1,5,,,,,1,,,1,,,,,,1,,,3,,,2,1,2,,5,11,2,,76,1,11,03,76,1473.0553452
