DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,CLASE,ESC,MES,DPTO,fex_c_2011
5392585,1,7,1,10,1,1,9,2015,5,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,,1,0,03,76,3649.8409742
5392586,1,1,1,10,1,2,12,1948,72,1,5,,5,3,,3,,,,,1,1,,,,,,1,,,,1,1,,,1,2,98,2,1,2,,3,2,,,,1,2,03,76,1791.8023751
5392586,1,2,1,10,2,2,6,1990,30,3,5,,4,2,,1,1,,,,1,1,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,,1,11,03,76,1791.8023751
5392586,1,3,1,10,2,1,3,2007,13,4,5,,6,3,,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,2,,,,1,2,03,76,1791.8023751
5392586,1,4,1,10,2,1,7,2017,3,4,5,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,,1,0,03,76,1791.8023751
5392587,1,1,1,10,1,2,10,1957,63,1,5,,4,3,,3,,,,,1,1,,,,,,1,,,,1,1,,,3,,,2,1,2,,4,7,,,,1,7,03,76,1806.0858682
5392592,1,1,1,10,1,2,9,1986,34,1,5,,4,2,,2,,,,,1,1,,,,,,1,,,,2,1,,,3,,,2,1,2,,5,11,2,,,1,11,03,76,1973.3906361
5392592,1,2,1,10,1,2,5,2004,16,3,5,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,,1,8,03,76,1973.3906361
5392592,1,3,1,10,1,1,1,2008,13,3,5,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,3,,,,1,3,03,76,1973.3906361
5392592,1,4,1,10,1,2,12,2011,9,3,5,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,,1,2,03,76,1973.3906361
5392593,1,1,1,10,1,1,9,1957,63,1,5,,2,2,,2,,1,2,,1,1,,,,,,,,,,2,1,,,1,1,98,2,1,2,,3,5,,,,1,5,03,76,1954.8301593
5392593,1,2,1,10,2,2,2,1974,47,2,5,,2,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,2,,,,1,2,03,76,1954.8301593
5392593,1,3,1,10,2,1,8,1998,22,3,5,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,2,2,,1,0,,,,1,0,03,76,1954.8301593
5392593,1,4,1,10,4,2,7,1996,24,3,5,,2,1,1,1,2,2,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,6,3,3,,,1,14,03,76,1954.8301593
5392593,1,5,1,10,4,2,8,2020,0,4,5,,,2,,1,4,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,,1,,03,76,1954.8301593
5392596,1,1,1,10,1,2,2,1984,37,1,5,,2,1,6,2,,1,2,,1,1,,,,1,,1,,,,1,1,,,3,,,2,1,2,,4,8,,,,1,8,03,76,2647.1701321
5392596,1,2,1,10,2,1,7,1980,40,2,5,,2,2,,2,,1,1,,1,1,1,,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,,1,5,03,76,2647.1701321
5392596,1,3,1,10,1,2,7,2000,20,3,5,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,4,,,,1,4,03,76,2647.1701321
5392596,1,4,1,10,1,2,11,2005,15,3,5,,6,3,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,4,8,,,,1,8,03,76,2647.1701321
5392596,1,5,1,10,1,2,9,2017,3,3,5,,,1,2,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,,1,0,03,76,2647.1701321
5392596,1,6,1,10,6,1,12,1953,67,5,5,,4,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,,1,3,03,76,2647.1701321
5392597,1,1,1,10,1,2,9,1958,62,1,5,,4,3,,3,,,,,1,1,,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,,1,5,03,76,3157.2010416
5392597,1,2,1,10,1,1,10,2011,9,4,5,,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,,1,2,03,76,3157.2010416
5392597,1,3,1,10,1,2,5,2012,8,4,5,,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,1,,,,1,1,03,76,3157.2010416
5392602,1,1,1,10,1,2,12,1961,59,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,1,40000,2,1,2,,6,2,3,,15,1,13,03,15,90.470143924
5392602,1,2,1,10,2,1,3,1996,24,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,2,2,2,15,1,13,03,15,90.470143924
5392602,1,3,1,10,1,2,2,1955,66,5,6,,6,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,15,1,3,03,15,90.470143924
5392602,1,4,1,10,4,2,8,1967,53,5,6,,6,3,,3,,,,,,,1,1,,,,,,,,,1,,,3,,,2,1,2,,4,9,,,15,1,9,03,15,90.470143924
5392602,1,5,1,10,5,1,6,1996,24,5,6,,6,2,,1,4,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,6,2,3,,15,1,13,03,15,90.470143924
5392603,1,1,1,10,1,1,3,1978,43,1,6,,2,2,,2,,1,2,,,1,1,,,1,,,,,,2,2,1,4,,,,2,1,2,,5,11,2,,15,1,11,03,15,105.54634132
5392603,1,2,1,10,2,2,5,1978,42,2,6,,2,2,,2,,1,1,,,1,1,1,,1,,,,,,,2,1,5,,,,2,1,2,,5,11,2,,15,1,11,03,15,105.54634132
5392603,1,3,1,10,3,2,10,2001,19,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,2,1,5,,,,2,1,1,1,6,0,2,2,15,1,11,03,15,105.54634132
5392603,1,4,1,10,4,2,4,2008,12,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,2,1,5,,,,2,1,1,1,4,6,,,15,1,6,03,15,105.54634132
5392604,1,1,1,10,1,1,7,1957,63,1,6,,3,3,,3,,1,2,,,,,,,,,1,,,,1,1,,,1,2,36341,2,1,2,,3,5,,,15,1,5,03,15,83.007380338
5392604,1,2,1,10,2,2,9,1961,59,2,6,,3,3,,3,,1,1,,,,,,,,,1,,,,,1,,,1,5,,2,1,2,,3,5,,,15,1,5,03,15,83.007380338
5392605,1,1,1,10,1,1,6,1993,27,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36341,2,1,1,1,6,5,3,,15,1,16,03,15,129.93337244
5392605,1,2,1,10,2,2,9,1994,26,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,1,1,6,1,2,2,15,1,12,03,15,129.93337244
5392606,1,1,1,10,1,1,10,1970,50,1,6,,3,3,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,180000,2,1,2,,6,5,4,,15,1,16,03,15,129.93337244
5392606,1,2,1,10,2,2,11,1966,54,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,2,1,88000,2,1,2,,6,5,4,,15,1,16,03,15,129.93337244
5392607,1,1,1,10,1,2,5,1980,40,1,6,,3,2,,2,,2,,,,,,,,,,,,1,,2,1,,,1,1,480000,2,1,2,,6,7,5,,15,1,18,03,15,100.39862252
5392607,1,2,1,10,2,2,3,2007,14,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,4,8,,,15,1,8,03,15,100.39862252
5392608,1,1,1,10,1,2,8,1952,68,1,6,,4,3,,2,,,,,,,,,,,,,,1,,2,1,,,2,2,480000,2,1,2,,6,14,5,,15,1,25,03,15,121.26005607
5392608,1,2,1,10,2,1,1,1977,44,3,6,,6,2,,1,1,,,,,,1,,,,,,,,,,1,,,1,3,98,2,1,2,,6,7,5,,15,1,18,03,15,121.26005607
5392609,1,1,1,10,1,1,6,1994,26,1,6,,6,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,1,100000,2,1,2,,6,5,4,,15,1,16,03,15,137.84418037
5392610,1,1,1,10,1,1,10,1963,57,1,6,,6,3,,2,,,,,,,,,,,,,,1,,2,1,,,1,3,113566,2,1,2,,6,7,5,,15,1,18,03,15,99.59150464
5392611,1,1,1,10,1,1,3,1993,27,1,6,,6,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,3,200000,2,1,2,,6,6,5,,15,1,17,03,15,137.84418037
5392612,1,1,1,10,1,1,7,1994,26,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,6,5,4,,15,1,16,03,15,155.34251831
5392612,1,2,1,10,2,2,7,1995,25,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,96000,2,1,2,,6,6,5,,15,1,17,03,15,155.34251831
5392612,1,3,1,10,2,2,2,2020,1,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,15,1,,03,15,155.34251831
5392613,1,1,1,10,1,1,3,1968,52,1,6,,3,3,,3,,1,2,,,1,,1,,1,,1,,,,1,1,,,1,3,113565,2,1,2,,6,5,4,,15,1,16,03,15,137.33704823
5392613,1,2,1,10,2,2,10,1971,49,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,172000,2,1,2,,6,7,5,,15,1,18,03,15,137.33704823
5392613,1,3,1,10,3,1,7,1997,23,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,3,2,2,15,1,14,03,15,137.33704823
5392613,1,4,1,10,4,1,9,2000,20,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,6,3,2,2,15,1,14,03,15,137.33704823
5392613,1,5,1,10,5,2,4,2003,17,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,5,11,2,,15,1,11,03,15,137.33704823
5392613,1,6,1,10,6,1,11,2010,10,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,3,4,,,15,1,4,03,15,137.33704823
5392614,1,1,1,10,1,1,11,1942,78,1,6,,5,3,,3,,,,1,,,,,,,,,,,,2,1,,,2,2,1080000,2,1,2,,6,6,5,,15,1,17,03,15,116.932739
5392614,1,2,1,10,2,1,1,1983,38,3,6,,6,1,1,3,,,,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,6,7,5,,15,1,18,03,15,116.932739
5392615,1,1,1,10,1,2,2,1952,69,1,6,,4,3,,3,,,,,,,,,,,,,,1,,2,1,,,2,2,480000,2,1,2,,6,5,4,,15,1,16,03,15,103.91882171
5392616,1,1,1,10,1,1,11,1968,52,1,6,,3,3,,3,,1,2,,,,,1,,,,,,,,2,1,,,1,2,136000,2,1,2,,6,6,5,,15,1,17,03,15,144.00743657
5392616,1,2,1,10,2,2,10,1970,50,2,6,,3,3,,2,,1,1,,,1,,1,,,,,,,,,1,,,1,3,250000,2,1,2,,6,6,5,,15,1,17,03,15,144.00743657
5392616,1,3,1,10,2,1,4,2008,12,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,4,7,,,15,1,7,03,15,144.00743657
5392616,1,4,1,10,2,1,5,2010,10,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,2,4,0,,,15,1,5,03,15,144.00743657
5392617,1,1,1,10,1,2,8,1992,28,1,6,,6,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,1,104000,2,1,2,,6,5,4,,15,1,16,03,15,112.59213808
5392618,1,1,1,10,1,1,4,1963,57,1,6,,3,3,,2,,1,2,,,,,,,1,,,,,,2,1,,,1,3,113600,2,1,2,,6,9,5,,15,1,20,03,15,97.960933991
5392618,1,2,1,10,2,2,5,1963,57,2,6,,3,3,,3,,1,1,,,,,,,,,1,,,,,1,,,1,1,167120,2,1,2,,6,6,5,,15,1,17,03,15,97.960933991
5392618,1,3,1,10,3,1,9,1991,29,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,2,1,72000,2,1,2,,6,7,5,,15,1,18,03,15,97.960933991
5392618,1,4,1,10,4,2,11,1995,25,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,6,3,2,2,15,1,14,03,15,97.960933991
5392618,1,5,1,10,5,1,10,1998,22,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,6,3,2,2,15,1,14,03,15,97.960933991
5392619,1,1,1,10,1,2,12,1964,56,1,6,,6,3,,3,,,,,,,,,,1,,,,,,1,1,,,1,3,113600,2,1,2,,5,11,2,,15,1,11,03,15,104.55895068
5392619,1,2,1,10,2,2,7,1985,35,3,6,,6,2,,1,1,,,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,6,5,4,,15,1,16,03,15,104.55895068
5392619,1,3,1,10,2,1,3,2018,3,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,2,0,,,15,1,0,03,15,104.55895068
