DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,AREA,MES,DPTO,fex_c_2011
5392695,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,248.98908872
5392695,1,2,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,248.98908872
5392696,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392696,1,2,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392696,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392696,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,173.61928022
5392697,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,262.17950212
5392697,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,262.17950212
5392697,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,262.17950212
5392698,1,1,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,187.41883024
5392698,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,187.41883024
5392699,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,250.58808716
5392699,1,2,1,90,2,,1,7,2,,1,50,2,,2,,2,,2,,2,,2,,17,03,17,250.58808716
5392700,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,199.49431725
5392701,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,230.83690968
5392701,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,230.83690968
5392702,1,1,1,90,2,,1,40,2,,1,40,2,,2,,2,,2,,2,,2,,17,03,17,243.32063007
5392703,1,1,1,90,2,,2,,2,,1,10,2,,2,,2,,2,,2,,2,,17,03,17,322.87517606
5392703,1,2,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,322.87517606
5392705,1,1,1,90,2,,1,30,2,,1,10,2,,1,8,2,,2,,1,4,2,,17,03,17,236.86395226
5392705,1,2,1,90,2,,1,40,2,,1,30,2,,2,,2,,2,,2,,2,,17,03,17,236.86395226
5392707,1,1,1,90,2,,1,8,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,274.6632225
5392707,1,2,1,90,2,,1,6,2,,1,18,2,,2,,2,,2,,2,,2,,17,03,17,274.6632225
5392708,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392708,1,2,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392708,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392708,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,17,03,17,159.89514532
5392852,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,331.22387186
5392853,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,368.80081802
5392853,1,2,1,90,2,,1,35,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,368.80081802
5392853,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,368.80081802
5392854,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392854,1,2,1,90,2,,1,42,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392854,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392854,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,319.77856982
5392855,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,314.93380359
5392856,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392856,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392856,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392857,1,1,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,331.22387186
5392858,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392858,1,2,1,90,2,,1,32,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392858,1,3,1,90,2,,1,32,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392858,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392859,1,1,1,90,2,,1,30,2,,1,10,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,2,1,90,2,,1,6,2,,1,8,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,4,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,5,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392859,1,6,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,298.42283554
5392860,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,200.55952178
5392860,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,200.55952178
5392861,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,1,10,50,03,50,210.84041034
5392862,1,1,1,90,2,,1,6,2,,1,7,2,,2,,2,,2,,2,,2,,50,03,50,248.20453029
5392862,1,2,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,12,50,03,50,248.20453029
5392862,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,1,12,50,03,50,248.20453029
5392863,1,1,1,90,2,,1,10,2,,2,,1,10,2,,2,,2,,2,,2,,50,03,50,235.63806313
5392863,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,1,5,50,03,50,235.63806313
5392863,1,3,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,235.63806313
5392864,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392864,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392864,1,3,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392864,1,4,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,185.9833582
5392865,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,210.84041034
5392866,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,331.56987631
5392866,1,2,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,331.56987631
5392866,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,331.56987631
5392867,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,237.60451118
5392867,1,2,1,90,2,,1,40,2,,2,,1,60,2,,2,,2,,2,,2,,50,03,50,237.60451118
5392867,1,3,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,237.60451118
5392867,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,237.60451118
5392867,1,5,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,237.60451118
5392867,1,6,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,237.60451118
5392868,1,1,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,229.62888342
5392868,1,2,1,90,2,,1,22,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,229.62888342
5392869,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,325.52574913
5392869,1,2,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,325.52574913
5392870,1,1,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392870,1,2,1,90,2,,1,34,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392870,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392871,1,1,1,90,2,,1,18,2,,1,15,2,,2,,2,,2,,2,,2,,50,03,50,346.84738629
5392871,1,2,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,346.84738629
5392871,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,346.84738629
5392871,1,4,1,90,2,,1,15,2,,1,14,2,,2,,2,,2,,2,,2,,50,03,50,346.84738629
5392871,1,5,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,346.84738629
5392871,1,7,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,346.84738629
5392872,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392872,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392872,1,3,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,203.69038331
5392873,1,1,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,398.62369835
5392873,1,2,1,90,2,,1,40,2,,1,60,2,,2,,2,,2,,2,,2,,50,03,50,398.62369835
5392873,1,4,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,398.62369835
5392873,1,5,1,90,2,,1,20,2,,1,40,2,,2,,2,,2,,2,,2,,50,03,50,398.62369835
5392874,1,1,1,90,2,,1,16,2,,1,8,2,,2,,2,,2,,2,,2,,50,03,50,249.30019992
5392874,1,2,1,90,2,,1,30,2,,1,40,2,,2,,2,,2,,2,,2,,50,03,50,249.30019992
5392874,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,249.30019992
5392875,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,210.84041034
5392876,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,140.56027356
5392877,1,1,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,133.70634785
5392877,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,133.70634785
5392878,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,220.81591458
5392879,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,208.07599936
5392879,1,2,1,90,2,,1,18,2,,1,16,2,,2,,2,,2,,2,,2,,50,03,50,208.07599936
5392880,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,350.01234494
5392880,1,2,1,90,2,,1,42,2,,2,,1,70,2,,2,,2,,2,,2,,50,03,50,350.01234494
5392881,1,1,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,210.84041034
5392882,1,1,1,90,2,,2,,2,,1,8,2,,2,,2,,2,,2,,2,,50,03,50,364.93451296
5392882,1,2,1,90,2,,1,36,2,,1,30,2,,2,,2,,2,,2,,2,,50,03,50,364.93451296
5392883,1,1,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,325.30484935
5392883,1,2,1,90,2,,1,23,2,,1,46,2,,2,,2,,2,,2,,2,,50,03,50,325.30484935
5392883,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,325.30484935
5392883,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,325.30484935
5392883,1,6,1,90,2,,1,25,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,325.30484935
5392883,1,7,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,325.30484935
5392884,1,1,1,90,2,,1,12,2,,1,20,2,,2,,2,,2,,2,,2,,50,03,50,370.81943835
5392884,1,2,1,90,2,,1,40,2,,1,40,2,,2,,2,,2,,2,,2,,50,03,50,370.81943835
5392885,1,1,1,90,2,,1,35,2,,1,10,2,,2,,2,,2,,2,,2,,50,03,50,311.39204727
5392885,1,2,1,90,2,,1,15,2,,1,10,2,,2,,2,,2,,2,,2,,50,03,50,311.39204727
5392885,1,5,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,311.39204727
5392886,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,278.05343417
5392886,1,2,1,90,2,,1,24,2,,1,30,2,,2,,2,,2,,2,,2,,50,03,50,278.05343417
5392886,1,4,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,278.05343417
5392887,1,1,1,90,2,,1,5,2,,1,7,2,,2,,2,,2,,2,,2,,50,03,50,347.70074279
5392887,1,2,1,90,2,,1,36,2,,1,24,2,,2,,2,,2,,2,,2,,50,03,50,347.70074279
5392888,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,273.00218308
5392888,1,2,1,90,2,,1,40,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,273.00218308
5392888,1,3,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,273.00218308
5392888,1,4,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,273.00218308
5392888,1,5,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,273.00218308
5392889,1,1,1,90,2,,2,,2,,1,18,2,,2,,2,,2,,2,,2,,50,03,50,366.48921587
5392889,1,2,1,90,2,,1,12,2,,1,12,2,,2,,2,,2,,2,,2,,50,03,50,366.48921587
5392889,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,366.48921587
5392890,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,274.41913991
5392890,1,2,1,90,2,,1,26,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,274.41913991
5392890,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,274.41913991
5392890,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,274.41913991
5392891,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,314.93380359
5392892,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,281.56916694
5392892,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,281.56916694
5392893,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,210.84041034
5392894,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,232.69400426
5392894,1,2,1,90,2,,1,30,2,,2,,1,20,2,,2,,2,,2,,2,,50,03,50,232.69400426
5392894,1,3,1,90,2,,1,20,2,,1,15,1,20,2,,2,,2,,2,,2,,50,03,50,232.69400426
5392895,1,1,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,334.54153605
5392895,1,2,1,90,2,,1,12,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,334.54153605
5392895,1,3,1,90,2,,1,24,2,,1,50,2,,2,,2,,2,,2,,2,,50,03,50,334.54153605
5392896,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,210.84041034
5392897,1,1,1,90,2,,1,20,2,,2,,1,30,2,,2,,2,,2,,2,,50,03,50,200.55952178
5392897,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,50,03,50,200.55952178
5392900,1,1,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,201.8319033
5392900,1,2,1,90,2,,1,35,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,201.8319033
5392900,1,3,1,90,2,,1,14,2,,2,,2,,2,,1,2,2,,2,,2,,52,03,52,201.8319033
5392900,1,4,1,90,2,,1,14,2,,1,65,2,,2,,2,,2,,2,,2,,52,03,52,201.8319033
5392900,1,5,1,90,2,,1,4,2,,1,14,2,,2,,1,14,2,,2,,2,,52,03,52,201.8319033
5392900,1,6,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,201.8319033
5392903,1,1,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392903,1,2,1,90,2,,1,7,2,,1,24,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392903,1,4,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392904,1,1,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,186.58497165
5392904,1,2,1,90,2,,1,35,2,,1,12,2,,2,,2,,2,,2,,2,,52,03,52,186.58497165
5392904,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,186.58497165
5392904,1,4,1,90,2,,1,1,2,,1,30,2,,2,,1,8,2,,2,,2,,52,03,52,186.58497165
5392905,1,1,1,90,2,,1,28,2,,2,,1,40,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392905,1,2,1,90,2,,1,5,2,,2,,1,6,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392905,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392905,1,4,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392905,1,5,1,90,2,,1,16,2,,2,,1,16,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392906,1,1,1,90,2,,1,24,2,,1,27,2,,2,,2,,2,,2,,2,,52,03,52,305.64561554
5392906,1,2,1,90,2,,1,3,2,,1,4,2,,2,,2,,2,,2,,2,,52,03,52,305.64561554
5392907,1,1,1,90,2,,1,40,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,139.66164828
5392907,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,139.66164828
5392907,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,139.66164828
5392908,1,1,1,90,2,,1,40,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,155.21768702
5392908,1,2,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,155.21768702
5392909,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,158.68938052
5392909,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,158.68938052
5392909,1,3,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,158.68938052
5392910,1,1,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,262.06963038
5392910,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,262.06963038
5392911,1,1,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,139.6607715
5392911,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,139.6607715
5392912,1,1,1,90,2,,1,20,2,,1,7,2,,2,,2,,2,,2,,2,,52,03,52,196.12762365
5392912,1,2,1,90,2,,1,11,2,,1,5,2,,2,,2,,2,,2,,2,,52,03,52,196.12762365
5392912,1,3,1,90,2,,1,15,2,,1,21,2,,2,,2,,2,,2,,2,,52,03,52,196.12762365
5392913,1,1,1,90,2,,2,,2,,1,6,2,,2,,2,,2,,2,,2,,52,03,52,284.57679298
5392913,1,2,1,90,2,,1,20,2,,1,40,2,,2,,2,,2,,2,,2,,52,03,52,284.57679298
5392914,1,1,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,127.57933556
5392914,1,2,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,127.57933556
5392915,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,137.12198756
5392916,1,1,1,90,2,,1,8,2,,1,6,2,,2,,2,,2,,2,,2,,52,03,52,279.06400915
5392920,1,1,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,406.64246793
5392921,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,274.24397512
5392922,1,1,1,90,2,,1,21,2,,1,14,2,,2,,2,,2,,2,,2,,52,03,52,543.7390441
5392922,1,2,1,90,2,,1,7,2,,1,14,2,,2,,2,,2,,2,,2,,52,03,52,543.7390441
5392923,1,1,1,90,2,,1,10,2,,1,20,2,,2,,2,,2,,2,,2,,52,03,52,605.95913402
5392923,1,2,1,90,2,,1,14,2,,1,30,2,,2,,2,,2,,2,,2,,52,03,52,605.95913402
5392923,1,3,1,90,2,,1,3,2,,1,3,2,,2,,2,,2,,2,,2,,52,03,52,605.95913402
5392924,1,1,1,90,2,,1,14,2,,1,14,2,,2,,2,,2,,2,,2,,52,03,52,829.48890642
5392924,1,2,1,90,2,,1,28,2,,1,21,2,,2,,2,,2,,2,,2,,52,03,52,829.48890642
5392925,1,1,1,90,2,,1,4,2,,1,3,2,,2,,2,,2,,2,,2,,52,03,52,345.62381357
5392925,1,2,1,90,2,,1,10,2,,1,10,2,,2,,2,,2,,2,,2,,52,03,52,345.62381357
5392925,1,3,1,90,2,,1,28,2,,1,30,2,,2,,2,,2,,2,,2,,52,03,52,345.62381357
5392926,1,1,1,90,2,,1,4,2,,2,,2,,2,,1,4,2,,2,,2,,52,03,52,396.81833582
5392926,1,2,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,396.81833582
5392926,1,3,1,90,2,,1,7,2,,2,,2,,2,,1,4,2,,2,,2,,52,03,52,396.81833582
5392927,1,1,1,90,2,,1,7,2,,1,7,2,,2,,2,,2,,2,,2,,52,03,52,142.63477139
5392927,1,2,1,90,2,,1,7,2,,1,48,2,,2,,2,,2,,2,,2,,52,03,52,142.63477139
5392928,1,1,1,90,2,,1,40,2,,1,20,2,,2,,2,,2,,2,,2,,52,03,52,218.37666979
5392929,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,212.86388596
5392929,1,2,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,212.86388596
5392929,1,3,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,212.86388596
5392929,1,4,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,212.86388596
5392931,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,230.95958542
5392932,1,1,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,167.29912295
5392932,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,167.29912295
5392933,1,1,1,90,2,,1,16,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,215.40354669
5392933,1,2,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,215.40354669
5392934,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,167.29912295
5392934,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,167.29912295
5392935,1,1,1,90,2,,1,2,2,,1,2,2,,2,,2,,2,,2,,2,,52,03,52,236.47236925
5392935,1,2,1,90,2,,1,30,2,,1,24,2,,2,,1,10,2,,2,,2,,52,03,52,236.47236925
5392936,1,1,1,90,2,,1,45,2,,2,,1,40,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392936,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392936,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392936,1,4,1,90,2,,2,,2,,2,,2,,2,,1,20,2,,2,,2,,52,03,52,106.43194298
5392936,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,106.43194298
5392937,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,188.8673927
5392937,1,2,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,188.8673927
5392937,1,3,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,188.8673927
5392937,1,4,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,188.8673927
5392937,1,5,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,188.8673927
5392938,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,230.95958542
5392939,1,1,1,90,2,,1,25,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,176.78507997
5392939,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,176.78507997
5392939,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,176.78507997
5392939,1,4,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,176.78507997
5392940,1,1,1,90,2,,1,22,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,222.51913088
5392940,1,2,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,222.51913088
5392940,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,222.51913088
5392940,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,222.51913088
5392940,1,5,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,222.51913088
5392941,1,1,1,90,2,,1,21,2,,1,10,2,,2,,2,,2,,2,,2,,52,03,52,200.94882863
5392941,1,2,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,200.94882863
5392941,1,3,1,90,2,,1,4,2,,1,5,2,,2,,2,,2,,2,,2,,52,03,52,200.94882863
5392941,1,4,1,90,2,,1,24,2,,1,12,2,,2,,2,,2,,2,,2,,52,03,52,200.94882863
5392941,1,5,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,200.94882863
5392942,1,1,1,90,2,,1,4,2,,1,2,2,,2,,1,2,1,3,2,,2,,52,03,52,133.09211939
5392942,1,2,1,90,2,,1,24,2,,1,40,2,,2,,2,,2,,2,,2,,52,03,52,133.09211939
5392942,1,3,1,90,2,,2,,2,,1,35,2,,2,,1,12,2,,2,,2,,52,03,52,133.09211939
5392943,1,1,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,233.49924614
5392943,1,2,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,52,03,52,233.49924614
