DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5392701,1,2,1,70,17,48,48,1,,2,48,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,41,95,95,1,2,4111,03,17,230.83690968
5392705,1,2,1,70,17,48,48,1,,2,48,1,,3,1,2,,,,,,,,,,,1,2,,908526,2,,56,03,50,1,2,5613,03,17,236.86395226
5392707,1,2,1,70,17,4,48,1,,2,4,1,,4,2,4,,,,,,,,,,,1,1,1000000,908526,2,,41,95,95,1,1,4111,03,17,274.6632225
5392708,1,1,1,70,17,24,48,1,,2,24,1,,2,2,1,,,,1,,,,,,,,2,,908526,1,4,41,95,95,1,2,4111,03,17,159.89514532
5392854,1,3,1,70,50,4,4,1,,2,4,4,,4,2,1,,,1,,,,,,,,,1,2000000,2500000,1,1,86,19,19,1,1,8621,03,50,319.77856982
5392867,1,3,1,70,50,52,48,1,,2,52,1,,5,2,1,,,,,,,,,,,1,2,,800000,2,,81,03,59,1,2,8129,03,50,237.60451118
5392869,1,2,1,70,50,16,48,1,,2,8,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,56,45,53,1,2,5630,03,50,325.52574913
5392870,1,1,1,70,50,30,48,1,,2,30,1,,3,2,1,,,,,,,,,,,1,2,,1300000,2,,41,95,95,1,2,4111,03,50,203.69038331
5392871,1,7,1,70,50,2,48,1,,2,3,4,,1,2,7,,,,,,,,,,,1,2,,800000,2,,88,45,54,1,1,8890,03,50,346.84738629
5392885,1,5,1,70,50,8,48,1,,2,10,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,10,58,77,1,1,1081,03,50,311.39204727
5392887,1,1,1,70,50,26,48,1,,2,28,1,,2,2,7,,,,,,,,,,,1,2,,1000000,2,,31,97,81,1,2,3110,03,50,347.70074279
5392887,1,2,1,70,50,32,48,1,,2,28,4,,1,2,1,,,,,,,,,,,1,2,,950000,2,,47,55,41,1,2,4721,03,50,347.70074279
5392888,1,1,1,70,50,52,48,4,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,2,4111,03,50,273.00218308
5392888,1,3,1,70,50,42,48,4,,2,42,4,,1,2,1,,,,,,,,,,,1,2,,1000000,2,,43,95,95,1,2,4330,03,50,273.00218308
5392888,1,4,1,70,50,20,48,4,,2,20,4,,2,2,1,,,,,,,,,,,1,2,,900000,2,,43,95,95,1,2,4330,03,50,273.00218308
5392888,1,5,1,70,50,8,48,1,,2,16,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,1,4111,03,50,273.00218308
5392895,1,3,1,70,50,20,48,1,,2,21,1,,7,2,1,,,,,,,,,,,1,2,,980000,2,,85,39,39,1,2,8530,03,50,334.54153605
5392912,1,2,1,70,52,28,48,1,,2,40,1,,9,2,7,,,,,,,,,,,1,1,40000,1014980,2,,49,84,84,1,2,4921,03,52,196.12762365
5392936,1,4,1,70,52,52,48,1,,2,156,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,47,11,41,1,2,4773,03,52,106.43194298
5392939,1,3,1,70,52,20,48,1,,2,20,1,,2,2,1,,,,,,,,,,,1,2,,500000,2,,41,95,95,1,2,4111,03,52,176.78507997
5392939,1,4,1,70,52,12,48,1,,2,12,1,,4,2,1,,,,,,,,,,,1,2,,600000,2,,47,45,45,1,1,4771,03,52,176.78507997
5392941,1,3,1,70,52,12,48,1,,2,28,1,,4,2,7,,,,,,,,,,,1,2,,500000,2,,41,45,95,1,1,4111,03,52,200.94882863
5392946,1,2,1,70,52,48,40,3,,2,48,1,,3,2,1,,,,,,,,,,,1,2,,500000,2,,56,54,99,1,2,5611,03,52,189.79942548
5392946,1,3,1,70,52,8,20,1,,2,58,1,,4,2,2,,,,,,,,,,,1,2,,800000,2,,84,45,39,1,1,8412,03,52,189.79942548
5392950,1,3,1,70,52,1,48,1,,2,1,1,,2,2,1,,,,,,,,,,,1,1,460000,900000,2,,47,81,97,1,1,4721,03,52,287.61705661
5392951,1,3,1,70,52,12,48,2,,2,24,2,,9,2,1,,,,,,,,,,,1,2,,2500000,2,,84,06,06,1,1,8413,03,52,113.12461751
5392956,1,3,1,70,52,14,40,1,,2,8,1,,2,2,1,,,,,,,,,,,1,2,,908000,2,,47,45,45,1,2,4771,03,52,227.23766861
5392956,1,5,1,70,52,8,40,3,,2,50,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,9700,03,52,227.23766861
5392957,1,2,1,70,52,52,48,1,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,56,45,53,1,2,5611,03,52,310.17405411
5392961,1,1,1,70,52,8,48,3,,2,8,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,1,9700,03,52,277.38230588
5392961,1,3,1,70,52,4,28,1,,2,5,1,,2,2,1,,,,,,,,,,,1,2,,400000,2,,56,53,53,1,1,5611,03,52,277.38230588
5392981,1,1,1,70,52,110,48,3,,2,110,3,,1,2,1,,,,,,,,,,,1,1,90000,500000,2,,97,54,59,1,2,9700,03,52,298.40684699
5392987,1,3,1,70,52,25,48,1,,2,25,1,,3,2,1,,,,,,,,,,,1,1,200000,908526,2,,46,45,45,1,2,4631,03,52,241.30349989
5392994,1,4,1,70,52,24,60,4,,2,24,5,,6,2,1,,,,,,,,,,,1,1,300000,980000,2,,25,41,83,1,2,2511,03,52,181.36583102
5392997,1,2,1,70,52,52,48,1,,2,52,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,47,33,33,1,2,4761,03,52,185.39482241
5393002,1,1,1,70,52,40,48,1,,2,40,4,,9,2,1,,,,,,,,,,,1,2,,2000000,2,,84,12,12,1,2,8412,03,52,230.95958542
5393008,1,3,1,70,52,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,45,,1,1,.,03,52,599.39873866
5393019,1,1,1,70,54,12,48,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,47,58,45,1,1,4711,03,54,478.2582227
5393019,1,2,1,70,54,12,48,1,,2,12,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,61,45,44,1,1,6120,03,54,478.2582227
5393022,1,3,1,70,54,8,48,1,,2,16,4,,1,2,2,,,,,,,,,,,1,2,,900000,2,,64,97,49,1,1,6499,03,54,465.4933698
5393024,1,2,1,70,54,12,48,4,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,908000,2,,53,97,97,1,1,5320,03,54,429.46160182
5393051,1,2,1,70,68,24,24,1,,2,260,1,,4,2,2,,,,,,,,,,,1,2,,1014000,2,,47,19,39,1,2,4774,03,68,640.8304501
5393066,1,1,1,70,73,16,48,1,,2,16,4,,1,2,7,,,,,,,,,,,1,2,,908100,2,,53,37,97,1,2,5320,03,73,313.21782826
5393074,1,3,1,70,76,8,48,1,,2,52,4,,1,2,5,,,,,,,,,,,1,1,200000,1000000,2,,74,16,16,1,1,7410,03,76,644.16377553
5393079,1,2,1,70,76,52,48,4,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,2,5619,03,76,1301.7376027
5393079,1,3,1,70,76,52,48,4,,2,52,4,,3,2,1,,,,,,,,,,,1,2,,900000,2,,96,57,57,1,2,9602,03,76,1301.7376027
