DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5392635,1,3,1,80,15,1,2,,,,2,,,.,2,2,2,,1,20,1000000,1,1,03,,15,83.814498221
5392636,1,1,1,80,15,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,15,91.680696712
5392637,1,2,1,80,15,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,15,121.26005607
5392638,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,152.79773402
5392638,1,4,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,152.79773402
5392639,1,1,1,80,15,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,3,15,104.67593177
5392639,1,3,1,80,15,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,15,104.67593177
5392643,1,2,1,80,15,1,1,7,,2,,,12,PANDEMIA COVID 19,2,,2,,1,30,400000,2,1,03,2,15,71.453993752
5392643,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,71.453993752
5392643,1,5,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,71.453993752
5392644,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,97.203823935
5392645,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,100.3486147
5392646,1,2,1,80,15,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,1.3,15,83.007380338
5392648,1,4,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,182.63221274
5392649,1,2,1,80,15,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,15,83.007380338
5392650,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,159.61074758
5392651,1,1,1,80,15,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,15,66.423256036
5392651,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,66.423256036
5392651,1,3,1,80,15,1,1,9,PANDEMIA,2,,,8,,2,,2,,,,,2,1,03,2,15,66.423256036
5392652,1,1,1,80,15,1,1,2,,2,,,2,,2,,2,,,,,2,1,03,1.2,15,131.54920045
5392652,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,131.54920045
5392654,1,1,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,113.83255767
5392654,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,113.83255767
5392658,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,111.44487697
5392658,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,111.44487697
5392658,1,4,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,111.44487697
5392660,1,2,1,80,15,1,1,3,,2,,,8,,2,,2,,,,,2,1,03,4,15,87.334697406
5392661,1,2,1,80,15,1,1,3,,2,,,9,,1,,2,,,,,2,1,03,1.4,15,138.48430934
5392662,1,2,1,80,15,1,1,7,,2,,,11,,2,,2,,,,,2,1,03,4,15,160.86564553
5392662,1,3,1,80,15,1,2,,,,2,,,.,,,2,,2,,908526,,1,03,,15,160.86564553
5392664,1,3,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,123.63839253
5392666,1,1,1,80,15,1,1,9,CUARENTENA OBLIGATORIA COVID 19,2,,,1,,1,,2,,1,40,1500000,2,1,03,1.4,15,87.397989079
5392666,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,87.397989079
5392667,1,1,1,80,15,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,15,83.007380338
5392667,1,2,1,80,15,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,15,83.007380338
5392668,1,3,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,135.45649966
5392669,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,105.92174974
5392669,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,105.92174974
