DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5398353,1,3,1,10,2,1,6,1996,24,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5398353,1,4,1,10,4,1,7,2001,19,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,0,2,2,2,11,03,15,2727.3762066
5398353,1,5,1,10,2,2,4,2018,2,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,03,15,2727.3762066
5398354,1,1,1,10,1,2,5,1972,48,1,6,,4,3,,2,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5398354,1,2,1,10,2,2,7,1991,29,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5398354,1,3,1,10,2,2,4,2012,8,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,3,,,2,3,03,15,665.21370892
5398354,1,4,1,10,4,2,11,2006,14,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,03,15,665.21370892
5398354,1,5,1,10,5,2,11,2006,14,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,03,15,665.21370892
5398355,1,1,1,10,1,1,9,1949,71,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,80000,2,1,2,,3,5,,,2,5,03,15,665.21370892
5398355,1,2,1,10,2,2,6,1958,62,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,15,665.21370892
5398355,1,3,1,10,3,2,7,1984,36,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,1,36300,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5398355,1,4,1,10,4,2,6,2008,12,4,6,,6,2,,1,3,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,7,,,2,7,03,15,665.21370892
5398355,1,5,1,10,3,1,1,2017,4,4,6,,,2,,1,3,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,15,665.21370892
5398355,1,6,1,10,6,1,6,1989,31,3,6,,6,1,1,1,2,,,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5398356,1,1,1,10,1,2,10,1950,70,1,6,,5,3,,3,,,,,,,,,,,,,1,,NO PODIA ASISTIR A CITAS MEDICAS,1,1,,,1,2,78000,2,1,2,,3,1,,,2,1,03,15,665.21370892
5398357,1,1,1,10,1,1,11,1962,58,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36000,2,1,2,,3,5,,,2,5,03,15,665.21370892
5398357,1,2,1,10,2,2,4,1970,50,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,3,,,2,3,03,15,665.21370892
5398357,1,3,1,10,3,1,10,1997,23,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,6,2,3,,2,13,03,15,665.21370892
5398357,1,4,1,10,4,2,1,2002,19,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,1,2,2,2,12,03,15,665.21370892
5398357,1,5,1,10,5,2,11,2008,12,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,7,,,2,7,03,15,665.21370892
5398358,1,1,1,10,1,1,12,1985,35,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,60000,2,1,2,,3,5,,,2,5,03,15,2727.3762066
5398358,1,2,1,10,2,2,12,1992,28,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5398358,1,3,1,10,2,1,1,2013,8,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,15,2727.3762066
5398358,1,4,1,10,2,1,3,2021,0,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,2,,03,15,2727.3762066
5399036,1,1,1,10,1,1,9,1982,38,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,48000,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5399036,1,2,1,10,2,2,7,1999,21,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5399036,1,3,1,10,2,2,7,2019,1,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,03,15,2727.3762066
5399037,1,1,1,10,1,1,4,1978,42,1,6,,2,2,,2,,1,2,,1,,,,,,,,,,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399037,1,2,1,10,2,2,10,1986,34,2,6,,2,2,,2,,1,1,,1,,,,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399037,1,3,1,10,3,1,4,2008,12,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,0,,,2,5,03,15,665.21370892
5399038,1,1,1,10,1,1,9,1951,69,1,6,,3,3,,3,,1,2,,1,,,,,,,,,,,2,1,,,3,,,2,1,2,,3,4,,,2,4,03,15,2727.3762066
5399038,1,2,1,10,2,2,3,1953,68,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,15,2727.3762066
5399038,1,3,1,10,2,2,10,2015,5,4,6,,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,0,,,2,0,03,15,2727.3762066
5399039,1,1,1,10,1,1,7,1959,61,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36454,2,1,2,,3,2,,,2,2,03,15,665.21370892
5399039,1,2,1,10,2,2,4,1965,55,2,6,,3,3,,3,,1,1,,,,,,,,,1,,,,,1,,,1,5,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399040,1,1,1,10,1,2,,,82,1,6,,5,3,,3,,,,,1,1,,,,,,1,,,,2,1,,,3,,,2,2,2,,1,0,,,2,0,03,15,665.21370892
5399041,1,1,1,10,1,2,4,1982,38,1,6,,6,2,,2,,,,,1,1,,,,,,1,,,,1,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,1947.288157
5399041,1,2,1,10,2,2,10,2010,10,3,6,,6,2,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,1,1,1,1,3,4,,,2,4,03,15,1947.288157
5399041,1,3,1,10,1,2,9,2012,8,3,6,,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,15,1947.288157
5399042,1,1,1,10,1,1,5,1959,61,1,6,,1,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,2,2,408000,2,1,2,,6,7,5,,2,18,03,15,665.21370892
5399042,1,2,1,10,2,2,10,1988,32,2,6,,1,2,,2,,1,1,,,,,,,,,,,1,,,2,1,15,,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399042,1,3,1,10,3,2,1,2009,12,3,6,,6,2,,1,2,,,,,,,,,,,,,1,,,2,1,1,,,,2,1,1,1,4,0,,,2,5,03,15,665.21370892
5399042,1,4,1,10,4,2,5,2011,9,3,6,,,2,,1,2,,,,,,,,,,,,,,,,2,1,1,,,,2,1,1,1,3,3,,,2,3,03,15,665.21370892
5399042,1,5,1,10,5,2,9,1991,29,9,6,,6,2,,2,,,,,,,,,,,,,,1,,,2,1,24,,,,1,1,2,,5,11,2,,2,11,03,15,665.21370892
5399043,1,1,1,10,1,1,12,1955,65,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,109420,2,1,2,,3,5,,,2,5,03,15,2727.3762066
5399043,1,2,1,10,2,2,11,1958,62,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,4,6,,,2,6,03,15,2727.3762066
5399043,1,3,1,10,3,1,10,2011,9,4,6,,,2,,2,,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,2,3,3,,,2,3,03,15,2727.3762066
5399044,1,1,1,10,1,1,7,1977,43,1,6,,3,3,,2,,1,2,,,1,1,,,,,,,,,2,1,,,1,1,56000,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399044,1,2,1,10,2,2,10,1966,54,2,6,,3,3,,3,,1,1,,,,1,,,,,1,,,,,1,,,1,5,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399044,1,3,1,10,3,2,11,2002,18,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399044,1,4,1,10,4,1,7,2005,15,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,9,,,2,9,03,15,665.21370892
5399045,1,1,1,10,1,1,2,1984,37,1,6,,4,2,,2,,,,,,,,,,,,,,1,,2,1,,,1,1,36454,2,1,2,,3,5,,,2,5,03,15,2727.3762066
5399045,1,2,1,10,2,2,1,2003,18,3,6,,1,1,1,2,,1,3,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,6,0,2,2,2,11,03,15,2727.3762066
5399045,1,3,1,10,3,1,1,2001,20,5,6,,1,2,,2,,1,2,,,,,,,,,,,1,,,1,,,1,1,36454,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5399045,1,4,1,10,2,2,9,2020,0,4,6,,,1,3,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,2,,03,15,2727.3762066
5399046,1,1,1,10,1,1,12,1984,36,1,6,,2,3,,2,,1,2,,,,1,,,,,,,,,2,1,,,1,1,36600,2,1,2,,3,4,,,2,4,03,15,2727.3762066
5399046,1,2,1,10,2,2,6,1988,32,2,6,,2,2,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,2,3,03,15,2727.3762066
5399046,1,3,1,10,3,1,12,2004,16,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,03,15,2727.3762066
5399046,1,4,1,10,4,1,3,2006,14,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,6,,,2,6,03,15,2727.3762066
5399046,1,5,1,10,2,2,10,2016,4,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,15,2727.3762066
5399047,1,1,1,10,1,1,10,1955,65,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,72682,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399047,1,2,1,10,2,2,3,1958,63,2,6,,3,2,,3,,1,1,,1,,,,,,,,,,,,1,,,1,5,,2,1,2,,3,3,,,2,3,03,15,665.21370892
5399048,1,1,1,10,1,1,1,1996,25,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,48000,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5399048,1,2,1,10,2,2,12,1995,25,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
5399048,1,3,1,10,2,1,2,2014,7,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,1,,,2,1,03,15,2727.3762066
5399048,1,4,1,10,2,2,8,2018,2,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,2,,03,15,2727.3762066
5399049,1,1,1,10,1,2,5,1959,61,1,6,,6,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,2,,,2,2,03,15,665.21370892
5399049,1,2,1,10,2,1,12,1995,25,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,1,36454,2,1,2,,4,9,,,2,9,03,15,665.21370892
5399050,1,1,1,10,1,1,3,1940,80,1,6,,3,3,,3,,1,2,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,3,,,2,3,03,15,665.21370892
5399050,1,2,1,10,2,2,4,1947,73,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,15,665.21370892
5399050,1,3,1,10,3,1,6,1989,31,3,6,,6,1,1,1,2,,,,1,1,,1,,1,,,,,,,1,,,3,,,2,1,2,,3,1,,,2,1,03,15,665.21370892
5399051,1,1,1,10,1,1,8,1967,53,1,6,,2,3,,2,,1,2,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399051,1,2,1,10,2,2,9,1972,48,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399051,1,3,1,10,3,2,4,1998,22,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,6,4,2,2,2,15,03,15,665.21370892
5399051,1,4,1,10,4,2,9,2003,17,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399051,1,5,1,10,5,2,5,2008,12,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,6,,,2,6,03,15,665.21370892
5399051,1,6,1,10,6,2,10,2012,8,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,15,665.21370892
5399052,1,1,1,10,1,1,11,1972,48,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36600,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399052,1,2,1,10,2,2,9,1962,58,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,1,,,2,1,03,15,665.21370892
5399053,1,1,1,10,1,1,6,1938,82,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,96000,2,1,2,,3,1,,,2,1,03,15,665.21370892
5399053,1,2,1,10,2,2,1,1938,83,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,1,,,2,1,03,15,665.21370892
5399054,1,1,1,10,1,1,6,1964,56,1,6,,6,3,,2,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,1302.3581531
5399055,1,1,1,10,2,2,8,1927,93,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,2,2,,1,0,,,2,0,03,15,665.21370892
5399055,1,2,1,10,2,2,8,1968,52,3,6,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399056,1,1,1,10,1,2,5,1954,66,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,1,,,2,1,03,15,665.21370892
5399057,1,1,1,10,1,1,5,1941,79,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,2,72682,2,1,2,,3,2,,,2,2,03,15,665.21370892
5399057,1,2,1,10,2,2,5,1979,41,3,6,,6,1,1,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399057,1,3,1,10,3,2,8,1981,39,3,6,,6,1,1,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399057,1,4,1,10,4,1,11,1990,30,3,6,,6,1,1,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399058,1,1,1,10,1,2,4,1942,78,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,2,72682,2,2,2,,1,0,,,2,0,03,15,665.21370892
5399058,1,2,1,10,2,1,5,1944,76,5,6,,4,3,,3,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,4,,,2,4,03,15,665.21370892
5399059,1,1,1,10,1,1,2,1964,57,1,6,,2,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,2,72682,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399059,1,2,1,10,2,2,9,1979,41,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399059,1,3,1,10,3,1,1,2005,16,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,9,,,2,9,03,15,665.21370892
5399060,1,1,1,10,1,1,11,1946,74,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,2,72600,2,1,2,,3,2,,,2,2,03,15,665.21370892
5399060,1,2,1,10,2,2,5,1947,73,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,2,,,2,2,03,15,665.21370892
5399061,1,1,1,10,1,1,11,1968,52,1,6,,3,3,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36600,2,1,2,,4,6,,,2,6,03,15,2727.3762066
5399061,1,2,1,10,2,2,11,1992,28,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,4,6,,,2,6,03,15,2727.3762066
5399061,1,3,1,10,2,1,1,2014,7,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,1,,,2,1,03,15,2727.3762066
5399061,1,4,1,10,2,1,11,2015,5,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,1,2,0,,,2,0,03,15,2727.3762066
5399062,1,1,1,10,1,1,5,1960,60,1,6,,6,2,,2,,,,,,,1,,,,,,,,,2,1,,,1,1,36341,2,1,2,,3,5,,,2,5,03,15,1302.3581531
5399063,1,1,1,10,1,2,1,1954,67,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,2,,,2,2,03,15,665.21370892
5399063,1,2,1,10,2,1,10,1981,39,3,6,,6,3,,1,1,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,6,2,3,,2,13,03,15,665.21370892
5399063,1,3,1,10,3,2,9,1993,27,3,6,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399063,1,4,1,10,4,1,6,1992,28,3,6,,6,3,,1,1,,,,,,1,,,,,,,,,,2,1,5,,,,2,1,2,,6,2,3,,2,13,03,15,665.21370892
5399064,1,1,1,10,1,1,12,1978,42,1,6,,2,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,1,36341,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399064,1,2,1,10,2,2,8,1980,40,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,4,9,,,2,9,03,15,665.21370892
5399064,1,3,1,10,3,1,12,2002,18,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,5,11,2,,2,11,03,15,665.21370892
5399064,1,4,1,10,4,1,7,2004,16,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,03,15,665.21370892
5399065,1,1,1,10,1,2,12,1949,71,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,3,,,2,3,03,15,665.21370892
5399065,1,2,1,10,2,1,10,1976,44,3,6,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,3,3,,,2,3,03,15,665.21370892
5399065,1,3,1,10,3,1,4,1993,27,3,6,,6,3,,1,1,,,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,3,3,,,2,3,03,15,665.21370892
5399065,1,4,1,10,4,1,2,1987,34,3,6,,2,3,,1,1,1,5,,,,,,,,,,,1,,,1,,,1,1,36341,2,1,2,,3,5,,,2,5,03,15,665.21370892
5399065,1,5,1,10,5,2,11,1992,28,5,6,,2,2,,2,,1,4,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,4,,,2,4,03,15,665.21370892
5399065,1,6,1,10,5,1,3,2016,4,4,6,,,1,4,1,5,,,,,,,,,,,,,,,,1,,,1,5,,2,2,1,1,2,0,,,2,0,03,15,665.21370892
5399066,1,1,1,10,1,1,11,1972,48,1,6,,2,3,,3,,1,2,,,,1,1,,1,,,,,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,15,2727.3762066
5399066,1,2,1,10,2,2,9,1987,33,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,15,2727.3762066
