DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5409383,1,3,1,10,3,1,12,1999,21,3,1,210_03,6,1,1,1,2,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,10,1,,2,10,03,52,3123.252737
5409383,1,4,1,10,4,2,8,2001,19,3,1,210_03,6,1,1,1,2,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,3123.252737
5409383,1,5,1,10,2,1,12,2005,15,3,1,210_03,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,03,52,3123.252737
5409384,1,1,1,10,2,1,6,1975,45,1,6,,3,2,,2,,1,2,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3023.466145
5409384,1,2,1,10,2,2,5,1986,34,2,6,,3,3,,2,,1,1,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,4,9,,,2,9,03,52,3023.466145
5409384,1,3,1,10,2,1,6,2011,9,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,03,52,3023.466145
5409384,1,4,1,10,2,1,1,2014,7,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,1,,,2,1,03,52,3023.466145
5409385,1,1,1,10,1,2,6,1965,55,1,1,210_03,5,3,,3,,,,1,1,,1,,,,,1,,,,1,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,1460.6032047
5409386,1,1,1,10,1,2,5,1973,47,1,1,210_03,3,3,,2,,2,,1,1,1,1,,,,,1,,,,2,1,,,1,3,150000,2,1,2,,6,2,3,,2,13,03,52,1658.3428972
5409387,1,1,1,10,1,1,7,1937,83,1,6,,3,3,,3,,1,2,,,,,,,,,1,,,,1,1,,,1,5,,2,1,2,,3,2,,,2,2,03,52,2816.3219249
5409387,1,2,1,10,2,2,5,1944,76,2,1,210_03,3,3,,3,,1,1,,,,1,,,,,1,,,,,1,,,1,5,,2,1,2,,3,5,,,2,5,03,52,2816.3219249
5409387,1,3,1,10,2,1,5,1965,55,3,6,,6,2,,1,2,,,1,,,,,,,,1,,,,,1,,,1,3,110000,2,1,2,,6,5,4,,2,16,03,52,2816.3219249
5409388,1,1,1,10,1,1,11,1984,36,1,1,210_03,2,3,,3,,1,2,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,4003.3057972
5409388,1,2,1,10,2,2,5,1986,34,2,1,210_03,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,4003.3057972
5409388,1,3,1,10,2,1,12,2007,13,3,1,210_03,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,03,52,4003.3057972
5409388,1,4,1,10,2,2,1,2021,0,3,1,210_03,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,03,52,4003.3057972
5409389,1,1,1,10,1,1,9,1967,53,1,1,210_03,2,3,,2,,1,2,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,2545.1194753
5409389,1,2,1,10,2,2,3,1978,43,2,1,210_03,2,3,,2,,1,1,,,1,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,2545.1194753
5409389,1,3,1,10,3,2,9,2009,11,3,1,210_03,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,0,,,2,5,03,52,2545.1194753
5409389,1,4,1,10,2,1,5,2016,4,4,1,210_03,,2,,2,,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,2545.1194753
5409390,1,1,1,10,1,2,11,1969,51,1,6,,6,2,,2,,,,,,,,,,,,1,,,,2,1,,,1,1,36341,2,1,2,,5,11,2,,2,11,03,52,1735.2499077
5409390,1,2,1,10,2,1,1,2000,21,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,2,6,2,2,2,2,13,03,52,1735.2499077
5409390,1,3,1,10,3,2,1,2005,16,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,5,10,1,,2,10,03,52,1735.2499077
5409391,1,1,1,10,1,2,8,1951,69,1,1,210_03,2,3,,1,4,1,2,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,1440.1192984
5409391,1,2,1,10,2,1,5,1959,61,2,1,210_03,2,2,,3,,1,1,1,,,1,,,,1,,,,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,1440.1192984
5409391,1,3,1,10,1,1,8,2007,13,4,1,210_03,6,2,,2,,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,4,6,,,2,6,03,52,1440.1192984
5409391,1,4,1,10,1,2,12,1926,94,5,1,210_03,5,3,,3,,,,,,,,,,,,1,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,1440.1192984
5409392,1,1,1,10,1,1,7,1979,41,1,6,,2,2,,2,,1,2,1,1,1,1,,,,,,,,,2,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,3223.8037594
5409392,1,2,1,10,2,2,8,1988,32,2,6,,2,2,,2,,1,1,1,1,,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,4,,,2,4,03,52,3223.8037594
5409392,1,3,1,10,2,1,3,2006,15,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,2,8,03,52,3223.8037594
5409392,1,4,1,10,2,1,8,2012,8,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,52,3223.8037594
5409393,1,1,1,10,1,2,7,1948,72,1,1,210_03,5,3,,3,,,,,,,,,,,,1,,,,2,1,,,1,2,36341,2,2,2,,1,0,,,2,0,03,52,1460.6032047
5409394,1,1,1,10,1,1,2,1973,48,1,1,210_03,2,3,,2,,1,2,1,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,1,1,4,9,,,2,9,03,52,2745.4570896
5409394,1,2,1,10,2,2,2,1983,38,2,1,210_03,2,2,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,1,1,4,9,,,2,9,03,52,2745.4570896
5409394,1,3,1,10,3,1,1,2002,19,3,1,210_03,6,1,1,1,2,,,,,,,,,,,1,,,,,1,,,3,,,2,1,1,1,5,10,1,,2,10,03,52,2745.4570896
5409394,1,4,1,10,2,2,6,2003,17,3,1,210_03,6,1,1,1,2,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,5,10,1,,2,10,03,52,2745.4570896
5409395,1,1,1,10,1,2,8,1981,39,1,1,210_03,6,3,,3,,,,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,4,6,,,2,6,03,52,2615.302968
5409395,1,2,1,10,1,2,5,2014,6,3,1,210_03,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,52,2615.302968
5409396,1,1,1,10,1,1,2,1986,35,1,1,210_03,2,2,,2,,1,2,,1,1,1,,,,,1,,,,2,1,,,3,,,2,1,2,,3,1,,,2,1,03,52,2745.4570896
5409396,1,2,1,10,2,2,7,1985,35,2,1,210_03,2,2,,2,,1,1,,1,1,1,,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,2745.4570896
5409396,1,3,1,10,3,1,10,2003,17,3,1,210_03,6,1,1,1,2,,,,,,1,,,,1,,,,,,1,,,3,,,2,1,1,1,5,10,1,,2,10,03,52,2745.4570896
5409396,1,4,1,10,4,2,11,2004,16,3,1,210_03,6,1,1,1,2,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,5,10,1,,2,10,03,52,2745.4570896
5409397,1,1,1,10,1,1,2,1971,50,1,1,210_03,2,2,,2,,1,2,,,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,5760.4771935
5409397,1,2,1,10,2,2,10,1970,50,2,1,210_03,2,3,,3,,1,1,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,5760.4771935
5409397,1,3,1,10,3,1,12,1992,28,3,1,210_03,6,1,1,1,2,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,5760.4771935
5409397,1,4,1,10,4,1,10,1995,25,3,1,210_03,6,1,1,1,2,,,,,,1,,,,,1,,,,,1,,,1,1,36341,2,1,2,,5,11,2,,2,11,03,52,5760.4771935
5409397,1,5,1,10,5,1,3,2000,21,3,1,210_03,6,1,1,1,2,,,,,,1,,,,1,,,,,,1,,,3,,,2,1,1,1,4,9,,,2,9,03,52,5760.4771935
5409397,1,6,1,10,6,1,6,2003,17,3,1,210_03,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,9,,,2,9,03,52,5760.4771935
5409397,1,7,1,10,2,1,3,2009,12,3,1,210_03,6,1,1,1,2,,,,,,,,,,1,1,,,,,1,,,3,,,2,2,1,1,3,0,,,2,0,03,52,5760.4771935
5409398,1,1,1,10,1,1,12,1942,78,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,1,,,2,1,03,52,2138.4625648
5409398,1,2,1,10,2,2,12,1934,86,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,2138.4625648
5409399,1,1,1,10,1,1,10,1982,38,1,1,560_01,2,3,,2,,1,2,,1,1,1,,,,,1,,,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3801.9370211
5409399,1,2,1,10,2,2,4,1981,39,2,1,560_01,2,3,,2,,1,1,,,,1,,,,,1,,,,,1,,,3,,,2,2,2,,3,1,,,2,1,03,52,3801.9370211
5409399,1,3,1,10,1,1,6,2003,17,3,1,560_01,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,6,,,2,6,03,52,3801.9370211
5409399,1,4,1,10,2,1,1,2006,15,3,1,560_01,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,2,,4,7,,,2,7,03,52,3801.9370211
5409399,1,5,1,10,2,1,12,2009,11,3,1,560_01,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,0,,,2,5,03,52,3801.9370211
5409400,1,1,1,10,1,1,7,1966,54,1,1,999_01,2,3,,3,,1,2,,,,1,,1,,,,,,,1,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,3481.0175685
5409400,1,2,1,10,2,2,10,1953,67,2,1,210_03,2,3,,3,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,3481.0175685
5409400,1,3,1,10,3,1,1,1991,30,3,1,210_03,6,1,1,1,2,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,4,7,,,2,7,03,52,3481.0175685
5409401,1,1,1,10,1,1,8,1982,38,1,6,,2,2,,2,,1,2,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3883.8933741
5409401,1,2,1,10,2,2,8,1978,42,2,6,,2,2,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,3883.8933741
5409401,1,3,1,10,3,2,1,1997,24,3,6,,6,2,,1,2,,,,1,1,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,3883.8933741
5409401,1,4,1,10,3,2,10,2013,7,4,6,,,2,,1,3,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,1,,,2,1,03,52,3883.8933741
5409402,1,1,1,10,1,1,9,1945,75,1,6,,3,3,,3,,1,2,,,,1,,,,,1,,,,2,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,3326.8383003
5409402,1,2,1,10,2,2,11,1958,62,2,6,,3,3,,3,,1,1,,1,,,,,,,1,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,3326.8383003
5409402,1,3,1,10,3,1,10,1990,30,3,6,,6,1,1,1,2,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,3326.8383003
5409402,1,4,1,10,4,2,10,2000,20,3,6,,6,1,1,1,2,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,3326.8383003
5409403,1,1,1,10,1,1,10,1982,38,1,6,,3,2,,2,,1,2,,,,,1,,,,1,,,,1,1,,,3,,,2,1,2,,4,8,,,2,8,03,52,3883.8933741
5409403,1,2,1,10,2,2,1,1983,38,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3883.8933741
5409403,1,3,1,10,3,2,2,2000,21,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,3883.8933741
5409403,1,4,1,10,2,2,12,2016,4,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,3883.8933741
5409404,1,1,1,10,1,1,9,1956,64,1,6,,3,3,,3,,1,2,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3678.3427883
5409404,1,2,1,10,2,2,4,1953,67,2,6,,3,3,,3,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,3,4,,,2,4,03,52,3678.3427883
5409404,1,3,1,10,3,1,5,1982,38,3,6,,6,1,1,1,2,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3678.3427883
5409405,1,1,1,10,1,1,10,1953,67,1,6,,3,3,,3,,1,2,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,4092.963265
5409405,1,2,1,10,2,2,2,1946,75,2,6,,3,3,,3,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,4092.963265
5409405,1,3,1,10,3,1,10,1988,32,3,6,,4,1,1,1,2,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,4092.963265
5409405,1,4,1,10,3,1,6,2011,9,4,6,,,1,3,2,,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,03,52,4092.963265
5409405,1,5,1,10,3,1,5,2015,5,4,6,,,1,3,2,,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,0,,,2,0,03,52,4092.963265
5409406,1,1,1,10,1,2,10,1975,45,1,6,,6,2,,2,,,,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,1682.3779124
5409406,1,2,1,10,2,2,10,2006,14,3,6,,6,2,,1,1,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,4,6,,,2,6,03,52,1682.3779124
5409406,1,3,1,10,1,2,5,2007,13,3,6,,6,2,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,03,52,1682.3779124
5409407,1,1,1,10,1,1,10,1997,23,1,6,,6,2,,2,,,,,,,1,,,,,,,,,2,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,3806.104714
5409408,1,1,1,10,1,1,3,1956,65,1,6,,3,3,,3,,1,2,,,,,,,,,1,,,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,1682.3779124
5409408,1,2,1,10,2,2,6,1953,67,2,6,,3,3,,3,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,1682.3779124
5409408,1,3,1,10,3,2,12,1988,32,3,6,,6,1,1,1,2,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,1682.3779124
5409408,1,4,1,10,3,2,1,2007,14,4,6,,6,2,,1,3,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,2,8,03,52,1682.3779124
5409408,1,5,1,10,5,2,7,1991,29,3,6,,6,1,1,1,2,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,1682.3779124
5409408,1,6,1,10,5,2,2,2011,10,4,6,,6,2,,1,5,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,03,52,1682.3779124
5409408,1,7,1,10,5,2,5,2014,6,4,6,,,2,,1,5,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,0,,,2,0,03,52,1682.3779124
5409408,1,8,1,10,5,1,2,2019,2,4,6,,,2,,1,5,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,03,52,1682.3779124
5409409,1,1,1,10,1,1,2,1953,68,1,6,,6,3,,3,,,,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,2,3,03,52,4156.6455082
5409410,1,1,1,10,1,1,10,1984,36,1,6,,6,2,,3,,,,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,4544.9012835
5409424,1,1,1,10,2,1,3,1941,80,1,1,560_01,5,3,,3,,,,,1,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,1,,,2,1,03,52,3724.2050865
5409424,1,2,1,10,2,2,5,1969,51,3,1,560_01,4,1,1,3,,,,,1,,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,3,,,2,3,03,52,3724.2050865
5409424,1,3,1,10,3,1,10,1971,49,3,1,560_01,4,1,1,3,,,,,,,1,,,,,1,,,,,1,,,3,,,2,1,2,,3,3,,,2,3,03,52,3724.2050865
5409424,1,4,1,10,4,1,9,2000,20,4,1,560_01,6,2,,2,,,,,1,,1,,,,1,,,,,,1,,,3,,,2,1,1,1,6,0,2,2,2,11,03,52,3724.2050865
5409425,1,1,1,10,1,1,1,1967,54,1,1,560_01,3,3,,3,,1,2,,,1,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,2634.3195944
5409425,1,2,1,10,2,2,6,1974,46,2,1,560_01,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,2634.3195944
5409425,1,3,1,10,3,2,7,1992,28,3,1,560_01,2,1,1,1,2,1,4,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,2634.3195944
5409425,1,4,1,10,4,1,4,1984,36,5,1,560_01,2,2,,2,,1,3,,,,,,,1,,1,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,2634.3195944
5409425,1,5,1,10,3,1,5,2016,4,4,1,560_01,,1,4,1,3,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,2,0,,,2,0,03,52,2634.3195944
5409426,1,1,1,10,1,2,4,1969,51,1,6,,3,3,,3,,1,2,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,4,,,2,4,03,52,3801.9370211
5409426,1,2,1,10,2,1,9,1967,53,2,6,,3,2,,3,,1,1,,,,,,,1,,,,,,,1,,,3,,,2,1,2,,3,1,,,2,1,03,52,3801.9370211
5409426,1,3,1,10,1,1,10,2004,16,3,6,,6,1,2,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,2,8,03,52,3801.9370211
5409426,1,4,1,10,1,1,11,2010,10,3,6,,6,1,2,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,52,3801.9370211
5409426,1,5,1,10,1,1,9,2009,11,4,6,,6,2,,2,,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,52,3801.9370211
5409427,1,1,1,10,1,2,12,1938,82,1,1,560_01,6,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,3,,,2,3,03,52,1460.6032047
5409428,1,1,1,10,1,1,4,1961,59,1,1,560_01,3,3,,3,,1,2,,1,1,1,,,,,1,,,,2,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,1837.573928
5409428,1,2,1,10,2,2,10,1962,58,2,1,560_01,3,2,,3,,1,1,,1,,,,,,,1,,,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,1837.573928
5409428,1,3,1,10,3,2,12,2001,19,3,1,560_01,6,1,1,1,2,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,6,1,2,2,2,12,03,52,1837.573928
5409429,1,1,1,10,1,1,12,1963,57,1,1,560_01,3,3,,2,,1,2,,1,1,1,,,1,,1,,,,2,1,,,1,5,,2,1,2,,3,5,,,2,5,03,52,2336.2022573
5409429,1,2,1,10,2,2,6,1969,51,2,1,560_01,3,3,,2,,1,1,,,1,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,2336.2022573
5409430,1,1,1,10,1,1,9,1983,37,1,1,560_01,2,2,,2,,1,2,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,2668.5500791
5409430,1,2,1,10,2,2,4,1989,31,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,2,1,36,,,,1,1,2,,5,11,2,,2,11,03,52,2668.5500791
5409431,1,1,1,10,1,2,3,1971,50,1,1,560_01,4,3,,3,,,,,,,1,1,,1,,1,,,,1,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,1440.1192984
5409431,1,2,1,10,1,2,4,2009,11,3,1,560_01,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,6,,,2,6,03,52,1440.1192984
5409432,1,1,1,10,1,1,3,1967,54,1,6,,2,2,,2,,1,2,,,,1,,,,,,,,,1,1,,,1,3,36341,2,1,2,,4,9,,,2,9,03,52,2668.5500791
5409432,1,2,1,10,2,2,9,1970,50,2,6,,2,3,,2,,1,1,,,,,,,,,1,,,,,2,1,5,,,,2,1,2,,3,1,,,2,1,03,52,2668.5500791
5409433,1,1,1,10,1,1,8,1957,63,1,1,560_01,2,3,,3,,1,2,,,,1,,,,,,,,,2,1,,,1,2,180000,2,1,2,,4,9,,,2,9,03,52,2513.6602902
5409433,1,2,1,10,2,2,7,1975,45,2,1,560_01,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,4,7,,,2,7,03,52,2513.6602902
5409433,1,3,1,10,2,1,5,2019,1,4,1,560_01,,2,,2,,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,2,,03,52,2513.6602902
5409434,1,1,1,10,1,2,8,1980,40,1,1,560_01,4,2,,2,,,,,,,,,,,,1,,,,1,1,,,3,,,2,1,2,,3,4,,,2,4,03,52,2491.8723641
5409434,1,2,1,10,1,2,5,2005,15,3,1,560_01,6,2,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,4,8,,,2,8,03,52,2491.8723641
5409434,1,3,1,10,1,1,5,2012,8,3,1,560_01,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,2,,,2,2,03,52,2491.8723641
5409434,1,4,1,10,1,2,12,2016,4,3,1,560_01,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,03,52,2491.8723641
5409435,1,1,1,10,1,1,4,1965,55,1,6,,6,3,,3,,,,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3558.0979569
5409436,1,1,1,10,1,1,7,1997,23,1,1,210_03,2,2,,2,,1,2,,,1,1,,,,,1,,,,2,1,,,3,,,2,1,2,,4,9,,,2,9,03,52,3134.6036402
5409436,1,2,1,10,2,2,10,1999,21,2,1,210_03,2,2,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,4,6,,,2,6,03,52,3134.6036402
5409436,1,3,1,10,2,1,4,2019,1,3,1,210_03,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,03,52,3134.6036402
5409437,1,1,1,10,1,2,10,1971,49,1,1,560_01,2,3,,3,,1,2,,1,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,1,,,2,1,03,52,3046.3457264
5409437,1,2,1,10,2,1,1,1974,47,2,1,560_01,2,3,,2,,1,1,1,,1,1,,,1,,1,,,,,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,3046.3457264
5409437,1,3,1,10,2,1,3,2004,17,3,1,560_01,6,1,2,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,5,10,1,,2,10,03,52,3046.3457264
5409438,1,1,1,10,1,2,11,1952,68,1,6,,5,3,,3,,,,,,,,,,,,1,,,,1,1,,,3,,,2,2,2,,3,1,,,2,1,03,52,1460.6032047
5409439,1,1,1,10,1,2,3,1954,67,1,1,560_01,5,3,,3,,,,,,1,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,03,52,1460.6032047
5409440,1,1,1,10,1,1,5,1989,31,1,6,,2,2,,2,,1,2,1,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3589.5571419
5409440,1,2,1,10,2,2,11,2004,16,2,6,,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,3589.5571419
5409441,1,1,1,10,1,1,1,1979,42,1,1,560_01,4,3,,2,,,,,1,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,1,,,2,1,03,52,3589.5571419
5409441,1,2,1,10,2,2,10,2001,19,3,1,560_01,6,1,1,2,,,,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,4,7,,,2,7,03,52,3589.5571419
5409442,1,1,1,10,2,1,8,1972,48,1,1,560_01,3,3,,2,,1,2,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,2,3,03,52,2668.5500791
5409442,1,2,1,10,2,2,8,1977,43,2,1,560_01,3,2,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,03,52,2668.5500791
5409443,1,1,1,10,1,2,11,1940,80,1,1,560_01,5,3,,3,,,,,,,,,,,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,2,3,03,52,1460.6032047
5409444,1,1,1,10,1,2,7,1986,34,1,1,560_01,6,2,,3,,,,1,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,03,52,2213.5965775
5409444,1,2,1,10,1,1,6,2010,10,3,1,560_01,6,2,,1,1,,,,,,,,,,1,1,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,03,52,2213.5965775
5409444,1,3,1,10,1,1,11,2014,6,3,1,560_01,,2,,1,1,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,0,,,2,0,03,52,2213.5965775
5409474,1,1,1,10,1,1,8,1950,70,1,1,800_02,6,3,,3,,,,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,4,,,2,4,03,70,704.53775498
5409475,1,1,1,10,1,1,10,1946,74,1,6,,4,3,,3,,,,,,,,,,,,1,,,,1,1,,,3,,,2,1,2,,6,5,4,,2,16,03,70,704.53775498
5409476,1,1,1,10,1,1,10,1974,46,1,6,,3,3,,2,,1,2,,,,,,,,,,,1,,1,2,1,40,,,,2,1,2,,3,4,,,2,4,03,70,1183.1952795
