DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,MES,DPTO,fex_c_2011
5398351,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398351,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398352,1,1,1,95,1,2,,1,980000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398352,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398352,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398353,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398353,1,2,1,95,2,,,,,,,1,2,,2,,1,1080000,,,1,1080000,1,1080000,,,,,,,,,,,2,,2,,2,,2,03,15,2727.3762066
5398353,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,2727.3762066
5398353,1,4,1,95,2,,,,,,,1,2,,2,,1,860000,,,1,860000,,,1,860000,,,,,,,,,2,,2,,2,,2,03,15,2727.3762066
5398354,1,1,1,95,2,,,,,,,1,1,98,2,,1,1080000,,,1,1080000,1,1080000,,,,,,,,,,,2,,2,,2,,2,03,15,665.21370892
5398354,1,2,1,95,2,,,,,,,1,1,98,2,,1,240000,,,1,240000,1,240000,,,,,,,,,,,2,,2,,2,,2,03,15,665.21370892
5398354,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398354,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398355,1,1,1,95,1,2,,1,1000000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398355,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
5398355,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,15,665.21370892
