PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20260310;03;2026;8539145;1;1;1;10;70;1;193.9021053;70;1;1;2;30;11;1995;1;2;;2;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539145;1;2;1;10;70;1;193.9021053;70;1;2;1;35;9;1990;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;1;;;;2;1;1
20260310;03;2026;8539145;1;3;1;10;70;1;193.9021053;70;1;1;2;3;2;2023;3;1;1;1;2;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;1;2;0;;;;;;
20260310;03;2026;8539147;1;1;1;10;70;1;186.85277816;70;1;1;1;53;2;1973;1;3;;3;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;2;1;1
20260310;03;2026;8539147;1;2;1;10;70;1;186.85277816;70;1;2;2;36;7;1989;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539147;1;3;1;10;70;1;186.85277816;70;1;3;2;16;6;2009;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20260310;03;2026;8539147;1;4;1;10;70;1;186.85277816;70;1;4;1;13;3;2012;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20260310;03;2026;8539149;1;1;1;10;70;1;242.37763162;70;1;1;2;42;10;1983;1;2;;3;;1;;2;1;800_02;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539149;1;2;1;10;70;1;242.37763162;70;1;2;1;49;5;1976;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539149;1;3;1;10;70;1;242.37763162;70;1;1;2;8;12;2017;3;1;1;1;2;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;2;;;;;;
20260310;03;2026;8539151;1;1;1;10;70;1;97.492386101;70;1;1;1;83;8;1942;1;3;;3;;2;2;2;6;;;3;1;2;1;1;2;35018;3;4;3;3;4;4;4;4;1;2;;3;5;;;;2;1;1
20260310;03;2026;8539151;1;2;1;10;70;1;97.492386101;70;1;2;2;76;6;1949;2;3;;3;;2;2;2;6;;;3;1;1;1;1;2;35018;4;4;4;3;4;4;4;4;1;2;;3;2;;;;1;2;1
20260310;03;2026;8539151;1;3;1;10;70;1;97.492386101;70;1;2;1;60;12;1965;3;1;2;1;1;2;2;2;6;;;4;;;1;1;5;;3;3;4;3;4;2;3;3;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539152;1;1;1;10;70;1;235.45402859;70;1;1;1;53;5;1972;1;2;;3;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;2;1;1
20260310;03;2026;8539152;1;2;1;10;70;1;235.45402859;70;1;2;2;50;12;1975;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;2;1
20260310;03;2026;8539152;1;3;1;10;70;1;235.45402859;70;1;3;2;24;3;2001;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;11;1;915;7;915;1;2;1
20260310;03;2026;8539153;1;1;1;10;70;1;232.65192864;70;1;1;1;47;5;1978;1;2;;3;;1;;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539153;1;2;1;10;70;1;232.65192864;70;1;2;2;46;4;1979;2;2;;2;;1;;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539153;1;3;1;10;70;1;232.65192864;70;1;3;1;15;10;2010;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;0;;1;;;;
20260310;03;2026;8539153;1;4;1;10;70;1;232.65192864;70;1;2;1;8;10;2017;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;2;;;;;;
20260310;03;2026;8539154;1;1;1;10;70;1;97.492386101;70;1;1;1;62;12;1963;1;3;;3;;2;2;2;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539154;1;2;1;10;70;1;97.492386101;70;1;2;2;61;7;1964;2;1;3;2;;2;2;2;6;;;3;1;1;1;1;1;120000;4;4;4;4;4;4;4;4;1;2;;11;2;119;8;119;1;2;1
20260310;03;2026;8539154;1;3;1;10;70;1;97.492386101;70;1;3;2;87;8;1938;5;3;;3;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20260310;03;2026;8539155;1;1;1;10;70;1;213.95948308;70;1;1;1;35;10;1990;1;2;;2;;2;2;2;6;;;2;1;2;1;1;1;110036;4;4;4;4;4;4;4;4;1;2;;10;10;719;7;719;2;1;1
20260310;03;2026;8539155;1;2;1;10;70;1;213.95948308;70;1;2;2;25;5;2000;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;313;7;313;1;2;1
20260310;03;2026;8539155;1;3;1;10;70;1;213.95948308;70;1;2;1;5;9;2020;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;2;2;0;;;;;;
20260310;03;2026;8539156;1;1;1;10;70;1;205.91297169;70;1;1;2;51;1;1975;1;2;;2;;2;2;2;6;;;3;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;415;5;415;1;2;1
20260310;03;2026;8539156;1;2;1;10;70;1;205.91297169;70;1;2;1;58;10;1967;2;3;;3;;2;2;2;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20260310;03;2026;8539156;1;3;1;10;70;1;205.91297169;70;1;3;1;19;12;2006;3;1;1;1;2;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;1;719;2;;2;1;1
20260310;03;2026;8539156;1;4;1;10;70;1;205.91297169;70;1;4;2;61;12;1964;6;2;;2;;2;2;2;6;;;5;;;1;1;2;70036;4;4;4;4;4;4;4;4;1;2;;8;4;119;5;119;1;2;1
20260310;03;2026;8539156;1;5;1;10;70;1;205.91297169;70;1;5;1;32;5;1993;9;1;4;3;;2;2;2;6;;;2;1;6;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260310;03;2026;8539156;1;6;1;10;70;1;205.91297169;70;1;6;2;32;8;1993;9;2;;2;;2;2;2;6;;;2;1;5;1;1;1;90036;4;4;4;4;4;4;4;4;1;2;;10;10;913;7;913;1;2;1
20260310;03;2026;8539156;1;7;1;10;70;1;205.91297169;70;1;6;2;5;11;2020;9;1;6;1;5;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;1;2;2;0;;;;;;
20260310;03;2026;8539156;1;8;1;10;70;1;205.91297169;70;1;6;2;0;8;2025;9;1;6;1;5;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20260310;03;2026;8539157;1;1;1;10;70;1;96.970581879;70;1;1;1;55;12;1970;1;1;4;3;;2;2;2;6;;;2;1;2;1;3;;;4;4;2;4;4;4;4;4;1;2;;3;4;;;;2;1;1
20260310;03;2026;8539157;1;2;1;10;70;1;96.970581879;70;1;2;2;28;9;1997;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1
20260310;03;2026;8539157;1;3;1;10;70;1;96.970581879;70;1;3;2;11;12;2014;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;;;
20260310;03;2026;8539157;1;4;1;10;70;1;96.970581879;70;1;1;2;91;1;1935;4;3;;3;;2;1;2;6;;;5;;;1;3;;;4;4;4;4;2;1;1;2;1;2;;3;2;;;;1;2;1
20260310;03;2026;8539158;1;1;1;10;70;1;239.97881352;70;1;1;2;50;2;1976;1;3;;3;;2;2;2;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20260310;03;2026;8539158;1;2;1;10;70;1;239.97881352;70;1;2;1;51;6;1974;2;2;;3;;2;2;2;6;;;3;1;1;1;1;1;80000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
