PERIODO,DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S2,P750S3,P750S1A1,P750S2A1,P1661S1,P1661S2,P1661S3,P1661S4,P1661S1A1,P1661S2A1,P1661S3A1,P1661S4A1,P1661S4A2,P750S3A1,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,AREA,MES,DPTO,P3367,P3368,P3369,P3370,P3370S1,P3371,P3371S1,P3371S2,P3371S3,P3371S4,P3372,P3372S1,FEX_C18,PER,REGIS
20220104,5000011,1,5,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1175.6128245,2022,90
20220104,5000012,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1722.5372692,2022,90
20220104,5000012,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1722.5372692,2022,90
20220104,5000012,1,3,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,08,2,,,2,,2,,,,,2,,1722.5372692,2022,90
20220104,5000013,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,1,0,0,2,,2,,,,,2,,1773.1649471,2022,90
20220104,5000014,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,1,0,0,2,,2,,,,,2,,1157.3282327,2022,90
20220104,5000014,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1157.3282327,2022,90
20220104,5000015,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1243.9828296,2022,90
20220104,5000015,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1243.9828296,2022,90
20220104,5000015,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1243.9828296,2022,90
20220104,5000015,1,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1243.9828296,2022,90
20220104,5000015,1,5,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1243.9828296,2022,90
20220104,5000016,1,1,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,08,1,0,0,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,3,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,6,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,7,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,9,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,10,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000016,1,13,1,1,2,,2,,1,600000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,681.55251517,2022,90
20220104,5000017,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,1,0,0,2,,2,,,,,2,,1285.0577719,2022,90
20220104,5000017,1,2,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,08,2,,,2,,2,,,,,2,,1285.0577719,2022,90
20220104,5000017,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,08,2,,,2,,2,,,,,2,,1285.0577719,2022,90
20220104,5000018,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1492.7374347,2022,90
20220104,5000018,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1492.7374347,2022,90
20220104,5000018,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1492.7374347,2022,90
20220104,5000019,1,1,1,2,,,,,,,1,1,2400000,2,,2,,,,,,,,,,,,,,,,,2,,2,,2,,2,,1,13,2,,,2,,2,,,,,2,,1046.1439273,2022,90
20220104,5000019,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1046.1439273,2022,90
20220104,5000019,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1046.1439273,2022,90
20220104,5000020,1,1,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,2,,1,13,2,,,2,,2,,,,,2,,1933.1680481,2022,90
20220104,5000020,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1933.1680481,2022,90
20220104,5000020,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1933.1680481,2022,90
20220104,5000020,1,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1933.1680481,2022,90
20220104,5000022,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1718.3366064,2022,90
20220104,5000022,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1718.3366064,2022,90
20220104,5000025,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1454.981569,2022,90
20220104,5000025,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,2,,,2,,2,,,,,2,,1454.981569,2022,90
