DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P3044,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6424S5,P6426,P6430S1,P3045S1,P3045S2,P3045S3,P3046,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P3047,P3048,P3049,P6765,P6765S1,P3053,P3054,P3055,P3056,P6760,P3061,P3063,P3064,P3065,P3066,P3067,P3067S1,P3067S2,P6775,P3068,P6750,P3073,P550,P6780,P6780S1,P1879,P1805,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P3069,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P1880,P1880S1,P7040,P7045,P7050,P7070,P7075,P7077,P7090,P7100,P7110,P7120,P7130,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P1881,P1882,P7240,CLASE,OCI,AREA,P6430,RAMA4D_R4,OFICIO_C8,RAMA2D_R4,MES,PERIODO,DPTO,FT,FEX_C18,INGLABO,P3363,P3364,P3364S1,P6640S1,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P3051,P3051S1,P3052,P3052S1,P3365,P3365S1,P3054S1,P3055S1,P3057,P3058S1,P3058S2,P3058S3,P3058S4,P3058S5,P3059,P3062S1,P3062S2,P3062S3,P3062S4,P3062S5,P3062S6,P3062S7,P3062S8,P3062S9,P3063S1,P3064S1,P3366,PER,REGIS
5000000,1,1,1,AGUA EMBOTELLADA,1,1,,,1,,1,2,2,2,2,36,,2,2,2,2,2,768000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,72,,,72,,,4,5,,4,,2,,,,2,2,1,0,24,4,,3,,2,,,,,,2,,,,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,3,15,8,1,1,,1,4632,9621,46,1,20220104,08,1,1432.4633227,768000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000001,1,1,1,SERVICIO DE REPARTO DE VOLANTES PUBLICITARIO A PARTICUARES,1,1,,,1,,1,2,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,,1,2,2,,,,,,2,2,,,,,,500000,1,,3,,1,1,12,40,,,40,,,3,6,,2,,2,,,,2,2,1,0,36,1,,5,,1,0,4,100000,1,6,2,,,,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,40,3,1,1,,4,5320,9621,53,1,20220104,08,1,1088.7962663,600000,,,,,2,,,,,1,,,500000,500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000001,1,2,1,DESODORANTE COLONIAS,2,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,5,,1,2,2,,,,,,2,2,,,,,,50000,1,,3,,5,1,12,14,2,,14,,,1,2,,2,,2,,,,2,2,1,0,18,1,,2,,2,,,,,,2,,,,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,3,10,3,1,1,,4,4792,3322,47,1,20220104,08,1,1088.7962663,50000,,,,,2,,,,,3,,,200000,200000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000001,1,3,1,SERVICIO DE DOMICILIOS A PARTICULARES,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,60000,1,,3,,1,2,12,25,1,,25,,,1,2,,2,,2,,,,2,2,1,9,3,1,,1,,2,,,,,,1,23,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,13,10,3,1,1,,4,5320,9621,53,1,20220104,08,1,1088.7962663,60000,,,,,2,,,,,3,,,60000,60000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000002,1,1,1,LICOR,1,1,,,1,,1,2,2,2,2,6,,1,1,1,9,2,360000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,39,3,PORQUE DEBE CUIDAR A SUS HIJOS EL RESTO DE DIAS,39,,,3,7,,4,,2,,,,2,2,1,0,3,1,,3,,2,,,,,,2,,,,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,12,10,3,1,1,,1,5630,5131,56,1,20220104,08,1,2066.712422,360000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000003,1,1,1,SERVICIO DE TRANSPORTE DE PASAJEROS,2,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,600000,1,,3,,1,2,12,72,,,72,,,1,4,,2,,2,,,,2,2,1,0,36,1,,5,,2,,,,,,2,,,,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,14,,3,1,1,,4,4921,8321,49,1,20220104,08,1,1834.3104538,600000,,,,,2,,,,,3,,,1440000,1440000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000003,1,2,1,REFUERZO ESCOLAR,2,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,500000,1,,3,,3,1,12,30,2,,30,,,1,1,,2,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,14,,3,1,1,,4,8559,2359,85,1,20220104,08,1,1834.3104538,500000,,,,,2,,,,,3,,,500000,500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000005,1,1,1,TRANSPORTE,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,99,1,,3,,3,2,12,48,,,48,,,1,4,,1,,3,,,,2,2,1,0,300,2,,4,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,6,5,2,1,1,,4,4921,8324,49,1,20220104,08,1,931.05697511,,,,,,2,,,,,3,,,99,99,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000006,1,1,1,ADMINISTRACION PUBLICA MUNICIPAL SECRETARIA DE SALUD,1,2,2,12,1,,1,2,2,2,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,1,2,2,,,,,,2,2,,,,,,3000000,1,,3,,1,1,12,48,,,48,,,10,5,,1,,1,2,2,17,1,2,1,0,60,1,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,11,10,3,1,1,,4,8413,5329,84,1,20220104,08,1,1414.4304632,3000000,,,,,2,,,,,1,3000000,3000000,,,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000006,1,3,1,SERVICIOS MEDICOS CON HOSPITALIZACION,1,2,1,,1,,1,1,2,1,1,72,,1,1,1,1,2,1100000,2,,,2,,2,,2,,2,,2,,,1,106000,1,1,33200,2,2,,,2,,,2,,,1,1000000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,1,1,6,1,1,1,12,12,1,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,2,30,3,1,1,,1,8610,5321,86,1,20220104,08,1,1414.4304632,1100000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000006,1,4,1,ELABORACION DE TEXTILES,1,2,1,,2,4,1,1,2,1,1,96,,1,1,1,1,2,908000,1,200000,2,2,,2,,2,,2,,2,,,1,106000,2,1,99600,2,2,,,2,,,2,,,1,1000000,2,,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,52,,,10,7,,1,,1,1,1,17,1,1,1,0,48,1,,9,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,2,90,5,1,1,,1,1410,5414,14,1,20220104,08,1,1414.4304632,908000,2,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000007,1,1,1,AGUA GATORADE,2,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,600000,1,,3,,1,1,12,48,,,48,,,1,6,,7,,2,,,,2,2,1,0,48,1,,9,,2,,,,,,2,,,,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,12,10,3,1,1,,4,4724,5221,47,1,20220104,08,1,1992.4798841,600000,,,,,2,,,,,3,,,840000,840000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000008,1,1,1,SERVICIO DE CORTE Y TALA DE ARBOLES,2,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,300000,1,,3,,5,1,12,40,,,40,,,1,2,,2,,2,,,,2,2,1,0,48,1,,5,,2,,,,,,2,,,,1,2,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,3,15,3,1,1,,4,0220,6210,02,1,20220104,08,1,1565.2171245,300000,,,,,2,,,,,3,,,300000,300000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000009,1,1,1,TRANSPORTE,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,840000,1,,3,,1,1,12,30,1,,30,,,1,4,,2,,2,,,,2,2,1,0,36,4,,3,,2,,,,,,1,20,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,1,3,15,3,1,1,,4,4923,9331,49,1,20220104,08,1,1615.8203028,840000,,,,,2,,,,,2,,,840000,840000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000009,1,2,1,LICOR,1,1,,,1,,1,2,2,2,2,19,,1,1,1,9,2,400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,1,,16,,,2,7,,4,,2,,,,2,2,1,0,1,4,,3,,2,,,,,,1,35,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,60,3,1,1,,1,5630,5131,56,1,20220104,08,1,1615.8203028,400000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000010,1,1,1,SERVICIO DE ASEO POR DIAS A PARTICULARES,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,500000,1,,3,,1,1,6,48,,,48,,,1,2,,2,,2,,,,2,2,1,3,3,3,,3,,2,,,,,,2,,,,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,45,3,1,1,,4,8121,9111,81,1,20220104,08,1,1160.5460626,500000,,,,,2,,,,,3,,,500000,500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000010,1,2,1,SERVICIO DE ARREGLO Y REPARACION DE AUTOMOVILES,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,300000,1,,3,,5,1,12,48,,,48,,,1,1,,2,,2,,,,2,2,1,0,240,4,,3,,2,,,,,,1,8,2,1,2,,,,,,,,,,,,1,2,1,2,1,1,14,,5,1,1,,4,4520,7132,45,1,20220104,08,1,1160.5460626,300000,,,,,2,,,,,3,,,300000,300000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000010,1,3,1,SERVICIO DE PINTURA DE AUTOMOVILES,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,900000,1,,3,,8,1,12,40,,,40,,,1,1,,7,,2,,,,2,2,1,0,24,4,,10,,2,,,,,,1,20,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,14,,3,1,1,,4,4520,7132,45,1,20220104,08,1,1160.5460626,900000,,,,,2,,,,,3,,,900000,900000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000010,1,7,1,SERVICIO DE TRANSPORTE DE PASAJEROS EN MOTO,2,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,720000,1,,3,,1,1,12,84,,,84,,,1,4,,2,,2,,,,2,2,1,0,18,1,,13,POR PANDEMIA,2,,,,,,1,6,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,14,,3,1,1,,4,4921,8321,49,1,20220104,08,1,1160.5460626,720000,,,,,2,,,,,3,,,1200000,1200000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000010,1,8,1,SERVICIO DE APLICACION DE AMINOACIDOS Y KERATINA,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,80000,1,,3,,3,1,12,6,1,,6,,,1,1,,5,,2,,,,2,2,1,0,6,3,,9,,2,,,,,,1,10,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,14,,3,1,1,,4,9602,5141,96,1,20220104,08,1,1160.5460626,80000,,,,,2,,,,,3,,,80000,80000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000011,1,2,1,TRANSPORTE,2,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,750000,1,,3,,1,1,12,91,,,91,,,1,4,,4,,2,,,,2,2,1,1,8,1,,13,DEBIO A LA CONTINGENCIA DEL COVID,2,,,,,,2,,,,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,8,7,3,1,1,,4,4921,8323,49,1,20220104,08,1,1175.6128245,750000,,,,,2,,,,,3,,,1650000,1650000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000012,1,1,1,JUEGOS PIROTECNICOS,1,1,,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,1,2,2,,,,,,2,2,,,,,,400000,1,,1,,1,1,3,10,1,,10,,,2,7,,2,,2,,,,2,2,1,0,2,4,,3,,2,,,,,,1,35,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,45,3,1,1,,4,2029,7549,20,1,20220104,08,1,1722.5372692,400000,,,,,2,,,,,1,400000,400000,,,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000012,1,2,1,TRANSPORTE FLUVIAL,1,1,,,1,,1,2,2,2,2,8,,1,1,1,1,2,1300000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,1,,0,3,,8,7,,2,,2,,,,2,2,2,,,,,,,2,,,,,,1,24,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,20,3,1,1,,1,5022,3257,50,1,20220104,08,1,1722.5372692,1300000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000013,1,1,1,PERFUMES DESODORANTES Y COSMETICOS,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,5,,1,2,2,,,,,,2,2,,,,,,200000,1,,3,,3,1,12,3,2,,3,,,1,5,,2,,2,,,,2,2,1,24,9,1,,9,,2,,,,,,2,,,,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,3,10,3,1,1,,4,4792,3322,47,1,20220104,08,1,1773.1649471,200000,,,,,2,,,,,3,,,450000,450000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000014,1,1,1,SERVICIO DE ENCUADERNACION DE LIBROS,2,,,,,,,,,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,10000,1,,3,,6,1,10,40,,,0,6,,2,1,,2,,2,,,,2,2,1,0,12,1,,10,,2,,,,,,1,10,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,14,,3,1,1,,4,1812,7323,18,1,20220104,08,1,1157.3282327,10000,,,,,1,1,0,0,1,3,,,10000,10000,2,,,,,,,,,,,,,,,,,,,,,,2,2022,60
5000015,1,1,1,SERVICIO DE TRANSPORTE DE PASAJEROS EN MOTO,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,360000,1,,3,,1,1,12,60,,,60,,,1,4,,2,,2,,,,2,2,1,0,36,1,,2,,2,,,,,,2,,,,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,3,15,3,1,1,,4,4921,8321,49,1,20220104,08,1,1243.9828296,360000,,,,,2,,,,,3,,,888000,888000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000015,1,2,1,SERVICIO DE ASEO POR DIAS A PARTICULARES,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,120000,1,,3,,1,1,12,8,1,,0,1,,1,2,,2,,2,,,,2,2,1,0,72,3,,5,,2,,,,,,1,40,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,3,5,3,1,1,,4,8121,9111,81,1,20220104,08,1,1243.9828296,120000,,,,,2,,,,,3,,,120000,120000,2,,,,,,,,,,,,,,,,,,,,,,2,2022,60
5000015,1,4,1,SERVICIO DE TRANSPORTE DE PASAJEROS EN MOTO,2,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,480000,1,,3,,1,1,9,90,,,90,,,1,4,,2,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,1,2,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,3,10,3,1,1,,4,4921,8321,49,1,20220104,08,1,1243.9828296,480000,,,,,2,,,,,3,,,1440000,1440000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000015,1,5,1,SERVICIOS MEDICOS CON HOSPITALIZACION,1,2,1,,2,1,1,1,2,1,1,18,,1,1,1,1,2,908000,2,,,2,,2,,2,,2,,2,,,1,106000,2,1,66400,2,2,,,2,,,2,,,1,900000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,1,1,1,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,2,60,3,1,1,,1,8610,9112,86,1,20220104,08,1,1243.9828296,908000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000016,1,1,1,EDUCACION,1,2,1,,1,,1,1,2,1,1,24,,1,1,1,1,2,1000000,2,,,2,,2,,2,,2,,2,,,1,117172,2,2,,,2,,,2,,,2,,,1,908000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,7,7,,1,,1,1,1,7,1,1,1,2,120,4,,3,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,1,30,3,1,1,,1,8530,9112,85,1,20220104,08,1,681.55251517,1000000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000016,1,9,1,VIDRIOS Y VENTANAS,1,2,1,,2,1,1,1,2,1,1,24,,1,1,1,1,1,1000000,2,,,2,,2,,2,,2,,2,,,1,117172,2,2,,,2,,,2,,,2,,,1,908000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,1,1,6,1,1,1,1,24,1,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,1,120,3,1,1,,1,2310,8181,23,1,20220104,08,1,681.55251517,1000000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000016,1,13,1,CONSTRUCCION,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,6,,1,2,2,,,,,,2,2,,,,,,200000,1,,1,,1,1,6,40,,,40,,,1,2,,2,,2,,,,2,2,1,6,6,1,,1,,2,,,,,,2,,,,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,3,8,3,1,1,,4,4111,9313,41,1,20220104,08,1,681.55251517,200000,,,,,2,,,,,2,,,200000,200000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000017,1,1,1,SERVICIO DE SACRIFICIO DE GANADO,1,2,2,12,1,,1,1,2,1,1,36,,1,1,1,1,2,908000,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,900000,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,4,,1,,1,2,1,5,1,1,1,0,36,1,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,2,1,1,2,1,1,11,20,3,1,1,,1,1011,8332,10,1,20220104,08,1,1285.0577719,908000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000018,1,2,1,CONSTRUCCION MANTENIMIENTO Y  REPARACION DE CASAS,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,400000,1,2000000,3,,1,1,12,44,,,44,,,2,9,,2,,2,,,,2,2,1,0,320,4,,3,,2,,,,,,2,,,,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,3,10,8,2,1,,4,4111,9313,41,1,20220104,13,1,1492.7374347,400000,,,,,2,,,,,2,,,400000,400000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000019,1,2,1,ARREGLO Y MANTENIMIENTO DE CONEXIONES ELECTRICAS,2,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,200000,1,1500000,3,,1,1,6,40,,,30,6,,1,2,,1,,2,,,,2,2,1,0,120,1,,5,,1,10,4,150000,1,2,2,,,,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,3,8,5,2,1,,4,4321,7411,43,1,20220104,13,1,1046.1439273,350000,,,,,2,,,,,2,,,400000,400000,2,,,,,,,,,,,,,,,,,,,,,,2,2022,60
5000020,1,2,1,CONSTRUCCION  REFORMA Y REPARACION DE EDIFICACIONES,1,1,,,1,,2,2,2,2,2,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,9,,,,,,2,2,,,,,,400000,1,3600000,4,ESTE ES SU OFICIO PERO LO EJERCE SOLO CUANDO LO SOLICITAN QUE NO ES TODO EL TIEMPO,1,1,7,48,,,48,,,1,2,,2,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,2,1,1,3,10,10,2,1,,4,4112,7112,41,1,20220104,13,1,1933.1680481,400000,,,,,2,,,,,1,,,400000,400000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000022,1,1,1,SIEMBRA Y CULTIVA YUCA GUANABANA MANGO PLATANO,2,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,,,,,2,,12,1,1,,,2,,,3,,250000,1,4000000,2,,1,1,12,50,,,50,,,1,8,,5,,2,,,,2,2,1,0,18,1,,1,,2,,,,,,2,,,,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,3,8,5,2,1,,4,0113,6111,01,1,20220104,13,1,1718.3366064,250000,,,,,2,,,,,2,,,,,,,,,,,,,,,4000000,0,0,0,0,0,0,0,0,0,300000,200000,,2022,60
5000022,1,2,1,LAVAR ROPA HACER ASEO Y COCINAR EN OTRO HOGAR,1,1,,,1,,1,2,2,2,2,36,,2,2,2,2,2,150000,2,,,1,150000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,1,2,,5,,2,,,,2,2,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,1,2,1,1,12,15,8,2,1,,3,9700,9111,97,1,20220104,13,1,1718.3366064,300000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000025,1,2,1,SERVICIOS DE EDUCACION PRIMERA INFANCIA BASICA PRIMARIA MEDIA Y SECUNDARIA,1,2,1,,2,1,1,1,2,1,1,24,,1,1,1,1,2,1014980,2,,,2,,2,,2,,2,,2,,,1,106454,1,2,,,2,,,2,,,2,,,1,454000,2,,1,454000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,10,7,,1,,1,1,1,2,1,1,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,11,30,10,2,1,,1,8530,9112,85,1,20220104,13,1,1454.981569,1014980,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5000025,1,4,1,CONSTRUCCION REFORMA Y REPARACION DE EDIFICACIONES,1,1,,,1,,1,2,2,2,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,,1,2,2,,,,,,1,1,,,,,,1200000,1,14000000,3,,3,2,12,48,,,48,,,3,7,,2,,2,,,,2,2,1,1,120,4,,8,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,11,30,10,2,1,,5,4112,7112,41,1,20220104,13,1,1454.981569,1200000,,,,,1,3,3,0,0,1,,,1200000,1200000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
