DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P3044,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6424S5,P6426,P6430S1,P3045S1,P3045S2,P3045S3,P3046,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P3047,P3048,P3049,P6765,P6765S1,P3053,P3054,P3055,P3056,P6760,P3061,P3063,P3064,P3065,P3066,P3067,P3067S1,P3067S2,P6775,P3068,P6750,P3073,P550,P6780,P6780S1,P1879,P1805,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P3069,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P1880,P1880S1,P7040,P7045,P7050,P7070,P7075,P7077,P7090,P7100,P7110,P7120,P7130,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P1881,P1882,P7240,CLASE,OCI,AREA,P6430,RAMA4D_R4,OFICIO_C8,RAMA2D_R4,MES,PERIODO,DPTO,FT,FEX_C18,INGLABO,P3363,P3364,P3364S1,P6640S1,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P3051,P3051S1,P3052,P3052S1,P3365,P3365S1,P3054S1,P3055S1,P3057,P3058S1,P3058S2,P3058S3,P3058S4,P3058S5,P3059,P3062S1,P3062S2,P3062S3,P3062S4,P3062S5,P3062S6,P3062S7,P3062S8,P3062S9,P3063S1,P3064S1,P3366,PER,REGIS
5032244,1,2,1,PESCADO DE RIO,2,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,500000,1,,1,,1,1,12,49,,,49,,,1,8,,2,,2,,,,2,2,1,5,12,4,,1,,2,,,,,,2,,,,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,13,15,8,1,1,,4,0312,6222,03,1,20220104,44,1,971.09042551,500000,,,,,2,,,,,3,,,500000,500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032246,1,1,1,PRODUCTOS DE BELLEZA,2,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,40000,1,,1,,1,2,12,36,1,,36,,,1,1,,2,,2,,,,2,2,1,10,5,4,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,1,2,2,1,14,,3,1,1,,4,4773,5221,47,1,20220104,44,1,1090.7643659,40000,,,,,2,,,,,3,,,160000,160000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032247,1,1,1,FOTOCOPIAS DE DOCUMENTOS,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,30000,1,,1,,1,2,12,42,,,42,,,1,1,,2,,2,,,,2,2,1,5,8,1,,1,,2,,,,,,2,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,14,,3,1,1,,4,8219,4110,82,1,20220104,44,1,984.14192842,30000,,,,,2,,,,,3,,,40000,40000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032247,1,2,1,LIMPIEZA DE LOTES Y CULTIVOS,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,6,,1,2,2,,,,,,2,2,,,,,,190000,1,,1,,1,1,12,40,,,40,,,1,6,,2,,2,,,,2,2,1,3,6,4,,2,,2,,,,,,2,,,,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,3,15,3,1,1,,4,0161,9211,01,1,20220104,44,1,984.14192842,190000,,,,,2,,,,,3,,,190000,190000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032248,1,1,1,TRANSPORTE DE PERSONAL DE OTRAS EMPRESAS,1,2,2,3,1,,1,1,2,1,1,1,,1,1,1,1,2,1200000,2,,,2,,2,,2,,2,,2,,,1,106454,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,40,,,10,4,,1,,1,1,1,9,1,1,1,2,18,1,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,12,8,3,1,1,,1,4921,8331,49,1,20220104,44,1,931.9302576,1200000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032249,1,1,1,LLAMADAS Y RECARGAS DE SALDO A TELEFONOS FIJOS Y CELULARES,2,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,,1,2,2,,,,,,2,2,,,,,,150000,1,,3,,1,1,12,56,,,56,,,1,1,,2,,2,,,,2,2,1,24,12,4,,1,,2,,,,,,2,,,,2,,,,,,,,,,,,1,2,1,2,2,2,14,,3,1,1,,4,6190,5223,61,1,20220104,44,1,798.20767002,150000,,,,,2,,,,,3,,,1250000,1250000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032249,1,2,1,LIMPIEZA DE LOTES Y CULTIVOS,2,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,6,,1,2,2,,,,,,2,2,,,,,,70000,1,,1,,1,2,12,42,,,42,,,1,8,,2,,2,,,,2,2,1,3,12,1,,1,,2,,,,,,1,30,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,3,20,3,1,1,,4,0161,9211,01,1,20220104,44,1,798.20767002,70000,,,,,2,,,,,3,,,70000,70000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032253,1,1,1,SERVICIO DE PARQUEADERO,1,1,,,1,,1,2,2,2,2,36,,1,1,1,1,2,800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,48,,,48,,,2,7,,2,,2,,,,2,2,1,0,120,1,,8,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,1,1,14,,2,1,1,,1,5221,1439,52,1,20220104,50,1,719.79978333,800000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032254,1,1,1,COMPRA Y VENTA AL POR MENOR DE MATERIAL RECICLABLE,1,1,,,1,,1,2,2,2,2,12,,9,9,9,9,2,800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,50,,,50,,,3,7,,2,,2,,,,2,2,1,3,8,1,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,1,1,1,2,2,2,11,15,2,1,1,,1,4665,9333,46,1,20220104,50,1,780.11737,800000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,60
5032255,1,1,1,CONSTRUCCION Y ARREGLO DE VIVIENDAS,2,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,6,,1,2,2,,,,,,2,2,,,,,,1400000,1,,3,,3,2,12,60,,,60,,,1,3,,2,,2,,,,2,2,1,0,48,4,,1,,1,10,1,1000000,2,7,2,,,,2,,,,,,,,,,,,1,2,1,2,1,2,11,30,2,1,1,,4,4111,3123,41,1,20220104,52,1,727.19473014,2400000,,,,,2,,,,,2,,,1500000,1500000,2,,,,,,,,,,,,,,,,,,,,,,,2022,60
