DIRECTORIO,SECUENCIA_P,ORDEN,P6016,P3271,P6030S1,P6030S3,P6040,P6050,P6083,P6083S1,P6081,P6081S1,P2057,P2059,P2061,P6080,P6080S1,P6080S1A1,P6070,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P6090,P6100,P6110,P6120,P1906S1,P1906S2,P1906S3,P1906S4,P1906S5,P1906S6,P1906S7,P1906S8,P6160,P6170,P3041,P3042,P3042S1,P3042S2,P3043,P3043S1,HOGAR,CLASE,P3038,P3039,AREA,MES,PERIODO,DPTO,pt,FEX_C18,LGB_Numerica,LGB_sectores,Trans_numerica,LGBT_Numerica,Discapacidad,Dificultad,Campesina,POB_MAY18,PER,REGIS
5000803,1,1,1,1,10,1957,64,1,3,,3,,2,2,2,6,,,3,2,,,,,1,,1,,,,,,,1,1,1,40000,4,4,4,4,4,4,4,4,1,2,,8,4,1014,5,1014,1,1,2,1,05,1,20220101,05,1,2422.8402779,0,,0,0,0,0,0,1,2022,10
5000803,1,2,2,1,7,1988,33,3,2,,1,1,2,2,2,6,,,6,,,,,1,,,,1,,,,,,1,1,9,,4,4,4,4,4,4,4,4,1,1,1,8,3,119,2,,1,1,2,1,05,1,20220101,05,1,2422.8402779,0,,0,0,0,0,0,1,2022,10
5000803,1,3,3,2,8,1999,22,3,2,,1,1,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,1,72000,4,4,4,4,4,4,4,4,1,1,1,10,7,311,3,,1,1,1,2,05,1,20220101,05,1,2422.8402779,0,,0,0,0,0,0,1,2022,10
5000803,1,4,4,1,10,2003,18,3,2,,1,1,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,1,10,0,531,2,,1,1,2,1,05,1,20220101,05,1,2422.8402779,0,,0,0,0,0,0,1,2022,10
5000804,1,1,1,1,4,1984,37,1,2,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,1,98,4,4,4,4,4,4,4,4,1,2,,10,10,719,7,719,1,1,2,1,05,1,20220102,05,1,1270.2111606,0,,0,0,0,0,0,1,2022,10
5000804,1,2,2,1,8,1992,29,6,2,,3,,2,2,2,6,,,1,2,,,,,,,,,,,,1,,1,1,1,98,4,4,4,4,4,4,4,4,1,2,,10,10,719,7,719,1,1,2,1,05,1,20220102,05,1,1270.2111606,0,,0,0,0,0,0,1,2022,10
5000805,1,1,1,1,1,1947,75,1,3,,3,,2,2,2,6,,,6,,,,,,,,,,,1,,,,1,1,3,99,4,4,4,4,4,4,4,4,1,2,,10,10,215,7,215,1,1,2,1,05,1,20220102,05,1,1599.7743696,0,,0,0,0,0,0,1,2022,10
5000806,1,1,1,2,9,1993,28,1,2,,2,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,1,98,4,4,4,4,4,4,4,4,1,2,,11,4,412,8,412,1,1,1,2,05,1,20220102,05,1,1258.2273878,0,,0,0,0,0,0,1,2022,10
5000807,1,1,1,1,3,1985,36,1,2,,2,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,1,98,4,4,4,4,4,4,4,4,1,2,,10,10,612,7,612,1,1,2,1,05,1,20220102,05,1,1316.9385191,0,,0,0,0,0,0,1,2022,10
5000810,1,1,1,2,12,1964,57,1,2,,3,,2,2,2,6,,,6,,,,,,1,,,,,,,,,1,1,1,28000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,1238.7096072,0,,0,0,0,0,0,1,2022,10
5000810,1,2,2,1,8,1995,26,3,1,1,2,,2,2,2,6,,,6,,,,,,1,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,1238.7096072,0,,0,0,0,0,0,1,2022,10
5000811,1,1,1,2,8,1945,76,1,3,,3,,2,2,2,6,,,2,1,2,,,1,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,1,,,,1,1,1,2,05,1,20220102,05,1,1524.857353,0,,0,0,0,0,0,1,2022,10
5000811,1,2,2,1,9,1940,81,2,3,,3,,2,2,2,6,,,2,1,1,,1,1,,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,2,1,05,1,20220102,05,1,1524.857353,0,,0,0,0,0,0,1,2022,10
5000812,1,1,1,1,1,1964,57,1,2,,2,,2,2,2,6,,,2,1,2,,,,1,,,,,1,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,3,4,,,,1,1,2,1,05,1,20220102,05,1,889.24676717,0,,0,0,0,0,0,1,2022,10
5000812,1,2,2,2,8,1966,55,2,3,,3,,2,2,2,6,,,2,1,1,,,,,,,,,1,,,,1,1,5,,4,4,4,2,4,4,4,4,1,2,,3,5,,,,1,1,1,2,05,1,20220102,05,1,889.24676717,0,,0,0,1,1,0,1,2022,10
5000812,1,3,3,1,4,1993,28,3,1,2,1,1,2,2,2,6,,,6,,,,,,1,,1,,,1,,,,1,1,1,48000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,889.24676717,0,,0,0,0,0,0,1,2022,10
5000812,1,4,4,2,9,1996,25,3,1,2,1,1,2,2,2,6,,,6,,,1,,,1,,1,,1,1,,,,1,1,1,70000,4,4,4,4,4,4,4,4,1,1,1,10,1,719,6,714,1,1,1,2,05,1,20220102,05,1,889.24676717,0,,0,0,0,0,0,1,2022,10
5000813,1,1,1,2,4,1974,47,1,2,,2,,2,2,2,6,,,2,1,2,1,,,1,,,,,,,,,1,1,3,113500,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,659.25643544,0,,0,0,0,0,0,1,2022,10
5000813,1,2,2,1,8,1976,45,2,3,,2,,2,1,2,6,,,2,1,1,,,1,,,,1,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,10,10,488,7,488,1,1,2,1,05,1,20220102,05,1,659.25643544,0,,0,0,0,0,0,1,2022,10
5000813,1,3,3,2,6,2000,21,3,1,1,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,1,36000,4,4,4,4,4,4,4,4,1,2,,9,6,288,6,288,1,1,1,2,05,1,20220102,05,1,659.25643544,0,,0,0,0,0,0,1,2022,10
5000813,1,4,4,1,12,1996,25,9,2,,2,,2,2,2,6,,,6,,,1,,,,,,,,,,,,1,1,1,34440,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,659.25643544,0,,0,0,0,0,0,1,2022,10
5000813,1,5,5,1,11,1997,24,9,2,,2,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,1,36000,4,4,4,4,4,4,4,4,1,1,2,10,9,719,6,411,1,1,1,1,05,1,20220102,05,1,659.25643544,1,1,0,1,0,0,0,1,2022,10
5000814,1,1,1,2,12,1969,52,1,3,,3,,2,2,2,6,,,6,,,,,,1,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,8,4,411,5,411,1,1,1,2,05,1,20220102,05,1,754.93643268,0,,0,0,0,0,0,1,2022,10
5000815,1,1,1,1,2,1955,66,1,3,,3,,2,2,2,6,,,6,,,,,,1,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,4,2,,,,1,1,2,1,05,1,20220102,05,1,959.86462178,0,,0,0,0,0,0,1,2022,10
5000816,1,1,1,1,11,1959,62,1,3,,3,,2,2,2,6,,,6,,,,1,1,,,,,,,,,,1,3,,,4,4,4,2,4,4,3,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,959.86462178,0,,0,0,1,1,0,1,2022,10
5000817,1,1,1,1,9,1990,31,1,2,,2,,2,2,2,6,,,6,,,,,1,,1,,,,,,,,1,9,,,4,4,4,4,4,4,4,4,1,2,,4,4,,,,1,1,2,1,05,1,20220102,05,1,790.16311144,0,,0,0,0,0,0,1,2022,10
5000818,1,1,1,1,3,1968,53,1,3,,2,,2,2,2,1,900_01,,4,,,,1,1,1,,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,790.16311144,0,,0,0,0,0,0,1,2022,10
5000819,1,1,1,1,11,1955,66,1,3,,3,,2,2,2,6,,,6,,,,1,1,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,959.86462178,0,,0,0,0,0,0,1,2022,10
5000820,1,1,1,2,7,1970,51,1,2,,3,,2,2,2,6,,,4,,,,1,,1,,,,,1,,,,1,1,1,34000,4,4,4,4,4,4,4,4,1,2,,4,4,,,,1,1,1,2,05,1,20220102,05,1,795.04689424,0,,0,0,0,0,0,1,2022,10
5000820,1,2,2,1,2,1973,48,6,2,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,1,34000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,795.04689424,0,,0,0,0,0,0,1,2022,10
5000821,1,1,1,1,1,1978,43,1,2,,2,,1,,2,6,,,4,,,,,,,,,,,,,1,,1,3,,,4,4,4,2,4,4,4,4,2,2,,1,0,,,,1,1,2,1,05,1,20220102,05,1,790.16311144,0,,0,0,1,1,0,1,2022,10
5000822,1,1,1,1,9,1975,46,1,2,,2,,1,,2,6,,,3,1,2,,,,1,,1,1,,1,,,,1,1,1,44200,3,4,3,4,4,4,4,4,1,2,,3,3,,,,1,1,2,1,05,1,20220102,05,1,689.92126443,0,,0,0,0,1,0,1,2022,10
5000822,1,2,2,2,6,1975,46,2,2,,2,,1,,2,6,,,3,1,1,,1,1,1,,1,1,,1,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,4,,,,1,1,1,2,05,1,20220102,05,1,689.92126443,0,,0,0,0,0,0,1,2022,10
5000822,1,3,3,1,11,2002,19,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,1,1,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,1,9,2,411,2,,1,1,2,1,05,1,20220102,05,1,689.92126443,0,,0,0,0,0,0,1,2022,10
5000822,1,4,4,2,6,2006,15,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,,1,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,1,5,0,,1,,1,1,,,05,1,20220102,05,1,689.92126443,,,,,0,0,0,,2022,10
5000823,1,1,1,1,12,1952,69,1,3,,3,,2,1,2,6,,,3,1,2,,1,,1,,,1,,1,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,4,,,,1,1,2,1,05,1,20220102,05,1,919.91159617,0,,0,0,0,0,0,1,2022,10
5000823,1,2,2,2,10,1950,71,2,3,,3,,2,2,2,6,,,3,1,1,,1,,,,,,,1,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,4,,,,1,1,1,2,05,1,20220102,05,1,919.91159617,0,,0,0,0,0,0,1,2022,10
5000823,1,3,3,2,4,1976,45,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,,1,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,3,,,,1,1,1,2,05,1,20220102,05,1,919.91159617,0,,0,0,0,0,0,1,2022,10
5000824,1,1,1,1,1,1956,66,1,3,,3,,2,2,2,6,,,4,,,,,,,,,,,,,1,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,4,2,,,,1,1,2,1,05,1,20220102,05,1,959.86462178,0,,0,0,0,0,0,1,2022,10
5000825,1,1,1,1,4,1948,73,1,3,,3,,1,,2,6,,,4,,,,,,,,,,,,,1,,2,,,,3,3,3,3,3,4,4,4,1,2,,3,3,,,,1,1,2,1,05,1,20220102,05,1,959.86462178,0,,0,0,0,1,0,1,2022,10
5000826,1,1,1,1,9,1968,53,1,3,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,2,,,,4,4,4,4,4,4,4,4,1,2,,4,2,,,,1,1,2,1,05,1,20220102,05,1,790.16311144,0,,0,0,0,0,0,1,2022,10
5000827,1,1,1,1,8,1970,51,1,2,,2,,2,2,2,6,,,4,,,,,,,,,,,,,1,,1,1,3,114000,4,4,4,4,4,4,4,4,1,2,,10,10,414,7,414,1,1,2,1,05,1,20220102,05,1,1316.9385191,0,,0,0,0,0,0,1,2022,10
5000828,1,1,1,2,8,1956,65,1,3,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,2,200000,4,4,3,4,4,4,4,4,1,2,,9,6,913,6,913,1,1,1,2,05,1,20220102,05,1,1477.6311919,0,,0,0,0,0,0,1,2022,10
5000828,1,2,2,1,1,1961,61,6,3,,3,,2,2,2,6,,,4,,,,,,1,,,,,,,,,1,1,3,115000,4,4,3,4,4,4,4,4,1,2,,9,6,112,6,112,1,1,2,1,05,1,20220102,05,1,1477.6311919,0,,0,0,0,0,0,1,2022,10
5000828,1,3,3,2,10,2006,15,9,2,,1,2,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,2,4,4,,,,1,1,,,05,1,20220102,05,1,1477.6311919,,,,,0,0,0,,2022,10
5000829,1,1,1,2,8,1944,77,1,3,,3,,2,2,2,6,,,5,,,,,,,,,,,,,1,,1,1,2,36400,3,4,3,3,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,1136.08421,0,,0,0,0,1,0,1,2022,10
5000829,1,2,2,2,4,1982,39,10,2,,2,,2,2,2,6,,,4,,,,,,,,,,,,,1,,1,1,3,115000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,1136.08421,0,,0,0,0,0,0,1,2022,10
5000829,1,3,3,2,2,2002,19,13,1,2,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,2,10,3,312,2,,1,1,1,2,05,1,20220102,05,1,1136.08421,0,,0,0,0,0,0,1,2022,10
5000830,1,1,1,2,6,1956,65,1,3,,3,,2,2,2,6,,,5,,,,1,,,,,,,1,,,,1,1,2,72000,4,4,4,2,4,4,4,4,1,2,,3,5,,,,1,1,1,2,05,1,20220102,05,1,834.15940713,0,,0,0,1,1,0,1,2022,10
5000831,1,1,1,1,2,1978,43,1,2,,3,,1,,2,6,,,2,1,2,,,,,,,,,1,,,,1,1,1,40000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,1001.3491688,0,,0,0,0,0,0,1,2022,10
5000831,1,2,2,2,2,1990,31,2,3,,2,,1,,2,6,,,2,1,1,,,,,,,,,1,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,1001.3491688,0,,0,0,0,0,0,1,2022,10
5000831,1,3,3,1,1,2008,14,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,1,1,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,1,4,3,,,,1,1,,,05,1,20220102,05,1,1001.3491688,,,,,0,0,0,,2022,10
5000831,1,4,4,1,9,2017,4,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,2,2,,1,0,,,,1,1,,,05,1,20220102,05,1,1001.3491688,,,,,,,0,,2022,10
5000831,1,5,2,1,9,2019,2,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,05,1,20220102,05,1,1001.3491688,,,,,,,0,,2022,10
5000833,1,1,1,2,1,1973,48,1,2,,3,,2,2,2,6,,,3,1,2,,,,1,,,,,,,,,1,1,1,80000,4,4,4,4,4,4,4,4,1,2,,12,4,711,9,711,1,1,1,2,05,1,20220102,05,1,1080.8859426,0,,0,0,0,0,0,1,2022,10
5000833,1,2,2,1,12,1976,45,2,3,,2,,2,2,2,6,,,3,1,1,,,,,,,,,,,1,,1,1,3,80000,4,4,4,4,4,4,4,4,1,2,,11,4,412,8,412,1,1,2,1,05,1,20220102,05,1,1080.8859426,0,,0,0,0,0,0,1,2022,10
5000833,1,3,3,1,1,2007,15,3,1,1,1,2,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,2,4,3,,,,1,1,,,05,1,20220102,05,1,1080.8859426,,,,,0,0,0,,2022,10
5000834,1,1,1,1,6,1986,35,1,3,,2,,2,1,2,6,,,6,,,1,,,,,,,,,,,,1,1,1,450000,4,4,4,4,4,4,4,4,1,2,,12,4,719,9,719,1,1,2,1,05,1,20220102,05,1,1185.2446672,0,,0,0,0,0,0,1,2022,10
5000835,1,1,1,1,12,1970,51,1,2,,2,,2,2,2,6,,,3,1,2,,,,1,,,,,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,4,2,,,,1,1,2,1,05,1,20220102,05,1,957.76312913,0,,0,0,0,0,0,1,2022,10
5000835,1,2,2,2,12,1964,57,2,3,,3,,2,2,2,6,,,3,1,1,,,,,,,,,1,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,957.76312913,0,,0,0,0,0,0,1,2022,10
5000835,1,3,3,1,8,1999,22,3,1,2,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,3,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,957.76312913,0,,0,0,0,0,0,1,2022,10
5000835,1,4,4,2,7,2006,15,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,3,,,4,4,4,4,4,4,4,4,1,1,1,4,3,,,,1,1,,,05,1,20220102,05,1,957.76312913,,,,,0,0,0,,2022,10
5000836,1,1,1,1,6,1988,33,1,3,,2,,2,1,2,6,,,3,1,2,,,1,1,,,,,,,,,1,1,3,286000,4,4,4,4,4,4,4,4,1,2,,8,4,732,5,732,1,1,2,1,05,1,20220102,05,1,1221.4498251,0,,0,0,0,0,0,1,2022,10
5000836,1,2,2,2,8,1994,27,2,2,,2,,2,2,2,6,,,3,1,1,1,,1,1,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,9,6,732,6,732,1,1,1,2,05,1,20220102,05,1,1221.4498251,0,,0,0,0,0,0,1,2022,10
5000836,1,3,3,1,12,2011,10,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,3,4,,,,1,1,,,05,1,20220102,05,1,1221.4498251,,,,,0,0,0,,2022,10
5000836,1,4,4,2,1,2016,6,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,2,2,,2,1,,,,1,1,,,05,1,20220102,05,1,1221.4498251,,,,,0,0,0,,2022,10
5000836,1,5,5,2,12,1949,72,9,3,,3,,1,,2,6,,,6,,,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,1,2,05,1,20220102,05,1,1221.4498251,0,,0,0,0,0,0,1,2022,10
5000838,1,1,1,1,5,1989,32,1,2,,2,,2,2,2,6,,,2,1,2,,,,1,,,,,,,,,1,1,3,99,4,4,4,4,4,4,4,4,1,2,,4,2,,,,1,1,2,1,05,1,20220102,05,1,1304.7590709,0,,0,0,0,0,0,1,2022,10
5000838,1,2,2,2,6,1994,27,2,2,,2,,2,2,2,6,,,2,1,1,,,,,,,,,,,1,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,5,1,,1,,1,1,1,2,05,1,20220102,05,1,1304.7590709,0,,0,0,0,0,0,1,2022,10
5000838,1,3,3,1,5,2012,9,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,1,3,3,,,,1,1,,,05,1,20220102,05,1,1304.7590709,,,,,0,0,0,,2022,10
5000838,1,4,4,2,2,2019,2,3,1,2,1,1,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,05,1,20220102,05,1,1304.7590709,,,,,,,0,,2022,10
5000839,1,1,1,2,6,1980,41,1,3,,1,4,2,2,2,6,,,3,1,2,1,,,1,,1,,,,,,,1,1,1,99,4,4,4,4,4,4,4,4,1,2,,10,10,213,7,213,1,1,1,2,05,1,20220102,05,1,1397.1572805,0,,0,0,0,0,0,1,2022,10
5000839,1,2,2,1,9,1975,46,2,2,,2,,2,2,2,6,,,3,1,1,,,,1,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,9,6,715,6,715,1,1,2,1,05,1,20220102,05,1,1397.1572805,0,,0,0,0,0,0,1,2022,10
5000839,1,3,3,1,10,2011,10,3,1,1,1,2,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,2,3,4,,,,1,1,,,05,1,20220102,05,1,1397.1572805,,,,,0,0,0,,2022,10
5000839,1,4,4,1,7,1945,76,4,3,,3,,2,2,2,6,,,5,,,,,,,,,,,,,1,,1,3,,,2,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,2,1,05,1,20220102,05,1,1397.1572805,0,,0,0,1,1,0,1,2022,10
5000840,1,1,1,1,6,1957,64,1,3,,3,,1,,2,6,,,6,,,,,,,,,,,,,1,,1,3,,,4,4,4,3,4,4,4,4,1,2,,3,3,,,,1,1,2,1,05,1,20220102,05,1,3764.7754606,0,,0,0,0,1,0,1,2022,10
5000840,1,2,2,1,6,1961,60,6,3,,3,,2,1,2,6,,,4,,,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,2,,,,1,1,2,1,05,1,20220102,05,1,3764.7754606,0,,0,0,0,0,0,1,2022,10
5000840,1,3,3,1,8,1963,58,6,3,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,2,1,05,1,20220102,05,1,3764.7754606,0,,0,0,0,0,0,1,2022,10
5000841,1,1,1,2,11,1992,29,1,2,,2,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,1,160000,4,4,4,4,4,4,4,4,1,2,,11,4,1088,8,1088,1,1,1,2,05,1,20220102,05,1,1258.2273878,0,,0,0,0,0,0,1,2022,10
5000842,1,1,1,2,8,1971,50,1,2,,2,,2,2,2,6,,,6,,,,,,1,,,,,,,,,1,1,3,180000,4,4,4,4,4,4,4,4,1,2,,10,10,1088,7,1088,1,1,1,2,05,1,20220102,05,1,1165.6615592,0,,0,0,0,0,0,1,2022,10
5000842,1,2,2,2,3,1965,56,13,2,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,1,3,537000,4,4,4,4,4,4,4,4,1,2,,10,10,211,7,211,1,1,1,2,05,1,20220102,05,1,1165.6615592,0,,0,0,0,0,0,1,2022,10
5000843,1,1,1,2,8,1960,61,1,3,,3,,2,2,2,6,,,3,2,,,,,,,,,,,,1,,1,2,2,98,4,4,4,4,4,4,4,4,1,2,,11,6,111,8,111,1,1,1,2,05,1,20220102,05,1,734.62361429,0,,0,0,0,0,0,1,2022,10
5000843,1,2,2,1,8,1994,27,3,1,1,2,,2,2,2,6,,,6,,,,,,1,,,,,,,,,1,2,5,,4,4,4,4,4,4,4,4,1,2,,10,10,731,7,731,1,1,2,1,05,1,20220102,05,1,734.62361429,0,,0,0,0,0,0,1,2022,10
5000844,1,1,1,1,7,1960,61,1,3,,3,,1,,2,6,,,3,1,2,1,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,3,5,,,,1,1,2,1,05,1,20220102,05,1,904.32512463,0,,0,0,0,0,0,1,2022,10
5000844,1,2,2,2,2,1957,64,2,2,,2,,1,,2,6,,,3,1,1,1,,,,,,,,,,,,1,1,2,120000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,904.32512463,0,,0,0,0,0,0,1,2022,10
5000845,1,1,1,1,1,1951,71,1,3,,3,,2,2,2,6,,,3,1,2,,,,,,,,,,,1,,1,2,2,99,4,4,4,4,4,4,4,4,1,2,,12,6,111,9,111,1,1,2,1,05,1,20220102,05,1,756.95278554,0,,0,0,0,0,0,1,2022,10
5000845,1,2,2,2,7,1950,71,2,3,,3,,2,2,2,6,,,3,1,1,,,,,,,,,,,1,,1,2,2,99,4,4,4,4,4,4,4,4,1,2,,10,10,319,7,319,1,1,1,2,05,1,20220102,05,1,756.95278554,0,,0,0,0,0,0,1,2022,10
5000845,1,3,3,1,5,1974,47,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,1,,,,,,1,1,1,99,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,756.95278554,0,,0,0,0,0,0,1,2022,10
5000845,1,4,4,1,12,1986,35,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,1,1,,,,,,1,1,3,113600,4,4,4,2,4,4,4,4,1,1,1,10,7,322,2,,1,1,2,1,05,1,20220102,05,1,756.95278554,0,,0,0,1,1,0,1,2022,10
5000845,1,5,5,2,10,1988,33,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,1,,,,,,1,1,1,99,4,4,4,4,4,4,4,4,1,2,,10,10,612,7,612,1,1,1,2,05,1,20220102,05,1,756.95278554,0,,0,0,0,0,0,1,2022,10
5000845,1,6,6,1,9,1995,26,3,1,2,1,1,2,2,2,6,,,6,,,,,,,,,1,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,756.95278554,0,,0,0,0,0,0,1,2022,10
5000846,1,1,1,1,5,1955,66,1,3,,3,,2,2,2,6,,,3,1,2,,,,1,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,2,,3,0,,,,1,1,2,1,05,1,20220102,05,1,3076.4556197,0,,0,0,0,0,0,1,2022,10
5000846,1,2,2,2,10,1954,67,2,3,,3,,1,,2,6,,,3,1,1,,,,1,,,,,1,,,,1,1,2,99,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,3076.4556197,0,,0,0,0,0,0,1,2022,10
5000847,1,1,1,2,6,1996,25,1,2,,2,,1,,2,1,800_02,,2,1,2,,,,,1,,,,,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,05,1,20220102,05,1,795.04689424,0,,0,0,0,0,0,1,2022,10
5000847,1,2,2,1,5,1973,48,2,2,,3,,1,,2,6,,,2,1,1,,1,1,,,,1,,1,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,05,1,20220102,05,1,795.04689424,0,,0,0,0,0,0,1,2022,10
5000848,1,1,1,2,9,1973,48,1,3,,3,,2,1,2,6,,,2,1,2,,,,1,,,,,1,,,,1,1,1,89000,4,4,4,3,4,4,4,4,1,2,,8,4,913,5,913,1,1,1,2,05,1,20220102,05,1,1063.7304121,0,,0,0,0,1,0,1,2022,10
5000848,1,2,2,1,6,1972,49,2,2,,3,,2,2,2,6,,,2,1,1,,,,,,,,,,,1,,1,1,1,98,4,4,4,4,4,4,4,4,1,2,,9,6,613,6,613,1,1,2,1,05,1,20220102,05,1,1063.7304121,0,,0,0,0,0,0,1,2022,10
5000848,1,3,3,2,2,2004,17,9,2,,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,2,8,1,11,2,,1,1,,,05,1,20220102,05,1,1063.7304121,,,,,0,0,0,,2022,10
