DIRECTORIO,SECUENCIA_P,ORDEN,P6016,P3271,P6030S1,P6030S3,P6040,P6050,P6083,P6083S1,P6081,P6081S1,P2057,P2059,P2061,P6080,P6080S1,P6080S1A1,P6070,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P6090,P6100,P6110,P6120,P1906S1,P1906S2,P1906S3,P1906S4,P1906S5,P1906S6,P1906S7,P1906S8,P6160,P6170,P3041,P3042,P3042S1,P3042S2,P3043,P3043S1,HOGAR,CLASE,P3038,P3039,AREA,MES,PERIODO,DPTO,pt,FEX_C18,LGB_Numerica,LGB_sectores,Trans_numerica,LGBT_Numerica,Discapacidad,Dificultad,Campesina,POB_MAY18,PER,REGIS
5000005,1,3,1,1,2,1966,55,6,3,,3,,2,2,2,6,,,6,,,,,,,,,,,,,1,,1,3,,,4,1,2,2,2,1,1,1,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,931.05697511,0,,0,0,1,1,0,1,2022,10
5000006,1,1,1,1,8,1968,53,1,3,,3,,2,2,2,6,,,2,1,2,,,,,,,,,,,1,,1,1,3,112000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1414.4304632,0,,0,0,0,0,0,1,2022,10
5000006,1,2,2,2,7,1969,52,2,3,,3,,2,2,2,6,,,2,1,1,,,,,,,,,,,1,,1,3,,,4,4,4,4,4,4,4,4,1,2,,8,4,415,2,,1,1,1,2,,1,20220104,08,1,1414.4304632,0,,0,0,0,0,0,1,2022,10
5000006,1,3,3,2,9,1993,28,3,1,2,1,1,2,2,2,6,,,2,1,4,,,,,,,,,,,1,,1,1,1,50000,4,4,4,4,4,4,4,4,1,2,,8,4,913,5,913,1,1,1,2,,1,20220104,08,1,1414.4304632,0,,0,0,0,0,0,1,2022,10
5000006,1,4,4,1,8,1980,41,7,3,,2,,2,2,2,6,,,2,1,3,,,,,,,,,,,1,,1,1,1,50000,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,2,1,,1,20220104,08,1,1414.4304632,0,,0,0,0,0,0,1,2022,10
5000006,1,5,3,1,5,2020,1,8,1,3,1,4,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,,,,,,,,,1,1,,,,1,20220104,08,1,1414.4304632,,,,,,,0,,2022,10
5000006,1,6,2,2,1,2012,9,8,2,,2,,2,2,2,6,,,,,,,,,,,,,,,,,,1,1,5,,4,4,4,4,4,4,4,4,1,1,2,3,4,,,,1,1,,,,1,20220104,08,1,1414.4304632,,,,,0,0,0,,2022,10
5000007,1,1,1,2,10,1985,36,1,2,,2,,2,2,2,6,,,4,,,,1,,1,,,,,1,,,,2,,,,4,4,4,4,4,4,4,4,1,2,,5,2,,2,,1,1,1,2,,1,20220104,08,1,1992.4798841,0,,0,0,0,0,0,1,2022,10
5000007,1,2,2,1,3,2007,14,3,1,1,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,2,,,,4,4,4,4,4,4,4,4,1,1,2,4,3,,,,1,1,,,,1,20220104,08,1,1992.4798841,,,,,0,0,0,,2022,10
5000007,1,3,3,1,8,2009,12,3,1,1,2,,2,2,2,6,,,6,,,,,,,,,,1,,,,,2,,,,4,4,4,4,4,4,4,4,1,1,2,4,3,,,,1,1,,,,1,20220104,08,1,1992.4798841,,,,,0,0,0,,2022,10
