PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18;LGB_Numerica;LGB_sectores;LGBT_Numerica;Trans_numerica;Discapacidad;Dificultad;Campesina
20230205;02;2023;7339301;1;2;1;10;50;1;162.70835603;50;1;2;2;51;12;1971;2;3;;3;;2;2;2;6;;;2;1;1;;;;;;;;;;;1;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339301;1;3;1;10;50;1;162.70835603;50;1;3;2;26;1;1997;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;521;7;521;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339301;1;4;1;10;50;1;162.70835603;50;1;4;2;20;1;2003;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;10;4;413;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339302;1;1;1;10;50;1;396.55750714;50;1;1;2;54;3;1968;1;2;;2;;2;2;2;6;;;5;;;;;1;1;;;;;;;;;2;;;;4;4;4;4;4;4;4;4;1;2;;8;4;922;5;922;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339303;1;1;1;10;50;1;193.98400349;50;1;1;2;49;9;1973;1;3;;3;;1;;2;6;;;4;;;;1;1;1;;;1;;1;;;;1;1;3;145000;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339303;1;2;1;10;50;1;193.98400349;50;1;1;2;17;10;2005;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;10;0;731;2;;;;;;;;;0;0;0
20230205;02;2023;7339304;1;1;1;10;50;1;434.87452371;50;1;1;2;81;1;1942;1;3;;3;;1;;2;6;;;4;;;;;;1;;;;;;;;;1;1;2;40000;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339305;1;1;1;10;50;1;243.01989065;50;1;1;1;32;5;1990;1;1;4;3;;2;2;2;6;;;2;1;2;;1;1;1;;;1;;1;;;;2;;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339305;1;2;1;10;50;1;243.01989065;50;1;2;2;22;7;2000;2;2;;2;;2;2;2;6;;;2;1;1;;1;1;1;;;1;;1;;;;2;;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339305;1;3;1;10;50;1;243.01989065;50;1;3;1;7;5;2015;3;2;;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;2;;;;4;4;4;4;4;4;4;4;1;1;1;2;1;;;;;;;;;;;0;0;0
