DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P3044;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P3047;P3048;P3049;P6765;P6765S1;P3053;P3054;P3055;P3056;P6760;P3061;P3063;P3064;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;CLASE;OCI;AREA;P6430;RAMA4D_R4;OFICIO_C8;RAMA2D_R4;INGLABO;MES;PERIODO;DPTO;FT;FEX_C18;P3363;P3364;P3364S1;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3051;P3051S1;P3052;P3052S1;P3365;P3365S1;P3054S1;P3055S1;P3057;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063S1;P3064S1;P3366;PER;REGIS
7022639;1;2;1;ELABORACION DE PUERTAS Y VENTANAS EN MADERA;2;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;700000;1;;3;;3;2;12;48;;;48;;;1;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;13;10;3;1;1;47;4;1630;7522;16;700000;03;20220312;47;1;233.99866753;;;;;2;;;;;3;;;700000;700000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022639;1;3;1;SERVICIOS DE ASEOS POR DIAS;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;400000;1;;3;;1;1;2;40;;;40;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;2;20;3;1;1;47;4;8121;9111;81;400000;03;20220312;47;1;233.99866753;;;;;2;;;;;3;;;400000;400000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022640;1;2;1;TRANSPORTE;2;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;800000;1;;3;;1;1;12;50;;;50;;;1;4;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;10;5;1;1;47;4;4921;8321;49;800000;03;20220312;47;1;204.29473239;;;;;2;;;;;3;;;800000;800000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022641;1;1;1;HOSPEDAJE;1;1;;;1;;1;2;2;2;2;1;;1;1;9;1;2;1000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;4;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;2;60;5;1;1;47;1;5511;4224;55;1000000;03;20220312;47;1;106.40858938;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022641;1;2;1;LAVAUTOS;1;1;;;1;;1;2;2;2;2;1;;1;1;2;2;2;700000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;4;7;;2;;2;;;;2;2;1;0;4;4;;2;;2;;;;;;2;;;;1;1;1;2;1;2;1;1;1;2;1;1;1;2;2;2;2;2;2;40;5;1;1;47;1;4520;9122;45;700000;03;20220312;47;1;106.40858938;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022641;1;5;1;ATENCION MEDICA;1;2;2;12;1;;1;1;1;1;1;12;;1;1;9;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;117000;2;2;;;2;;;2;;;2;;;1;500000;1;500000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;2;1;98;1;1;1;1;12;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;40;5;1;1;47;1;8610;9112;86;1000000;03;20220312;47;1;106.40858938;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022641;1;7;1;HOSPEDAJE;1;1;;;1;;1;2;2;2;2;1;;1;1;2;1;2;1000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;50;;;50;;;4;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;2;60;5;1;1;47;1;5511;4224;55;1000000;03;20220312;47;1;106.40858938;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022642;1;1;1;COMERCIO DE FRITOS AL POR MENOR;2;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;600000;1;;3;;3;2;12;48;;;48;;;2;1;;2;;2;;;;2;2;1;2;20;4;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;14;;3;1;1;47;4;5619;1420;56;600000;03;20220312;47;1;190.12856188;;;;;1;1;0;0;1;3;;;600000;600000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022642;1;2;1;COMERCIO DE FRITOS AL POR MENOR;2;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;2;1;;2;;2;;;;2;2;1;3;180;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;14;;3;1;1;47;6;5619;5223;56;;03;20220312;47;1;190.12856188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022643;1;1;1;ABARROTES;2;;;;;;;;;;;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;7;;;;;1;1;;;;;;1;2;;2;;150000;1;;3;;5;2;12;40;;;40;;;1;1;;1;;3;;;;2;2;1;24;120;1;;4;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;2;2;1;14;;9;1;1;47;4;4711;1420;47;150000;03;20220312;47;1;165.98378021;;;;;2;;;;;3;;;;;;;;;150000;0;100000;0;0;0;;;;;;;;;;;;;;2022;60
7022644;1;3;1;CASA DE HOGAR;1;1;;;1;;1;2;2;2;2;12;;2;2;2;2;2;600000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;58;;;58;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;1;1;12;18;9;1;1;47;3;9700;9111;97;600000;03;20220312;47;1;190.55233156;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022645;1;2;1;VIVIENDAS;2;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;300000;1;;3;;10;2;7;60;;;48;6;;1;9;;5;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;2;1;3;40;3;1;1;47;4;4111;9313;41;300000;03;20220312;47;1;196.17089199;;;;;2;;;;;2;;;300000;300000;2;;;;;;;;;;;;;;;;;;;;;;2;2022;60
7022647;1;1;1;ROPA;2;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;5;;1;2;2;;;;;;1;1;;;;;;200000;1;;1;;5;2;12;8;2;;8;;;10;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;1;20;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;2;1;2;2;1;14;;3;1;1;47;4;4792;3322;47;200000;03;20220312;47;1;215.83918782;;;;;2;;;;;3;;;200000;200000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7022648;1;1;1;PROYECTOS SOCIALES;1;2;2;12;1;;2;2;2;1;2;24;;1;1;1;1;1;1000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;10;1;;1;;1;2;1;6;1;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;14;;6;1;1;47;1;9499;5311;94;1000000;03;20220312;47;1;162.39869279;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
