DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P3044;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P3047;P3048;P3049;P6765;P6765S1;P3053;P3054;P3055;P3056;P6760;P3061;P3063;P3064;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;CLASE;OCI;AREA;P6430;RAMA4D_R4;OFICIO_C8;RAMA2D_R4;INGLABO;MES;PERIODO;DPTO;FT;FEX_C18;P3363;P3364;P3364S1;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3051;P3051S1;P3052;P3052S1;P3365;P3365S1;P3054S1;P3055S1;P3057;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063S1;P3064S1;P3366;PER;REGIS
7000061;1;1;1;EXTRACCION Y PROCESAMIENTO DE CARBON COQUE EN MINAS;1;2;1;;1;;1;1;1;1;1;60;;1;1;1;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;80000;1;2;;;2;;;2;;;2;;;1;500000;1;900000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;8;10;;1;;1;1;1;5;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;15;8;2;1;;1;0510;9311;05;1000000;03;20220313;54;1;1156.0060945;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000061;1;6;1;EXTRACCION Y PROCESAMIENTO DE CARBON COQUE EN MINAS;1;2;1;;1;;1;1;1;1;1;12;;1;1;1;1;2;1300000;2;;;1;90000;2;;2;;2;;2;;;1;117000;1;2;;;2;;;2;;;2;;;1;600000;1;900000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;8;10;;1;;1;1;1;1;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;2;2;1;1;11;10;8;2;1;;1;0510;8111;05;1390000;03;20220313;54;1;1156.0060945;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000062;1;1;1;ROZAR CULTIVO DE LECHOZAS(PAPAYAS) EN DIFERENTES FINCAS;2;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;2;2;;;;;;2;2;;;;;;300000;1;0;3;;10;2;12;40;;;21;1;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;3;60;5;2;1;;4;0161;9211;01;300000;03;20220313;54;1;633.50278563;;;;;2;;;;;2;;;300000;300000;2;;;;;;;;;;;;;;;;;;;;;;2;2022;60
7000063;1;1;1;BRINDAR SERVICIOS DE ACARREO MUDANZA Y TRASTEOS A PARTICULARES EN CARRO;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;350000;1;4200000;1;;3;2;12;20;2;;4;6;;1;4;;2;;2;;;;2;2;1;1;300;1;;13;EL EMPLEADOR LO CONSIDERABA MUY VIEJO;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;8;1;5;2;1;;4;4923;8332;49;350000;03;20220313;54;1;576.86990894;;;;;2;;;;;3;;;400000;400000;2;;;;;;;;;;;;;;;;;;;;;;2;2022;60
7000063;1;2;1;COMPRA DE CARBON PARA PROCESAMIENTO Y VENTA DE COQUE A EMPRESAS PARTICULARES;1;2;1;;1;;1;1;1;1;1;60;;1;1;2;1;2;1400000;2;;;2;;2;;2;;2;;2;;;1;115000;2;2;;;2;;;2;;;2;;;2;;1;700000;1;700000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;10;;1;;1;2;1;5;1;1;1;0;36;1;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;10;5;2;1;;1;4661;4311;46;1400000;03;20220313;54;1;576.86990894;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000064;1;1;1;HOGAR;1;1;;;1;;2;2;2;2;2;18;;2;2;2;2;2;400000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;50;;;50;;;1;2;;7;;2;;;;2;2;1;0;12;4;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;2;1;3;5;8;2;1;;3;9700;9111;97;400000;03;20220313;54;1;289.00152361;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000064;1;4;1;VENTA DE MATERIALES PARA CONSTRUCCION AL POR MENOR;1;2;1;;1;;1;1;1;1;1;12;;1;1;9;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;1170000;2;2;;;2;;;2;;;2;;;1;507000;1;507000;1;507000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;30;7;PARO ARMADO EN LA ZONA NO FUE A TRABAJAR;4;7;;1;;1;1;1;1;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;5;2;1;;1;4752;5223;47;1000000;03;20220313;54;1;289.00152361;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000065;1;1;1;ADMINISTRAR RECURSOS DE SALUD DEL MUNICIPIO DE CUCUTA;1;2;1;;1;;1;1;1;1;1;252;;1;1;1;1;2;1200000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;1;500000;1;500000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;5;;1;;1;2;1;21;1;1;1;0;96;1;;7;;2;;;;;;1;10;2;1;2;;;;;;;;;;;;1;1;1;2;1;1;11;120;5;2;1;;2;8413;5321;84;1200000;03;20220313;54;1;444.54675363;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000067;1;1;1;ORDEÑAR VACAS EN DIFERENTES FINCAS GANADERAS  PARTICULARES;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;1;2;;;;;;9;2;;;;;;600000;1;3600000;1;;1;1;6;48;;;48;;;1;8;;2;;2;;;;2;2;1;12;9;4;;2;;2;;;;;;1;10;2;1;1;1;1;2;1;2;1;2;2;2;1;1;2;2;2;2;2;1;11;30;5;2;1;;4;0162;9212;01;600000;03;20220313;54;1;677.89848045;;;;;2;;;;;3;;;600000;600000;2;;60000;;;;;;;;;;;;;;;;;;;;;2022;60
7000068;1;1;1;LIMPIAR Y CERCAR POTREROS EN DIFERENTES FINCAS;2;;;;;;;;;;;540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;1000000;1;12000000;3;;9;2;12;50;;;50;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;10;15;8;2;1;;4;0161;9211;01;1000000;03;20220313;54;1;418.95824998;;;;;2;;;;;2;;;1000000;1000000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000070;1;1;1;EXTRACCION DE CARBON COQUE;1;2;1;;1;;1;1;1;1;2;9;;1;1;9;1;2;1000000;2;;;2;;2;;2;;2;;2;;;1;117000;2;2;;;2;;;2;;;2;;;1;507000;1;507000;1;507000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;63;;;50;1;;4;7;;1;;1;2;1;17;1;1;1;2;20;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;30;5;2;1;;1;0510;8111;05;1000000;03;20220313;54;1;701.37840886;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2022;60
7000070;1;2;1;HACER ASEO EN DIFERENTES VIVIENDAS;2;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;1;2;;;;;;2;2;;;;;;200000;1;0;3;;10;2;5;21;2;;21;;;1;2;;3;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;3;5;2;1;;4;8121;9111;81;200000;03;20220313;54;1;701.37840886;;;;;2;;;;;2;;;200000;200000;2;;50000;;;;;;;;;;;;;;;;;;;;;2022;60
7000071;1;2;1;LIMPIAR Y SEMBRAR CULTIVOS DE PALMA DE ACEITE EN DIFERENTE FINCAS;2;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;900000;1;11500000;3;;9;2;12;50;;;50;;;1;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;20;8;2;1;;4;0161;9211;01;900000;03;20220313;54;1;324.2209504;;;;;2;;;;;2;;;900000;900000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000072;1;1;1;CARGAR Y DESCARGAR CAMIONES CON CHATARRA EN DIFERENTES CHATARRERIAS PARTICULARES;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;2;2;;;;;;2;2;;;;;;400000;1;4000000;1;;1;1;10;48;;;48;;;2;2;;10;;2;;;;2;2;1;2;24;4;;3;;2;;;;;;1;10;1;1;1;1;1;2;1;2;1;1;2;2;2;1;1;2;1;2;2;1;3;2;8;2;1;;4;5224;9333;52;400000;03;20220313;54;1;314.4511639;;;;;2;;;;;3;;;400000;400000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000073;1;1;1;LIMPIAR FUMIGAR Y SEMBRAR CULTIVOS DE ARROZ EN DIFERENTE FINCAS;2;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;900000;1;12000000;3;;9;2;12;55;;;55;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;15;8;2;1;;4;0161;9211;01;900000;03;20220313;54;1;290.80379436;;;;;2;;;;;2;;;900000;900000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000075;1;1;1;VENDER Y SUMINISTRAR GASOLINA A PARTICULARES EN VIVIENDA PARTICULAR DE FORMA INDEPENDIENTE;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;6;;1;2;2;;;;;;2;2;;;;;;100000;1;600000;1;;1;1;6;84;;;84;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;1;1;1;2;2;1;1;2;2;2;1;1;2;1;2;2;1;14;;5;2;1;;4;4721;5245;47;100000;03;20220313;54;1;418.8335866;;;;;2;;;;;3;;;240000;240000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000075;1;3;1;SIEMBRA Y CULTIVO DE ARROZ EN DIFERENTES FINCAS AGRICOLAS PARTICULARES;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;2;2;;;;;;2;2;;;;;;800000;1;4800000;1;;1;1;6;18;1;;12;6;;5;8;;2;;2;;;;2;2;1;4;24;4;;13;PANDEMIA;2;;;;;;1;30;1;1;1;1;1;2;1;2;1;1;2;2;2;1;1;2;1;2;2;1;11;30;8;2;1;;4;0161;9211;01;800000;03;20220313;54;1;418.8335866;;;;;2;;;;;3;;;900000;900000;2;;;;;;;;;;;;;;;;;;;;;;2;2022;60
7000077;1;1;1;SERVICIO DE RESTAURANTE A LA MESA;1;1;;;1;;1;2;2;2;2;340;;2;2;2;2;2;500000;2;;;1;60000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;55;;;55;;;3;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;5;8;2;1;;1;5611;5120;56;560000;03;20220313;54;1;154.13414593;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000079;1;1;1;BRINDAR SERVICIOS DE TRANSPORTE DE CARGA Y DESCARGA DE ARROZ EN CAMION PARTICULAR;2;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;7;;;;;1;1;;;;;;2;;;2;;2000000;1;16000000;3;;3;1;8;48;;;16;6;;2;1;;2;;2;;;;2;2;1;0;60;4;;3;;2;;;;;;2;;;;1;1;1;2;2;2;1;2;2;2;2;1;1;2;1;2;2;1;14;;3;2;1;;5;4923;1324;49;2000000;03;20220313;54;1;283.18137481;;;;;1;2;2;0;0;3;;;;;;;;;4000000;2000000;0;0;0;0;;;;;;;;;;;;;2;2022;60
7000080;1;2;1;LIMPIAR FUMIGAR Y SEMBRAR CULTIVOS DE ARROZ EN DIFERENTE FINCAS;2;;;;;;;;;;;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;800000;1;10500000;3;;9;2;12;50;;;50;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;20;8;2;1;;4;0161;9211;01;800000;03;20220313;54;1;324.2209504;;;;;2;;;;;2;;;800000;800000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000081;1;1;1;VENTA DE CERVEZA Y SERVICIOS DE JUEGO DE MESA A PARTICULARES EN LOCAL COMERCIAL;2;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;7;;;;;1;1;;;;;;1;2;;2;;280000;1;3360000;1;;3;1;12;24;1;;24;;;2;7;;2;;2;;;;2;2;1;0;72;4;;3;;2;;;;;;1;24;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;2;1;2;2;1;11;3;8;2;1;;4;5630;1431;56;280000;03;20220313;54;1;283.18137481;;;;;2;;;;;3;;;;;;;;;1000000;0;500000;0;220000;0;;;;;;;;;;;;;;2022;60
7000081;1;2;1;VENTA DE CERVEZA Y SERVICIO DE JUEGO A LA MESA A PARTICULARES EN LOCAL COMERCIAL;2;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;24;2;;24;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;11;2;8;2;1;;6;5630;1431;56;;03;20220313;54;1;283.18137481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000082;1;1;1;SEMBRAR Y LIMPIAR CULTIVOS DE PLATANO Y ARROZ EN DIFERENTES FINCAS;2;;;;;;;;;;;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;400000;1;5600000;3;;9;2;12;32;1;;32;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;1;2;2;1;3;30;8;2;1;;4;0161;9211;01;400000;03;20220313;54;1;284.18629428;;;;;2;;;;;2;;;400000;400000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000083;1;2;1;VENTA DE VIVERES AL POR MENOR A PARTICULARES EN TIENDA FAMILIAR;2;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;7;;;;;1;1;;;;;;2;;;2;;275000;1;2750000;3;;5;1;10;84;;;84;;;2;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;14;;8;2;1;;4;4711;1420;47;275000;03;20220313;54;1;106.767576;;;;;2;;;;;3;;;;;;;;;1000000;0;500000;0;215000;0;;;;;;;;;;;;;;2022;60
7000084;1;1;1;SOLDADURA Y MANTENIMIENTO DE AUTOMOVILES;1;1;;;1;;2;2;2;2;2;72;;9;9;9;9;2;1000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;2;7;;2;;2;;;;2;2;1;2;120;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;10;8;2;1;;1;4520;7231;45;1000000;03;20220313;54;1;228.77977419;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000084;1;3;1;SERVICIO DE RESTAURANTE A LA MESA;1;1;;;1;;1;2;2;2;2;1;;2;2;2;2;2;400000;2;;;1;90000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;48;;;48;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;2;8;2;1;;1;5611;5131;56;490000;03;20220313;54;1;228.77977419;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000085;1;1;1;CONDUCIR DIFERENTES CAMIONES PARTICULARES  PARA SERVICIOS DE MUDANZAS Y TRASTEOS A PARTICULARES;2;;;;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;2;2;;;;;;2;2;;;;;;500000;1;6000000;1;;1;1;12;20;1;;20;;;2;4;;2;;2;;;;2;2;2;;;;;;;2;;;;;;1;28;2;1;1;1;1;2;2;2;1;1;2;2;1;1;1;2;2;2;2;1;8;5;5;2;1;;4;4923;8332;49;500000;03;20220313;54;1;326.62519069;;;;;2;;;;;3;;;500000;500000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000086;1;1;1;VENTA MATERIALES  PARA CONSTRUCCION AL POR MENOR;1;1;;;1;;1;2;2;2;2;12;;1;1;2;2;2;1000000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;30;7;PARO ARMADO NO TRABAJO;2;7;;2;;2;;;;2;2;1;0;192;1;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;2;5;2;1;;1;4752;5223;47;1000000;03;20220313;54;1;152.57369553;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000087;1;3;1;FABRICACION Y VENTA DE PAN AL POR MENOR;1;1;;;1;;1;2;2;2;2;24;;2;2;2;2;2;1100000;2;;;1;90000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;8;2;1;;1;1081;5246;10;1190000;03;20220313;54;1;106.767576;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000087;1;4;1;SEMBRAR Y LIMPIAR CULTIVOS DE ARROZ Y YUCA EN DIFERENTES FINCAS;2;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;400000;1;4500000;3;;9;2;12;40;;;40;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;15;8;2;1;;4;0161;9211;01;400000;03;20220313;54;1;106.767576;;;;;2;;;;;2;;;400000;400000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000089;1;2;1;SEMBRAR Y LIMPIAR CULTIVOS DE ARROZ Y EN DIFERENTES FINCAS;2;;;;;;;;;;;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;600000;12;8000000;3;;9;2;12;48;;;48;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;11;10;8;2;1;;4;0161;9211;01;600000;03;20220313;54;1;185.1958385;;;;;2;;;;;2;;;600000;600000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000090;1;1;1;ELABORACION DE PAN;1;1;;;1;;1;2;2;2;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;1;2;;;;;;9;9;;;;;;600000;1;0;3;;1;2;12;57;;;57;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;1;1;3;10;5;2;1;;4;1081;9112;10;600000;03;20220313;54;1;176.8280836;;;;;2;;;;;1;;;600000;600000;2;;300000;;;;;;;;;;;;;;;;;;;;;2022;60
7000090;1;2;1;ELABORACION DE PAN;2;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;1;2;;;;;;2;2;;;;;;420000;1;0;3;;1;2;1;42;;;42;;;2;7;;5;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;3;10;5;2;1;;4;1081;5246;10;420000;03;20220313;54;1;176.8280836;;;;;2;;;;;2;;;420000;420000;2;;200000;;;;;;;;;;;;;;;;;;;;;2022;60
7000091;1;1;1;INSTALAR CARPAS EN DIFERENTES MULAS PARTICULARES EN SITIO AL DESCUBIERTO;2;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;6;;1;2;2;;;;;;2;2;;;;;;400000;1;4000000;1;;1;1;10;24;1;;24;;;2;6;;2;;2;;;;2;2;1;1;9;1;;13;PANDEMIA;2;;;;;;1;24;2;1;1;1;1;2;1;2;1;1;2;2;1;1;1;2;1;2;2;1;11;30;8;2;1;;4;5224;9333;52;400000;03;20220313;54;1;277.6226908;;;;;2;;;;;3;;;400000;400000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000091;1;2;1;HOGAR;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;1;2;;;;;;2;2;;;;;;240000;1;240000;1;;1;1;1;24;1;;24;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;2;8;2;1;;4;9700;9111;97;240000;03;20220313;54;1;277.6226908;;;;;2;;;;;1;;;240000;240000;2;;40000;;;;;;;;;;;;;;;;;;;;;2022;60
7000092;1;1;1;CONFECCION Y ARREGLOS DE ROPA SOBRE MEDIDAS;2;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;;1;2;2;;;;;;2;2;;;;;;500000;1;0;3;;1;2;12;80;;;84;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;5;2;1;;4;1410;7531;14;500000;03;20220313;54;1;262.93272371;;;;;2;;;;;2;;;600000;600000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000092;1;2;1;CONDUCIR VEHICULO PARA TRANSPORTE DE  ARROZ AL POR MAYOR EN  SITIO DE ACOPIO;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;6;;1;1;2;;;;;;2;2;;;;;;0;1;0;3;;1;2;12;40;;;50;;;1;4;;2;;2;;;;2;2;1;0;18;4;;3;;2;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;2;20;5;2;1;;4;4923;8332;49;0;03;20220313;54;1;262.93272371;;;;;2;;;;;2;;;400000;400000;2;;200000;;;;;;;;;;;;;;;;;;;;;2022;60
7000093;1;1;1;EXTRACCION Y PROCESAMIENTO DE CARBON COQUE EN MINAS;1;2;1;;1;;1;1;1;1;1;12;;1;1;1;1;2;1800000;2;;;2;;2;;2;;2;;2;;;1;117000;1;2;;;2;;;2;;;2;;;1;530000;1;620000;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;6;10;;1;;1;1;1;6;1;1;1;1;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;5;8;2;1;;1;0510;9333;05;1800000;03;20220313;54;1;209.75064881;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022;60
7000095;1;1;1;LIMPIAR Y CERCAR POTREROS EN DIFERENTES FINCAS;2;;;;;;;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;6;;1;2;2;;;;;;2;2;;;;;;800000;1;10000000;3;;9;2;12;48;;;48;;;1;8;;2;;2;;;;2;2;1;2;72;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;20;8;2;1;;4;0161;9211;01;800000;03;20220313;54;1;225.39088722;;;;;2;;;;;2;;;800000;800000;2;;;;;;;;;;;;;;;;;;;;;;;2022;60
