PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20230622;06;2023;7454112;1;2;1;60;23;1;334.09731173;23;1;5619;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;30000;30000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;25000;1;;3;;3;2;12;35;2;;35;;;;1;1;;2;;2;;;;2;2;1;3;60;3;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;14;;3;1;25000;56;5619;5221
20230622;06;2023;7454113;1;1;1;60;23;1;365.0943649;23;1;9700;1;1;;;1;;1;;2;2;2;2;1;3;;2;2;2;2;1;2;300000;2;;2;;;1;260000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;1;2;;2;;2;;;;2;2;1;0;48;3;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;2;12;25;3;1;560000;97;9700;9111
20230622;06;2023;7454114;1;3;1;60;23;1;134.58474353;23;1;5619;2;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;240000;240000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;;3;;3;2;1;49;;;49;;;;1;6;;2;;2;;;;2;2;1;12;3;1;;1;;2;;;;;;2;;;;1;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;1;3;5;3;1;200000;56;5619;5212
20230622;06;2023;7454115;1;1;1;60;23;1;351.63156192;23;1;9529;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;120000;120000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;120000;1;;3;;1;1;12;14;1;;14;;;;1;1;;2;;2;;;;2;2;1;24;6;4;;2;;2;;;;;;1;26;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;2;1;1;14;;3;1;120000;95;9529;7533
20230622;06;2023;7454116;1;1;1;60;23;1;245.61563457;23;1;4921;2;;;;;;;;;;;;27;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;900000;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;;3;;3;2;12;45;;;45;;;;1;4;;2;;2;;;;2;2;1;4;21;4;;13;AISLAMIENTO OBLIGATORIO;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;11;5;3;1;600000;49;4921;8321
20230622;06;2023;7454117;1;1;1;60;23;1;269.61052673;23;1;4921;2;;;;;;;;;;;;84;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;900000;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;700000;1;;3;;1;1;12;60;;;0;7;TUVO QUE VIAJAR A VISITAR A SU MADRE ENFERMA;;1;4;;2;;2;;;;2;2;1;5;84;2;;11;;2;;;;;;2;;;;1;1;1;2;2;2;1;1;2;2;1;1;2;2;2;2;1;1;11;5;8;1;700000;49;4921;8321
20230622;06;2023;7454119;1;1;1;60;23;1;262.21260395;23;1;4921;2;;;;;;;;;;;;144;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;600000;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;580000;1;;3;;3;2;12;48;;;48;;;;1;4;;2;;2;;;;2;2;1;1;24;1;;1;;2;;;;;;2;;;;1;2;1;2;2;2;2;2;1;2;2;1;2;2;1;2;1;1;11;10;3;1;580000;49;4921;8321
20230622;06;2023;7454119;1;2;1;60;23;1;262.21260395;23;1;9602;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;80000;80000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;70000;1;;3;;1;2;12;20;1;;20;;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;1;10;2;1;2;;;;;;;;;;;;1;2;1;2;1;1;3;5;3;1;70000;96;9602;5142
20230622;06;2023;7454120;1;2;1;60;23;1;188.61049152;23;1;4781;2;;;;;;;;;;;;252;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;6000000;6000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1500000;1;;3;;6;2;12;65;;;65;;;;1;6;;2;;2;;;;2;2;1;0;12;4;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;13;15;3;1;1500000;47;4781;5211
20230622;06;2023;7454121;1;1;1;60;23;1;139.9387834;23;1;5511;1;2;1;;1;;1;;1;2;1;1;84;1;;1;1;1;1;1;2;1160000;2;;2;;;2;;2;;2;;2;;2;;;1;140606;2;1;120000;2;2;;;2;;;1;60000;2;1;1000000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;;3;7;;1;;1;1;1;7;1;1;1;0;60;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;1;2;11;10;9;1;1160000;55;5511;4224
